# Order in which each feature was ranked by the feature-selection algorithm. When cross-validation was used, the values represent average ranks across the folds. Note that these values are calculated on the assumption that all features received a rank, whereas some feature-selection algorithms do not assign ranks to all.
Feature	Rank
3113	1.1666666666666667
3133	2.388888888888889
811	3.1666666666666665
3458	6.611111111111111
3304	8.722222222222221
3119	10.277777777777779
3122	10.277777777777779
1514	10.333333333333334
3320	12.61111111111111
3106	14.88888888888889
3305	15.38888888888889
3805	15.833333333333334
3109	15.944444444444445
920	16.5
7124	16.555555555555557
3107	16.88888888888889
3123	18.61111111111111
3112	20.833333333333332
3308	21.333333333333332
567	22.5
3310	23.11111111111111
1508	23.11111111111111
972	23.27777777777778
925	26.333333333333332
1385	26.5
3115	29.5
3303	29.88888888888889
4802	30.11111111111111
3812	30.22222222222222
4261	30.22222222222222
6892	31.11111111111111
5720	33.333333333333336
3134	34.611111111111114
3117	34.666666666666664
4801	35.72222222222222
3824	36.05555555555556
10437	36.05555555555556
4800	36.77777777777778
5994	37.111111111111114
6890	37.111111111111114
5993	37.22222222222222
3108	37.22222222222222
3135	39.27777777777778
2923	39.5
926	39.94444444444444
3105	40.333333333333336
6891	43.333333333333336
3111	44.77777777777778
10197	45.388888888888886
8625	45.5
3309	46.611111111111114
1520	46.833333333333336
3823	48.94444444444444
821	49.666666666666664
3306	49.77777777777778
