# Order in which each feature was ranked by the feature-selection algorithm. When cross-validation was used, the values represent average ranks across the folds. Note that these values are calculated on the assumption that all features received a rank, whereas some feature-selection algorithms do not assign ranks to all.
Feature	Rank
11097	1.2222222222222223
7514	2.5
23225	4.722222222222222
4928	5.611111111111111
9972	6.0
129401	6.944444444444445
23511	8.166666666666666
348995	8.88888888888889
55746	9.944444444444445
79902	10.722222222222221
10762	11.722222222222221
8021	13.944444444444445
53371	14.0
9688	15.666666666666666
5903	16.055555555555557
8086	16.88888888888889
79023	17.444444444444443
23279	17.5
9631	19.333333333333332
7175	19.88888888888889
9818	20.555555555555557
4927	20.77777777777778
5901	20.944444444444443
81929	21.22222222222222
8480	21.77777777777778
23165	22.5
57122	23.055555555555557
