Feature	Mean Rank
22999	8.4
2752	10.8
6512	11.3
88	11.4
80852	13.1
2901	13.2
6857	14.7
2899	15.4
6196	15.6
2898	15.9
2783	16.5
163	17.0
2905	17.2
10681	21.0
784	21.6
777	21.7
6804	23.1
774	25.4
4128	26.3
817	27.0
5923	27.3
10369	27.7
4193	28.8
59283	29.0
2791	29.9
6511	30.2
84254	30.5
6507	31.7
1621	33.9
59345	34.1
5567	34.4
2784	34.9
2900	35.0
5331	35.7
27092	35.9
6854	37.0
2788	37.2
23236	40.1
783	42.9
60482	45.0
10497	45.2
5864	48.8
114	50.5
217	50.9
57030	51.6
2792	51.7
2790	54.4
2904	54.7
1644	55.1
805	55.1
3265	56.2
94235	56.4
23426	58.3
5924	58.3
5578	58.8
6571	59.2
9254	61.5
6195	61.5
2897	62.1
2744	63.7
5594	64.6
818	66.1
6572	67.1
5579	67.5
5330	68.0
6582	69.3
54874	69.8
6853	70.5
10815	71.0
4747	71.3
2890	72.3
1173	75.9
4905	77.4
2782	77.4
2787	77.7
1103	77.9
2903	78.4
773	79.0
161	79.7
7166	80.9
2893	82.3
782	82.8
7054	83.2
4646	83.6
55970	83.6
2785	83.9
160	84.3
6531	84.8
2036	85.5
9463	85.8
6505	86.2
51764	87.0
6506	87.3
1741	89.8
5582	90.0
1742	91.2
27330	96.0
8224	96.1
814	96.3
1739	96.6
2906	96.7
816	96.8
109	97.0
83988	97.8
10368	98.5
1385	100.3
107	100.4
6616	100.9
9495	100.9
1175	101.2
6197	101.6
781	102.9
785	103.5
2891	103.8
808	106.1
54331	106.3
55799	106.6
2793	107.4
5170	108.5
815	108.6
2786	109.6
2892	110.1
2902	110.5
43	110.6
6812	110.7
81539	110.9
5894	111.0
801	111.4
6844	112.1
1312	112.4
