Feature	Mean Rank
389692	5.2
2770	5.7
60559	5.8
6167	7.0
6165	7.6
2775	8.3
6184	8.4
3799	8.7
6161	12.7
6170	14.4
6146	14.8
23478	15.2
6231	16.7
6210	16.8
6154	18.0
6727	18.8
6747	21.6
1650	21.7
6137	25.3
6734	26.7
6173	27.4
6158	27.6
5080	29.8
29927	30.2
5122	30.2
6227	32.5
4644	35.5
6812	38.3
6128	40.8
6130	40.8
6205	41.4
6171	41.5
23521	42.0
3651	42.8
51121	44.9
5873	45.5
6144	46.2
6123	46.8
90701	47.7
64924	48.0
6218	49.1
6230	49.7
6745	50.3
6160	51.2
30001	51.9
6729	52.1
6201	52.1
6861	52.8
58477	54.5
2771	54.9
3921	57.9
6157	59.7
6235	61.3
6726	61.3
6217	61.7
6187	62.2
6156	63.1
6169	63.6
5126	64.3
6155	64.4
6748	65.3
55676	66.5
6229	67.5
6804	67.6
6208	69.7
6728	70.7
9045	71.8
6134	72.0
1363	73.6
3630	73.7
6206	74.6
6185	74.8
6192	76.3
148867	77.4
6132	77.8
6125	78.2
2197	78.3
6168	78.8
6844	79.3
6209	79.9
6746	79.9
9789	81.0
6135	81.1
6232	81.7
6616	82.7
4736	83.0
6228	83.3
6222	83.4
6136	83.6
6194	83.8
6203	85.5
6234	85.8
9349	86.4
7311	87.3
6142	88.3
6139	88.6
6191	89.2
6730	90.3
6141	91.2
23480	91.4
6138	91.9
28972	93.3
6175	93.7
11224	95.0
6193	96.4
55176	96.5
25873	98.2
6188	99.1
4821	99.5
6189	100.6
6152	101.4
6147	101.4
10952	101.7
6122	102.0
6207	102.2
6224	103.6
6204	105.6
6133	105.8
6164	106.4
6731	106.8
6129	107.0
6233	107.9
6143	108.3
6223	108.4
6181	108.9
6159	109.4
6124	112.4
6176	113.9
