Feature	Mean Rank
2701	3.4
2707	3.7
1785	4.2
2702	6.1
2703	6.6
8218	8.9
81025	9.3
1212	10.6
57369	10.7
4646	11.3
375519	11.6
10804	12.7
84694	13.0
2709	14.5
2706	14.5
10052	15.6
1211	15.8
2697	16.4
219770	18.0
1601	19.2
127534	20.6
1759	20.7
2705	21.1
1213	21.6
57165	23.1
2700	23.1
125111	23.8
1173	25.9
