Feature	Mean Rank
3551	2.2
9641	4.3
5518	4.6
5605	7.4
5602	9.7
466	10.0
51284	12.1
59307	12.6
8517	16.9
1675	17.3
714	17.5
6196	17.7
713	19.4
4064	19.6
148022	19.9
1846	21.6
5519	21.6
712	23.8
5604	24.0
1432	26.8
54106	27.0
7189	28.2
7098	28.6
3654	29.5
81793	30.2
51135	31.0
729	31.4
3725	32.4
6197	32.5
2002	33.0
4790	36.2
9450	36.4
7096	37.2
5606	38.0
10333	38.6
9261	39.6
7099	41.3
7314	43.4
5601	45.3
5648	45.8
23643	46.5
3661	47.4
5594	47.6
735	48.2
4792	48.3
718	51.7
51311	51.9
23118	52.2
717	52.2
731	52.8
8737	55.1
2353	55.8
5970	56.0
51295	58.8
6416	58.9
730	59.1
5608	59.9
29110	60.1
3665	61.4
1385	61.5
7100	61.6
1849	63.7
733	63.8
716	64.4
7097	66.3
5515	66.7
727	66.9
6195	68.0
257397	68.0
10747	68.6
629	70.3
5600	70.5
9252	70.6
720	71.3
5289	71.8
114609	72.1
4214	74.4
1848	74.6
3929	74.9
5599	75.4
715	77.4
5598	77.5
4205	78.5
8411	78.7
1147	78.9
10454	79.1
4153	79.2
5528	79.4
5516	79.9
1386	81.0
64145	81.7
929	82.3
11213	82.7
732	82.8
4791	84.9
4208	86.5
11035	86.8
353376	87.0
4793	87.3
1845	87.8
30849	88.3
6885	89.0
5609	89.9
4615	91.2
7867	93.6
5595	95.7
