Feature	Mean Rank
8666	2.6
8662	2.7
8664	4.0
6231	4.7
6210	5.7
6205	8.6
1981	8.7
1977	9.2
6201	10.0
6229	11.1
1965	12.9
1974	13.5
8894	14.1
6193	14.8
8668	20.2
6233	22.2
6187	22.7
8661	24.3
6228	24.4
3921	24.5
6192	25.3
6227	25.9
1975	26.2
6217	26.3
1973	27.4
7458	27.7
1964	29.4
6218	31.7
6188	31.7
6232	32.1
6208	33.0
6230	33.3
6234	34.0
6235	34.1
6222	34.2
8663	34.7
8669	36.4
8665	36.9
6207	37.1
6206	37.1
8667	37.4
6209	37.6
6203	37.8
1968	38.0
6224	38.5
2197	39.9
6191	41.9
6189	43.5
6194	43.7
6204	44.6
26986	44.9
27335	45.1
3646	46.6
6223	50.1
