Feature	Mean Rank
3691	4.2
7143	4.7
7450	9.6
1301	10.7
1288	11.2
5747	13.2
2889	13.6
331	14.9
5728	16.2
595	16.5
5293	16.7
9564	16.9
8503	17.6
859	18.5
5154	19.9
57144	21.1
56924	21.4
23396	22.1
1729	24.7
88	27.2
22798	27.5
5649	28.8
5155	30.5
1399	32.7
1950	32.8
2002	37.9
1302	39.8
23533	42.3
5500	43.1
3695	43.1
5499	44.0
894	44.2
3082	44.6
3679	45.4
5594	46.7
50509	48.3
10627	48.4
3725	48.7
2277	51.5
5923	52.5
5604	53.3
3690	54.7
3918	56.3
60	57.8
71	58.4
5602	59.1
5906	59.6
7423	61.3
824	61.7
3674	62.6
857	62.9
56034	63.9
1286	64.6
3381	64.7
3680	64.7
4636	66.1
5290	66.7
87	68.8
7448	70.2
4659	70.7
2321	71.2
5058	73.4
85366	73.6
5578	74.1
394	75.3
10319	76.3
6654	76.4
858	77.5
5601	77.7
7060	78.0
3673	79.1
53358	79.4
55742	79.5
7058	83.6
7424	84.7
5296	85.4
330	86.0
1282	86.2
329	90.2
6696	90.2
5228	91.5
4233	92.4
7148	93.7
29780	94.3
4638	94.7
3655	95.0
80310	95.6
3480	95.7
3678	96.3
207	97.0
896	97.7
1398	98.0
2064	99.5
29895	99.5
3911	99.8
4633	99.8
5159	100.0
63923	100.6
10298	101.1
7414	101.6
3908	102.5
5063	103.9
3675	105.5
6464	105.7
5295	106.0
58498	107.8
10451	109.6
284217	110.0
89	110.2
3910	110.5
2318	112.7
3915	112.8
5291	113.2
5908	113.5
2932	114.4
22801	114.5
7791	116.2
5880	117.6
81	117.6
25759	119.0
399694	119.5
10398	119.7
7410	120.6
1499	121.0
103910	121.6
1289	122.2
1291	122.4
6093	122.8
91807	123.0
1280	123.9
8516	127.6
7094	127.8
5579	129.5
3791	131.0
5062	131.0
5294	131.9
3694	133.0
1311	136.0
2316	136.6
5879	136.6
673	136.6
1292	138.4
2909	138.5
64098	140.1
1278	140.3
3909	140.4
998	140.9
5829	141.3
572	142.4
7409	142.5
83660	142.6
208	143.2
8515	143.3
5599	144.2
3693	144.6
1793	145.0
3696	145.9
7408	146.8
3676	146.8
7059	147.8
2885	149.3
7057	150.2
5595	151.3
3912	154.1
6714	154.4
7422	154.6
3672	154.7
2335	154.8
1277	155.1
5894	155.4
3688	157.9
5881	157.9
3371	159.2
10000	159.4
5582	159.9
2534	160.0
3265	160.2
1956	161.8
2324	162.8
5501	163.8
5170	164.3
131873	165.2
93408	165.3
1284	165.4
1101	165.9
5156	166.1
3611	166.5
596	167.4
3685	168.1
1281	168.5
3913	168.6
387	169.6
1290	171.9
3914	172.4
1293	173.6
1287	174.2
3479	174.5
6655	176.0
2317	178.9
9475	184.9
