Feature	Mean Rank
10507	1.0
388	3.4
391	4.9
6237	7.8
5364	8.5
103910	8.9
5879	9.5
4637	10.5
5788	10.5
6093	11.3
998	12.1
4628	15.2
4233	15.5
10398	16.0
79784	16.0
387	16.0
971	16.2
9475	17.8
23365	18.1
2064	18.2
2909	18.4
3985	20.2
3984	20.3
5880	20.3
4629	22.1
9826	22.8
4627	23.6
27289	24.9
389	25.0
