Feature	Mean Rank
7042	5.4
3119	7.6
3127	7.9
3684	8.7
51135	12.8
9103	13.7
4688	13.8
3109	14.2
65108	14.3
4790	14.7
3654	15.2
1432	15.8
3111	16.7
7099	17.0
7124	17.4
2212	21.5
23118	23.0
5777	23.6
3458	24.0
7189	24.6
3552	25.4
3565	25.8
5970	26.0
3688	27.4
3459	28.5
3593	30.4
10454	31.0
3460	31.0
4843	31.5
2209	32.5
4792	33.2
718	33.5
3725	33.8
5595	35.2
1378	35.9
3586	36.1
3118	36.6
3122	37.0
5594	37.4
6772	39.9
3113	40.9
2002	44.0
4793	44.5
3689	45.1
3553	46.5
7097	46.7
3126	47.6
1535	47.7
5603	49.0
3123	49.0
2214	49.1
3717	49.3
3112	49.5
6885	51.4
5579	51.7
7043	51.7
3716	52.1
4615	52.2
3117	52.4
2353	52.4
5743	53.2
4689	53.4
3592	54.0
7040	54.8
5600	55.2
3676	55.3
6300	55.7
2215	59.1
3115	59.1
3108	61.4
3125	62.0
