Feature	Mean Rank
23163	2.3
23062	6.1
2548	8.2
164	9.6
8905	13.0
9583	13.9
10577	13.9
57192	14.4
1515	15.8
23457	17.0
6448	18.6
8218	20.6
54	23.8
8907	24.6
950	24.7
9114	24.8
4125	24.9
4126	26.8
8943	27.1
8120	27.6
3920	27.7
51606	27.8
3482	28.1
8763	29.1
22901	31.3
4074	32.1
1512	32.2
285362	33.3
58511	33.9
6609	34.2
50617	34.7
27074	35.0
2760	35.4
2629	36.7
2717	36.7
2799	37.1
1211	37.8
535	39.9
1200	43.6
968	44.8
527	46.3
1511	46.8
1203	49.0
9374	49.1
23431	49.2
84572	49.8
26985	51.1
2720	52.1
9476	52.4
4864	52.5
1522	52.6
1212	53.2
1777	53.4
1509	54.0
1514	55.4
53	56.1
2990	56.8
162	58.9
4891	59.4
3373	60.3
1075	61.9
10312	62.0
3425	63.2
8546	64.1
1520	65.0
2517	66.2
5641	67.5
10239	67.7
1513	69.1
4668	70.2
6556	72.0
23545	72.5
26503	72.8
130340	74.2
3916	75.7
1201	77.2
410	77.3
10717	77.4
1174	79.5
11154	80.5
138050	81.4
1497	83.5
20	84.0
2588	84.4
6272	84.9
7805	86.6
1508	86.7
55353	86.9
9741	88.3
4669	88.7
26088	89.4
79158	90.0
8722	90.0
1521	90.1
3423	90.1
5538	91.7
9179	91.7
3073	91.9
427	92.1
51172	93.2
4758	93.4
256471	93.7
537	93.7
1510	94.4
411	94.4
23659	94.7
245972	94.9
533	96.0
3074	97.3
10053	97.7
175	98.3
3988	98.8
1176	98.9
5476	99.6
967	100.4
2581	100.5
1213	102.3
10947	102.8
1519	105.1
5660	114.0
