Feature	Mean Rank
10018	1.6
9459	2.2
2245	4.3
84033	6.2
23229	7.5
4803	8.5
11214	8.8
6453	11.1
221472	11.6
5879	12.7
64857	14.5
9500	14.8
89846	17.2
25791	17.4
27237	19.2
5923	19.4
7074	20.6
7410	21.3
4168	22.2
50650	22.5
10451	22.6
57449	23.1
1894	23.3
6654	24.5
4804	25.2
8997	25.7
23370	25.8
7409	28.5
8874	28.7
5924	29.2
121512	30.4
9828	30.5
57580	32.3
26574	32.8
23365	32.8
393	34.4
29	34.7
5599	34.8
7204	35.8
50649	35.8
23263	37.0
9826	38.3
9181	38.7
26230	39.2
10276	40.0
572	40.0
6655	40.3
