Feature	Mean Rank
8503	4.3
1869	4.3
2064	5.6
1029	5.9
23533	7.5
5336	7.7
595	9.7
5605	10.7
5604	10.7
1950	13.7
207	14.2
5293	14.5
5915	15.0
83593	19.4
5296	19.4
5582	19.5
5578	19.9
5290	20.2
1019	20.3
6258	21.2
842	21.5
6654	22.6
7039	24.6
5579	25.8
3265	25.9
2309	28.1
2272	28.5
369	29.1
10000	29.4
5925	29.5
5295	32.0
5594	32.2
5170	32.9
1870	33.5
673	34.6
11186	35.6
5335	36.2
2885	37.5
5291	37.7
3845	40.7
1956	40.8
572	41.3
1871	41.3
1021	41.5
4893	41.9
5294	42.3
6256	42.5
208	42.6
6789	43.4
6257	44.2
6655	44.3
7157	45.4
5894	45.8
5595	46.1
