Feature	Mean Rank
4926	1.9
331	4.1
7133	5.6
5747	5.7
6709	6.4
4001	8.5
7186	11.7
84823	13.9
1616	14.5
637	15.1
4790	16.0
4193	16.7
355	17.6
5591	18.4
7124	19.7
330	19.8
71	20.9
4792	21.1
5062	21.2
5663	21.4
1676	21.6
397	22.3
5921	22.8
5580	24.1
2934	25.5
329	25.5
7185	26.1
4000	28.6
984	29.3
5925	31.1
9530	31.5
8738	32.1
5599	32.7
317	34.5
356	34.6
839	34.9
4217	35.5
840	35.8
54205	36.9
5970	37.7
5664	38.7
842	38.9
7132	41.2
9020	41.5
142	42.0
596	42.6
836	43.8
1677	45.0
1147	45.7
5609	45.8
835	46.6
8772	47.4
841	47.6
8717	49.2
8737	50.3
8837	50.8
4214	52.6
