Feature	Mean Rank
2833	1.6
1234	5.2
6356	6.9
3579	7.3
6363	8.9
6375	10.2
10803	11.3
10663	12.0
1235	12.8
6364	14.3
51554	14.5
2920	14.8
5196	17.2
3577	17.5
10563	17.5
6366	18.4
7852	19.2
5473	19.3
1233	20.5
1236	20.5
57007	20.6
6367	21.0
1524	22.9
2919	25.0
3576	26.9
6376	27.4
6387	27.8
6360	29.5
643	31.3
3627	31.4
6370	32.0
6352	32.5
2921	33.9
1237	34.1
6347	35.9
6372	37.4
6374	37.9
6354	38.6
6349	39.2
10850	39.3
6351	39.3
58191	39.7
56477	40.1
1230	41.0
4283	41.0
6361	41.3
6348	41.8
2826	42.0
6373	43.0
2829	43.7
6846	43.9
1238	44.1
414062	44.6
1232	45.0
