Feature	Mean Rank
56924	4.9
57144	6.9
9459	6.9
9564	9.6
23162	9.9
5728	10.2
2048	10.5
5602	14.4
3679	14.8
25	15.2
5747	16.1
22808	17.7
5594	19.6
10097	20.5
6010	22.2
6654	22.2
2886	22.2
857	23.3
5601	23.7
6464	24.7
3680	25.6
5290	25.9
5034	27.7
5336	29.2
8874	29.6
3678	29.7
5291	31.1
3673	32.3
23452	32.3
1398	33.3
4296	34.7
5063	34.7
87	35.7
5599	35.7
1029	35.7
8515	35.9
1793	36.2
5313	37.0
23542	38.4
5062	39.5
3672	40.3
2534	43.5
22801	43.8
10096	44.0
8516	45.8
5898	47.1
7454	47.2
673	47.9
6093	48.4
3676	48.7
7791	48.8
23421	51.1
998	52.0
6416	52.4
85366	52.6
3655	54.6
5058	54.6
7408	55.0
7094	55.5
9479	56.9
1434	57.7
3675	58.5
6655	59.2
2885	59.5
207	59.9
10298	60.0
208	60.1
5335	60.2
54386	60.2
83660	61.9
6714	62.0
4638	63.0
3611	63.1
2909	63.5
5894	63.5
5609	65.0
10000	66.0
9475	71.8
