Feature	Mean Rank
991	3.2
51433	5.5
10213	6.4
983	9.3
5714	9.4
29882	10.6
996	12.8
5696	13.3
10197	15.9
5691	16.1
5684	16.4
5689	18.3
5707	20.6
9491	21.7
5711	22.4
7324	22.5
1017	22.5
701	22.6
5721	24.4
51529	24.9
8697	25.8
11065	25.9
5682	26.1
4085	27.4
10393	28.2
5718	31.5
5702	31.7
7321	32.8
51343	33.2
5720	34.6
6500	34.7
8881	35.0
8900	36.2
5685	36.2
7314	36.8
5692	38.1
5709	38.4
5695	39.4
5704	39.6
5699	41.4
5717	41.4
5719	42.2
26271	42.2
5715	42.8
5694	43.1
5701	44.1
9861	44.6
5710	44.8
891	45.1
5706	45.6
51434	45.9
5687	46.1
64682	46.8
5698	49.0
5693	50.2
5686	50.5
5716	51.0
8454	51.2
246184	52.6
5347	53.7
890	53.8
5683	53.8
5688	53.9
5708	55.6
8945	55.7
5713	56.4
9184	59.0
5690	60.1
29945	60.3
5705	61.2
5700	61.5
