# Order in which each feature was ranked by the feature-selection algorithm. When cross-validation was used, the values represent average ranks across the folds. Note that these values are calculated on the assumption that all features received a rank, whereas some feature-selection algorithms do not assign ranks to all.
Feature	Rank
11097	1.6111111111111112
23225	2.9444444444444446
4928	4.944444444444445
129401	5.944444444444445
9972	6.333333333333333
22916	6.555555555555555
348995	9.166666666666666
23511	9.38888888888889
55746	11.61111111111111
9818	11.833333333333334
79902	12.444444444444445
8086	13.944444444444445
7175	14.666666666666666
4927	15.833333333333334
9688	17.11111111111111
53371	17.166666666666668
10482	17.5
10762	18.0
81929	18.22222222222222
10189	19.77777777777778
79023	21.166666666666668
23279	21.38888888888889
8480	21.38888888888889
4686	21.88888888888889
8021	21.944444444444443
23165	21.944444444444443
1977	23.38888888888889
9631	24.166666666666668
57122	26.333333333333332
5903	26.38888888888889
