Feature	Mean Rank
2268	1.0
5595	2.0
8517	3.0
6356	4.0
2826	5.0
1399	6.0
2782	7.0
3055	8.0
7074	9.0
2784	10.0
23236	11.0
387	12.0
5196	13.0
6374	14.0
4793	15.0
5829	16.0
5296	17.0
59345	18.0
1236	19.0
108	20.0
6369	21.0
10850	22.0
156	23.0
3717	24.0
6370	25.0
2771	26.0
2870	27.0
56477	28.0
51764	29.0
6355	30.0
5747	31.0
53358	32.0
10681	33.0
55970	34.0
3627	35.0
5294	36.0
196883	37.0
6362	38.0
6655	39.0
399694	40.0
54331	41.0
2793	42.0
6357	43.0
5906	44.0
5579	45.0
6367	46.0
5330	47.0
6348	48.0
5058	49.0
7410	50.0
643	51.0
6375	52.0
113	53.0
2185	54.0
6364	55.0
2791	56.0
3718	57.0
2833	58.0
9844	59.0
6011	60.0
7454	61.0
112	62.0
10563	63.0
5332	64.0
111	65.0
5879	66.0
1237	67.0
6354	68.0
3577	69.0
6376	70.0
208	71.0
1147	72.0
25759	73.0
10451	74.0
2869	75.0
5566	76.0
6346	77.0
10235	78.0
26230	79.0
5604	80.0
10803	81.0
5331	82.0
6366	83.0
6368	84.0
109	85.0
5290	86.0
10344	87.0
5295	88.0
2919	89.0
131890	90.0
1445	91.0
2868	92.0
6774	93.0
9475	94.0
5580	95.0
673	96.0
57580	97.0
6093	98.0
4790	99.0
4893	100.0
8976	101.0
3265	102.0
5568	103.0
2786	104.0
6373	105.0
8503	106.0
9564	107.0
114	108.0
5970	109.0
3576	110.0
3702	111.0
6464	112.0
2829	113.0
2783	114.0
2792	115.0
5613	116.0
5590	117.0
1233	118.0
2921	119.0
7852	120.0
157	121.0
2932	122.0
5894	123.0
2787	124.0
10663	125.0
2931	126.0
1234	127.0
5908	128.0
115	129.0
56288	130.0
5291	131.0
409	132.0
9547	133.0
3845	134.0
58191	135.0
6387	136.0
2920	137.0
10000	138.0
998	139.0
1398	140.0
6347	141.0
1524	142.0
7409	143.0
5473	144.0
4067	145.0
6772	146.0
2773	147.0
6777	148.0
6773	149.0
2770	150.0
5880	151.0
23533	152.0
408	153.0
2885	154.0
5594	155.0
94235	156.0
6372	157.0
107	158.0
2785	159.0
1230	160.0
4792	161.0
2309	162.0
5567	163.0
5197	164.0
6654	165.0
729230	166.0
207	167.0
6352	168.0
3551	169.0
6360	170.0
4283	171.0
1232	172.0
1794	173.0
5293	174.0
6363	175.0
3579	176.0
