Feature	Mean Rank
1616	1.0
8837	2.0
596	3.0
8772	4.0
4001	5.0
835	6.0
5747	7.0
7124	8.0
7133	9.0
5921	10.0
839	11.0
4214	12.0
841	13.0
836	14.0
5599	15.0
142	16.0
84823	17.0
5580	18.0
4000	19.0
5663	20.0
8738	21.0
9020	22.0
397	23.0
5970	24.0
7186	25.0
355	26.0
71	27.0
7185	28.0
1677	29.0
5062	30.0
842	31.0
9530	32.0
4193	33.0
8717	34.0
840	35.0
5609	36.0
984	37.0
331	38.0
637	39.0
2934	40.0
1676	41.0
5925	42.0
356	43.0
330	44.0
54205	45.0
4926	46.0
4790	47.0
4792	48.0
7132	49.0
5591	50.0
6709	51.0
317	52.0
1147	53.0
8737	54.0
5664	55.0
329	56.0
4217	57.0
