@relation data

@attribute 23658 numeric
@attribute 27257 numeric
@attribute 57819 numeric
@attribute 167227 numeric
@attribute 23644 numeric
@attribute 54464 numeric
@attribute 25804 numeric
@attribute 80153 numeric
@attribute 1656 numeric
@attribute 55802 numeric
@attribute 27258 numeric
@attribute 11157 numeric
@attribute 196513 numeric
@attribute Class {Control,BRCA}

@data
8.738046965,12.12504541,11.61175117,10.00443156,11.15374536,8.1770271295,11.10294695,8.629266563,6.60526143,10.13612637,11.104946715,5.629364816,7.505932848,Control
8.5241310705,11.78244144,12.09022832,10.42590328,11.63779329,8.1641534335,10.95031916,9.100229416,7.673664405,10.24628965,10.858463785,5.558429323,7.818472134,BRCA
8.863269607,11.74966846,12.23798527,10.37846858,11.6005403,7.8789423795,11.50810934,8.929717871,6.912892703,9.802633943,11.21174503,5.841225451,8.272875996,BRCA
8.7045782935,11.7240492,12.69546762,10.71783515,11.59733576,7.6043194765,11.56532836,9.498550629,7.554859571,10.1125311,11.01264222,5.637937129,8.137146296,Control
8.8770737435,11.69692854,12.10354363,10.52858624,11.07836451,7.822196642,11.49848788,8.783359349,7.069640749,10.42517423,11.46584281,6.064156003,7.649365992,BRCA
8.1571852935,11.4486069,11.23824666,10.02197973,11.99463462,8.657560078,10.3081004,8.852499177,6.951317139,9.772677934,10.1380347195,4.980495207,6.753287377,BRCA
8.913758485,11.7416567,12.60734656,9.858878951,11.7626666,8.113247436,10.96190926,9.289062759,9.431466851,10.1525514,10.26955115,6.049582442,7.531773518,BRCA
8.655846687,12.12850358,12.22616388,10.1630147,11.23595455,8.190916576,11.19221592,8.450779398,6.32224872,9.705624234,11.55287232,5.96947934,7.490171226,Control
9.0837551905,11.79042803,12.31194418,10.50407936,11.41646783,7.955508384,11.58695951,8.815135987,6.501722262,9.841195224,11.47924692,5.499217061,7.919907807,BRCA
8.9886134345,11.91354778,12.16730219,10.37757418,11.5968724,7.6923491835,11.67556248,8.894060699,7.592944939,9.991437211,11.24621696,6.362956922,7.671861458,BRCA
9.194060441,11.76334944,12.10010062,10.14489117,11.86693899,7.275663899,11.28265136,9.240362708,6.289839651,9.443296418,11.1705545,6.056481245,8.088074166,BRCA
8.875620703,12.01615373,11.94030819,10.38657417,11.2211885,8.254268123,11.25294051,8.308590598,6.595597365,9.6293207,11.56247895,5.543891185,7.475006074,Control
8.9592916965,11.97597342,11.68152186,9.484234383,11.27871096,7.9888511715,11.18114933,8.699521377,6.452822423,10.04397092,11.282103985,6.030066347,7.15957148,Control
8.1282657085,11.61377578,12.09842044,9.959306897,11.81753744,7.85361066,11.36386113,9.137978063,5.781891609,10.09627409,11.259062085,5.115003321,7.966103265,BRCA
7.264096159,11.64430934,11.48188533,10.99741964,12.01436934,7.5566280765,10.94581345,9.064730052,6.835169711,9.696742033,10.426390775,5.292055848,8.135762024,BRCA
8.081798243,11.78664344,12.23703672,10.22614155,11.58870072,7.6310950145,11.60957135,9.000254369,6.075164235,10.14380446,11.34893977,5.193979903,8.223423907,BRCA
8.054315355,11.88601099,12.14165544,10.34787632,11.50067275,7.7228024185,11.72339443,9.039509335,6.168276607,10.35966203,11.563577495,5.045717348,8.172928895,BRCA
8.406988321,12.01783851,12.33120955,10.29787953,11.34861214,7.5659996025,11.92203438,9.07757757,6.187060658,10.07372021,11.83439895,5.35439155,8.07304514,BRCA
8.109459033,11.70152102,12.22921997,10.08234238,11.24903656,7.528213668,12.0199261,9.07883204,6.095297454,9.913529399,11.66995446,5.226808337,8.003125914,BRCA
7.7854302755,11.81462063,12.29328779,9.098625049,12.39780304,7.035445878,11.9164133,9.990685863,6.319586888,9.840864894,11.379702185,4.96556642,8.891351684,BRCA
