@relation data

@attribute id string
@attribute 10135 numeric
@attribute 22978 numeric
@attribute 23057 numeric
@attribute 23475 numeric
@attribute 23530 numeric
@attribute 30833 numeric
@attribute 316 numeric
@attribute 349565 numeric
@attribute 4837 numeric
@attribute 4860 numeric
@attribute 4907 numeric
@attribute 51251 numeric
@attribute 5167 numeric
@attribute 5169 numeric
@attribute 54981 numeric
@attribute 55191 numeric
@attribute 56953 numeric
@attribute 64802 numeric
@attribute 65220 numeric
@attribute 683 numeric
@attribute 83594 numeric
@attribute 84618 numeric
@attribute 93034 numeric
@attribute 93100 numeric
@attribute 952 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,0.0187697098,0.2048964729,0.3986912180,1.5393408277,0.2021253367,0.1352500151,0.1939221078,0.1584611952,4.1426907629,0.4288872541,1.1279155045,0.4073480382,-0.0454492068,-0.0393373201,0.1026093661,0.7367987231,0.1663173008,0.3083093671,0.6441262795,1.6976951435,-0.0296180856,-0.1422610203,-0.1044722966,0.1292153591,-0.0103162152,BRCA
GSM481003,0.0728166740,0.1366486249,0.4756968975,1.6667487192,0.1610410471,0.1795041421,0.2487585688,0.4508242083,3.5682757945,0.8896260634,1.2861356166,-0.1039354707,0.1101619671,-0.0469432843,0.0301403718,1.0368467952,0.0192017261,0.2527358832,0.7882564087,1.3036684031,-0.0753184949,-0.1187864996,-0.0759650762,0.4465727336,-0.0489590437,BRCA
GSM481004,0.2104237123,0.0907147581,0.4298916703,1.5574510116,0.1832348195,0.1528639407,0.2808902524,0.2182613806,3.4716780036,0.7631303631,1.9078542192,0.1271538233,-0.0348667033,-0.0231469844,0.0428132872,0.8310154963,0.1119688781,0.3911106908,0.7475012970,1.0389628001,-0.0611296758,-0.1011551676,-0.0829882947,0.2158334423,-0.0394629655,BRCA
GSM481005,0.1089907925,0.2454988277,0.5485913497,1.2576920511,0.1987321225,0.1316541890,0.3733750724,0.4713221628,3.7204619347,0.3303520699,1.7305370643,0.3197566715,0.0132670641,-0.0899973927,0.1116955884,0.6622123339,0.1297510206,0.3531022781,0.6477121240,2.2685995921,-0.0230059944,-0.0325998737,-0.1155927440,0.3712090170,-0.0969966923,BRCA
GSM481006,0.3133255592,0.2567405532,0.2469222501,1.4560256359,0.2700933796,0.2478662427,0.0753132584,0.8378532929,3.8210999371,0.5422415966,0.9551422953,0.2329860015,0.0362040444,-0.0715944450,0.1433494498,0.9163086966,0.2427481553,0.2724937039,0.6799614662,1.3702839556,-0.0464853312,-0.1004026353,-0.0578544823,0.3099299482,-0.1198226669,BRCA
GSM481007,0.1359176298,0.1730800350,0.7865555069,2.2932012082,0.1533087097,0.4546537018,0.2111238170,0.8130269759,3.8334398268,0.2200578450,0.8213975556,0.0461849628,0.1514239785,-0.0695821631,-0.0455009336,0.6797434836,0.0732063399,0.1353887322,0.7201184301,1.0963673145,0.0496265748,-0.0795494248,0.0593114050,0.8057003337,-0.0128815731,BRCA
GSM481008,0.5739833380,0.1596025989,0.7206460743,1.0965909753,0.2438208852,0.3148177347,0.2509681765,0.0675486136,1.9119111599,0.8796902616,1.5572135864,0.0102109480,0.1906557697,-0.0578598161,0.1137809032,0.5779828440,0.2472792632,0.1579157007,0.8139371954,0.5253739749,-0.0572496756,-0.1010150761,-0.1338874672,0.6556457218,-0.0410551444,Control
GSM481009,0.1493074433,0.0882686225,0.1960635117,0.5981423486,0.1249047886,0.0650450262,0.0827444900,0.1144163144,4.1770090907,0.4759267980,0.6680125055,0.0174659488,-0.0779208638,-0.0843139640,-0.0698854493,0.4234649381,-0.0485556830,0.2244148889,0.5432832228,0.9821649356,-0.0093275138,-0.1266175319,-0.0453768351,0.0413033050,-0.0404937682,Control
GSM481010,0.5430264465,0.3217902677,0.3244090703,0.9467584146,0.2628084506,0.2101473875,0.7114939772,0.6971263445,3.6786961554,0.6556784603,1.2203979214,0.3905436663,0.2810556538,-0.0858280379,0.1559589393,0.9744745146,0.1975162608,0.3110979671,0.6375834990,1.7013810611,0.0400538306,-0.1204503443,-0.0890956617,0.6182134698,-0.0489380526,Control
GSM481011,-0.0232150248,0.0405720977,0.1467715489,1.7768430151,0.1268852471,0.2363403671,0.1194972085,0.1048258231,3.8195988834,0.1529904813,1.1845491475,-0.0834344268,0.0517284253,-0.0651667317,-0.0924649087,0.8464694140,0.1418411732,0.1158070826,0.9317256097,1.1615773309,-0.0427038732,-0.1377915172,-0.0897201213,0.5777446414,-0.0133706812,Control
