@relation data

@attribute id string
@attribute 10747 numeric
@attribute 1361 numeric
@attribute 1378 numeric
@attribute 1380 numeric
@attribute 1604 numeric
@attribute 1675 numeric
@attribute 2 numeric
@attribute 2147 numeric
@attribute 2149 numeric
@attribute 2152 numeric
@attribute 2153 numeric
@attribute 2155 numeric
@attribute 2157 numeric
@attribute 2158 numeric
@attribute 2159 numeric
@attribute 2160 numeric
@attribute 2161 numeric
@attribute 2162 numeric
@attribute 2165 numeric
@attribute 2243 numeric
@attribute 2244 numeric
@attribute 2266 numeric
@attribute 3053 numeric
@attribute 3075 numeric
@attribute 3426 numeric
@attribute 3818 numeric
@attribute 3827 numeric
@attribute 4153 numeric
@attribute 4179 numeric
@attribute 462 numeric
@attribute 5054 numeric
@attribute 5104 numeric
@attribute 5265 numeric
@attribute 5327 numeric
@attribute 5328 numeric
@attribute 5329 numeric
@attribute 5340 numeric
@attribute 5345 numeric
@attribute 5624 numeric
@attribute 5627 numeric
@attribute 5648 numeric
@attribute 623 numeric
@attribute 624 numeric
@attribute 629 numeric
@attribute 7035 numeric
@attribute 7056 numeric
@attribute 710 numeric
@attribute 712 numeric
@attribute 713 numeric
@attribute 714 numeric
@attribute 715 numeric
@attribute 716 numeric
@attribute 717 numeric
@attribute 718 numeric
@attribute 719 numeric
@attribute 722 numeric
@attribute 725 numeric
@attribute 727 numeric
@attribute 728 numeric
@attribute 729 numeric
@attribute 730 numeric
@attribute 731 numeric
@attribute 732 numeric
@attribute 733 numeric
@attribute 735 numeric
@attribute 7450 numeric
@attribute 966 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,-0.0712120949,-0.0391748585,-0.0195448927,-0.1265238472,0.3932238431,0.2288432479,0.4645407777,-0.2142724890,0.3161278931,3.0435899198,-0.0866935346,0.1535949936,0.5566458218,-0.0741020797,0.0790933834,-0.0542673786,0.0789735176,-0.0875431200,-0.1271836391,-0.1337402769,-0.1338066185,-0.0093080291,-0.1411205829,0.4684638726,0.2746336450,-0.0070860874,-0.1738876365,-0.2534281931,0.3817618542,-0.1680546724,3.0971668291,0.1223992447,-0.0028469054,1.3154431507,-0.0165646971,0.6683088890,0.0064908145,-0.0652750283,-0.0862982028,0.8072675267,0.0085763358,1.2020970650,0.5131288470,0.3475320859,0.1702335060,0.0816427182,2.5686144829,-0.0989793460,-0.1360977886,0.0233612703,1.5942692161,0.9417632793,0.0075949236,0.7355849647,0.0951550874,0.0705725471,-0.0309733345,0.2206503238,0.2861119881,-0.0316571054,0.0543389736,-0.0982164078,-0.0094479186,-0.1610758412,-0.2398920687,-0.1216605016,2.4808306958,BRCA
GSM481003,-0.0523606971,0.0071025080,0.0125319045,-0.1143867374,0.9500512694,0.3694401763,0.2761680131,-0.1989544242,0.3005077078,3.9650098980,-0.0665179614,0.1492757412,0.4292866794,-0.0734942316,-0.1726447477,-0.0738811379,0.1476218575,-0.0702441079,-0.2365634114,-0.1309632186,-0.1040900125,-0.0739448218,0.0361269348,0.0549825613,0.2862458721,0.0040477288,-0.1400248674,-0.2757021726,0.4061143419,-0.0969603606,2.5698548448,0.4653827157,0.2655929831,2.6771923454,0.5233701138,0.7734830292,0.0248844036,-0.0577860301,0.0082387743,0.9846078753,-0.0774766122,1.9001270400,0.5371550628,0.6226993934,0.1367581755,0.6744190734,3.2780293228,-0.0371813529,-0.1429027843,-0.1128650076,1.0156821228,0.4289885856,0.1004722840,1.6460385932,0.0717610477,0.0544116273,0.4814249404,0.0519670447,0.0126108858,-0.0483439761,-0.0039802469,-0.0294029896,0.0220542894,-0.0326806614,-0.1132884906,-0.0564617124,2.2357419864,BRCA
GSM481004,-0.0741475178,-0.0685423365,-0.0033682808,-0.1217251004,0.7335618746,0.1291287060,0.1296651321,-0.2138664767,0.1744622019,2.7758959231,-0.0565917602,0.1358974684,0.6703320410,-0.1117864704,0.2527443980,-0.0543123309,-0.0396741260,-0.0673217343,-0.1674263830,-0.1464092568,-0.0766112734,-0.0318216407,0.2216888361,0.2906459476,0.1572173620,-0.0144551479,-0.0944272071,-0.1525409004,0.3932907750,-0.1198663063,3.0840943361,0.0378158765,-0.0161188256,1.8140934110,0.2259472757,0.9803950945,-0.0253498340,-0.0859836093,-0.0346012884,0.3461685877,0.0897243755,2.3066409231,1.2485504977,0.9854962840,0.3226887187,0.1544832262,3.5516616703,-0.1108125282,-0.0814708638,-0.0583282519,1.4902625348,0.8113424554,0.1284198061,1.7324149248,0.1473196301,0.1032795891,-0.0261800577,0.0802196252,0.0773968465,-0.0661081743,0.0675518612,-0.0807708470,0.0114771891,-0.0679523770,-0.1685048441,-0.0955179574,2.3844405236,BRCA
GSM481005,-0.0740691904,-0.0894610541,-0.0047267683,-0.1344726894,1.6037324242,0.6561711217,0.0278951197,-0.1704830490,0.2666255229,3.8741149901,-0.0860241149,0.1933744023,0.6897307700,-0.0474237631,0.3290643361,-0.0795164588,0.0588872235,-0.1416255637,-0.1650039690,-0.0965031531,-0.1340541364,-0.0281883657,-0.1231214570,0.5428295411,0.3249679328,-0.0182823540,-0.1586266170,-0.1746899596,0.7021943238,-0.0403542754,2.8895452333,0.1459473915,-0.0228575873,2.8935028909,0.1085019058,0.8846151079,-0.0350841924,-0.1184779587,-0.0004546204,0.7783004943,0.1276312532,0.5182028274,0.1586607496,0.1121475685,0.3920221229,-0.0252987838,2.6770744622,-0.0554622218,-0.1383994270,-0.0621204238,1.0606660578,0.7501620996,0.0637978898,0.5123881329,0.0793697259,0.1050073901,0.3641873293,0.1132721341,0.2934588087,-0.0577726082,-0.0357100159,-0.1121824553,-0.0590055577,-0.0516821090,-0.0553203123,-0.1155557907,2.8124719901,BRCA
GSM481006,-0.0540051062,0.1088348876,-0.0457815783,-0.0930764458,0.8516002529,0.6000066001,0.6220273757,-0.1301296197,0.2667393694,3.8182024360,-0.0879177564,0.1643462334,0.1638039517,-0.0637336402,0.0309310308,-0.0414585186,-0.0391702529,-0.1140688804,-0.1115902816,-0.1302992665,-0.1443073794,-0.1003913861,-0.1730805461,0.2460253209,0.5203038976,-0.0594451416,-0.1837447037,-0.1039685674,0.4896877964,-0.1282146232,2.7820571792,0.1962817750,-0.0389164976,2.2386723012,0.4887556362,0.5440719844,-0.0094500684,-0.1282047910,0.0351855483,1.4401814540,-0.0028693923,1.6487421723,1.0691471357,0.6823410161,0.2873042166,0.1641940695,2.7402597070,-0.1095530791,-0.1477345804,-0.0351368830,1.5260582236,0.9559017735,0.2449682452,0.9481664005,0.0402077738,0.0139471233,0.0115854971,0.0384150393,0.2018172313,-0.0897615058,0.1827919615,-0.0683669964,-0.1299533620,-0.1136782347,-0.0892744577,-0.1247078772,2.2044010677,BRCA
GSM481007,-0.0010605997,0.1331269590,0.0183963460,-0.0572355194,0.5690123534,0.9637998496,0.7984659650,-0.1632449288,0.7077321922,3.4181582333,-0.0393462078,0.2002588620,0.4013965693,-0.0085522266,-0.0875779132,-0.0342083122,0.2061604179,0.0009496239,-0.0394665193,-0.1447376906,-0.1059853564,-0.0382484025,-0.1463855922,0.3770796617,0.2407227711,-0.0406304986,-0.0807936243,-0.1745970191,0.4559681396,-0.1216097282,2.2132332134,0.0763704337,0.0230088624,2.7578269243,0.5420827701,0.3267876696,0.0043118942,-0.0076513394,0.0237651202,1.5416547460,-0.0828235949,2.1462288376,0.0249032191,0.9875092680,0.3863173673,1.5858072854,3.1435187460,-0.0479881281,-0.0970773859,0.0026085648,1.6000863114,0.8462615836,0.5646379458,1.3011941914,0.0683618194,0.0638311975,0.1418312368,-0.1005217177,0.2335060854,-0.0678757876,0.1838832336,-0.0893463434,-0.0476985401,0.0006906012,-0.1420604883,-0.1394139307,1.8317994922,BRCA
GSM481008,-0.1096788138,-0.0860556001,0.0135383108,-0.1175224256,0.5402429052,0.0588259541,0.0286161591,-0.2231113640,0.7885261093,2.8084857464,-0.0864305712,0.1799827219,-0.0131002633,-0.1140136234,0.0479678588,-0.0712681292,0.1720886901,-0.0900205340,-0.1829959504,-0.1204742205,-0.1344527091,-0.0526968611,0.8171629807,0.1839679689,-0.0042788248,0.2049258366,-0.1765786447,-0.1245459619,0.1843490397,-0.1023613446,2.4474974322,0.0645382292,0.0342788409,1.5483437291,1.3113724676,1.7804859734,-0.0225707609,-0.1124563417,-0.0028021964,0.5202826657,0.0155857620,2.1209842100,1.8163475924,0.1439199683,0.3685044816,0.5861314064,2.1577272861,-0.1437051381,-0.1406099637,0.0183143989,1.1871084158,0.4199250252,0.0427627876,1.0562807394,0.1101475926,0.0863459260,0.0097733927,0.2468214429,0.3024711091,-0.0778393463,0.0549570068,-0.0987033349,-0.0136270150,-0.0261407105,-0.1014287414,-0.1273354423,1.4251803596,Control
GSM481009,-0.1775545672,-0.0648024938,-0.0831521150,-0.1562503147,0.5333521560,-0.0603935983,0.3842784293,-0.4358481598,0.4930541399,2.8758726865,0.0197437958,-0.0040985722,0.2860152457,-0.0466576202,-0.1922885743,-0.0812437220,-0.1068390806,-0.0627613166,-0.2426962286,-0.1098639981,-0.2159782159,-0.0546535244,-0.1630995682,0.1676587805,0.6006091412,-0.0298514851,-0.2414583511,-0.1652573379,0.2588808322,-0.1630123932,2.0585756833,0.1212170882,-0.0247034786,2.3752598985,0.0801156576,0.2802308113,0.0445180078,-0.2828069031,-0.0922327613,1.3519374330,0.0276458371,0.9000510671,0.2536026579,0.1750825092,0.2730445641,0.0175878518,2.7209667714,-0.1552172712,-0.1205459856,-0.0480901508,1.5579085880,1.0337664189,0.1371996227,0.6725121166,0.0722338649,0.1184365786,0.0234886301,0.2447938071,0.1763097030,-0.0665676064,0.0638915498,-0.1607266552,-0.0821130227,-0.0717951190,-0.1815179397,-0.1074922367,2.4387348175,Control
GSM481010,-0.0339860595,-0.1016995969,-0.0740054093,-0.1162956918,0.7144130823,0.5173808591,0.3918815686,-0.1824565928,0.2349366939,3.6776261330,-0.0611192310,0.0489570901,0.6662855313,-0.0852843152,0.0310692733,-0.0837119310,0.0790899341,-0.0993298349,-0.0716798764,-0.0944624883,-0.0999778244,-0.0886922837,0.0362438238,0.3863489900,0.7839751197,0.0028805460,-0.1341905826,-0.1468129211,0.5321491440,-0.0682744242,2.7471628225,0.1071587820,0.0497176393,0.8593679311,-0.0454186356,0.6129645424,-0.0547676398,-0.0913440479,0.0426389943,1.3907128177,0.0605946119,0.8093370930,0.2311209826,0.8215467735,0.2736909526,0.4620715427,2.9375846386,-0.0223536321,-0.0678413932,-0.1093509761,1.6248332858,0.9075434480,0.1315475052,1.1145762462,0.0610163580,0.0015797720,0.1564859061,0.2075690609,0.1253797744,-0.0432688666,0.0024785350,-0.0479057486,0.0375403180,-0.1021153090,-0.1134602569,-0.1035027482,2.5799589171,Control
GSM481011,-0.0709472844,-0.0383583614,0.0505490041,-0.1143522616,0.6454081595,0.5436690071,0.1401442280,-0.2587490313,0.7345491990,3.0998025535,-0.0398322448,0.1971386693,0.2102956519,0.0229962496,0.3018793699,-0.0467443336,0.0760712976,-0.0030264426,-0.1543174377,-0.0686773083,-0.1072986642,0.0151894431,-0.1196020130,0.4822923734,0.1283814036,0.0705949405,-0.1127771261,-0.1427406774,0.3830843015,-0.1119110086,2.8480850698,0.0993605358,-0.0653526316,2.5009843859,0.1288683159,0.8731570714,0.0015411845,-0.0414521480,0.0296908381,0.7485146323,-0.0277667113,0.9347591630,0.0447868341,0.3008546705,0.1592430550,0.1256905148,2.9404304921,-0.0626981794,-0.1235076798,-0.0040261240,1.1064426047,0.4898777892,0.0214480194,0.4931039812,0.1453046178,0.1071623879,0.1213433188,-0.1352648936,0.0796724945,-0.0384308788,0.0282514988,-0.0435392537,-0.0534243657,-0.0791592961,-0.1346279692,-0.0901307791,1.8822362865,Control
