@relation data

@attribute 1869 numeric
@attribute 7027 numeric
@attribute 4738 numeric
@attribute 1017 numeric
@attribute 1027 numeric
@attribute 5925 numeric
@attribute 6502 numeric
@attribute 6500 numeric
@attribute 8454 numeric
@attribute 9978 numeric
@attribute 9040 numeric
@attribute 1163 numeric
@attribute 898 numeric
@attribute Class {Control,BRCA}

@data
5.763286242,10.489828235,11.7003057265,9.26596478,9.994983337,8.976299993,8.34029139833,8.3326087685,8.851515697,10.96486087,11.97755909,11.44575279,5.7706733955,Control
6.058322584,10.46698639,11.4772135765,8.958604237,9.7467670155,7.958452847,7.753678639,8.2971822775,9.109152314,10.89468537,11.86184501,11.425026115,5.8681879535,BRCA
6.031886566,10.89809876,11.6455532855,9.1433668585,9.760065891,8.409052632,7.893025841,8.6127798505,8.792189283,11.00293473,11.91354778,11.75554025,6.213232041,BRCA
5.460424154,10.14224707,11.2208244425,7.7178678995,9.344181055,6.610216975,7.88025638267,8.522296209,9.609927196,11.11718547,12.10963326,11.53758354,5.99736739975,Control
6.053008806,10.17761519,11.196522222,9.123941273,10.049946495,8.022008655,7.56329023367,8.478964386,9.330659861,11.46239505,11.93079102,11.770218125,6.29992863125,BRCA
5.770572224,10.807258755,10.211765504,9.3759597995,9.5007422985,9.286795183,7.44991218067,8.648627771,9.684319572,10.11198692,11.54630621,10.809279835,5.7160804985,BRCA
6.146803484,10.526885685,10.9445225175,7.9728052855,9.015559992,8.555107826,8.50044386867,8.47178547,8.84970309,11.10530635,12.22616388,10.93470576,6.32124444525,BRCA
5.920180882,10.77234512,11.8756392,9.321425499,10.6232973005,9.023671978,7.73968605067,8.7601337405,8.496295686,11.15845524,12.02968073,11.698293945,5.7012189585,Control
5.598879718,10.885151175,10.8024201905,9.1526830635,10.059640231,8.717951507,8.04826253967,8.403286026,9.363686411,11.16113206,11.98561971,11.638889645,6.42728370275,BRCA
5.672857555,9.9169571465,11.4045939385,8.766958367,9.9202580165,7.473200667,7.581904447,8.7247164775,9.078305028,11.1379023,12.19951141,11.236168595,5.859119673,BRCA
6.357820835,9.794661619,11.7712279615,8.5614408535,10.1640382545,6.142419181,7.51931651067,8.5155267275,9.395936323,11.01901053,12.11445497,11.482315215,6.179762227,BRCA
5.853877943,10.79646675,11.109442109,8.893995041,10.0441681905,9.062316786,7.925245959,8.653065744,9.151207569,11.44340995,11.81753744,11.617053365,6.16318161475,Control
5.687208569,10.63857576,11.6694658965,9.195934583,9.813364775,8.997758931,7.91175728367,8.538210579,9.271043421,10.8843253,12.06323168,11.63772336,5.667146432,Control
6.099827094,11.152632775,11.7364248125,9.7479615385,8.716991196,9.187897079,7.741317719,8.7809175425,9.785984134,9.547965054,12.00748646,11.348847155,6.11855449125,BRCA
5.927310565,11.52254988,10.835045592,9.3160147545,8.4863279555,9.308988054,7.72902749733,8.470445127,9.682152382,8.9294146,11.86842336,11.03852621,6.4922561955,BRCA
6.0664182,10.877554945,11.482868197,9.532128788,8.9933055285,8.652093075,8.02748141367,8.661565791,9.669098149,9.70200863,12.19541382,11.77835496,6.27371824275,BRCA
6.240701309,11.10197649,11.6213474365,9.817272827,8.896381156,8.567082519,8.148936998,8.8643007825,9.695411499,9.439930137,11.976813,11.530983475,6.19627768275,BRCA
6.12918576,11.244230505,11.459786262,9.1966010805,8.753016755,8.774162024,8.09955012733,8.5207602765,9.77763387,10.07000053,12.15837941,11.965210965,6.47813675725,BRCA
6.065072081,11.353999045,11.607376317,9.742178486,9.089847459,8.989423683,8.09530966367,8.6142271055,9.547357825,9.702554146,12.19128143,11.64494628,6.1333137935,BRCA
5.901899413,10.4543565965,12.65283065,9.453635543,8.921795507,9.119292054,7.73442736867,8.737638612,10.54330281,7.250253703,13.37610779,12.24510448,5.9634582625,BRCA
