@relation data

@attribute id string
@attribute 1081 numeric
@attribute 2488 numeric
@attribute 2492 numeric
@attribute 2798 numeric
@attribute 3972 numeric
@attribute 3973 numeric
@attribute 7252 numeric
@attribute 7253 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,-0.1434850633,-0.1043151839,-0.1230961437,-0.1029105678,-0.1640382136,-0.1447723066,-0.0125411340,-0.1267585891,BRCA
GSM480985,-0.1042820176,-0.1296455524,-0.0556744324,-0.1128852048,-0.1274636294,-0.1031883439,-0.0827654912,-0.1035125735,BRCA
GSM480986,-0.1055345169,-0.0794397704,-0.1473217906,-0.0981416926,-0.0445785416,-0.1665534705,-0.1172388479,-0.1177008505,BRCA
GSM480987,-0.0277956750,-0.0880560033,-0.1187588410,-0.0789527817,-0.1012990114,-0.1705112861,-0.1127715625,-0.0490986898,BRCA
GSM480988,-0.0943072840,-0.0657663360,-0.1342974594,-0.0989957088,-0.0592949161,-0.0642064656,0.0112772534,-0.1355067287,BRCA
GSM480989,-0.1766031547,-0.1344142110,-0.1183528796,-0.1154122444,-0.2346195910,-0.1620946396,0.0258769820,-0.2014454178,BRCA
GSM480990,-0.1825207448,-0.1063128236,-0.0700342306,-0.0881275130,-0.1132930453,-0.1435722977,0.0306857960,-0.1303134360,Control
GSM480991,-0.1340164009,-0.1106001484,-0.1122100215,-0.0901950746,-0.1787582317,-0.1759016259,-0.0557563593,-0.1027052605,Control
GSM480992,-0.1276378398,-0.1437892863,-0.1053508938,-0.0475628227,-0.1210096584,-0.2017273670,-0.0419012159,-0.1629451871,Control
GSM480993,-0.1552988416,-0.1000100273,-0.0908415168,-0.1021119428,-0.1105362216,-0.1210516016,-0.0578612518,-0.1346510870,Control
GSM480994,-0.0570379691,-0.1869290586,-0.1074291568,-0.1446744879,-0.1553802903,-0.1616346709,-0.0406401129,-0.1914754447,Control
GSM480995,-0.1309788931,-0.0912440905,-0.0618439186,-0.1330049313,-0.0816348536,-0.0836302599,-0.0605974568,-0.1407609231,Control
GSM480996,-0.1198349241,-0.0733294596,-0.1053591811,-0.0924753820,-0.1460896817,-0.1745078625,-0.0469615487,-0.1445026027,BRCA
GSM480997,-0.1671541511,-0.1656643566,-0.1511221734,-0.1764750432,-0.1718009711,-0.1969436132,0.0009314984,-0.1816725383,BRCA
GSM480998,-0.1339021899,-0.0743365440,-0.0177641531,-0.1023498065,-0.0120835636,-0.1865740265,-0.0520825398,-0.1438408053,BRCA
GSM480999,-0.1043795518,-0.0817688865,-0.1049206004,-0.1248198236,-0.1662053689,-0.1093253170,-0.0052060054,-0.1005449557,BRCA
GSM481000,-0.0245277017,-0.0370170145,-0.1639904823,-0.0954217251,-0.0742095601,-0.1219363773,-0.0643772877,-0.0260730340,BRCA
GSM481001,-0.1651508446,-0.0928187382,-0.0870578722,-0.0819745076,-0.0482593489,-0.1556167030,-0.0294369355,-0.1835684900,BRCA
