@relation data

@attribute 3155 numeric
@attribute 3157 numeric
@attribute 3158 numeric
@attribute 38 numeric
@attribute 39 numeric
@attribute 5019 numeric
@attribute 56898 numeric
@attribute 622 numeric
@attribute 64064 numeric
@attribute Class {Control,BRCA}

@data
8.814022522,10.69826214,10.79412363,12.56790862,7.4409698455,9.350597316,5.264922245,5.827880624,7.130367529,Control
8.919117419,11.01352875,9.552203712,11.5155078,7.4912144285,8.151373203,5.652207716,6.136042955,6.559878457,BRCA
8.773107158,10.85568242,9.624613223,11.2456925,7.952710478,8.598444418,5.760494586,6.60006196167,7.338293201,BRCA
9.092513451,11.07134187,6.784638526,10.95576997,7.155509218,8.063854951,5.68566776,6.62498816267,7.373955101,Control
9.223652493,11.31960737,7.066899469,11.70867451,7.6718899015,8.84381204,5.527485802,6.11935666033,6.796367788,BRCA
8.111397999,11.22269547,11.42163372,11.82101269,7.6679207005,9.347389459,6.287532897,6.02265436267,6.341812891,BRCA
9.714864166,11.89182747,8.128885094,9.665780528,6.883110591,6.279290785,5.129706745,5.625126696,8.529080209,BRCA
8.933566092,10.29905948,10.1173058,12.03524768,7.485282547,9.102153617,6.040898593,6.12641187367,7.30417133,Control
8.749183209,11.03059147,10.9447818,11.89363345,7.811400851,9.271183522,5.872096916,6.58360932367,7.304787373,BRCA
9.263739335,11.17659722,10.99053322,12.05089371,7.4221075335,9.06822146,5.096358059,5.986385383,6.846058,BRCA
9.384881469,10.9364578,9.112401142,12.21001994,7.1883466315,9.212168732,5.424427713,6.182404817,7.084917648,BRCA
9.029729718,11.81615379,14.01689273,12.14617574,8.216740629,9.089226098,6.162699096,6.09015213767,6.926862656,Control
8.988642886,10.56172258,10.09739389,12.66642048,7.463376154,9.496140303,5.914690831,6.20509816733,7.143692193,Control
8.427963455,10.49565048,12.5506675,11.55629063,7.179789303,8.218395073,5.317422789,6.30917175833,7.070392347,BRCA
8.62826428,11.52882293,10.40733977,11.6604752,7.4573617275,8.680193463,5.275203811,6.53290058367,7.678056275,BRCA
8.54156239,10.83188538,12.72067933,11.70232867,7.8301635795,8.278683064,5.056595719,6.57581568833,7.309092323,BRCA
8.871474925,10.63612184,13.03513077,11.43055462,7.884182657,7.81672949,5.307438771,6.822992001,7.062966591,BRCA
8.682653285,10.91513826,12.62053951,11.90810746,7.5834057285,8.691945103,5.317422789,6.418684891,8.082789228,BRCA
8.718910517,10.44466839,13.75148289,11.70381504,7.686434417,8.242246557,5.517599514,6.85000011533,6.912743039,BRCA
8.842940443,11.47029296,6.966133735,11.43506351,7.519361883,7.638474153,5.002940155,5.872853336,7.862639101,BRCA
