@relation data

@attribute id string
@attribute 10189 numeric
@attribute 10250 numeric
@attribute 10482 numeric
@attribute 10762 numeric
@attribute 11097 numeric
@attribute 11338 numeric
@attribute 129401 numeric
@attribute 1977 numeric
@attribute 22916 numeric
@attribute 23165 numeric
@attribute 23225 numeric
@attribute 23279 numeric
@attribute 23511 numeric
@attribute 348995 numeric
@attribute 4116 numeric
@attribute 4686 numeric
@attribute 4799 numeric
@attribute 4927 numeric
@attribute 4928 numeric
@attribute 51362 numeric
@attribute 53371 numeric
@attribute 55746 numeric
@attribute 57122 numeric
@attribute 5903 numeric
@attribute 6426 numeric
@attribute 6427 numeric
@attribute 6428 numeric
@attribute 6429 numeric
@attribute 6430 numeric
@attribute 6431 numeric
@attribute 6432 numeric
@attribute 65109 numeric
@attribute 7175 numeric
@attribute 7307 numeric
@attribute 79023 numeric
@attribute 79902 numeric
@attribute 8021 numeric
@attribute 8086 numeric
@attribute 81929 numeric
@attribute 8480 numeric
@attribute 8683 numeric
@attribute 9295 numeric
@attribute 9631 numeric
@attribute 9688 numeric
@attribute 9785 numeric
@attribute 9818 numeric
@attribute 9939 numeric
@attribute 9972 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,-0.0691053609,2.1681823783,0.8919938737,0.0018930597,0.2453626714,0.3695851408,-0.0775591922,0.3262102189,1.0373011971,0.3104056784,0.0519376107,0.1384670770,0.2211727768,0.5767943208,0.7007056799,0.1068485583,0.1926235092,0.6820671678,0.3125712879,0.3468626249,-0.0339252690,0.3737349715,0.8547325549,0.3124705661,1.4784801758,2.3190807279,0.9733185612,0.3865316956,1.3416862993,1.6944788505,0.6963510195,0.4166210344,0.1577045299,0.2084289877,0.3980620734,1.0081349392,0.1652350042,0.3771912565,1.1535524035,1.1446958793,2.5678223967,0.9711980230,0.4755505342,1.5738680576,0.2502273962,0.4582380055,0.0680761012,0.1802095642,BRCA
GSM481003,-0.0253182346,2.5195607544,1.2407564388,-0.0260361721,0.2314846152,0.4528488815,0.0298673271,0.3141217654,1.0096748571,0.1241115945,0.1312585606,0.1675909839,0.2753513101,0.6923416143,0.5865252294,0.1005977716,0.1098324762,0.4465576321,0.2907777714,0.0524696277,0.0247871252,0.2892054475,0.4716712923,0.1892910675,1.4753175675,2.4036977185,0.8561111836,0.2157254831,1.0989287590,1.4380235594,0.5505576841,0.6731371601,0.1194375491,0.0631569126,0.1154354929,1.2079776414,0.2478639937,0.3921301849,1.1410946884,1.4155990299,2.5338233512,0.7247619758,0.3016724010,2.0305808570,0.3156702950,0.3507120458,0.0854397345,0.0933844653,BRCA
GSM481004,-0.1442091483,2.2144345089,1.1027854483,0.1345857253,0.2098067165,0.4040109540,-0.0359781916,0.1372993612,1.0246215303,0.3664005813,-0.0078864293,0.1549531093,0.2811552281,0.8473779138,0.6946042993,0.1649254847,0.2361822424,0.6545934550,0.5298544326,0.1320333723,0.1022958550,0.3552356291,0.6956193051,0.2122257086,1.4993902982,2.1588361685,0.5997063398,0.2295430986,0.9689383405,1.4855710909,0.5555313906,0.4340115516,-0.0029262668,0.1359925068,0.4025368357,1.3182600141,0.3112648595,0.3416733871,1.2219297906,1.5605042421,2.1918783188,0.5119394995,0.5573211684,1.7963505046,0.3453680476,0.2996374663,0.0803506085,0.0968368784,BRCA
GSM481005,-0.0468433468,2.3728546180,1.1094628770,0.1491940584,0.3333268101,0.4362796585,-0.0127271021,0.6032439420,1.2153531407,0.3880956417,0.0250426239,0.1346355884,0.2040076268,0.6577628967,0.6577546543,0.1130938942,0.0736242673,0.5833258600,0.3254996739,0.4205250702,0.0409902284,0.3125101426,1.0735443930,0.5899638482,1.4095248038,2.3452316664,1.0282482820,0.3730256947,1.3238776285,1.6661459296,0.6095103803,0.7651773086,0.1922588330,0.0620059884,0.3802470319,0.9819903859,0.1630092792,0.2863199179,1.2780295779,1.1863462975,2.4123151502,1.1534348920,0.3772281707,1.5034608244,0.2283699544,0.7749469727,0.0066198921,0.1342989447,BRCA
GSM481006,0.4230375689,2.5110739914,0.9379266312,0.1276576724,0.2488741382,0.5362404877,0.0153172015,0.4558320585,1.2330643007,0.1563682464,0.0744404889,0.2327656277,0.2210308273,0.3652142564,0.8038135551,0.1783356244,0.1475543399,0.5434137196,0.3144062233,0.2569722161,0.0944936380,0.2015747012,1.0967799224,0.3547129525,1.4284482951,2.5175843345,0.9975525292,0.4575363824,1.5019727439,1.7480901119,0.7234830436,0.7057102702,0.2781430036,0.1546943626,0.3161796672,0.9702868724,0.1676189649,0.2859799657,1.1185523376,1.1852607083,3.1246594192,0.9116106446,0.2835461546,1.8670075834,0.5135702871,0.5258814402,0.0230903994,0.1531241002,BRCA
GSM481007,0.1623663035,2.4698392707,1.1747976144,0.0082440271,0.2773561644,0.5322552802,-0.0061215265,0.1246853065,0.6055114323,0.0396358199,0.1528117229,0.1645224478,0.1706432577,0.3857170172,0.8706902445,0.0551729373,0.0226076456,0.2229360227,0.1782463646,0.4219846185,0.0581478927,0.1839666751,0.8677675923,0.3320468095,1.3354572439,2.5431630612,0.6588604643,0.1362342007,1.0647066104,1.0124593559,0.3544302837,0.7903427651,0.2248136396,-0.0023306366,0.1992705908,0.7964667910,0.1834987267,0.2874975976,1.3021401146,1.2252458061,2.8802151282,0.7610879723,0.0099705514,1.5252969334,0.3789406850,0.2204561001,0.0135610768,0.2688767351,BRCA
GSM481008,0.1262025521,2.4953933486,1.5568083128,0.2097220591,0.1868211495,0.6880615068,0.2057568799,0.4269127093,0.9540503333,0.6728425020,-0.0228834745,0.4014800186,0.4291612767,0.8038552519,0.8943132312,0.4425875269,0.1840349226,1.1071911783,0.4331088550,0.1099073400,0.2588191346,0.3709342704,1.4243605868,0.4999649943,1.7172652046,2.6804403838,0.9351165438,0.3569118761,1.0272567935,1.8660513505,0.6558467086,1.1289051437,0.5044573573,0.1217955107,0.4246837776,1.6154887751,0.3510342627,0.6010788774,1.3258373943,1.6897705296,2.3662276268,0.9074257014,0.8269818539,1.9119616150,0.2583947877,0.5747495766,-0.0000289649,0.3739857349,Control
GSM481009,-0.1590116615,2.4700890461,0.6821481570,-0.1463721341,0.1119150442,0.2246791588,0.1141745486,0.2450311447,0.8596650853,0.0157022542,-0.0285091244,0.1628841432,0.1076403532,0.5057058191,0.5061680235,0.1067313193,0.1501262300,0.3087127327,0.0572444400,0.1982475371,0.0858690533,0.2618593107,0.7845914347,0.3245984261,1.3742297214,2.3355514135,0.8878175847,0.2178569052,1.2709521481,1.4856148720,0.3751002557,0.8031696115,0.1132563498,-0.0076648970,0.3102166301,0.5533976414,0.1373806377,-0.0454013486,1.0698948772,1.1046310538,2.1725297768,0.8547261768,0.2582390422,1.1551117599,0.1227846844,0.3159651547,-0.1097762479,0.0165883431,Control
GSM481010,0.0649166519,2.2768309840,0.7934444283,0.2294390604,0.1855504602,0.3558978959,0.1735209360,0.6958391050,1.2347107639,0.5641429838,0.0437281734,0.3200672193,0.2145545918,0.7201126181,0.7004111218,0.3337012409,0.1460885780,1.0024311781,0.4416386575,0.3978421016,0.2161256645,0.4174801490,1.3123569986,0.4754389038,1.4025268872,2.2834570443,1.2162039799,0.3371837019,1.2114879707,1.8824565069,0.8588459837,0.4199728761,0.2844833170,0.2466053816,0.4600413088,0.9823486151,0.1518353733,0.2541308115,1.4160150973,1.4912791293,2.6005667847,0.9075671798,0.6877990997,1.6980610449,0.2490248987,0.9463912479,0.1227407649,0.2106427483,Control
GSM481011,0.1237177973,2.1620018246,0.8742390108,-0.0238003629,0.1779214005,0.5476563195,0.0733985208,0.3554290061,0.7105927217,0.0321641918,0.0003258741,0.0594786794,0.2347091185,0.5883815534,0.7834670788,0.1074369706,0.0993289581,0.2753522399,0.1215346543,-0.0215507355,0.0104496072,0.1841442517,0.4984967014,0.2394045292,1.5019745964,2.5557495425,0.8068735233,0.1420832007,0.9796144890,1.1677079415,0.5072746012,0.6275396393,0.0731099842,0.0468691642,0.3440961864,0.9271272570,0.1360594081,0.4359849849,1.1711954852,0.9173884434,2.6921359302,0.7776358082,0.0725862017,1.6439583983,0.2665739353,0.3571961741,-0.0639266614,0.0655481136,Control
