@relation data

@attribute 151306 numeric
@attribute 6349 numeric
@attribute 6347 numeric
@attribute 59345 numeric
@attribute 6348 numeric
@attribute 6870 numeric
@attribute 155 numeric
@attribute 154 numeric
@attribute 59340 numeric
@attribute 152 numeric
@attribute 6352 numeric
@attribute 153 numeric
@attribute 150 numeric
@attribute 5368 numeric
@attribute 6351 numeric
@attribute 6869 numeric
@attribute 8321 numeric
@attribute 151 numeric
@attribute 8322 numeric
@attribute 8323 numeric
@attribute 6356 numeric
@attribute 6866 numeric
@attribute 80834 numeric
@attribute 8324 numeric
@attribute 8325 numeric
@attribute 80835 numeric
@attribute 6865 numeric
@attribute 8326 numeric
@attribute 6354 numeric
@attribute 2852 numeric
@attribute 7484 numeric
@attribute 7483 numeric
@attribute 222545 numeric
@attribute 8111 numeric
@attribute 7482 numeric
@attribute 7481 numeric
@attribute 7480 numeric
@attribute 6361 numeric
@attribute 6364 numeric
@attribute 6363 numeric
@attribute 59350 numeric
@attribute 6366 numeric
@attribute 6368 numeric
@attribute 6367 numeric
@attribute 2846 numeric
@attribute 1812 numeric
@attribute 7200 numeric
@attribute 1813 numeric
@attribute 1814 numeric
@attribute 1815 numeric
@attribute 2841 numeric
@attribute 1816 numeric
@attribute 2840 numeric
@attribute 6360 numeric
@attribute 7201 numeric
@attribute 6752 numeric
@attribute 8862 numeric
@attribute 6753 numeric
@attribute 6750 numeric
@attribute 6469 numeric
@attribute 6751 numeric
@attribute 728 numeric
@attribute 2837 numeric
@attribute 6376 numeric
@attribute 727 numeric
@attribute 623 numeric
@attribute 6375 numeric
@attribute 6374 numeric
@attribute 6373 numeric
@attribute 6372 numeric
@attribute 6370 numeric
@attribute 624 numeric
@attribute 2832 numeric
@attribute 2831 numeric
@attribute 2834 numeric
@attribute 2833 numeric
@attribute 10886 numeric
@attribute 319100 numeric
@attribute 187 numeric
@attribute 23620 numeric
@attribute 10887 numeric
@attribute 128674 numeric
@attribute 51384 numeric
@attribute 2826 numeric
@attribute 6387 numeric
@attribute 719 numeric
@attribute 718 numeric
@attribute 183 numeric
@attribute 2829 numeric
@attribute 185 numeric
@attribute 2828 numeric
@attribute 186 numeric
@attribute 611 numeric
@attribute 6755 numeric
@attribute 6754 numeric
@attribute 51289 numeric
@attribute 116 numeric
@attribute 117 numeric
@attribute 10850 numeric
@attribute 846 numeric
@attribute 8843 numeric
@attribute 7253 numeric
@attribute 7252 numeric
@attribute 94233 numeric
@attribute 8643 numeric
@attribute 94235 numeric
@attribute 165140 numeric
@attribute 50865 numeric
@attribute 301 numeric
@attribute 117579 numeric
@attribute 10663 numeric
@attribute 134 numeric
@attribute 135 numeric
@attribute 7471 numeric
@attribute 133 numeric
@attribute 136 numeric
@attribute 7476 numeric
@attribute 7477 numeric
@attribute 7478 numeric
@attribute 3360 numeric
@attribute 7479 numeric
@attribute 3361 numeric
@attribute 7472 numeric
@attribute 3362 numeric
@attribute 7473 numeric
@attribute 3363 numeric
@attribute 7474 numeric
@attribute 7475 numeric
@attribute 8620 numeric
@attribute 3356 numeric
@attribute 8484 numeric
@attribute 3355 numeric
@attribute 4987 numeric
@attribute 3358 numeric
@attribute 4988 numeric
@attribute 3357 numeric
@attribute 8811 numeric
@attribute 4985 numeric
@attribute 4986 numeric
@attribute 554 numeric
@attribute 29933 numeric
@attribute 552 numeric
@attribute 553 numeric
@attribute 551 numeric
@attribute 3274 numeric
@attribute 146 numeric
@attribute 147 numeric
@attribute 148 numeric
@attribute 50846 numeric
@attribute 23566 numeric
@attribute 3375 numeric
@attribute 2862 numeric
@attribute 2867 numeric
@attribute 2864 numeric
@attribute 8477 numeric
@attribute 2865 numeric
@attribute 140 numeric
@attribute 3269 numeric
@attribute 2149 numeric
@attribute 2642 numeric
@attribute 2641 numeric
@attribute 6019 numeric
@attribute 338557 numeric
@attribute 2740 numeric
@attribute 9340 numeric
@attribute 10692 numeric
@attribute 1524 numeric
@attribute 885 numeric
@attribute 886 numeric
@attribute 2150 numeric
@attribute 887 numeric
@attribute 2151 numeric
@attribute 4923 numeric
@attribute 4828 numeric
@attribute 4829 numeric
@attribute 4922 numeric
@attribute 10161 numeric
@attribute 114814 numeric
@attribute 2652 numeric
@attribute 4295 numeric
@attribute 339403 numeric
@attribute 3352 numeric
@attribute 3351 numeric
@attribute 3354 numeric
@attribute 3549 numeric
@attribute 3350 numeric
@attribute 6010 numeric
@attribute 83756 numeric
@attribute 83551 numeric
@attribute 799 numeric
@attribute 10681 numeric
@attribute 797 numeric
@attribute 2778 numeric
@attribute 796 numeric
@attribute 9568 numeric
@attribute 9038 numeric
@attribute 2782 numeric
@attribute 9170 numeric
@attribute 2914 numeric
@attribute 9287 numeric
@attribute 2915 numeric
@attribute 2912 numeric
@attribute 2913 numeric
@attribute 3640 numeric
@attribute 2918 numeric
@attribute 2919 numeric
@attribute 2916 numeric
@attribute 60675 numeric
@attribute 2917 numeric
@attribute 11255 numeric
@attribute 643 numeric
@attribute 2911 numeric
@attribute 9002 numeric
@attribute 3579 numeric
@attribute 11251 numeric
@attribute 3577 numeric
@attribute 3576 numeric
@attribute 9290 numeric
@attribute 9294 numeric
@attribute 58191 numeric
@attribute 338442 numeric
@attribute 53829 numeric
@attribute 6846 numeric
@attribute 387129 numeric
@attribute 9934 numeric
@attribute 2925 numeric
@attribute 2920 numeric
@attribute 2921 numeric
@attribute 2922 numeric
@attribute 3060 numeric
@attribute 6863 numeric
@attribute 79924 numeric
@attribute 347148 numeric
@attribute 2535 numeric
@attribute 6915 numeric
@attribute 3061 numeric
@attribute 3062 numeric
@attribute 2532 numeric
@attribute 5737 numeric
@attribute 5732 numeric
@attribute 5731 numeric
@attribute 5734 numeric
@attribute 5733 numeric
@attribute 10203 numeric
@attribute 5739 numeric
@attribute 51083 numeric
@attribute 5741 numeric
@attribute 5746 numeric
@attribute 5745 numeric
@attribute 5744 numeric
@attribute 4889 numeric
@attribute 1082 numeric
@attribute 1081 numeric
@attribute 4886 numeric
@attribute 4887 numeric
@attribute 6608 numeric
@attribute 51764 numeric
@attribute 221391 numeric
@attribute 2587 numeric
@attribute 113091 numeric
@attribute 3627 numeric
@attribute 84432 numeric
@attribute 4852 numeric
@attribute 3827 numeric
@attribute 7852 numeric
@attribute 4157 numeric
@attribute 4159 numeric
@attribute 53637 numeric
@attribute 4158 numeric
@attribute 89780 numeric
@attribute 3814 numeric
@attribute 7976 numeric
@attribute 4543 numeric
@attribute 4544 numeric
@attribute 4160 numeric
@attribute 54361 numeric
@attribute 80326 numeric
@attribute 4161 numeric
@attribute 256933 numeric
@attribute 51554 numeric
@attribute 10268 numeric
@attribute 2359 numeric
@attribute 10267 numeric
@attribute 2358 numeric
@attribute 10266 numeric
@attribute 2357 numeric
@attribute 10563 numeric
@attribute 2695 numeric
@attribute 2696 numeric
@attribute 11211 numeric
@attribute 7855 numeric
@attribute 2550 numeric
@attribute 5729 numeric
@attribute 2488 numeric
@attribute 2692 numeric
@attribute 2691 numeric
@attribute 5727 numeric
@attribute 5724 numeric
@attribute 3972 numeric
@attribute 4283 numeric
@attribute 3973 numeric
@attribute 2492 numeric
@attribute 64805 numeric
@attribute 27334 numeric
@attribute 1395 numeric
@attribute 5021 numeric
@attribute 5539 numeric
@attribute 1394 numeric
@attribute 5020 numeric
@attribute 1392 numeric
@attribute 5540 numeric
@attribute 414062 numeric
@attribute 134864 numeric
@attribute 5443 numeric
@attribute 134860 numeric
@attribute 5179 numeric
@attribute 5173 numeric
@attribute 5030 numeric
@attribute 1901 numeric
@attribute 5031 numeric
@attribute 1902 numeric
@attribute 5032 numeric
@attribute 1903 numeric
@attribute 122042 numeric
@attribute 1906 numeric
@attribute 1907 numeric
@attribute 1909 numeric
@attribute 5028 numeric
@attribute 1908 numeric
@attribute 5029 numeric
@attribute 10911 numeric
@attribute 1910 numeric
@attribute 2788 numeric
@attribute 2787 numeric
@attribute 2784 numeric
@attribute 1128 numeric
@attribute 2783 numeric
@attribute 1129 numeric
@attribute 2786 numeric
@attribute 2785 numeric
@attribute 2790 numeric
@attribute 2791 numeric
@attribute 2792 numeric
@attribute 2793 numeric
@attribute 1132 numeric
@attribute 1131 numeric
@attribute 54331 numeric
@attribute 56413 numeric
@attribute 10803 numeric
@attribute 1269 numeric
@attribute 1268 numeric
@attribute 10800 numeric
@attribute 2798 numeric
@attribute 7434 numeric
@attribute 7433 numeric
@attribute 10022 numeric
@attribute 7432 numeric
@attribute 5956 numeric
@attribute 23596 numeric
@attribute 84109 numeric
@attribute 84634 numeric
@attribute 56477 numeric
@attribute 1133 numeric
@attribute 51052 numeric
@attribute 5697 numeric
@attribute 1241 numeric
@attribute 1232 numeric
@attribute 1233 numeric
@attribute 1234 numeric
@attribute 1235 numeric
@attribute 1236 numeric
@attribute 1237 numeric
@attribute 286530 numeric
@attribute 1238 numeric
@attribute 8698 numeric
@attribute 1230 numeric
@attribute 6343 numeric
@attribute 6344 numeric
@attribute 55970 numeric
@attribute 64106 numeric
@attribute 5196 numeric
@attribute 257313 numeric
@attribute 5995 numeric
@attribute 57105 numeric
@attribute 5473 numeric
@attribute 57007 numeric
@attribute Class {Control,BRCA}

@data
9.028236261,7.0610909745,12.18459653,7.4230773135,8.622089465,6.274453285,5.88497103,11.54446475,5.83390919,5.802224334,10.4288009025,5.706262025,9.182165345,5.851756067,4.821724589,5.576016972,8.4127934705,6.3034206,12.92825655,6.628121512,4.757305356,5.61077132433,5.2366989675,9.781251189,8.129954133,5.0879954165,6.173532859,7.522230622,4.894103816,9.459904022,5.361953639,6.21830228,5.811991941,6.967863512,6.293385,8.050720878,5.568040657,5.110416751,5.586773185,7.992939929,5.182504847,9.877284565,7.3879150175,6.929202549,6.41625338,5.382244661,6.173532859,5.47828977267,5.55453898867,5.838895843,5.561487483,5.346435058,5.085564076,5.720012484,5.57257291,8.897392558,6.291083766,5.657219288,4.936651187,5.768456458,5.635961198,8.537326283,5.6227922,12.35457868,9.118734206,6.499212576,4.580969174,5.468633137,5.5420617535,5.6713301575,5.3759441485,6.38362276,5.949774924,5.006535067,4.436037191,5.673281687,5.44454873933,5.06588596,10.62124171,4.98999436733,4.850263431,4.997982479,6.0174776375,7.084439364,12.2081083467,7.81161733,9.984080577,6.811827823,5.49382042267,9.5608717535,8.829802894,6.201247285,5.561487483,5.386389566,5.443947436,5.763286242,6.732544377,5.023267828,4.585033079,5.2209212,6.683711696,5.26735173775,5.28356184,4.7430825485,5.127232159,5.641987591,5.961629839,11.07439256,13.93264756,4.678374372,5.751685476,6.754822953,7.131191071,5.105815554,13.85986526,8.611947979,5.461406798,5.96163024,5.1257211795,5.517744806,4.195262102,4.927435762,6.801873633,6.037717843,7.070982613,5.7408122665,6.978971021,6.035630095,5.174537499,9.720655169,4.5085765075,5.485757876,6.157293291,5.044843524,5.33752469283,6.832577159,5.851756067,5.865059701,5.529517425,5.616777635,5.68566776,4.736079505,5.84925574,7.2333494695,5.428620839,6.314610999,8.65664038,5.8613367554,6.3034206,6.287348197,5.492342928,5.06588596,6.897425365,6.158968739,6.242050014,6.510016917,7.638430831,6.468262051,11.7906038575,5.023267828,5.006535067,5.8211491815,7.488123572,5.651059765,4.75276401,5.405661632,8.446105931,5.342529189,5.739045575,7.656660937,5.398154738,5.7820869215,5.162704759,10.83762027,5.826174259,7.502423792,11.07588374,5.63902319,5.0412338635,5.4871584025,5.014814152,5.821079567,5.011016147,6.576601968,4.889243844,5.144465785,5.316518,5.113299864,5.516024013,6.502239591,6.888464479,5.291135005,8.533866741,5.72117192133,5.564691589,5.73309076,13.02719506,8.147587971,5.800130634,5.040904755,5.631985502,6.411176756,5.5025914675,5.386389566,5.651059765,5.936880085,4.967873236,5.390436614,5.468209953,5.110416751,5.700154583,5.2209212,6.5856284605,6.07393334,5.48205062,5.478900032,9.6189422155,5.349976695,5.178526673,11.53391627,7.599952116,6.949331086,4.721115721,6.317438054,5.48434512433,5.756576203,10.85788793,4.572527102,8.390969499,5.342529189,6.03912587133,7.699071153,4.972246049,8.156868221,5.45627725533,5.155031965,5.745513828,13.00646289,6.3744538305,7.972923979,5.763286242,10.59454415,6.41951729863,8.742226161,5.890331925,6.68951277,4.9682478005,8.593784309,9.900180431,8.788718287,6.545209279,6.32067026,6.069052954,5.127232159,5.703219255,7.53572469,5.232287804,5.220728929,5.300042502,5.386389566,6.82947262,5.48205062,5.069542407,5.6227922,8.430868108,7.383922678,4.716458988,6.451380618,4.602195245,5.019047182,5.358089615,8.286605263,4.858492381,5.700724934,4.967873236,6.536989745,6.221109164,5.186273979,5.873451033,5.68651641375,10.083847385,7.765851503,6.2950853,5.475077151,8.925557862,8.114030058,5.938998052,5.629364816,5.539477758,6.106961344,7.552824933,6.97630176433,6.168309021,5.3661768805,4.86535052567,5.276321016,7.71697568,7.055502416,5.089382945,7.067383603,7.409181146,5.115190043,8.180905107,5.8574464235,4.958159726,12.08048622,4.958159726,6.2726735215,7.531773518,6.312388929,5.235163396,8.933556532,5.794307507,6.17142705,5.151586144,7.153301533,6.173532859,5.443947436,10.17277787,6.29669669967,8.8062482985,7.650533241,8.62122874,5.011016147,11.64198185,5.398154738,9.788408852,5.40889121,8.1762700465,5.810229242,5.6589177895,7.2130622655,8.735353884,8.440434347,5.893611729,6.201247285,8.698011038,5.09578687625,5.516024013,5.692518737,9.885094283,12.98372673,5.028139516,6.38362276,5.110416751,6.499212576,9.177283189,6.033979735,5.3405893605,5.906055544,7.285543533,7.519559841,4.292340303,7.190568257,10.44381412,5.485757876,6.929158006,5.061788345,7.085198317,4.726575091,5.431465218,9.029612527,5.37209128,5.6227922,4.526932284,7.720554015,5.277926499,5.006535067,5.0969811815,8.95139510833,6.487080811,4.866921886,7.450842404,9.458448204,6.904728314,7.038263662,5.836309985,6.089906589,10.1038422,5.019047182,4.92268697,5.315596207,5.770759606,5.571078532,5.291135005,12.31320772,Control
7.6543092655,5.770566691,11.20148395,8.3643319965,5.965329042,5.714802736,5.301232095,9.806066679,5.250024776,5.920184986,12.30387242,5.908699592,8.701446067,5.36458228,4.502465777,5.66002483167,7.970974812,6.586994086,11.95883643,6.469157955,5.456322582,5.55569459167,4.9243011055,9.9445751115,8.674016666,5.394009725,5.380600673,7.524935635,4.828595108,8.62321595067,4.998208198,5.703911357,6.107327595,7.825469439,6.3775425145,6.954781196,5.853378958,5.085988894,5.911818141,9.35965136,4.98710623,11.19524625,7.0950908795,7.242581369,7.101637274,5.143343669,5.176333993,5.199514029,5.61220604467,7.388278077,5.59268968,5.62600922,5.980831476,5.902442197,5.5734797425,10.2159337,7.264726713,5.553829893,4.632736581,5.61353994,5.603469779,5.779267108,5.331285345,12.78740681,9.091660914,6.134842767,5.109867615,5.2529840945,5.464839519,5.9215293705,5.2645647555,6.706189056,5.091500179,5.250024776,4.765549899,6.006977493,5.64201970933,5.31868854,10.8503707,5.19578985067,5.272407006,4.970176368,6.386601371,6.633253641,11.2339328333,6.702834562,8.261532137,5.751685476,5.45164023667,7.7910460485,8.318227715,5.994699217,5.779267108,4.670607054,5.291687581,5.46091556,5.99820185,4.632736581,5.41126628,5.201056716,6.49560796233,5.12714477225,5.210049084,5.160097198,5.22439848,5.277995204,6.497616856,10.7357001,13.58466312,4.539957464,6.777489169,7.14358283567,7.63001429,5.044843524,12.78963253,8.030503169,5.488009811,6.5420415765,5.3490236965,5.6261392035,4.107208013,5.110416751,6.015254046,5.415666779,7.58331058,5.828487187,8.003125914,6.017928169,5.896157544,10.01043059,4.92413864,5.313618859,6.07531833325,4.398221634,5.23353476233,6.639091494,4.998208198,5.617218576,5.52873637,5.741339733,6.343279559,5.605858198,5.398154738,6.041487261,5.492262803,6.491216266,7.520129761,5.8814497486,6.001414528,5.505264734,5.263796174,4.61298674,6.120295558,5.667687262,6.1382135695,6.001414528,6.5984103955,5.949949969,11.750443977,6.593544722,5.663779561,5.074727757,6.458780312,5.394043544,4.881923051,5.769779175,8.435295094,5.195063332,5.115003321,7.6259565305,5.254944744,5.9553677195,5.219566658,9.113990271,5.250024776,5.309221012,10.23384167,5.718917257,5.1151968005,5.406674974,5.428620839,5.69321599,5.745244896,6.055613918,4.682873814,5.442455259,4.435394156,4.5623941755,5.585121225,5.808134829,7.24025073833,5.171138007,8.84345400733,5.14634821233,5.44742319,5.110416751,13.00956452,8.409052632,5.442455259,5.641409649,4.856999696,7.80883731,5.6874247585,5.277995204,5.513973286,5.769779175,4.795210185,5.748737112,5.320930962,5.19062597,5.76339188833,5.277995204,5.996252561,5.827572151,6.322474074,5.497142287,6.7790147065,5.707366897,5.553829893,12.13138765,5.934994833,6.76785091633,4.833916319,6.22859450167,5.13180042333,6.2969789425,9.197463138,5.887288406,7.8416768255,4.948847562,5.66884103867,7.321479719,5.137924845,9.139008401,5.34176664833,4.600264016,5.974191571,13.18452521,6.367342964,6.511440859,5.949949969,10.08386525,5.868355027,8.130108627,5.956411734,5.205755379,5.1257663835,8.863614158,8.951110652,7.525499921,6.2468172515,5.553829893,5.157863534,4.943700135,5.34066129,8.178840509,5.31868854,5.153101365,5.1304138225,5.633294061,7.632470217,5.605858198,5.119990277,5.313618859,7.282603072,8.443027573,5.263796174,6.856802494,5.152803256,5.629656239,5.821079567,10.23351816,5.36458228,5.331285345,5.19062597,6.708673956,5.899424146,4.92244912,5.585121225,5.306926241,9.4417166025,7.931344923,5.718917257,5.150113394,8.6325233155,6.350767395,5.40668228,5.301232095,5.157863534,6.301135476,6.443942775,7.18969067,6.7853474725,5.3150324935,5.55012419033,4.584732512,8.485226676,7.078900987,5.394043544,6.886736462,6.975192016,4.980710188,4.795210185,6.451257679,4.157634474,11.25184942,4.992554604,6.469974421,5.415666779,5.97717186,4.905220009,6.857342354,5.962161932,6.1866653115,4.805564985,6.859631454,5.672079654,4.771900633,9.236576999,6.12884202367,8.6789887,8.569372533,8.26375173,4.561139219,10.55781096,5.893369036,10.34356359,5.492262803,6.985975817,5.95766021575,4.97483203875,6.2093410795,9.217703977,8.487841164,6.113748025,6.50008947,8.720142595,5.331657879,5.853378958,5.195063332,8.481901451,12.07225833,5.682862067,6.120295558,5.101199635,7.270111035,7.381134364,6.015254046,5.1537397155,5.055511566,5.99820185,7.67246269,4.670607054,6.750074255,10.90932705,5.769779175,6.5731092635,4.569042829,6.42959645833,4.970176368,5.563242994,10.2159687977,4.937593039,5.359671604,5.044843524,7.991821018,4.9921382705,4.647773112,5.199818081,9.13514715067,6.856802494,5.162301943,8.168573251,9.36566691,7.206431082,6.869196295,5.726293954,5.932044187,9.681370693,4.95444207,4.332418168,5.3844682275,6.043119281,5.201056716,5.580530872,11.192948695,BRCA
6.6809725755,6.218168565,9.033120888,7.196995946,8.136838795,6.360369215,5.81083589,9.953964008,5.575623385,5.657931073,12.58270474,5.149148835,6.998762823,4.47893856,4.939944983,5.71506711633,8.9020220415,6.306978182,10.66919979,6.461893267,5.321216715,5.28880497333,5.35693299,10.3791014185,9.326666054,5.728878907,5.583918611,7.582708643,4.700735,7.676784981,5.832137623,5.403788568,5.766735111,6.747357606,5.94640926,5.371568663,5.14017664,5.496822826,6.25068273,7.549632835,4.720021333,10.58177047,6.6038139265,8.691221058,7.179663127,5.535750687,5.507645012,5.418177565,5.24692005867,7.772002946,6.112184699,4.924350826,5.34039425,6.042322173,5.580980412,9.210598979,7.048053932,5.798187446,5.241660263,6.18913825,5.4471519845,6.641875182,5.539167536,13.88775422,9.298968193,5.748602952,5.4483203335,6.130788297,4.8886281725,5.5815796695,5.3444590655,5.942638389,5.874312082,4.98710623,5.117498954,6.389313513,5.57022338767,5.024598103,8.955120332,5.388481278,5.316879984,5.30807618,6.2636479175,5.579701547,10.069809966,7.555530756,9.077998072,5.019269629,5.50448470633,7.459546681,6.174432011,6.433214548,5.84800395,4.725757479,5.182504847,5.687068563,6.640176686,5.418452458,5.152803256,4.933585915,6.38374723333,5.25311714575,5.131148296,5.066630617,5.042218873,5.72110688,5.970630084,11.00211022,13.32090986,5.682862067,8.445285067,7.90323930767,7.213617336,5.430127385,10.42417183,8.62477821,5.228252321,6.2859438955,5.597986393,5.22489559925,4.596993252,4.795989381,6.16058305,5.442952823,7.909009687,5.6753024435,8.217486565,5.375570566,6.18913825,9.824513745,5.292685988,5.473633714,6.243738334,4.602937164,5.451595897,5.816734888,4.828341227,6.372086382,5.565377259,5.434470814,6.687134631,5.465820435,4.648779865,6.2852092005,5.72110688,6.466305418,5.807877321,5.5415652904,5.788040457,7.27775495,6.667754223,4.590579306,5.455336468,6.209848712,6.2333825015,6.394124489,7.5446291545,6.198794315,11.386995669,4.774274953,5.862458365,5.8950731695,6.086195285,5.539167536,4.364995254,5.507645012,8.7938162775,5.249645622,5.403788568,8.475698669,5.117498954,5.460683325,4.725757479,8.213713165,5.387682411,4.9101633675,10.43095979,5.190428437,5.08777539,5.004637948,4.795989381,5.79507289,4.919591852,6.026308336,5.062004299,4.354981714,5.186670157,4.8441795325,6.58267313,5.383800396,6.84021840933,5.672716149,9.29076107,5.35110594467,5.79507289,5.672716149,12.9979954,8.964529406,5.503993644,5.131148296,5.93905684,7.099876723,6.0299735315,5.72110688,5.832137623,5.587673458,4.818404856,5.383800396,5.03032988233,5.485435883,5.468800153,4.95444207,5.7067820295,6.265057667,5.860349081,5.500333013,7.352992936,5.418452458,5.359671604,12.79928067,6.109679848,6.65996408633,4.525994391,6.19868926067,5.351001513,5.44035339,11.47495072,5.117498954,9.4282356465,4.919591852,5.737662381,7.863289793,4.678655626,8.941760064,5.05988235767,4.869638567,5.98687237,11.75371412,5.9023262565,7.862143138,5.156650685,9.306130703,5.4646551695,6.69676284,5.075116758,5.661572365,4.8225809915,7.068969348,7.791685689,7.897931486,5.1907696125,6.382672115,5.186670157,5.178327476,5.399009764,8.941760064,5.206732344,5.287421103,5.495770894,5.30807618,8.220428059,4.869638567,5.266984428,4.98710623,8.62440485833,8.193600666,5.316879984,6.843076615,4.945574052,5.098043929,5.224205518,9.746254447,5.414821571,5.488973851,5.609778043,6.94477391,6.289378595,4.501371231,6.355928609,5.26661427575,7.9017104695,7.501680221,5.883261105,5.215486648,7.742845697,7.183985468,6.095402957,5.336114869,5.224205518,6.174432011,5.784511344,7.45349611167,6.2446384735,5.385380039,4.68426129367,5.48205062,8.548167949,6.482691508,5.283469238,7.881054484,4.933585915,5.1339245845,6.121642945,6.01064131,4.532217038,12.01436934,4.945574052,6.4758247385,5.641120592,5.79507289,6.203891817,8.1906728155,5.763661799,5.8836651175,5.316879984,6.553095983,6.577621898,5.641120592,8.292576009,6.342027685,8.0937599985,8.520069709,9.19148562,5.194176951,11.980959,6.196140414,9.604794643,5.832137623,9.420936973,6.120116709,5.00210362725,6.11099970075,10.16381668,8.83146649,6.074361597,8.049278334,8.686203838,5.303093715,5.92077637,5.30807618,8.913937397,10.57663577,4.963487128,6.323194968,5.014814152,7.135045173,6.36768175,6.165314669,5.1498043935,5.126406353,5.73478497,6.436091549,4.905220009,6.281193427,11.19856953,6.009611007,5.9170928285,4.628224624,7.43111428567,5.363969359,6.203891817,10.6992283697,5.523727581,4.544584798,5.112503363,8.178840509,5.0453984195,5.088959125,5.2580703925,9.26599832833,7.478286534,5.126406353,7.941885572,8.564398295,6.765173778,7.336107336,5.929560972,5.838328613,9.362086899,5.066316611,4.963487128,5.299604239,5.805056142,5.788040457,5.76368461,8.619878073,BRCA
