@relation data

@attribute id string
@attribute 10274 numeric
@attribute 10403 numeric
@attribute 1058 numeric
@attribute 1062 numeric
@attribute 1063 numeric
@attribute 10735 numeric
@attribute 11004 numeric
@attribute 11130 numeric
@attribute 11243 numeric
@attribute 151246 numeric
@attribute 151648 numeric
@attribute 220134 numeric
@attribute 22919 numeric
@attribute 23122 numeric
@attribute 23279 numeric
@attribute 23332 numeric
@attribute 23421 numeric
@attribute 2491 numeric
@attribute 25936 numeric
@attribute 332 numeric
@attribute 348235 numeric
@attribute 348995 numeric
@attribute 3619 numeric
@attribute 378708 numeric
@attribute 3796 numeric
@attribute 401541 numeric
@attribute 4085 numeric
@attribute 4928 numeric
@attribute 5048 numeric
@attribute 5347 numeric
@attribute 54820 numeric
@attribute 54821 numeric
@attribute 54908 numeric
@attribute 5501 numeric
@attribute 55055 numeric
@attribute 55143 numeric
@attribute 5515 numeric
@attribute 5516 numeric
@attribute 55166 numeric
@attribute 5518 numeric
@attribute 5519 numeric
@attribute 5525 numeric
@attribute 5526 numeric
@attribute 5527 numeric
@attribute 5528 numeric
@attribute 55746 numeric
@attribute 55839 numeric
@attribute 55920 numeric
@attribute 57082 numeric
@attribute 57122 numeric
@attribute 57405 numeric
@attribute 57551 numeric
@attribute 5885 numeric
@attribute 5903 numeric
@attribute 5905 numeric
@attribute 6249 numeric
@attribute 6396 numeric
@attribute 64105 numeric
@attribute 64946 numeric
@attribute 699 numeric
@attribute 701 numeric
@attribute 7514 numeric
@attribute 79003 numeric
@attribute 79019 numeric
@attribute 79023 numeric
@attribute 79172 numeric
@attribute 79682 numeric
@attribute 79902 numeric
@attribute 79980 numeric
@attribute 80152 numeric
@attribute 80776 numeric
@attribute 81565 numeric
@attribute 81929 numeric
@attribute 81930 numeric
@attribute 8243 numeric
@attribute 83540 numeric
@attribute 8379 numeric
@attribute 84643 numeric
@attribute 9126 numeric
@attribute 91687 numeric
@attribute 9183 numeric
@attribute 9184 numeric
@attribute 9212 numeric
@attribute 9735 numeric
@attribute 9793 numeric
@attribute 9985 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,0.1391979470,0.0316965810,0.0335618722,-0.0676929453,-0.0977405967,0.1613488744,0.0026806696,0.5774538169,1.0613618418,-0.0212575759,-0.0534715332,-0.2364597207,2.4259084910,0.1806143027,0.1384670770,0.4468455879,0.6711353312,-0.0129805256,0.3746191313,0.6711895071,1.2756822001,0.5767943208,-0.0874904540,0.9378262273,0.2745619568,-0.1359799553,0.3943000558,0.3125712879,1.2402591039,-0.1558869778,0.0884841932,-0.0089202558,-0.0232735046,2.4964848360,0.2602132938,0.0819238190,1.2238418325,0.1263470764,-0.0437432061,0.8568766135,0.4705754342,0.2517011244,0.2125219545,0.4688842361,0.4082248776,0.3737349715,0.3905792956,0.1974068714,-0.1030494856,0.8547325549,-0.1806939419,0.4374343925,0.8287291175,0.3124705661,0.2299692906,0.8713217551,2.3298205933,-0.1315146875,0.1527842455,-0.1030241554,-0.0612110418,0.8162983944,0.4721095410,-0.1332283723,0.3980620734,0.9517946841,0.1280802733,1.0081349392,0.3807488159,0.2834078227,-0.0017944182,0.3545321718,1.1535524035,-0.1106651603,0.2203388927,0.0129934296,0.0868888928,-0.2359012287,0.3693201806,0.1574817957,0.2073649533,2.2050025000,0.1002980088,0.0995132490,0.3209758019,0.0036624081,BRCA
GSM481003,0.0392795352,-0.1187437222,0.3350440944,-0.0884083390,-0.0803506232,0.0944543545,0.0561465903,1.3420383841,1.5820500031,0.0097961754,-0.0419803201,-0.0679485426,2.2580986220,0.1041292191,0.1675909839,0.4688356210,0.2220919121,-0.0662762527,0.3083513331,1.3492146945,1.3631428047,0.6923416143,-0.0718494173,0.9450464955,0.3526479345,-0.0852962346,0.6784147640,0.2907777714,1.0541342789,-0.0612080370,0.1717997663,-0.0279784310,-0.0895014534,2.5323631897,0.2265414221,0.2328665181,1.1675652556,0.2871639269,-0.0854607882,1.1742187960,0.4250247162,0.3913110049,0.3604677677,0.3960157984,0.4766108626,0.2892054475,0.3374556195,0.1256291986,-0.0940975722,0.4716712923,-0.0288632051,0.1954840359,0.2941782982,0.1892910675,0.5140498824,0.4066554135,2.1691846848,-0.1469424446,0.1860916499,-0.0934453955,0.0484653546,0.6180449209,0.3471339652,0.0798026804,0.1154354929,0.6027357505,0.0359705555,1.2079776414,0.3577199716,0.3726868047,0.1611708785,0.2205414476,1.1410946884,-0.1362659740,0.2079948247,0.0348761874,0.0477525804,-0.1544598153,0.2417336496,0.2718186851,0.0603139900,2.0810874116,0.0728973870,-0.0190246094,0.2470651718,1.5074618757,BRCA
GSM481004,0.1569189805,-0.0533633021,0.2807386013,-0.0095546911,-0.0579405974,0.1133161113,0.0389072830,1.0742942966,1.4116477745,-0.0303226658,-0.0299016858,-0.0164125176,2.1152290003,0.0916605486,0.1549531093,0.5250454512,0.4015138613,-0.0053314159,0.2429318595,1.1787535626,1.5023682063,0.8473779138,-0.0290753243,1.0636986269,0.3674287332,-0.1504807511,0.2243633752,0.5298544326,1.0160618583,0.0285017368,0.1981150001,-0.0015260009,-0.0267113259,2.1618730360,0.2283011891,0.3883167664,1.2944579630,0.2545938927,-0.0540608524,0.9518654371,0.4821984337,0.4384472340,0.3845929869,0.3722913515,0.4913007603,0.3552356291,0.5258437145,0.0572033903,-0.0716358329,0.6956193051,-0.0558313495,0.3079844104,0.4140283698,0.2122257086,0.3018920122,0.6064213372,2.2014432814,-0.0976373798,0.2733876305,-0.0840827066,0.0546944523,0.6254538715,0.3036222896,0.0763988044,0.4025368357,1.0858200641,0.0435917657,1.3182600141,0.5626158681,0.4111552179,0.0998865948,0.2396870247,1.2219297906,-0.0920929359,0.2566860140,0.0855319069,0.0197459941,-0.1440483392,0.2903973725,0.2250736722,0.2096349674,2.1089668429,0.0995003951,0.0178467005,0.2503948631,0.0200798125,BRCA
GSM481005,0.2788718739,0.0972348611,-0.0231510445,-0.0254728594,-0.0254619665,0.3257962353,-0.1097524713,0.7802628569,1.1559592709,0.3388524301,-0.0663897605,-0.1995528774,2.3035578928,0.3958081128,0.1346355884,0.6238053200,1.0572889381,-0.0450881131,0.3887461711,0.3856828278,1.7517486241,0.6577628967,-0.1242816011,1.0048199146,0.5188674143,-0.1614453330,0.6027478479,0.3254996739,1.4374006932,-0.1865499678,0.0835974163,0.0043406223,0.1756313714,2.4430678156,0.3863945286,-0.0196377317,1.2343815744,0.2552120638,0.0096989648,0.9505772538,0.4357714798,0.4052246987,0.2976613003,0.5292673035,0.4139095911,0.3125101426,0.3333485417,0.0910470163,-0.0962418314,1.0735443930,-0.1200489094,0.5715461915,1.0041607130,0.5899638482,0.2324308546,0.8756843898,2.2093620630,-0.0854551324,0.0882698185,-0.0548419806,0.0086278210,0.8624683581,0.6149387191,-0.0343495262,0.3802470319,1.0801561326,0.1518337212,0.9819903859,0.2878855703,0.3421609497,0.1045154611,0.3591505679,1.2780295779,-0.1220954141,0.2283665447,-0.0574944018,0.0186560409,-0.1395199690,0.3571492014,0.1295669244,0.2314099369,2.1583457612,-0.0076846091,0.1265541873,0.4761402830,-0.0015294008,BRCA
GSM481006,0.1973064500,-0.0132500263,0.0174873689,-0.1343277305,-0.1374376216,0.3053355357,-0.0568173325,1.1730808474,1.1915862040,-0.0017783719,-0.1272335361,-0.0254145987,2.4483549793,0.3205968915,0.2327656277,0.7692401947,0.8798698387,-0.0634015102,0.2815648838,0.3900139948,1.4407451003,0.3652142564,-0.0422456307,0.8147571532,0.3902044798,-0.1087643612,0.6584851715,0.3144062233,1.1528819398,-0.0456032952,-0.0089760508,0.0397613352,0.0076763858,2.6961948872,0.1821670204,0.0860918943,1.1296645254,0.1889084794,0.0172998875,1.1646123734,0.2836388661,0.3260153353,0.2505866054,0.5007501071,0.5408547516,0.2015747012,0.2060290778,0.1147017788,-0.0734659335,1.0967799224,-0.0547685426,0.6624725958,0.7528498498,0.3547129525,0.2889485137,0.7424919451,2.1378961339,-0.0331262850,0.1801215272,-0.0751285085,0.0633832490,0.7410703157,0.5864683912,-0.0544802716,0.3161796672,1.6284662484,0.2529981903,0.9702868724,0.1530180570,0.2873846727,-0.0378476820,0.3144439679,1.1185523376,-0.0859316817,0.2632796464,-0.1035191116,-0.0306687872,-0.1330908632,0.5745537247,0.1851973486,0.1940404839,2.2949805524,0.0183817295,0.1290945084,0.4190206039,0.7089609240,BRCA
GSM481007,0.1604303733,0.1241449094,-0.0629591098,-0.0430349424,-0.0556854150,0.2384108993,-0.0810815178,1.0957072981,1.2906673179,0.0264596881,-0.0974563221,-0.0915082126,1.6494180262,0.1126970585,0.1645224478,0.4898401466,0.2009032039,-0.0250648039,0.3442037070,0.0011060354,1.7423063003,0.3857170172,-0.0298110365,1.0404705442,0.4482865446,-0.0763809628,0.3337668999,0.1782463646,0.7209783674,0.0139815290,0.1306818507,-0.0500556210,-0.0957958656,1.8684210776,0.0440604472,-0.1709396657,0.9218534496,0.3395991211,-0.0119565319,1.3182984778,0.4223469801,0.5814378385,0.4294364603,0.4305822258,0.4194701119,0.1839666751,0.4365467478,0.1452370011,-0.0507976520,0.8677675923,-0.1150118639,0.4328375787,0.6806861053,0.3320468095,0.3710870970,0.5236226194,1.8596158426,-0.0895472680,0.2765874425,-0.0789659525,0.0035638457,0.5552672936,0.3753500144,-0.0221693269,0.1992705908,1.1532552167,-0.1299857142,0.7964667910,0.2027018737,0.4774608834,-0.0425198693,0.1583228963,1.3021401146,-0.0588916016,0.1837238377,0.0149518454,-0.0191562156,-0.1240337742,0.3717138586,-0.0416059558,0.0168582473,1.7092430382,0.0294935371,-0.0467073263,0.0912906924,1.5395423548,BRCA
GSM481008,0.3520850821,0.8238320684,1.5318598975,0.7793034277,0.4979539913,0.4003409577,0.5928957719,2.4877119858,1.7070291939,0.5696498182,0.1587065159,0.5758172486,1.9803737503,0.2630604061,0.4014800186,0.7467970777,0.8503955403,0.1473419468,0.3761589660,2.7886505508,2.5844456934,0.8038552519,0.0952939926,1.6742894799,0.4788142235,-0.0836367793,1.8041948442,0.4331088550,1.0866222066,1.0237345795,0.2995523262,0.3246346157,0.4341724993,2.8886203500,0.6705390122,1.3830288054,1.4909315973,0.1817884789,0.1579299034,1.0114390291,0.3689072896,0.3593624215,0.4826976493,0.3893680641,0.5476349011,0.3709342704,0.9493269193,0.0897589624,0.0276976955,1.4243605868,0.5984373689,0.3267650549,1.1045794649,0.4999649943,0.4086776353,0.5743362807,2.2688062124,0.5192284145,1.0549253785,0.0975437810,1.1470734808,0.9823657416,0.7146553249,0.8751359350,0.4246837776,1.1824460700,0.7378135817,1.6154887751,0.9467130474,0.6690044270,0.2751144011,0.3040808297,1.3258373943,0.2161617200,0.5702140443,0.4081270454,0.0702090115,-0.1304478011,0.9154608593,0.1651930204,0.2668565400,2.4879628663,0.5362876868,0.4839986778,0.5135515372,0.1058351594,Control
GSM481009,0.1900195521,0.1550991616,0.3754202919,0.0508278869,-0.0220429178,0.1898338105,-0.0071005123,1.4797822867,1.0932009108,0.0245942649,-0.0630087962,-0.1059720399,2.3579722592,0.2381890517,0.1628841432,0.4429743089,0.3761183603,-0.1144275390,0.2660330373,1.6697503534,1.7754227519,0.5057058191,-0.1185080596,0.6026211771,0.2113065546,-0.0850348820,0.8273900395,0.0572444400,0.9954556336,0.0053097593,-0.0377352653,-0.0010109777,-0.0090997247,2.6755602624,0.2544077342,0.2002376858,1.1786218321,-0.0321731063,-0.0902098575,0.3147968069,0.2215378080,0.1839920750,-0.0275887459,0.3379897359,0.4165385507,0.2618593107,0.3620939786,-0.2166550216,-0.1196165087,0.7845914347,-0.1792456759,0.4452562041,0.6655534723,0.3245984261,0.0100849440,0.8166560793,1.8164070117,0.0745385205,0.2712052370,-0.0192470116,0.1872827534,0.7798042547,0.6598793697,-0.0423865161,0.3102166301,0.9007253349,0.1223372553,0.5533976414,0.2593865153,0.1653670058,-0.3389118818,0.2415785490,1.0698948772,-0.2147224902,0.0863383233,0.0254891869,-0.0732330198,-0.2992973654,0.2792458395,0.1703876104,-0.0106758503,2.4391385295,0.0619036861,0.0173886986,0.1559133728,-0.0578597729,Control
GSM481010,0.2999722770,0.1828950634,0.5305128479,-0.0400094079,-0.0555535540,0.4369636894,0.0442518874,1.3322533027,1.4454789983,0.1362491538,-0.0489687044,0.1150577453,2.4455002845,0.3835254499,0.3200672193,0.8257024645,1.0364087821,0.0013649251,0.4731630837,1.4301333721,1.5805579097,0.7201126181,-0.0251950910,1.0173035339,0.3200332829,-0.0892642669,1.0644120064,0.4416386575,1.4931565264,0.0188343488,0.1005011431,-0.0179228577,-0.0213724543,3.0025818880,0.2995712518,0.4743980691,1.5060444668,0.3624949638,0.0930315715,0.9558448684,0.5940305018,0.2525406327,0.4250414405,0.4929281504,0.4363746757,0.4174801490,0.4083983223,0.1814721465,-0.1025851506,1.3123569986,-0.1221921598,0.6339457855,0.6968503604,0.4754389038,0.3573975936,0.7486011675,2.1272875270,0.0595144196,0.2234878245,0.1076487396,0.3102890977,0.8493634890,0.9443578794,0.1290974939,0.4600413088,0.7770198807,0.1704598446,0.9823486151,0.4707200830,0.3110472667,0.1695944425,0.1994576544,1.4160150973,-0.0386061397,0.3720878879,-0.0889670835,0.0922316035,-0.1708814627,0.5911315449,0.1761193192,0.3530645056,2.4534322267,0.1148046221,0.2514920836,0.5312935393,0.4743918670,Control
GSM481011,0.2822423816,0.1011842353,0.1290445431,-0.1006478991,-0.0903710611,0.1499918623,-0.0276552782,1.1997723950,1.1660152489,0.0267967119,-0.0248005729,-0.1656280480,1.8682324663,0.1133368301,0.0594786794,0.3671809323,0.5281672247,0.0432946750,0.3726980325,1.0409581399,1.7939579108,0.5883815534,-0.0623791154,0.8676652611,0.2767962586,-0.1100295179,0.7160630579,0.1215346543,0.8340543095,-0.0428060515,0.1226349826,0.0159340873,-0.0301987688,1.9497392046,0.2399280659,0.3646684506,1.1535155438,0.2241602815,-0.0579450767,1.2443000358,0.3850660645,0.3574672764,0.3608591450,0.4014640352,0.5114013589,0.1841442517,0.3743149159,0.1533719594,-0.1126052469,0.4984967014,-0.0495838623,0.2390841714,0.2603902979,0.2394045292,0.4067286859,0.4792478870,2.5493248172,-0.0227839441,0.1986338001,-0.0765355371,0.0870749524,0.6323220051,0.2287792855,0.0678767226,0.3440961864,1.3570601864,-0.0403721537,0.9271272570,0.3125262791,0.4587226866,0.0449174056,0.2252915721,1.1711954852,-0.1590224086,0.1239767547,0.0524624694,-0.0102027191,-0.1582242048,0.2333523955,0.1002324924,-0.0805544081,1.8137846252,0.1246597433,-0.0545723829,0.1212020144,0.2151569895,Control
