@relation data

@attribute 5571 numeric
@attribute 5515 numeric
@attribute 5576 numeric
@attribute 1655 numeric
@attribute 5577 numeric
@attribute 5499 numeric
@attribute 5567 numeric
@attribute 891 numeric
@attribute 5568 numeric
@attribute 10270 numeric
@attribute 9918 numeric
@attribute 983 numeric
@attribute Class {Control,BRCA}

@data
10.084193648,11.688477345,8.786482932,13.78618183,4.767140212,9.5855365545,5.4829326402,5.331285345,5.48205062,10.17096442,8.923692292,5.5594032075,Control
9.5416181315,11.725137905,8.66542575,13.55973441,5.442455259,9.3156588355,5.5428379012,5.309804873,5.804719114,10.58837058,9.868745837,5.1000844475,BRCA
9.9835099365,11.639330205,8.815320146,13.34674991,5.112503363,9.882436552,5.4641368762,5.932280461,5.527329405,10.15378036,9.966433757,6.018363896,BRCA
9.3324219335,11.80875598,8.115695415,13.02515173,5.7109519,9.0515971275,5.1156792046,6.555360353,5.655216748,10.40311354,9.347278715,6.0392399955,Control
9.8517271485,11.458095575,9.518791383,13.32090986,5.377654117,9.717115444,5.466218321,6.520190915,6.407145055,10.06266044,9.665780528,6.028693113,BRCA
9.698559825,12.40345346,9.231287868,14.57543497,5.316879984,10.080564477,5.6759717936,6.429495141,5.625863148,10.27030734,9.378252108,6.0648074825,BRCA
8.827384863,12.072677105,8.344585666,12.68497545,4.904497645,8.7738660505,5.5322651396,7.168173481,6.430289978,10.21801255,10.63654785,5.427401159,BRCA
10.092337449,11.932399345,8.118825763,13.57316849,5.023045997,9.8100499835,5.3094441946,5.149148835,5.233822166,9.683530284,9.072461663,5.6375433755,Control
9.9168075855,11.55756824,9.026662535,13.40233131,5.398154738,10.06551331,5.291675395,6.342257494,5.844493149,10.15840177,9.45547165,6.505547144,BRCA
9.689212392,11.593713005,8.794173061,13.01560762,5.778347403,9.747962555,5.3589494338,5.2209212,5.913135501,10.22045122,10.03462055,5.4053195205,BRCA
10.115223719,11.25085226,8.176760488,13.45145845,5.492182674,10.5894170155,5.0578073466,5.842357415,6.287994543,10.09063551,9.01498366,5.220752803,BRCA
9.808880693,11.817863435,8.94526175,13.57945564,5.564539174,9.753951278,5.3421536938,5.585571947,5.822227442,10.09113158,9.140447083,6.0055657725,Control
9.917648454,11.68167441,9.004516227,13.64479198,5.301049141,9.775057581,5.4913025734,5.639963781,5.416511492,9.976514407,9.204596284,6.0129300215,Control
9.757834043,11.736023615,7.750842834,13.85629375,5.268482349,10.043198149,5.4387987878,5.135464327,5.237842121,10.65812692,9.341525008,5.5090344575,BRCA
9.854883019,11.7690989,8.335480939,14.02134875,5.287261033,9.957884427,5.8117429202,5.666480557,5.913135501,10.45670378,9.940739781,5.6287591775,BRCA
9.921195836,11.54137497,7.540595216,13.28849775,5.765409598,9.9873893335,5.3283454926,5.51460459,5.754627826,10.65513514,9.527897792,5.441586912,BRCA
9.7498872995,11.71439964,7.582482852,13.47574423,5.66903474,10.2225047675,5.4065428568,5.524354632,5.634165776,10.90549628,9.437815065,5.6210469815,BRCA
9.908543862,11.698874855,7.646560735,13.57553219,5.325990094,10.030525935,5.5295343186,5.588273328,5.620154746,10.65929157,9.297908507,5.8102462945,BRCA
10.0830347715,11.60967717,7.576259705,13.33363132,5.707781006,10.396135035,5.4814391052,5.759562832,5.341284192,10.60390937,9.280017406,5.34095673,BRCA
9.4812362635,9.2723260095,7.632470217,13.19114487,5.002940155,10.5077297325,5.1210123436,5.101619875,6.445516183,11.08849694,9.38829779,5.46625573,BRCA
