@relation data

@attribute 348932 numeric
@attribute 11254 numeric
@attribute 6536 numeric
@attribute 54716 numeric
@attribute 6534 numeric
@attribute 55117 numeric
@attribute 6529 numeric
@attribute 6538 numeric
@attribute 6539 numeric
@attribute 6540 numeric
@attribute 9152 numeric
@attribute 6531 numeric
@attribute 6530 numeric
@attribute 6533 numeric
@attribute 6570 numeric
@attribute 6571 numeric
@attribute 340024 numeric
@attribute 6582 numeric
@attribute Class {Control,BRCA}

@data
5.461406798,5.768456458,6.500850989,5.62576092033,5.323380202,5.27337129767,5.9351921825,6.114997467,6.764278222,7.569705873,5.193979903,5.768456458,6.106961344,6.513534664,6.0090461875,4.678374372,5.331285345,5.31165512067,Control
5.488009811,6.120295558,5.81853895033,5.512693792,5.70044752,5.252763136,5.856286743,6.170531632,6.57376504,7.354075509,5.398154738,5.296651267,5.865245331,5.722746919,6.0283817415,4.928146734,5.091500179,5.11299475667,BRCA
5.527329405,6.009611007,6.170028363,5.10930094267,6.223234887,6.04030035,5.3477534515,6.018484655,5.823119603,7.585452943,5.455336468,6.045110507,5.819930778,6.045110507,6.337309544,4.991874681,4.933585915,5.21959765733,BRCA
5.397812585,5.868397398,6.403923036,5.62948878067,6.269599511,5.50990679433,5.2701800755,5.372439586,5.767662245,7.855695631,5.515077886,5.574564199,5.838328613,6.350944152,5.9487171785,4.700180125,4.978894894,5.19324693833,Control
5.846249617,6.449359668,5.71526054667,5.743107481,5.694748763,5.66717945833,5.2093270295,5.567432314,5.887775801,7.6916757,5.561716584,5.384232247,5.60541377,6.097300677,5.9308621315,5.287630431,5.014814152,5.48127610967,BRCA
5.226326687,6.091917306,6.02055141967,5.778198725,5.541879718,5.559406031,5.5673621845,6.338964187,6.545354989,8.11790425,5.298302041,5.453691444,5.614718124,6.448203566,6.1690446775,5.346435058,5.476714818,5.28269905433,BRCA
5.51191964,5.630093262,5.98900522133,5.613409385,6.420386078,5.46829707167,5.0847821665,5.328236218,5.451550105,8.410834102,5.491381137,5.438302209,5.84687641,6.162699096,5.9039758895,4.754902895,5.009001383,5.298810938,BRCA
5.431465218,5.77400374,6.298770935,5.125380425,5.796890531,5.56641064433,5.6884574505,6.401140314,6.518460881,8.337132512,4.96879493,5.751417692,6.269599511,5.948315392,6.003278972,5.479142629,5.517599514,5.536409134,Control
5.714802736,6.74994022,6.07696360667,5.568093651,6.273521134,5.44818430667,5.4521769945,6.134432096,5.210049084,7.53391589,5.631258011,5.450725666,6.229881685,5.572973961,6.1068277495,4.528802152,5.015037253,5.289983942,BRCA
5.828143626,6.268944869,6.37279699967,5.24527302333,5.464350722,5.77867082433,5.098264803,6.114997467,6.878728789,7.875228881,5.172738766,5.546594509,5.921252584,5.598879718,5.9919443845,4.596397442,5.181511332,4.91855735333,BRCA
6.187852475,5.534039223,5.59943154667,5.74666885667,5.713978422,5.421140053,5.65241538,6.255883662,6.8817904,7.745844253,4.643018696,5.628781795,5.729492441,5.729492441,5.860737045,4.47893856,5.770968585,4.968836814,BRCA
5.586773185,5.735258992,6.25337976667,5.842769706,5.038053386,5.782139694,5.795965063,5.758230711,5.624840225,7.89731777,5.292976103,5.414821571,5.715283369,6.090806466,6.034429654,5.517914408,5.507010655,5.424835412,Control
6.036894093,6.095719417,6.16018639433,5.52940968167,5.577437325,5.62354919833,5.657600735,6.028133299,5.59052062,8.067946709,4.880699299,5.378521376,5.612950486,5.899786645,5.882912875,5.349622922,5.200860606,5.090023549,Control
6.254372596,5.115003321,7.16589861,5.61971027133,6.081303006,5.53746415833,5.655539776,5.85773923,6.923657663,7.961422381,5.119782831,5.69836522,5.776637824,5.912716471,6.0531239275,5.518229233,5.371568663,5.303633852,BRCA
5.693076567,5.884360575,6.714587052,5.27332523067,5.7540933,5.66765230167,5.6986833185,5.456979618,6.782674344,7.502038402,4.850638494,5.869940017,5.873451033,6.347670638,5.9426895035,4.209457899,5.709987583,5.62884727533,BRCA
6.296921367,5.182107523,6.376819097,5.673218446,5.964751666,5.672888566,5.291572876,6.425472417,6.161792599,7.79246679,5.479950992,5.619861398,5.971837379,6.06243004,5.930878981,4.936651187,6.06243004,5.34851970633,BRCA
6.408122185,5.485113819,7.89802417167,5.387709859,6.007089656,5.425410505,5.675351829,5.467614719,6.862392884,7.941753554,5.337899487,5.789866974,5.899786645,6.175530214,6.5318263225,4.842992979,5.38371401,5.45087253167,BRCA
5.982201443,6.071897384,6.504746974,5.35104813667,5.807812937,5.59195736033,5.5650538935,5.562403668,6.675890452,8.011871746,4.95444207,5.711227301,5.971090125,6.003664774,6.1029094855,5.467614719,5.541027867,5.33291500633,BRCA
5.525764499,5.914511455,6.54817036967,5.51694806167,6.007650337,5.788768394,5.3042852515,6.188050361,7.132322675,7.750474403,5.113337164,5.495704155,6.126297286,5.628490196,5.981425738,5.236886004,5.390092626,5.49075257967,BRCA
5.726021414,5.666764579,6.53560094933,5.78472351667,6.018707189,5.86324810967,5.8086383075,6.00360856,6.239651629,9.061628468,5.088959125,5.19062597,5.814429456,5.726021414,6.1856526715,5.587673458,4.537176254,5.58523821167,BRCA
