@relation data

@attribute 84144 numeric
@attribute 55843 numeric
@attribute 29127 numeric
@attribute 9459 numeric
@attribute 9754 numeric
@attribute 25791 numeric
@attribute 89941 numeric
@attribute 1894 numeric
@attribute 57569 numeric
@attribute 90627 numeric
@attribute 8874 numeric
@attribute 7409 numeric
@attribute 9912 numeric
@attribute 29 numeric
@attribute 89846 numeric
@attribute 2 numeric
@attribute 9743 numeric
@attribute 23263 numeric
@attribute 7410 numeric
@attribute 7074 numeric
@attribute 29984 numeric
@attribute 10144 numeric
@attribute 7204 numeric
@attribute 80728 numeric
@attribute 9908 numeric
@attribute 51291 numeric
@attribute 79822 numeric
@attribute 1124 numeric
@attribute 9886 numeric
@attribute 1123 numeric
@attribute 9901 numeric
@attribute 55114 numeric
@attribute 10276 numeric
@attribute 51306 numeric
@attribute 171177 numeric
@attribute 64333 numeric
@attribute 23092 numeric
@attribute 116984 numeric
@attribute 64411 numeric
@attribute 391 numeric
@attribute 393 numeric
@attribute 392 numeric
@attribute 395 numeric
@attribute 116985 numeric
@attribute 394 numeric
@attribute 10928 numeric
@attribute 343578 numeric
@attribute 94134 numeric
@attribute 23526 numeric
@attribute 9181 numeric
@attribute 23433 numeric
@attribute 396 numeric
@attribute 397 numeric
@attribute 613 numeric
@attribute 398 numeric
@attribute 121512 numeric
@attribute 399 numeric
@attribute 83478 numeric
@attribute 998 numeric
@attribute 4952 numeric
@attribute 93663 numeric
@attribute 23380 numeric
@attribute 91614 numeric
@attribute 6655 numeric
@attribute 50649 numeric
@attribute 9828 numeric
@attribute 55288 numeric
@attribute 9411 numeric
@attribute 9824 numeric
@attribute 55789 numeric
@attribute 9826 numeric
@attribute 10395 numeric
@attribute 57580 numeric
@attribute 50650 numeric
@attribute 84033 numeric
@attribute 23370 numeric
@attribute 27237 numeric
@attribute 389 numeric
@attribute 388 numeric
@attribute 387 numeric
@attribute 57381 numeric
@attribute 158763 numeric
@attribute 221472 numeric
@attribute 2245 numeric
@attribute 3633 numeric
@attribute 4650 numeric
@attribute 5880 numeric
@attribute 79658 numeric
@attribute 257106 numeric
@attribute 6453 numeric
@attribute 23221 numeric
@attribute 5881 numeric
@attribute 23365 numeric
@attribute 5923 numeric
@attribute 5924 numeric
@attribute 57522 numeric
@attribute 23229 numeric
@attribute 85360 numeric
@attribute 2664 numeric
@attribute 2665 numeric
@attribute 58504 numeric
@attribute 2909 numeric
@attribute 4649 numeric
@attribute 5879 numeric
@attribute 6654 numeric
@attribute 4168 numeric
@attribute 57514 numeric
@attribute 4983 numeric
@attribute 84986 numeric
@attribute 117289 numeric
@attribute 9322 numeric
@attribute 23779 numeric
@attribute 8997 numeric
@attribute 54509 numeric
@attribute 9938 numeric
@attribute 26230 numeric
@attribute 11214 numeric
@attribute 89839 numeric
@attribute 57449 numeric
@attribute 64857 numeric
@attribute 10451 numeric
@attribute 5296 numeric
@attribute 55635 numeric
@attribute Class {Control,BRCA}

@data
6.599917025,9.024198544,6.619877222,12.79680929,8.234483507,5.97762982,9.533797474,7.470132382,8.583911209,7.6591829156,7.11874968225,6.878146348,8.867712043,7.662020075,9.385852225,10.82735881,10.0676969,4.608708777,6.567960352,7.267093607,8.924932074,8.4730843856,8.413925243,8.149850143,9.150623495,7.213617336,6.3143091325,7.27405462033,5.627057093,7.2254349265,6.94237334567,8.723519394,10.556253043,10.24516082,5.84925574,7.237624708,7.862639101,5.92715546767,11.01182496,11.03947449,9.102619505,11.68503795,5.47246159725,6.6396097045,6.360325315,9.377872676,5.811991941,7.0306733975,6.603185402,11.83642135,13.40015501,11.05606207,13.44437567,7.402056661,6.4769890865,6.58845652,5.751685476,7.63544195675,7.16387589625,9.292087988,5.204582147,6.2753308042,5.469456288,7.867620258,6.3517901525,9.676706901,8.1598190725,5.59291388,6.11289745233,5.0230904575,7.02290830967,8.284557388,7.464221286,11.35888208,6.158968739,10.94302045,5.922204539,11.607128575,11.16530919,12.37603319,8.694376763,7.683312442,6.9975990305,7.946147637,8.588753161,9.012345976,9.146785748,10.41229492,7.62369080567,8.58509549533,6.95704725,8.243782269,8.942471345,5.609342323,6.338429429,9.028818534,7.42286607,8.728100036,9.304334849,10.99277571,7.367548257,6.0243245845,11.13455645,8.85850435833,8.001564595,5.549215754,8.636906539,6.732544377,10.12513612,5.95200048833,9.271638758,6.469778724,5.232084664,5.464840793,6.32242395367,6.7730895085,9.75407577167,5.2498721562,5.5039318632,8.209503475,7.93680944967,11.7240492,4.946975601,Control
6.690001901,9.266482702,6.606064525,11.91536041,8.355418411,6.579885831,10.29122283,8.242341843,8.492054584,7.599503987,6.81468351325,6.418236866,9.632114196,7.91308819033,9.932695001,10.62424969,11.2128309,5.210049084,6.809868189,6.708673956,9.520668337,7.9863657142,7.815256994,8.546181736,8.73344635725,7.375541517,6.046442138,6.23902081667,5.6759326035,7.5310216665,7.45114499,8.74009521467,9.793071169,10.72924284,7.057317924,7.7483069115,7.765768643,5.47250211067,10.36908504,11.22221848,9.126240571,11.60457421,5.1848803565,7.0606771375,5.609778043,9.253115391,5.219566658,7.0119023115,6.539395847,11.86434298,13.38150649,10.89094843,13.78998546,7.1289164645,5.932798412,6.724483583,5.488009811,7.28817933725,7.17118701125,9.2225408525,5.545359333,5.7840495142,5.52006429667,7.609956448,6.1249982985,9.387667941,8.38276124325,5.323740468,6.134693708,5.4785870385,7.21726232233,8.307914524,7.664111461,11.66148208,7.534266158,10.980761,6.234966481,11.60688604,9.494571179,12.57624761,8.9156468925,6.098617071,7.374543743,8.417790424,8.747254058,9.527448232,9.807552605,9.636144756,7.508360446,8.00817691533,7.365668755,8.678284212,8.967342365,5.4226454465,5.667687262,9.703523443,7.466547848,8.582453567,9.45882753,10.83540327,6.988943454,6.0833748875,11.2607492,9.23532012167,7.481398095,5.309804873,7.570673773,6.371912196,9.967975921,5.94085529667,9.031467655,6.37858859233,5.28598330633,5.234205502,6.89936825867,7.4265821265,10.1021508257,5.342947718,5.5296944874,6.59182572,7.27227977433,12.12504541,4.720029408,BRCA
6.585342379,9.404466305,7.309408895,12.27822446,7.2151474,6.570846646,10.09588524,7.976365247,7.308842122,6.9903279362,6.9184467285,6.805650779,9.584681225,7.65395101367,9.731446799,10.57075254,10.80048359,5.014814152,6.661354578,7.120655524,9.521021835,7.8075950768,7.564418422,9.422612048,9.022446602,7.765851503,5.685263655,6.026608118,5.42993783025,7.177915844,7.56428299433,8.271156035,9.72766784533,10.63866242,6.897576627,8.0868645055,7.684540221,5.849887796,10.35310853,11.18703979,8.727325837,11.62476132,5.081465014,6.9195159845,6.086195285,9.361132921,5.387682411,7.067243476,6.71850248,11.64258438,12.2142175,10.58888352,13.68697704,7.0926896005,5.66093375,6.372086382,6.026308336,7.40363419925,7.03238297825,9.354770974,5.371568663,6.0362284746,5.44836313033,7.575257723,6.0455148775,9.154932713,8.027127622,5.744706881,6.274255131,5.289555201,7.14763954633,7.7755060345,6.699055749,11.67556248,8.031551137,11.31587145,6.681523496,11.497233195,10.24168562,12.07257321,8.065605657,6.042322173,7.0695944005,8.656193446,8.5896522,9.461746027,10.53833958,9.029881526,8.033448906,7.35940366733,7.306383297,9.330839099,8.842775487,5.6524911955,5.321216715,8.720518853,7.473768904,7.769988426,9.154103624,11.26252082,7.189975552,6.0641228325,11.27294773,9.280236709,7.228580927,5.751484642,6.732544377,6.232186455,10.87349431,5.936832591,8.120913213,6.64870493467,5.38249687267,5.519330581,6.61083279467,7.402572591,10.3766047927,5.3823587692,5.187591916,6.52305663,9.43574702267,12.67203307,4.8982967995,BRCA
6.610216975,8.31872483,6.8757597405,12.44726543,8.361616088,5.876032641,10.64076035,8.783359349,7.272725709,7.3678507924,6.8753532685,6.327333135,9.486775264,7.75211328,10.05209289,10.69680263,10.22501492,5.088111112,7.454260475,6.018929689,10.19533872,8.3145872956,7.054634501,9.386358915,7.779952073,8.333212526,5.539673338,5.81650139367,5.3329926715,6.688439761,8.059722738,8.330941905,8.86323802867,10.21623692,6.832450574,7.6510398245,8.137146296,6.07838750567,10.83188538,11.14549296,9.464776035,11.46972335,5.32133887175,7.5449656925,6.369340517,9.850210723,5.198898037,6.6331294365,7.296712346,12.14617574,12.9236618,11.07399778,13.58717103,6.88167523675,6.01930912,5.89251929,5.427950757,6.9502068905,6.55593589375,9.140894251,4.502624818,6.0319571228,5.26214250767,6.838009842,6.641050264,9.296423637,8.231964281,5.530298057,6.38499253967,5.27965428,8.05055294367,8.6607783965,8.649598507,12.06924173,8.531109589,11.08987103,7.902979691,11.84688205,10.0879405,12.17972416,7.8166821155,7.073662604,7.501898582,8.483192145,8.547088405,10.03404273,10.65628209,9.29927736,7.46989493067,7.43531200933,7.815256994,9.868360018,9.400581223,5.626407627,5.182703468,9.127737169,6.492979261,8.375627172,10.0652179,10.73881029,7.572418149,6.1512488005,11.11985886,9.422761191,6.648325671,6.252954533,7.819127079,5.697948398,10.44863544,5.14131116833,9.397407846,6.343019914,5.33101714433,5.464840793,6.7969717,8.1271944075,9.73313979633,5.3958700376,5.4178203034,6.894214872,9.46805618433,12.52623397,4.838324897,Control
6.56544914,8.681986034,6.5625170065,11.8295207,7.00660975,6.265667198,9.572511293,7.97154517,7.728568713,7.108781719,7.042316968,6.328276055,8.605610193,7.65495777833,9.292592616,11.11355354,10.55438287,4.595204309,6.817626854,6.811667297,9.668672785,8.4124559364,7.52505313,8.633831795,9.06280041775,7.405441727,6.099343488,6.91973490467,5.724912538,7.5052457945,7.39285387033,8.103094222,10.766641762,10.08069134,6.979456993,7.8549411325,7.938816713,5.95284648967,9.681765982,11.3005472,8.798116248,11.4744083,5.261367888,6.7038834115,6.195107022,9.356210469,4.972360944,7.318561068,6.659714548,11.49963678,12.87039849,11.12425722,13.44437567,7.4523840255,5.5714047485,5.808521004,4.810457607,7.41987553225,6.99171327025,9.1723230225,6.316965376,5.9945867732,5.43696747867,7.652900753,6.1770987645,8.542839504,8.2795286615,5.831124321,6.001426597,5.385515612,7.28998991667,7.9468635355,7.356190313,11.21556957,7.473626866,10.6623838,6.309981606,11.36166858,10.24151283,12.74633592,8.3446912255,6.212477538,7.68209973,8.053791683,8.157727298,9.306444036,10.3594479,9.260367468,8.128433668,7.84607777533,7.125881269,8.752532121,8.361144506,5.523825652,5.527485802,9.437939873,7.306383297,8.035817876,9.494236145,11.66916423,7.345363384,5.818949264,11.15088665,9.29741101033,7.634958261,5.923036985,7.023923766,6.82858438,9.83968846,6.11970411833,9.134337192,6.74157335933,5.34723426533,5.524354632,6.86306970867,7.4227526125,10.2220662527,5.4546069842,5.3066397206,6.124023706,9.27353650767,11.96427598,5.2872683225,BRCA
6.690071763,8.893575423,6.2290965195,12.2142175,7.345806894,7.069103653,9.858665306,8.237976077,8.96860281,7.255032838,7.04212019375,6.682787905,9.025707892,7.850845558,9.379552262,11.29285667,10.80140547,5.0188247,6.255789266,8.157600995,8.883025928,7.794170011,8.372735718,8.293794782,9.9629566985,7.144814038,6.59813482275,6.68018103233,5.156932939,8.052910606,7.36465545967,8.86384930833,11.2722185687,10.6231776,6.702453663,8.32378519,7.015919907,5.78225470233,10.30015265,10.87489706,9.250168786,11.23283777,5.20278566425,7.4115388505,6.291866548,9.291666361,5.825856367,7.743275822,6.208922614,11.42649031,13.283571,10.8492802,13.37131522,8.244265727,5.517527851,6.583726382,5.541879718,7.276640242,7.00999639125,9.53489369,6.405912077,6.163816975,5.573897196,8.522033306,6.1064243495,8.851312673,8.3336802555,6.219077138,6.183715048,5.818257494,7.03831259267,7.307454262,7.322516605,11.63008747,6.899541591,11.12068843,6.245415441,11.20450541,10.19762251,13.08540943,9.2868913935,6.366021074,6.4788142175,8.031385719,8.181302763,9.292178463,10.47450477,9.427795299,8.605791697,8.27037808833,6.732544377,7.941137313,8.091899625,5.1523846775,6.134996739,8.350719474,7.699678504,8.128588714,9.063422806,11.7240492,7.657248993,6.0353176455,11.13121409,9.14697742367,8.19601328,5.098043929,7.516785639,6.621836223,10.1891454,6.074602984,9.322030165,6.50582845033,5.67713604133,5.560264997,6.21689868733,7.56770175,10.5437227833,5.4556483348,5.3064054026,6.940786709,8.79005616867,12.02694363,5.45579559,BRCA
7.761021136,8.744658219,6.3540189785,11.65213254,8.444912513,5.51191964,10.35310853,9.588822892,7.446217194,7.5106384624,7.086501719,5.926361974,9.507299682,7.293267547,10.81714378,11.54241539,10.77472553,5.14487361,7.449419254,7.929822244,10.30015265,8.689948392,8.480952861,10.37544707,7.623830203,7.90809403,6.95144908325,6.903092235,4.78261009125,7.9660706265,7.93440497867,8.07944489267,8.755852544,11.09170663,5.721927133,7.338308574,8.550247647,6.34828626733,11.06053401,11.15029011,9.604535218,11.51729675,5.355352339,6.840172469,6.234822818,9.991267129,5.197326058,5.8623420165,5.665201768,11.9128857,13.57316849,11.17208697,14.13459319,6.14302696,6.139665182,5.949599858,5.087262599,6.96453053075,7.10702874775,8.331241242,5.472984221,5.871253991,4.89694847,6.760091594,6.621286377,9.186362588,7.98777371475,5.55659131,5.98342948533,5.333182663,8.002113911,8.550525839,8.485800258,12.32769025,8.178666251,11.0724812,7.569269157,12.025628865,10.04482137,12.27941189,8.8621841815,6.558425018,7.630703593,9.185817698,7.316057755,10.20539958,10.71717755,9.821300096,7.12229602233,7.38624643133,7.41168284,9.25803663,10.10617723,5.1035551,5.414821571,10.99477083,6.62585904,9.585883205,10.39985497,10.2712474,7.939272315,5.345324928,10.86989475,9.62804284167,7.292025067,6.169329391,8.191603516,5.725748823,9.600754382,5.51899298667,7.900989228,6.309781621,6.03593257567,5.464677455,6.71799461733,7.7634108645,9.50452125533,5.368002778,5.2348226062,6.929261738,9.720502086,13.11366653,4.9249812295,BRCA
6.14308278,9.388104019,6.4527321755,12.04345466,7.536346549,6.304516175,9.941825661,7.614417457,8.68327636,7.2543258776,6.878128638,6.739851899,9.024918797,7.47000387167,9.684643931,11.04352823,9.897747581,5.083438106,6.117700885,7.166115682,9.524532472,7.5479686012,8.831846471,8.358234841,9.241242899,6.299625309,6.3147612785,6.68990844767,5.294110241,7.474305877,7.12899515067,8.68726231767,10.2599018737,10.17375243,6.450638557,7.6113001335,6.686679539,5.85739112133,10.17944609,10.93858741,8.619973359,11.77387079,5.5663640235,6.697492932,6.255128327,8.685494426,5.252108349,7.603837754,6.606446392,11.46940666,12.32689017,10.62098522,13.66928817,6.9500503585,6.7618760675,6.350634813,5.093191733,7.40889523275,7.09973287325,9.379068303,5.662783181,6.031957499,5.226625219,7.907583411,6.290448296,9.32491247,8.16831345225,5.513657531,6.332530712,5.347480446,6.58638857667,7.779072463,7.364684318,11.59376472,6.692968069,10.97310559,6.26697916,11.645811195,10.54158093,11.89259415,8.6360025875,7.196875333,7.953855834,7.94040335,8.381198053,8.523190576,10.03012262,9.337187648,7.72572733933,7.87147887667,6.724313038,8.339650867,8.742748263,5.4833273435,5.745379368,8.551997661,7.187206373,8.213956124,9.24901928,11.23136237,7.090300685,5.7781221845,10.44768279,8.82865486733,7.787382059,6.040898593,7.242652817,5.985279119,10.29412707,6.37919597267,8.474680533,6.61728378233,5.58096659333,4.942762263,6.795865992,6.5642383295,9.90966181633,5.5196614758,5.176479827,7.475816758,8.909896709,12.07897478,5.190189295,Control
6.455496244,8.493956619,6.9746083205,11.90965135,7.170228349,6.967402441,9.584981814,8.339762197,7.615484578,7.3190357206,6.68912259525,6.37387057,8.91139283,7.45541438933,9.124399951,11.15565329,10.21937762,5.414483349,6.489210244,6.540171154,9.701471572,7.867616265,7.998577914,9.036222474,9.138257773,7.197219458,5.941621885,6.13913050833,5.26648411425,6.819301685,7.41305670567,8.393649974,10.6694347653,10.55221305,7.576996568,7.257057203,8.358234841,6.06574119133,9.915409278,10.9376315,8.793563584,11.44285036,5.32361632125,6.9235802675,6.351695128,9.697254787,5.508596024,7.50176657,6.790221817,11.42258795,12.12152875,10.89211038,13.44910353,7.14309656525,5.763299822,6.37387057,5.313256056,6.971857489,7.18183415025,9.3056963645,5.17573541,6.1009244332,5.60688011933,7.65031782,6.4100339915,9.13113101,8.35976546825,5.02526278,6.39149919267,6.010579884,6.90880436167,7.118600645,8.178554217,10.98367433,7.108919379,10.84509426,6.442284701,11.648237295,10.79666855,12.60350703,8.7595947885,6.55102039,6.7631719435,8.160162778,8.701619337,9.330043562,10.26043183,9.090457252,7.76585373333,7.54019452867,6.945066652,8.940035402,8.532863482,5.3404876065,5.589022814,8.402608273,7.416293235,7.733322349,8.900271441,12.16828986,7.067598722,5.778107276,10.6650141,9.29235500067,6.878728789,5.536838744,6.96041071,6.458739307,10.21155408,5.99348910667,8.893423741,6.94236186467,5.160524924,5.458210754,6.26966549867,7.2045344835,10.322016492,5.2540260524,5.2274778904,6.751146091,7.48084491567,12.20624983,5.5243532385,BRCA
6.978742272,8.635746344,6.599162602,12.55918115,7.240984771,5.967693869,10.36439217,8.1487195,8.199281102,7.7357543398,6.83729661375,6.73809606,8.708757252,7.51256273833,10.38589505,10.83188538,10.85492508,5.641120592,6.749303381,6.687659557,9.846423237,8.1544563976,7.344298405,9.376641543,8.628597539,8.115149181,5.6851614545,5.92629373433,5.3706975035,7.0651632935,7.712156779,8.334210635,9.15788831867,10.46916384,6.777752158,7.461858213,7.247645413,6.14177691867,10.12880025,10.97255645,8.89713537,11.54241539,5.42396221275,7.092265405,6.465734233,9.657095607,4.998433881,6.7839496845,6.340300218,11.94269603,13.49883304,11.06412655,13.80946823,7.10464715825,6.6105412655,6.467773141,4.742830384,7.4969800135,7.09000222,9.329541657,6.48551186,5.8630738524,5.36319157767,6.965931792,6.284706067,9.296423637,8.274940596,5.856743757,6.02369490567,5.32710485,7.28371304933,8.145655627,8.683407961,11.56729791,8.392683551,11.15442592,6.803650446,11.888048855,9.779978297,12.28213433,7.8446548515,6.560107813,7.0557807065,8.096637583,8.648142847,9.521502846,9.886672502,9.655696684,7.555842289,7.981460242,6.647534426,8.620294181,9.242210154,5.0743020605,5.238033268,10.12844586,7.626842693,8.273260753,9.794773703,11.55865044,7.458675491,5.859276261,11.04936549,9.23513699733,7.4960371,5.340750292,7.464548047,6.386298485,10.34749435,5.49300346433,7.620111894,6.757265508,5.659631352,5.672857555,6.343769213,7.137465468,9.63013702833,5.467216014,5.299257722,6.924548653,9.58170631967,12.27296951,5.1848234625,BRCA
