@relation data

@attribute id string
@attribute 1072 numeric
@attribute 5147 numeric
@attribute 596 numeric
@attribute 836 numeric
@attribute 841 numeric
@attribute 8837 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,2.9240636030,0.4773919732,-0.0618729870,0.0052920096,0.1048994176,0.3946563084,BRCA
GSM481003,3.2567019463,0.5642830210,-0.0646676839,0.0413504756,0.1321838536,0.4604086661,BRCA
GSM481004,2.6661450467,0.4702845627,-0.0883470983,0.0227122911,0.0914597162,0.4613454718,BRCA
GSM481005,2.9343244237,0.5232203808,-0.0833753531,0.1452049680,0.1227475022,0.5493073225,BRCA
GSM481006,3.0438792707,0.5687134683,-0.0787858003,0.0978846997,0.1767319650,0.4692782080,BRCA
GSM481007,3.0593108733,0.7283741080,-0.0395099294,0.0586705186,0.1683203725,0.1118762767,BRCA
GSM481008,2.8749696417,0.4529388861,-0.0483734958,0.0279587975,0.2110551038,0.2001410015,Control
GSM481009,2.7444512847,0.4257151508,-0.1458780054,-0.0766929161,0.2052960319,0.1667075575,Control
GSM481010,2.7238900263,0.4352943644,-0.0879259115,0.1088690767,0.0754469297,0.4466109948,Control
GSM481011,3.1665536563,0.6368735823,-0.0457399186,-0.0036057916,0.0645896237,0.3790538642,Control
GSM481012,2.7659498850,0.3878923421,-0.0352481530,0.0171263263,0.1549620091,0.2959709065,Control
GSM481013,3.5534575783,0.8434778006,-0.0221938008,0.0372665422,0.1402898318,0.2050465404,Control
GSM481014,2.3626079957,0.4446439878,0.0680477506,0.1720627065,0.0670862334,0.2357880793,BRCA
GSM481015,3.1703990300,0.4203013493,-0.0649266290,0.0064968477,0.1899209407,0.2271965820,BRCA
GSM481016,2.9770589667,0.4356192063,-0.0723477973,0.0422931895,0.1107827259,0.4297771176,BRCA
GSM481017,2.2784773907,0.4133909911,-0.0652382017,0.2853865353,0.1021767956,0.5021986393,BRCA
GSM481018,2.9003971417,0.4387949639,0.0390249889,0.0377697966,0.1060857647,0.1420873588,BRCA
GSM481019,3.2700486183,0.5938121498,-0.0498768420,0.2245985349,0.0875246171,0.4888554014,BRCA
