@relation data

@attribute 4660 numeric
@attribute 23236 numeric
@attribute 5579 numeric
@attribute 2149 numeric
@attribute 9459 numeric
@attribute 5578 numeric
@attribute 50649 numeric
@attribute 2768 numeric
@attribute 9828 numeric
@attribute 10672 numeric
@attribute 9826 numeric
@attribute 50650 numeric
@attribute 2770 numeric
@attribute 23370 numeric
@attribute 22899 numeric
@attribute 2792 numeric
@attribute 27237 numeric
@attribute 387 numeric
@attribute 107 numeric
@attribute 9002 numeric
@attribute 6093 numeric
@attribute 9639 numeric
@attribute 8874 numeric
@attribute 23365 numeric
@attribute 2776 numeric
@attribute 6885 numeric
@attribute 23229 numeric
@attribute 5290 numeric
@attribute 9181 numeric
@attribute 2782 numeric
@attribute 9138 numeric
@attribute 7984 numeric
@attribute 128272 numeric
@attribute 2185 numeric
@attribute 5294 numeric
@attribute 5295 numeric
@attribute Class {Control,BRCA}

@data
7.3213517445,6.8772890085,6.21136540967,11.7906038575,12.79680929,8.688181342,6.3517901525,8.214096299,9.676706901,8.4534541335,7.02290830967,11.35888208,7.1915641815,10.94302045,6.974876651,5.028139516,5.922204539,12.37603319,8.2081635635,6.5856284605,8.331209336,10.89447128,7.11874968225,8.942471345,9.668318219,9.487800372,7.42286607,6.685313404,11.83642135,13.02719506,6.62915280967,7.0197435475,8.606369237,6.25614507167,6.299304767,7.0703331436,Control
8.550400766,6.8906417385,6.479820979,11.750443977,11.91536041,9.433471275,6.1249982985,7.532532906,9.387667941,8.420983873,7.21726232233,11.66148208,6.0573658185,10.980761,7.013074525,5.682862067,6.234966481,12.57624761,6.3425008425,5.996252561,8.399610251,10.89019608,6.81468351325,8.967342365,8.930930318,9.4310771815,7.466547848,7.098719371,11.86434298,13.00956452,7.065017645,7.360409146,9.149455709,6.39478587333,7.09127967,7.6111323212,BRCA
7.1923046205,6.771545835,5.889051372,11.386995669,12.27822446,8.48506563,6.0455148775,7.5482059275,9.154932713,8.355686187,7.14763954633,11.67556248,5.457103785,11.31587145,6.954781196,4.963487128,6.681523496,12.07257321,7.5711783515,5.7067820295,7.854652002,10.74066222,6.9184467285,8.842775487,9.213384421,8.9013859115,7.473768904,6.212526175,11.64258438,12.9979954,6.82586201267,7.6149854675,10.26278816,6.332382502,6.323194968,7.448654099,BRCA
7.739516337,7.226006717,6.312672729,10.928805556,12.44726543,9.211511834,6.641050264,7.534292972,9.296423637,8.470632059,8.05055294367,12.06924173,5.725019338,11.08987103,7.006413395,5.29683478,7.902979691,12.17972416,7.0913602235,6.1589432285,7.179165475,10.84257057,6.8753532685,9.400581223,7.435526765,8.417672848,6.492979261,5.584068992,12.14617574,13.11510467,7.033690337,7.091127183,10.49549809,6.660246028,6.299945779,7.6522265588,Control
7.6832427075,6.848015995,7.50900425433,11.7514471335,11.8295207,8.977409535,6.1770987645,7.521638948,8.542839504,9.0143276255,7.28998991667,11.21556957,6.8901006515,10.6623838,5.784249584,5.536217098,6.309981606,12.74633592,7.084991265,6.014131866,7.894031227,9.986276218,7.042316968,8.361144506,9.924501194,9.2133861525,7.306383297,7.405441727,11.49963678,12.87743566,6.81636221267,7.353366134,9.709023968,6.22310588433,7.300126299,7.950268865,BRCA
8.156859977,6.727722821,6.98490046733,12.191046306,12.2142175,8.467749328,6.1064243495,8.378260395,8.851312673,9.5554462935,7.03831259267,11.63008747,6.5536864175,11.12068843,6.44303107,5.717272857,6.245415441,13.08540943,6.50402659,5.793522485,9.001704532,11.05985498,7.04212019375,8.091899625,10.54993411,9.9163703245,7.699678504,7.460253403,11.42649031,12.98372673,6.943744339,8.0065401475,9.767150378,6.30853884,6.725540512,7.4183463498,BRCA
8.917446952,7.4861886795,6.81582852467,12.426379765,11.65213254,9.024558716,6.621286377,7.2729672355,9.186362588,8.505339801,8.002113911,12.32769025,5.366277458,11.0724812,6.324635677,5.442621133,7.569269157,12.27941189,6.201503818,6.911174781,8.073955593,10.90400629,7.086501719,10.10617723,7.39744174,8.575344218,6.62585904,6.662423158,11.9128857,12.64120964,6.66013393767,7.398166653,9.682880991,6.20690718667,7.476910459,8.3350079456,BRCA
7.4539681055,6.719520862,6.87117032933,12.080271783,12.04345466,8.419813926,6.290448296,7.7170366325,9.32491247,8.291126504,6.58638857667,11.59376472,6.2928801065,10.97310559,6.010338577,5.865554662,6.26697916,11.89259415,7.6188571805,7.038632647,7.856831861,10.73923235,6.878128638,8.742748263,9.665460782,8.9471097785,7.187206373,6.020263967,11.46940666,12.98945487,6.94678504233,7.3275873295,9.185817698,6.16225577733,6.726903149,7.757716558,Control
7.2074709075,6.995146243,6.13414385767,11.6814712815,11.90965135,8.419971893,6.4100339915,7.3061893255,9.13113101,8.848894832,6.90880436167,10.98367433,6.2675959045,10.84509426,6.189039385,5.659076304,6.442284701,12.60350703,8.092918242,6.035268306,7.307431087,10.34961328,6.68912259525,8.532863482,9.303998235,9.204869818,7.416293235,7.205282841,11.42258795,12.96993872,6.84858083833,7.764117206,9.801595657,6.34899972867,6.426437217,7.6719006758,BRCA
7.892070953,6.432879816,6.39658479233,11.2871386965,12.55918115,8.01888328,6.284706067,7.907067338,9.296423637,8.389578647,7.28371304933,11.56729791,6.489380715,11.15442592,6.82419862,4.958159726,6.803650446,12.28213433,7.599297253,5.208642,7.897680799,10.22147267,6.83729661375,9.242210154,8.352640608,8.9430429875,7.626842693,7.606018576,11.94269603,13.02126635,6.83702017467,7.0243493185,9.657506535,6.460940443,6.76752611,7.3060563712,BRCA
