@relation data

@attribute id string
@attribute 10000 numeric
@attribute 1019 numeric
@attribute 1021 numeric
@attribute 1029 numeric
@attribute 11186 numeric
@attribute 1869 numeric
@attribute 1870 numeric
@attribute 1871 numeric
@attribute 1950 numeric
@attribute 1956 numeric
@attribute 2064 numeric
@attribute 207 numeric
@attribute 208 numeric
@attribute 2272 numeric
@attribute 2309 numeric
@attribute 23533 numeric
@attribute 2885 numeric
@attribute 3265 numeric
@attribute 369 numeric
@attribute 3845 numeric
@attribute 4893 numeric
@attribute 5170 numeric
@attribute 5290 numeric
@attribute 5291 numeric
@attribute 5293 numeric
@attribute 5294 numeric
@attribute 5295 numeric
@attribute 5296 numeric
@attribute 5335 numeric
@attribute 5336 numeric
@attribute 5578 numeric
@attribute 5579 numeric
@attribute 5582 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 5605 numeric
@attribute 572 numeric
@attribute 5894 numeric
@attribute 5915 numeric
@attribute 5925 numeric
@attribute 595 numeric
@attribute 6256 numeric
@attribute 6257 numeric
@attribute 6258 numeric
@attribute 6654 numeric
@attribute 6655 numeric
@attribute 673 numeric
@attribute 6789 numeric
@attribute 7039 numeric
@attribute 7157 numeric
@attribute 83593 numeric
@attribute 842 numeric
@attribute 8503 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.3397790969,1.6314720287,0.9198608781,0.4842657652,0.4903115943,0.8789772263,0.3679832782,0.8807553522,0.6516626943,0.4345339728,0.1590662479,1.9397812022,0.1866127024,-0.0442267636,1.1574716995,-0.0448427393,1.3452941188,1.0380567778,0.4352205655,0.4153290968,1.3243965731,0.7530524665,0.6502234032,0.0817053106,0.1255568270,-0.1624264398,0.7694715564,0.5895123826,0.5204422609,0.5526649599,0.1474579691,-0.1072664774,-0.0825690696,0.5276523813,0.4586358647,0.0778244350,0.2177100353,0.6409841057,-0.0321822478,0.9448039957,1.5825335458,0.5852018984,0.0325139822,-0.0986965946,0.1797246685,0.5492388602,0.3043230119,0.4236515649,0.6874072086,0.8841919228,0.3384637258,0.2530695895,0.8580704628,BRCA
GSM480985,0.6712534413,1.1038011162,0.7256099795,0.6616161629,0.3054350613,0.0818430733,-0.0582422595,0.7686965417,1.2256539837,0.3325850749,0.2177298777,1.4054429928,0.2867683454,0.0827835948,1.1360831860,-0.0263181581,1.1583383579,0.5481084954,0.4021199361,0.4587173745,0.8611773475,0.6827738690,0.8534231111,0.1992576002,0.3438852307,-0.1454714285,1.5476133191,0.4284647065,0.6196571301,1.2582838460,0.0900841358,-0.0931613796,-0.0522140021,0.4521202200,0.5649788797,0.0538346215,0.2315313540,0.6127393824,0.0267371187,0.7302493976,1.5935095322,0.6415359193,0.0304652295,-0.1151270150,0.2011654340,0.6409502427,0.3713752488,0.3436735098,0.4516910960,0.5955694337,0.3413524488,0.2134292614,1.1287610356,BRCA
GSM480986,0.3637514705,1.3781034724,0.8395699189,1.0047740482,0.2998221947,0.3414531027,0.1541607173,1.1564793678,0.4262836435,0.3517915079,0.1366518380,1.7577156492,0.2145363198,0.0178938958,0.8864078883,-0.0236322101,1.5127595663,0.9493732134,0.4833758425,0.4106089262,1.3830056341,0.6777039026,0.3758222094,0.0859145318,0.3109857890,-0.1337267348,0.9370587028,0.9117966590,0.5424212613,0.5517398660,0.1559347632,-0.1167993353,-0.0710934066,0.5276161861,0.5706250406,0.0844743560,0.3771760837,0.4839221177,0.0008623236,0.8574318311,1.9378681357,0.8420553809,0.0178087863,-0.1525935735,0.0952468054,0.4793911673,0.3954231461,0.3593612489,0.7014513494,0.8508987498,0.3812450159,0.4383908262,0.9668687962,BRCA
GSM480987,0.4741756265,2.0535945445,0.2585912426,0.7178355278,0.6920214146,0.4329001224,0.0970260880,1.2174741342,0.0239258781,0.1587947994,-0.0431674495,1.6769249506,0.2593453904,-0.0777571415,0.6600868327,-0.0190172376,1.4599798470,0.6616964770,0.4795592507,0.2296363310,1.3380605279,0.5721121385,0.4246866423,-0.0142156617,0.3279566426,-0.1022734639,0.9460729968,0.7047411791,0.7127369387,-0.0047308279,0.0835026311,-0.1432857454,-0.0616863377,0.4570317386,0.5260457562,0.0511663564,0.1247138026,0.3882937707,-0.0081340925,0.5479266424,1.2294952867,0.7166370249,-0.0078654887,-0.1381819120,0.0700896732,0.1445394283,0.2871097813,0.3543768574,-0.0404288970,0.8372933389,-0.0437613842,0.1857093530,0.1919102957,BRCA
GSM480988,0.3666419161,1.2271330877,0.7658719721,0.7294182159,0.2323022519,0.2557647115,0.1310622132,0.5887156453,0.3245137288,0.1726689534,0.1687270667,1.1675294143,0.1712146028,0.0538264121,0.8252818583,-0.0933597851,1.6300611323,0.4589619954,0.3179003717,0.2562269165,1.0662603861,0.3119734156,0.5025178531,0.1213094126,0.3674768847,-0.0889533257,0.6583551200,0.6638981731,0.5192004788,0.5682803235,0.0817065693,-0.0806064152,-0.0384889170,0.4923907940,0.4829891018,-0.0383270433,0.0354253387,0.4704262694,0.0137508613,0.6159016014,1.0011213121,0.6533234366,0.0596863040,-0.1438565263,0.0896705153,0.3725107078,0.2504118828,0.2616178676,0.4312892117,0.6972457048,0.2913452243,0.4995689597,1.0844853694,BRCA
GSM480989,0.2517094096,1.7527057604,0.6320741258,0.8383054727,0.5046881107,0.6630024992,0.4397809910,0.7955051377,0.6720767098,0.2135165615,0.1614523797,2.3074461223,0.2270790681,0.0683885294,0.5693502668,-0.0318046184,1.6843677122,1.1103506463,0.4588489833,0.2400973081,1.2916537300,0.6968581951,0.3040667095,-0.0454611126,0.2117079990,-0.1893403782,0.5104212239,0.8988893313,0.5099837124,0.7895882334,0.0811992555,-0.1211765001,-0.1123442115,0.4168803811,0.8519349658,0.0375365682,0.5766588003,0.4437155496,-0.0913945628,0.4999280601,1.7276778767,0.8751727511,0.1143979983,-0.1291088374,-0.0037837656,0.2630944657,0.2245239546,0.2574815193,0.5828868937,1.2405139033,0.3480999014,0.5414225689,1.0210926999,BRCA
GSM480990,0.3166647480,1.6684504000,0.5905319539,0.8380976487,0.2447776612,0.4578135087,0.1768650903,0.8675610779,0.0702140510,0.2635990058,0.1174184632,2.3939645291,0.2749733657,-0.0398620156,0.6452506264,-0.0240894286,1.6475978081,1.1067612915,0.4235380454,0.3191353141,0.9421872181,0.6259951810,0.4307222246,0.1950829520,0.8327552467,-0.1406402458,0.5701667320,1.2032701898,0.7009938896,0.2493265960,0.1371517299,-0.1211324487,-0.0606057024,0.4040678319,0.5468216389,0.1245269666,0.4847173588,0.3387474729,0.0323380388,0.8644990985,1.6585228148,1.2033769806,0.0077201671,-0.1737174681,0.0120991491,0.3107558547,0.2258322309,0.2993032868,0.7241745215,1.1059742302,0.3066654928,0.3181734394,0.6030732589,Control
GSM480991,0.2500861962,1.2661320120,0.6244839902,1.0779144312,0.2561306913,0.2786995493,0.0592000450,1.0681867261,0.8736306505,0.2092083807,0.2442998450,1.8290236989,0.2449685031,0.0343104810,0.6417928310,0.0096481766,1.5652074934,0.9763167946,0.4692680691,0.3643042232,1.1985398679,0.7252390346,0.3718392522,0.0580118667,0.4582523614,-0.1590461786,0.6246844594,0.9586069049,0.5280418684,1.0544374994,0.0569693500,-0.0960165404,-0.0531655469,0.5071865046,0.6482640730,0.0588836264,0.4295866277,0.3654298311,-0.0074095213,0.7603944621,2.0593645064,0.9345876711,0.0182551493,-0.1720757802,0.0441448208,0.3851343730,0.2893171571,0.2522982675,0.6411663020,0.9629745603,0.5359112559,0.5430663557,1.0204976901,Control
GSM480992,0.2476967987,1.5023378805,0.5115839695,0.8590256640,0.1937548743,0.5189908397,0.3776853123,0.9394119481,0.1679068491,0.2100246319,0.2473429202,2.3328941266,0.3295684198,0.0639194283,0.6069080535,0.0098416810,1.5792976092,1.1827308424,0.6180237605,0.2580534183,0.6252961718,0.6805748290,0.3555988693,-0.0417928508,0.7112178834,-0.1480111448,0.5310987036,1.3458300016,0.6497552522,0.9864738678,0.1225340664,-0.1356904655,-0.0742785615,0.4130200728,0.9082788116,0.1346057261,0.4719536303,0.3105769333,-0.0487812908,0.8413598781,1.9210771919,1.3046935373,0.0581052636,-0.1945471330,0.0183351703,0.4019502806,0.4011166239,0.2587171709,0.6336876206,1.0991194739,0.5277491282,0.4716532580,0.7441449755,Control
GSM480993,0.3786722400,1.6903067380,0.6702982026,0.5618893513,0.3031444781,0.7052419788,0.5689452010,1.1960502010,0.4212769849,0.2942363708,0.1737629565,1.9907199673,0.3003267815,0.1389537028,0.7283609089,0.0090587195,1.5582134934,0.9945207685,0.5771721326,0.2800151646,1.2895348594,0.7050229798,0.3556248992,-0.0141177758,0.3843497409,-0.1081225405,0.7338769277,0.9450695349,0.5661468516,1.1561504492,0.1051260916,-0.1144585606,-0.1054423138,0.4741801064,0.7940912880,0.0415849929,0.4597184245,0.3602931440,0.0349707108,0.8349784980,1.8622661701,0.9114326927,0.0540338872,-0.2411033899,0.0562111053,0.4506590302,0.4162600737,0.3772542817,0.7486550461,1.0900611624,0.4068146365,0.4849967851,1.0595477061,Control
