@relation data

@attribute id string
@attribute 2645 numeric
@attribute 3098 numeric
@attribute 3099 numeric
@attribute 3101 numeric
@attribute 80201 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,-0.1305637080,1.9645582802,1.0413511753,-0.1899577612,-0.1226596365,BRCA
GSM481003,-0.1002975603,1.9277485708,1.3056394558,-0.1790138574,0.0507494741,BRCA
GSM481004,-0.0138041459,2.5157814556,1.3761976038,-0.1363618634,-0.1299661349,BRCA
GSM481005,-0.0600327925,1.8257441853,1.1785597652,-0.1722247336,-0.1081461670,BRCA
GSM481006,-0.0464602248,1.5483050246,1.7186893868,-0.2298205516,0.0340127700,BRCA
GSM481007,0.2568381839,1.4633025249,1.0139000243,-0.1214379566,0.0881288131,BRCA
GSM481008,-0.0078361267,1.8001033367,1.3337689338,-0.1778268520,-0.1494718872,Control
GSM481009,-0.0616330306,1.1317125373,0.8883726100,-0.3005439911,-0.1321607015,Control
GSM481010,-0.1070819714,2.1312383611,1.6017813832,-0.1573497362,-0.0925867553,Control
GSM481011,-0.0409571094,1.6287149654,0.7390391357,-0.1430661620,-0.0837247749,Control
GSM481012,-0.0580594386,2.1612621844,1.0159128195,-0.0955458616,-0.0081297421,Control
GSM481013,-0.0114594017,1.5881602136,1.2390737285,-0.1490193998,-0.0589338676,Control
GSM481014,-0.0929315712,0.9561761084,1.6290197868,-0.2213778646,0.0599483496,BRCA
GSM481015,0.1593130505,1.0627382307,1.2217241823,-0.2098096013,-0.0656345471,BRCA
GSM481016,-0.0251884726,1.9469323192,1.4174462457,-0.1458532120,-0.0789783321,BRCA
GSM481017,-0.0945945147,1.3645422058,1.4294996387,-0.1528736898,-0.0944145142,BRCA
GSM481018,0.0580811969,1.6710002538,0.5999064643,-0.0848930104,-0.1110721729,BRCA
GSM481019,-0.0115070911,1.6951267820,1.3077660683,-0.0958106608,-0.0611935805,BRCA
