@relation data

@attribute id string
@attribute 10312 numeric
@attribute 1080 numeric
@attribute 109 numeric
@attribute 10945 numeric
@attribute 10952 numeric
@attribute 11014 numeric
@attribute 11015 numeric
@attribute 115 numeric
@attribute 127124 numeric
@attribute 155066 numeric
@attribute 23480 numeric
@attribute 23545 numeric
@attribute 245972 numeric
@attribute 245973 numeric
@attribute 2778 numeric
@attribute 29927 numeric
@attribute 30001 numeric
@attribute 375 numeric
@attribute 3784 numeric
@attribute 4583 numeric
@attribute 50617 numeric
@attribute 51382 numeric
@attribute 51606 numeric
@attribute 523 numeric
@attribute 525 numeric
@attribute 526 numeric
@attribute 527 numeric
@attribute 528 numeric
@attribute 529 numeric
@attribute 533 numeric
@attribute 5335 numeric
@attribute 5336 numeric
@attribute 534 numeric
@attribute 535 numeric
@attribute 537 numeric
@attribute 55176 numeric
@attribute 5566 numeric
@attribute 5567 numeric
@attribute 5568 numeric
@attribute 5578 numeric
@attribute 5579 numeric
@attribute 5582 numeric
@attribute 5613 numeric
@attribute 60 numeric
@attribute 6558 numeric
@attribute 7082 numeric
@attribute 71 numeric
@attribute 8992 numeric
@attribute 90423 numeric
@attribute 9114 numeric
@attribute 9296 numeric
@attribute 9414 numeric
@attribute 9550 numeric
@attribute 9601 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,1.6738675032,-0.1065824015,0.7727496513,1.9029577201,1.1931825579,2.1360352151,0.1760545680,0.1941818817,0.0037344627,1.5223150120,2.7900924947,0.1451175362,0.3848780062,0.0102136901,1.1579167798,1.0668082037,2.0288446511,0.5565806307,-0.0159944514,-0.0888218396,2.4635784760,2.2122071982,0.5670613307,1.5176666412,-0.0796137140,2.0355267079,2.4183807174,0.7845388828,1.8228720033,2.5227004687,0.5204422609,0.5526649599,-0.0397662998,0.0597448071,1.2688255211,0.7848789144,0.5931362181,0.6055969648,-0.0123531642,0.1474579691,-0.1072664774,-0.0825690696,0.9930449004,1.9831620881,1.2884850187,0.6034259981,3.6226621756,2.3837176124,0.2289517146,0.3081399427,1.6622221469,0.5032541135,1.4627443402,2.1441301536,BRCA
GSM480985,1.5248748063,-0.0648965920,0.5223725109,1.9635075711,1.1865292098,2.1150252410,0.4510740811,0.2055798990,-0.0268692880,1.7827891906,2.4977891843,0.0537479857,-0.0244346953,0.0579110460,1.3204932428,0.9131046054,1.9623218495,0.4381162637,0.0070174771,-0.1428065229,2.7492374976,2.2180273789,0.6211203963,1.5677700429,0.3846119269,2.1895665227,2.1662541827,0.8609639939,2.2855848077,2.2831419043,0.6196571301,1.2582838460,0.0124988261,0.0651744295,1.5569773252,0.7272808337,0.7376574537,0.7695002645,-0.1038192192,0.0900841358,-0.0931613796,-0.0522140021,1.1653226431,1.6668235234,1.6980017259,0.4959358562,3.7874552336,2.5299494814,0.3128057207,0.3485498828,1.5733516514,0.6090416684,1.3533991947,2.1073852894,BRCA
GSM480986,1.4874231750,-0.0767632868,0.6232914684,1.9449194703,0.8799029211,2.0535234883,0.4888573008,0.1296261391,-0.0818661229,1.8836107254,2.7146082057,0.1341092451,0.2060151435,0.0175365204,1.3325283364,1.0993036077,2.1524461929,0.4480022348,0.0507715100,-0.0947028095,2.4174837801,2.3117097191,0.4854964733,1.5724478361,-0.0351825047,2.3413761260,2.6092237730,0.7526278211,2.0670485100,2.6487076944,0.5424212613,0.5517398660,-0.1079608833,0.0582224142,1.4233209656,0.7252431518,0.6712817949,0.7078176651,-0.0887387330,0.1559347632,-0.1167993353,-0.0710934066,0.9547375822,1.5463190164,1.3849790600,0.4868997302,3.6462782948,2.5272298784,0.5097257049,0.3635885301,1.7897071316,0.5299071202,1.5299457013,1.9184296652,BRCA
GSM480987,1.4002731833,-0.1098254067,0.9581980763,1.9502546754,0.6763234174,2.3873952702,0.5144669761,0.1242048581,0.0153519419,0.6300429239,2.7484077347,0.0937184970,0.1147659657,-0.0422973506,1.2904711387,1.0775355785,1.6133185485,0.4711683532,-0.0745208914,-0.1346291929,0.5451265420,2.2273175332,0.4408101541,1.2989210429,-0.1345085055,2.6666927339,2.3018662334,0.8079192525,1.7983845870,2.5250110229,0.7127369387,-0.0047308279,-0.0860888264,0.0216528606,0.9225538754,0.5373348325,0.4481176670,1.0939444790,-0.0234222412,0.0835026311,-0.1432857454,-0.0616863377,0.2135299446,1.5882334240,0.7026719697,0.3342415194,3.9579671080,2.6619655591,0.2799178948,0.2633650197,1.9111126512,0.1233750546,1.1488275212,1.7253923277,BRCA
GSM480988,1.9768290249,-0.0682546645,0.3484778570,1.4358749840,0.6894601251,1.8959625745,0.2304677648,0.1508974081,-0.0685380521,2.2674478426,2.2843650911,0.0717317383,0.1387512824,0.0190920071,1.4781041429,0.7438578577,1.8681937982,0.2954098738,-0.0083774732,-0.0465840149,2.9510261086,1.9867455150,0.4717482587,1.6643329611,0.2639336709,2.1901081502,2.4824682474,0.5405421165,2.3334938687,2.2279191218,0.5192004788,0.5682803235,-0.0490704349,0.0583560137,1.4222286624,0.8260832275,0.3137383716,0.5631931945,-0.0202760463,0.0817065693,-0.0806064152,-0.0384889170,0.7728505326,0.7069784941,1.5891420427,0.3951769205,4.0240748362,2.3640487754,0.6426197207,0.1802334750,1.3766792581,0.5156396559,1.2036786051,2.0314033116,BRCA
GSM480989,2.1277031632,-0.1159861198,1.0119184052,2.2532178859,0.7041647984,2.4196590576,0.2720922439,0.2054151728,-0.0055716124,2.5198659367,2.6193431220,0.1336893973,0.4823784157,0.0415958698,1.3912816293,1.2424295257,1.3026606914,0.5821658545,-0.0263498661,-0.1485475279,3.1985672843,1.6729394494,0.4853385165,1.5412679524,0.1286679537,2.5648820400,3.1747188966,0.3119925809,1.7259177763,3.3196494316,0.5099837124,0.7895882334,-0.0512882811,0.1251372889,1.6810859640,0.6319682348,0.9056678476,0.3538124809,0.0047141360,0.0811992555,-0.1211765001,-0.1123442115,0.8033357407,2.0641681383,1.3676031173,0.3290606150,4.1692070311,2.8404812600,0.6508376896,0.5103131626,2.3436854185,0.3982754930,1.0984426700,2.3811508184,BRCA
GSM480990,1.9517909760,-0.0958344107,1.0164559484,2.5591907236,0.8263249386,2.3109726645,0.2420888134,0.2828586080,-0.0427508297,1.9193906783,2.8850317400,0.0371921359,0.1128523393,-0.0540642034,1.4284008093,1.3228924858,1.4174538430,0.5786951939,0.0284351941,-0.1135317869,2.0966728793,1.7781929330,0.5824783352,1.3757204780,0.0136483466,2.1207289993,3.1792538265,0.5372420106,1.7318905990,3.0851253934,0.7009938896,0.2493265960,-0.0503553267,0.0775462456,1.5961095689,0.6217327880,0.8428640298,0.7935236208,-0.0195084080,0.1371517299,-0.1211324487,-0.0606057024,0.5710339894,2.1704076527,0.9178872489,0.4179667185,4.4571284381,2.5457761348,0.2270675610,0.4306118472,2.0609400869,0.3751401998,0.9177112306,2.0512681985,Control
GSM480991,1.9548463702,-0.0626564302,0.4249343571,2.1801816071,0.8890118968,2.0513756545,0.3965598370,0.2768006893,0.0212759991,2.5052647062,2.5197238392,0.0986545528,0.6596218793,0.0726288471,1.4307339596,1.1898251353,1.8973108039,0.5024416536,0.0396431991,-0.1617837400,2.7468340529,2.2521647385,0.4964059232,1.5631889251,0.0840362927,2.5121300965,3.1350121101,0.6383629745,2.0342459280,2.8990819322,0.5280418684,1.0544374994,-0.0794860881,0.1604087682,1.8557779853,0.7107860651,0.7147501284,0.6564376624,-0.0500267771,0.0569693500,-0.0960165404,-0.0531655469,0.7389248726,1.9666513886,1.7991057783,0.4793805461,4.1061814696,2.7680677484,0.6371447958,0.4589599152,2.1578396560,0.4723663080,1.5913855732,2.0610685579,Control
GSM480992,2.3609367311,-0.1024010876,0.8758288564,2.5941615998,0.6316780888,2.0600638929,0.1195041977,0.4200474990,-0.0494704759,2.3321642346,2.7686602274,0.0869171159,0.0189752440,-0.0304575976,1.5164660945,1.3033220395,1.5044269948,0.5279573448,0.0434340854,-0.1495290734,2.2214331427,1.7018735155,0.4913583273,1.4699217769,0.0446352130,1.8349805773,3.4234994650,0.5062822531,1.5170791547,3.1821215418,0.6497552522,0.9864738678,-0.0851659917,0.1988145202,1.9009259739,0.5944259647,1.1381731691,0.5008515699,0.0557855016,0.1225340664,-0.1356904655,-0.0742785615,0.8443388831,2.2779652900,0.7397607929,0.5257718921,4.3697378854,2.5250671464,0.3445422019,0.5628421953,2.0430217906,0.4084597651,0.6764961886,1.9696451531,Control
GSM480993,1.8447848111,-0.0685585216,0.7973100805,2.1536435766,1.0488315020,2.2110755630,0.3439486478,0.3209931134,0.0329078451,2.2939922811,2.5144177676,0.2076407935,0.3843253352,-0.0069177446,1.3899838875,1.0987313149,1.7075254952,0.4610399691,0.0588518506,-0.0537962760,2.7589055830,2.0354289839,0.6403183415,1.5685368351,0.1850663591,2.3344553113,2.9720670878,0.6279432019,1.8469692867,2.8663656050,0.5661468516,1.1561504492,-0.1889131873,0.0359939708,1.7198129629,0.8016523107,0.8387103804,0.5521481080,-0.0571271274,0.1051260916,-0.1144585606,-0.1054423138,1.0441827782,1.8648449523,1.2634448866,0.4565247414,3.9780380943,2.3807614357,0.4940378898,0.4237260454,1.8573491349,0.4747022405,1.3016619143,2.0757233369,Control
