@relation data

@attribute 6093 numeric
@attribute 6722 numeric
@attribute 3265 numeric
@attribute 5871 numeric
@attribute 5599 numeric
@attribute 58 numeric
@attribute 5605 numeric
@attribute 5894 numeric
@attribute 4214 numeric
@attribute 5604 numeric
@attribute 4118 numeric
@attribute 6927 numeric
@attribute 3984 numeric
@attribute 1729 numeric
@attribute 387 numeric
@attribute 5595 numeric
@attribute 5879 numeric
@attribute 998 numeric
@attribute 5594 numeric
@attribute Class {Control,BRCA}

@data
8.331209336,11.90369558,7.4423513115,10.43894285,5.939777752,6.569556123,11.44994835,10.11570732,10.46146439,10.49127719,7.1331598555,5.122684364,5.7690473375,9.7532516605,12.37603319,11.634256725,8.85850435833,7.16387589625,8.27215776867,Control
8.399610251,12.0948349,7.8897640555,10.53926573,5.0886580415,5.19062597,11.52169626,10.34726733,11.6627575,9.559434991,8.335284141,5.428620839,5.7228877405,10.287020445,12.57624761,11.27623323,9.23532012167,7.17118701125,7.85669691467,BRCA
7.854652002,11.66204091,7.856102429,10.60938218,5.6701097255,5.283469238,11.72288448,10.45388564,11.77105209,9.65317699,6.525747501,5.531000265,5.848293342,10.2421571675,12.07257321,11.198356615,9.280236709,7.03238297825,8.11094053067,BRCA
7.179165475,11.78440594,8.398114105,10.95004389,5.7758281875,6.563810693,11.42772678,10.09500831,12.00382718,9.580847928,6.452687413,5.119160314,6.1942824925,10.191063992,12.17972416,11.274247985,9.422761191,6.55593589375,7.98209816267,Control
7.894031227,11.30524968,7.697637374,10.33946621,5.704258658,5.301780818,11.8471671,10.22872886,11.72645885,9.966174165,6.640694174,5.308895293,6.176314587,10.0664483445,12.74633592,11.21839075,9.29741101033,6.99171327025,7.82991936767,BRCA
9.001704532,12.47196608,7.3388634815,10.45584633,6.517858181,5.802329755,11.5852209,10.624983,11.51112271,10.23164154,7.184437303,5.614718124,5.789661595,10.5044251965,13.08540943,11.07534033,9.14697742367,7.00999639125,8.18650002,BRCA
8.073955593,11.85634588,7.9742866725,11.14357791,5.6011167705,5.472984221,11.16076662,9.961088297,12.26224618,8.977681421,6.6165063755,4.783209568,5.703437493,10.080701669,12.27941189,11.151396135,9.62804284167,7.10702874775,8.451561107,BRCA
7.856831861,11.58622772,7.7095138065,10.53833958,5.401013329,5.551370856,11.28922369,10.12277013,10.99477083,10.00443156,7.5928608095,5.297935366,5.9416429115,9.8375875095,11.89259415,11.40345044,8.82865486733,7.09973287325,8.171538624,Control
7.307431087,11.78440594,7.94496816,9.968379206,5.8779809975,5.771232765,11.82274022,9.9831294,11.9611296,9.452231522,6.7955580315,5.789736585,5.8969290325,10.0531784175,12.60350703,10.99057863,9.29235500067,7.18183415025,7.91861634733,BRCA
7.897680799,11.68854659,8.148239231,10.5846199,5.5839936855,5.608965365,11.64681981,10.28660429,11.43790563,9.69476318,7.1171144805,5.813403636,5.715837508,10.126245276,12.28213433,11.551814785,9.23513699733,7.09000222,7.74245236133,BRCA
6.841316277,11.72159494,8.198599078,11.28307404,5.9065229025,5.541492575,11.94944384,10.23292486,11.22161448,9.736317839,7.4685291685,5.500173644,6.0195573385,10.4367991855,12.64120964,11.573459625,8.92818876867,6.604948967,8.06297051567,BRCA
8.010333857,11.60131362,7.4409667175,10.46466855,5.767601547,6.167122676,11.38105635,10.11618835,11.05015324,9.990983614,7.4927523625,5.156448444,5.7070276755,9.820013284,12.30040269,11.32136754,8.97755484267,7.351535111,8.197304519,Control
8.228615647,12.02214941,7.6537280945,10.70917239,6.1670985755,6.079490783,11.33166731,10.13087976,10.77967445,10.29596436,6.9116402145,4.963024656,5.7043025945,9.940449484,12.38074251,11.488573795,8.882604615,7.359104133,8.151507585,Control
6.165666403,12.80095353,8.1909422715,11.03904603,5.967633391,6.848689049,11.29445435,10.76657469,9.313711317,10.01433476,7.385499103,5.259094728,5.8907386725,10.110936364,11.64892389,11.695521545,8.867882958,6.6884391885,8.08129530567,BRCA
6.754958049,12.01701203,7.2806843915,11.28411575,5.329465727,5.812184526,11.28106518,10.37973064,9.683047729,9.712540381,6.548623012,5.412113573,6.1120078265,9.939478085,11.744773,11.206231375,8.552349278,6.843482732,7.95451796533,BRCA
6.390947607,12.32769025,8.539009948,10.54939991,5.656097949,7.824005841,11.36168902,10.55366796,9.206422917,9.812386363,6.6321559375,5.610959302,6.217322425,9.9765460225,11.37964115,11.49634678,8.787767491,7.08107622375,8.00665617633,BRCA
5.819036642,12.82188064,8.146852134,10.83055504,6.071716146,7.461993252,11.42163372,10.73881029,9.06544382,9.916141133,6.7986846175,5.510812619,6.3668044235,9.767096487,11.16916418,11.796022585,8.934366304,6.38540810175,7.86577453733,BRCA
6.462793134,12.50386679,8.041917075,10.78710288,6.259376137,6.011233546,11.31587145,10.51457134,9.805889394,10.0322459,7.4343546645,5.58151037,6.101992557,9.738224689,11.66819594,11.46459896,9.01840760867,6.7911300605,8.01917131267,BRCA
6.132068463,11.84868564,7.888636145,10.62450788,6.1648761405,5.243755943,11.57272404,10.54450111,9.17185302,9.833428205,7.2318982915,5.503198645,6.1958131935,9.757034396,11.52630619,11.5411915,9.258466301,6.67358924525,7.890844983,BRCA
5.833276737,13.82037647,8.85628218,11.09923621,5.593235253,5.290397907,11.3119244,5.97155002,6.536717836,9.724718956,6.6138216045,5.80517071,5.899944074,9.830404941,9.38829779,12.52079595,8.91017192567,6.6605798635,8.742530249,BRCA
