@relation data

@attribute 124975 numeric
@attribute 2678 numeric
@attribute 2686 numeric
@attribute 2687 numeric
@attribute 57733 numeric
@attribute 6470 numeric
@attribute 6472 numeric
@attribute Class {Control,BRCA}

@data
8.722953607,6.065205944,6.33411121033,8.344163978,5.8470049585,8.76112499033,11.06986277,Control
8.756123553,6.659648238,7.13401517067,8.730589968,5.1753916295,8.453784305,11.08348284,BRCA
9.899670779,6.97372434233,7.03097167033,7.53621054,6.189234451,8.899855734,11.92850738,BRCA
9.720834695,7.15247666833,6.72793375733,7.716855678,4.9322574105,8.42552051167,11.85055617,Control
9.808622811,7.202306624,6.58913345567,7.695960982,5.1743626405,9.12488666233,11.61752958,BRCA
7.687832523,7.31318461633,6.71845632,7.551018227,5.3391253535,8.99237067133,11.4325551,BRCA
7.875228881,6.448658398,7.024168189,7.636409152,4.649092205,7.471185463,11.82899735,BRCA
8.86916284,6.61667624833,6.503359333,8.068417055,4.859064879,8.853062337,11.51777531,Control
9.807017204,7.12504087833,6.790811062,7.561385569,5.213142165,9.07889939367,12.04910329,BRCA
9.836169177,6.46160281933,7.164298385,7.160832288,4.808287921,8.472690889,11.35948893,BRCA
9.079012114,6.77001273867,6.691996078,8.959249336,5.458722419,8.53056142833,11.72645885,BRCA
8.839503892,7.94637101267,6.84687285667,8.066965207,5.1985550125,8.83600122967,11.47305897,Control
8.316667472,6.141981213,6.67108949033,8.217813694,5.1570867295,9.01858687533,11.13901746,Control
8.794173061,6.87434366967,6.08227019567,8.375192737,4.7380622595,8.62686581867,11.50843622,BRCA
8.217486565,7.25331251967,6.08778383933,7.936492374,5.576109354,9.14770685767,12.3345988,BRCA
9.288163079,7.407032583,6.65832159467,8.117774412,5.651229151,8.785207304,11.80942059,BRCA
9.827049342,6.99502444167,7.15778711267,7.952655534,5.0471425525,8.701195848,11.40689869,BRCA
9.320067806,7.01575437633,5.83676535833,8.298797049,5.1899508275,8.892630594,12.13049665,BRCA
10.0981575,7.28690004133,6.735089302,8.317029418,5.3785985145,8.82928663933,11.88379655,BRCA
9.784757978,7.44153337733,6.72197647567,9.320829383,5.22717217,9.22583474533,11.47305897,BRCA
