@relation data

@attribute id string
@attribute 1386 numeric
@attribute 183 numeric
@attribute 185 numeric
@attribute 1956 numeric
@attribute 2002 numeric
@attribute 2185 numeric
@attribute 2776 numeric
@attribute 2885 numeric
@attribute 3265 numeric
@attribute 3725 numeric
@attribute 4205 numeric
@attribute 4207 numeric
@attribute 4208 numeric
@attribute 4209 numeric
@attribute 4214 numeric
@attribute 5058 numeric
@attribute 5578 numeric
@attribute 5579 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 5599 numeric
@attribute 5605 numeric
@attribute 5747 numeric
@attribute 5879 numeric
@attribute 5894 numeric
@attribute 6416 numeric
@attribute 6464 numeric
@attribute 6654 numeric
@attribute 6714 numeric
@attribute 801 numeric
@attribute 805 numeric
@attribute 808 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,-0.0693077171,-0.0169406613,-0.0660282744,0.4345339728,0.2797568681,0.2269297111,0.5726595125,1.3452941188,1.0380567778,0.7463167697,0.6293294718,-0.3883404298,-0.0983312302,0.1846735908,0.8951084466,0.3334267199,0.1474579691,-0.1072664774,0.5276523813,0.4586358647,0.7139937217,0.0778244350,0.3606912876,2.7923812542,0.6409841057,0.8519533800,1.9096234484,0.1797246685,-0.0230143287,1.5891594400,0.9537983259,2.1997757852,BRCA
GSM480985,-0.0377684418,0.2199821969,-0.0510698676,0.3325850749,0.3031341848,0.3187140897,0.6760796893,1.1583383579,0.5481084954,0.9612028782,0.6384879346,-0.2833417452,-0.1254703736,0.2095803749,1.0636305118,0.5376056928,0.0900841358,-0.0931613796,0.4521202200,0.5649788797,0.7487222366,0.0538346215,0.4434307657,2.9129755730,0.6127393824,0.9115112276,1.9413004944,0.2011654340,-0.0673303304,1.2845784730,0.9828057632,1.9199515841,BRCA
GSM480986,-0.0624373969,0.0197999421,-0.1267201663,0.3517915079,0.3711583552,0.2534925254,0.5903858004,1.5127595663,0.9493732134,0.9059672051,0.5029104183,-0.3363986726,-0.1237236924,0.2977734730,0.7935199528,0.5214103467,0.1559347632,-0.1167993353,0.5276161861,0.5706250406,0.7966307569,0.0844743560,0.2375885064,3.0052631994,0.4839221177,0.8755208067,2.0243224118,0.0952468054,-0.0464315283,1.6418533209,0.7694473286,2.1900971755,BRCA
GSM480987,-0.0562811985,0.8610898719,1.3864176907,0.1587947994,0.3778557302,0.0220875726,0.6081153182,1.4599798470,0.6616964770,1.2356612913,0.3049977311,-0.3583539021,-0.0579537458,0.3343636306,0.5396577952,0.4951465396,0.0835026311,-0.1432857454,0.4570317386,0.5260457562,0.7170214796,0.0511663564,0.2307216385,3.1002503070,0.3882937707,0.4823463641,1.9975022057,0.0700896732,-0.0569087189,1.3375803794,0.6854064385,1.7749855086,BRCA
GSM480988,0.0156358049,0.0694702046,-0.1249507846,0.1726689534,0.1301916772,0.1364912806,0.4102926908,1.6300611323,0.4589619954,0.5378554523,0.5119321555,-0.3615671181,-0.1065016748,0.2018256103,0.7586201133,0.4710813121,0.0817065693,-0.0806064152,0.4923907940,0.4829891018,0.6912962379,-0.0383270433,0.3012423917,3.0203843170,0.4704262694,0.8547642460,1.9610705971,0.0896705153,-0.0468429086,1.4518957679,0.8568994044,2.2009519134,BRCA
GSM480989,-0.1955304281,0.2477838278,-0.1383574481,0.2135165615,0.4043724635,0.1775155949,0.5169472916,1.6843677122,1.1103506463,0.5993327181,0.3381318762,-0.5219548063,-0.1228035998,0.2661028575,0.6540494401,0.5198385118,0.0811992555,-0.1211765001,0.4168803811,0.8519349658,0.5911021925,0.0375365682,0.1835803039,3.3091132243,0.4437155496,0.4700387904,1.9755967301,-0.0037837656,-0.0013073004,1.5590544180,0.7983118814,2.9188919440,BRCA
GSM480990,-0.0857716558,0.0095471656,-0.0846046932,0.2635990058,0.4692344638,0.3475599620,0.5721652171,1.6475978081,1.1067612915,0.9502829010,0.3184949082,-0.3183309759,-0.1191736433,0.3583629270,0.6895217888,0.6607572544,0.1371517299,-0.1211324487,0.4040678319,0.5468216389,0.5124700949,0.1245269666,0.2556535407,3.4219261243,0.3387474729,0.3495328669,2.5765053460,0.0120991491,0.0237829644,1.4453520321,0.6829452796,2.5856389926,Control
GSM480991,-0.1043765836,0.2282817443,-0.0877550375,0.2092083807,0.3822606292,0.2744439769,0.6132513040,1.5652074934,0.9763167946,0.9142568514,0.4219880824,-0.4502119443,-0.0937623682,0.3763658349,0.8135851005,0.5980931108,0.0569693500,-0.0960165404,0.5071865046,0.6482640730,0.7236467786,0.0588836264,0.2348265328,3.2534763878,0.3654298311,0.4903383693,2.1101571236,0.0441448208,-0.0323408361,1.5451146222,0.7246558555,2.3986895680,Control
GSM480992,-0.0885431109,-0.0145717701,-0.1288262847,0.2100246319,0.4556893493,0.2888478639,0.4795048717,1.5792976092,1.1827308424,0.5848525959,0.3865627073,-0.4287381620,-0.1028343947,0.4881010573,0.6908869928,0.4647197556,0.1225340664,-0.1356904655,0.4130200728,0.9082788116,0.4097217267,0.1346057261,0.1477922502,3.4460021522,0.3105769333,0.3735262640,2.4270785623,0.0183351703,0.0106290712,1.4246134289,0.7415068230,2.6897532866,Control
GSM480993,-0.0518364091,0.1377103847,-0.0761828409,0.2942363708,0.3937792435,0.2887215831,0.5834782023,1.5582134934,0.9945207685,1.0657076714,0.4360589218,-0.2818559122,-0.1187496406,0.3266614947,0.8665301368,0.5712389041,0.1051260916,-0.1144585606,0.4741801064,0.7940912880,0.7140314231,0.0415849929,0.3103372069,3.0886874926,0.3602931440,0.6978857851,2.0765592329,0.0562111053,-0.0135325677,1.5856227239,0.8005855027,2.4490207491,Control
