@relation data

@attribute 3265 numeric
@attribute 6774 numeric
@attribute 5894 numeric
@attribute 6464 numeric
@attribute 2002 numeric
@attribute 1956 numeric
@attribute 5801 numeric
@attribute 3480 numeric
@attribute 8569 numeric
@attribute 2872 numeric
@attribute 2792 numeric
@attribute 5515 numeric
@attribute 4803 numeric
@attribute 4804 numeric
@attribute 6714 numeric
@attribute 5605 numeric
@attribute 5156 numeric
@attribute 9252 numeric
@attribute 5604 numeric
@attribute 2778 numeric
@attribute 3688 numeric
@attribute 2782 numeric
@attribute 2885 numeric
@attribute 5595 numeric
@attribute 6654 numeric
@attribute 4609 numeric
@attribute 6195 numeric
@attribute 5594 numeric
@attribute Class {Control,BRCA}

@data
7.4423513115,11.45883824,10.11570732,9.15105029633,9.719046985,7.05035509475,6.329817481,7.634903824,7.6838955385,11.24236857,5.028139516,11.688477345,7.388170429,5.934641074,6.75911734333,11.44994835,10.73337264,7.256578464,10.49127719,8.533866741,9.30169669467,13.02719506,9.4954151895,11.634256725,8.001564595,11.83974258,6.75911088,8.27215776867,Control
7.8897640555,11.6077021567,10.34726733,8.42779587067,9.192268846,6.79791370075,6.2776574455,7.713354077,7.3510555305,11.53764798,5.682862067,11.725137905,7.536346549,6.734171472,6.586005659,11.52169626,10.73397278,7.931104142,9.559434991,8.84345400733,8.828078384,13.00956452,9.5539178325,11.27623323,7.481398095,10.569760214,6.746992115,7.85669691467,BRCA
7.856102429,11.5512263767,10.45388564,8.45925672733,9.676230874,6.80402066425,6.130993986,7.935549803,7.22130858,11.26220667,4.963487128,11.639330205,7.765321119,6.822829314,7.22912163867,11.72288448,10.053395164,7.428122563,9.65317699,9.29076107,8.9042892375,12.9979954,9.480270588,11.198356615,7.228580927,11.54593261,7.136685014,8.11094053067,BRCA
8.398114105,10.720960379,10.09500831,7.73867912133,9.684192438,6.3257817405,6.2904923305,7.68113495,7.550181463,11.485756425,5.29683478,11.80875598,7.799736743,6.822733732,6.91032494133,11.42772678,9.4016975135,7.4437513505,9.580847928,8.629147321,8.75186424133,13.11510467,9.432546201,11.274247985,6.648325671,10.2570662725,7.5978930125,7.98209816267,Control
7.697637374,11.54329104,10.22872886,8.10318445333,9.981439248,6.78190965925,6.183454754,7.919550328,7.490961799,11.40201826,5.536217098,11.458095575,7.144329712,6.25333282,6.72839437467,11.8471671,10.594310045,7.794648318,9.966174165,9.35589447533,9.13491446,12.87743566,9.66718229,11.21839075,7.634958261,11.50644256,7.021079646,7.82991936767,BRCA
7.3388634815,11.6186680667,10.624983,8.70127661067,9.979768545,7.10041818325,6.051060631,9.087722135,7.9775367345,11.050839388,5.717272857,12.40345346,7.044998189,5.569408493,6.38912935567,11.5852209,10.813430195,7.69743404,10.23164154,9.078168623,9.489530799,12.98372673,9.9164802245,11.07534033,8.19601328,12.17961768,7.5246001185,8.18650002,BRCA
7.9742866725,10.620682972,9.961088297,8.36198243367,9.212867878,6.9842760015,6.5704538665,7.203154957,6.9360294185,11.60735899,5.442621133,12.072677105,8.198753346,6.682577247,7.54701473933,11.16076662,10.86366497,7.844629794,8.977681421,8.46320594233,9.251714595,12.64120964,9.167523377,11.151396135,7.292025067,10.2032142635,6.923040761,8.451561107,BRCA
7.7095138065,11.4495990067,10.12277013,8.53051419067,9.290572499,6.998917209,6.163996959,7.320803087,7.2742748985,10.6280523315,5.865554662,11.932399345,8.277683912,5.956063188,7.00963552967,11.28922369,11.03550101,7.921844917,10.00443156,8.875123686,9.23773095817,12.98945487,9.1611827995,11.40345044,7.787382059,11.820520445,6.824884907,8.171538624,Control
7.94496816,11.6033707233,9.9831294,8.16926655967,10.01823535,6.85070537275,6.320024587,7.809255459,7.165259291,10.934482423,5.659076304,11.55756824,7.431458167,6.599024363,6.85674479767,11.82274022,10.45062521,7.9904688245,9.452231522,9.29028807333,9.05065703483,12.96993872,9.3657406255,10.99057863,6.878728789,12.140966635,7.242305488,7.91861634733,BRCA
8.148239231,11.0351359567,10.28660429,8.39504068233,9.726661428,6.30061577025,5.7001662055,8.284894788,7.1768613545,11.34867369,4.958159726,11.593713005,7.109833592,6.367550714,6.973025285,11.64681981,10.182966585,8.0356480365,9.69476318,8.55731348,9.06946628383,13.02126635,9.70078824,11.551814785,7.4960371,9.975804059,6.8978346455,7.74245236133,BRCA
