@relation data

@attribute 9365 numeric
@attribute 26281 numeric
@attribute 10818 numeric
@attribute 5781 numeric
@attribute 6464 numeric
@attribute 2254 numeric
@attribute 2253 numeric
@attribute 54106 numeric
@attribute 2252 numeric
@attribute 2251 numeric
@attribute 2250 numeric
@attribute 8074 numeric
@attribute 8817 numeric
@attribute 2248 numeric
@attribute 2249 numeric
@attribute 2246 numeric
@attribute 2247 numeric
@attribute 5289 numeric
@attribute 3630 numeric
@attribute 6714 numeric
@attribute 27006 numeric
@attribute 30849 numeric
@attribute 2263 numeric
@attribute 8660 numeric
@attribute 2264 numeric
@attribute 1796 numeric
@attribute 2261 numeric
@attribute 2260 numeric
@attribute 5290 numeric
@attribute 5291 numeric
@attribute 8822 numeric
@attribute 8823 numeric
@attribute 2549 numeric
@attribute 2255 numeric
@attribute 5335 numeric
@attribute 2885 numeric
@attribute 3667 numeric
@attribute 3643 numeric
@attribute 10817 numeric
@attribute 5295 numeric
@attribute 9965 numeric
@attribute 5296 numeric
@attribute 6654 numeric
@attribute Class {Control,BRCA}

@data
7.633596724,6.0331958605,5.772677763,11.64123906,9.15105029633,7.282998326,5.066614647,5.412113573,5.641987591,5.3193541885,6.303073629,5.9442327955,6.1941920175,5.238988625,5.787387568,6.390483226,7.9169360095,6.066633462,5.169936271,6.75911734333,5.261729425,7.666137216,5.703219255,12.08367055,5.16471875233,6.007089656,7.167255083,6.63167228267,6.685313404,7.339184439,5.596123584,6.260125068,6.11877664633,6.54048116,7.6745180755,9.4954151895,10.10813927,6.361861002,9.203483287,7.0703331436,5.616777635,11.7240492,8.001564595,Control
7.811296214,5.597035406,5.65943283333,11.64123906,8.42779587067,7.601327189,5.2827490955,5.359671604,5.968327676,5.1967514595,5.9112008435,5.649825465,6.30034954,5.291687581,5.176333993,6.34676698033,6.9758426655,5.492262803,5.773212576,6.586005659,5.002940155,7.979969765,5.672079654,11.11317258,5.66166144333,5.553829893,6.9461560065,6.761059759,7.098719371,6.741201091,5.663779561,4.689877288,5.87580800833,6.160683884,7.862876923,9.5539178325,10.01141636,5.911818141,8.659693702,7.6111323212,5.110416751,12.12504541,7.481398095,BRCA
6.608332915,6.0967740745,5.55073379133,11.37070935,8.45925672733,7.068969348,5.430857273,5.651633855,5.144669712,5.0087123895,5.892872074,5.414083738,5.51106377,5.219566658,5.126406353,6.68734698167,6.381302865,6.394124489,5.870864797,7.22912163867,5.477524542,7.943805792,6.089429956,11.22600587,5.56615300933,6.082900138,6.6484163275,6.26887747967,6.212526175,6.813047234,5.515393331,4.774274953,5.489172308,5.165119293,7.7021225845,9.480270588,9.532322378,6.617140962,8.999958525,7.448654099,5.885764236,12.67203307,7.228580927,BRCA
6.901473714,5.696887672,5.33781834633,11.77608148,7.73867912133,6.753287377,4.764148849,6.225261069,5.057029153,5.487602415,5.708151602,6.094828639,6.2894737505,6.171732872,5.470383322,6.014935264,6.830263151,5.161495975,5.793122872,6.91032494133,5.391983545,7.302047389,5.475661496,10.31178269,6.45499970067,5.30196368,6.9962006475,5.89010381667,5.584068992,6.506054132,5.949658216,4.876039551,5.427851752,5.072117861,8.054801422,9.432546201,9.129946971,6.187258653,8.473463378,7.6522265588,6.369340517,12.52623397,6.648325671,Control
6.573689312,5.481438136,5.688073818,11.54684638,8.10318445333,6.42089131,5.266359202,5.776374632,5.55659131,5.1968665985,5.8843623285,6.033873071,6.0401487175,6.172883123,6.447005198,6.431967867,6.8612433615,6.385047554,5.536217098,6.72839437467,5.380600673,8.352927454,6.216508824,11.49594259,5.580378299,6.088105148,6.6243939125,6.706029596,7.405441727,6.944393257,5.375136114,5.488491912,5.95688781033,5.938174768,7.930765467,9.66718229,9.959676393,6.468750795,8.261532137,7.950268865,5.371568663,11.96427598,7.634958261,BRCA
7.784080438,5.3222232545,6.26184317333,11.95147243,8.70127661067,6.228631729,5.4297209045,5.256643908,5.909059769,5.092094303,5.74825501,5.64447514,6.9462021345,5.011016147,5.023045997,6.89771458167,7.451942014,6.534735237,5.73607124,6.38912935567,5.070616072,9.014021255,6.631654085,11.69149721,5.81638087933,5.548136995,6.5237362205,7.05955089,7.460253403,7.80732453,5.346435058,5.214330049,6.364237361,6.715073541,7.6687152575,9.9164802245,10.00182726,6.511519926,7.4075251,7.4183463498,6.344744738,12.02694363,8.19601328,BRCA
8.090034492,5.624642194,6.52939292733,12.03524768,8.36198243367,7.603442983,5.3098015135,5.71384099,6.107065996,5.34423418,5.9518845585,6.505384745,6.699186128,5.614644516,5.614644516,6.082425078,6.9085147385,5.69405225,5.705709271,7.54701473933,5.192698437,6.219367603,5.583918611,9.882139059,6.15449700133,6.009555025,7.0034241525,6.91813654967,6.662423158,5.996847001,5.850631456,5.259377247,5.846801913,5.544509535,8.590203577,9.167523377,8.873183485,6.512547399,8.323506447,8.3350079456,6.00607988,13.11366653,7.292025067,BRCA
7.648431512,5.9329925075,5.97148952467,11.28411575,8.53051419067,6.746988283,5.22771396,5.870741528,5.82324701,5.013470784,6.4175923805,6.457948301,6.69967863,5.555364666,5.179721278,6.927217263,7.152234567,6.172283106,5.451879748,7.00963552967,5.281894103,8.238764323,5.808263565,11.73537632,5.61018452233,5.202820508,6.4604834375,6.477000624,6.020263967,7.162847292,5.125580074,6.302461288,6.14872126967,6.391635094,7.7549264415,9.1611827995,10.47490271,5.826809832,9.24901928,7.757716558,5.989996857,12.07897478,7.787382059,Control
6.995713808,5.9723644955,5.54762997267,11.64347756,8.16926655967,5.961629839,5.139545746,5.59156816,5.244897759,5.366990285,5.9754857605,5.747274549,6.6541556965,5.855623029,5.354744155,6.65253264333,6.8182341645,6.387246745,5.541182786,6.85674479767,5.274272145,7.653026194,6.450184887,11.64430934,6.45919725867,5.939938374,6.785049226,5.68970163167,7.205282841,7.428655643,5.065239741,4.786611159,5.98389700833,5.98687237,8.1175343725,9.3657406255,9.964760013,5.887653968,8.908453514,7.6719006758,6.134432096,12.20624983,6.878728789,BRCA
6.516256016,6.1387688815,5.70757979267,11.52775569,8.39504068233,6.829282328,5.12339042,5.605858198,5.574866903,5.491706318,5.698125565,5.675663172,5.824272396,4.943465724,5.353156751,6.353105852,6.9513043535,5.992208309,5.233822166,6.973025285,5.391983545,8.166628995,5.926361974,11.1050886,6.62868312967,5.774267365,7.582218724,6.59057193467,7.606018576,6.850940421,6.187011156,5.411944154,5.85947821333,5.368603583,8.2287174245,9.70078824,10.08180334,6.078850631,8.233656972,7.3060563712,5.714253246,12.27296951,7.4960371,BRCA
