@relation data

@attribute id string
@attribute 10000 numeric
@attribute 10725 numeric
@attribute 11261 numeric
@attribute 1432 numeric
@attribute 207 numeric
@attribute 208 numeric
@attribute 23533 numeric
@attribute 25759 numeric
@attribute 26279 numeric
@attribute 30814 numeric
@attribute 3265 numeric
@attribute 3791 numeric
@attribute 3845 numeric
@attribute 4772 numeric
@attribute 4773 numeric
@attribute 4775 numeric
@attribute 4776 numeric
@attribute 4846 numeric
@attribute 4893 numeric
@attribute 50487 numeric
@attribute 5290 numeric
@attribute 5291 numeric
@attribute 5293 numeric
@attribute 5294 numeric
@attribute 5295 numeric
@attribute 5296 numeric
@attribute 5319 numeric
@attribute 5320 numeric
@attribute 5321 numeric
@attribute 5322 numeric
@attribute 5335 numeric
@attribute 5336 numeric
@attribute 5530 numeric
@attribute 5532 numeric
@attribute 5533 numeric
@attribute 5534 numeric
@attribute 5578 numeric
@attribute 5579 numeric
@attribute 5582 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 5600 numeric
@attribute 5603 numeric
@attribute 5605 numeric
@attribute 56848 numeric
@attribute 572 numeric
@attribute 5743 numeric
@attribute 5747 numeric
@attribute 5829 numeric
@attribute 5879 numeric
@attribute 5880 numeric
@attribute 5881 numeric
@attribute 5894 numeric
@attribute 6300 numeric
@attribute 63928 numeric
@attribute 64600 numeric
@attribute 6714 numeric
@attribute 7422 numeric
@attribute 7867 numeric
@attribute 81579 numeric
@attribute 8398 numeric
@attribute 842 numeric
@attribute 84647 numeric
@attribute 8503 numeric
@attribute 8681 numeric
@attribute 8877 numeric
@attribute 9047 numeric
@attribute 9261 numeric
@attribute 998 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,0.6797332095,0.4660254572,0.8611027989,0.4174692793,2.3584245311,0.3070585448,-0.0131690648,-0.1456060512,-0.1405790460,-0.1904537968,0.8212452234,-0.0566689612,0.1314761901,0.0886515304,0.0434628459,0.0288073119,0.0472211881,-0.0387524355,0.8848718814,0.2648592970,0.3417825494,-0.1444193100,0.8497827404,-0.0743738270,0.0027666772,1.1555331424,0.0724902563,0.3919864135,-0.0567561424,0.1942306542,0.8370002049,0.1043059106,0.6486776985,1.4788247029,1.0400522820,0.1612316305,0.2608651281,-0.0981862237,-0.0750473595,0.3768321643,1.1201675758,0.4517662190,0.5395283599,0.1390805759,0.3724186940,0.3923970497,0.4811786679,0.3568962877,0.6420627936,3.2701125443,0.7911284625,-0.1825565849,0.3860900013,0.6241121968,-0.1447931698,-0.2286017106,-0.0124092440,1.2743816055,0.7075320346,0.8918800157,0.0096668727,0.3441887239,-0.0773267898,-0.0795126762,-0.0101853435,0.5583478496,-0.0749246973,0.7480650073,0.2411862325,BRCA
GSM481003,0.3007907103,0.2285291182,0.8260841547,0.3061586227,2.5114432043,0.3973698837,-0.0067144994,0.3687587061,-0.1302135657,-0.1219833474,0.9474795161,0.1531408341,0.0738842817,0.1072291716,-0.0071023582,0.0284779953,0.1099821702,-0.0145049248,0.9542065300,0.2367261773,0.1791957579,-0.1042557524,1.4233998538,-0.0506758328,0.0220997693,1.4443705760,-0.0359319534,0.0715840599,-0.0835485794,0.2958115291,0.9900261754,0.1816668325,0.5260021543,1.4940092098,0.8106030215,0.1265427291,0.2829620648,-0.0518483993,-0.0337643415,0.4223379152,1.1333078442,0.4978785231,0.7071057357,0.1453346393,0.5809089485,0.8256779464,0.2336032408,0.1244303655,0.6960067314,3.4451596026,1.8047334209,-0.0432929028,0.2815908568,0.6049226272,-0.1587073663,-0.1516569339,-0.0016825477,0.7908059188,1.1052471949,1.1356858278,0.0912243185,0.7539005348,-0.1046172373,0.1190332978,-0.0306176476,0.6728955308,-0.1631792652,0.8363371597,0.1941480732,BRCA
GSM481004,0.4733082638,0.4258645362,0.8845133396,0.4136280409,2.2194539971,0.4676012300,-0.0146582856,0.3231435837,-0.1334671667,-0.1383980732,0.8814408686,-0.0731375044,0.0657351969,0.2462961586,0.0134470427,0.0473546795,0.3676690033,-0.0022732905,0.9630198516,0.4841016842,0.1934292825,-0.0326631340,1.4479867770,-0.1540841441,0.0015714503,1.2018412555,0.0367292284,0.3503516176,-0.0147714728,0.9263242449,1.0766678804,0.0046874581,0.5568734760,1.5397735213,1.2435202534,0.1383806468,0.4684481415,-0.1085750333,-0.0723416345,0.5495924441,1.3982536542,0.4221550408,0.5545792864,0.0639251527,0.7485063769,0.5918967704,0.8012255923,0.2292358492,0.6701001566,3.1503309594,1.8457994221,0.0235277364,0.4157156661,0.4966396672,-0.0972555234,-0.0981588746,-0.0060122215,0.9908479975,1.0539213051,0.9571160324,0.0167640063,0.5294298967,-0.0605252561,0.1043470586,0.0138251425,0.6585753624,-0.1025796246,0.8170020746,0.2163254187,BRCA
GSM481005,0.7983672971,0.7245277575,0.8255034942,0.3984561536,2.3890128664,0.4302809539,0.0304015636,0.2984071820,-0.0750139249,-0.1711450809,0.8521304950,0.0204273892,0.1621117626,0.1025759120,-0.0190676901,0.1093474198,0.3299111068,0.0342610852,0.8978069759,0.2413362460,0.2936143763,-0.0949890131,1.0055721670,-0.1223234448,0.3289049813,0.9524374414,-0.0366886569,0.2416097289,0.0360093063,1.5309084753,0.8211322722,-0.0240801696,0.8398691173,1.6021617843,1.1356134855,0.3057993211,0.3166812967,-0.0871069950,-0.0307554886,0.4403047296,1.3712493853,0.4644701202,0.6868093671,0.0764267961,0.4353837960,0.5596565347,0.9504078202,0.2669062797,0.8165280745,3.0240586301,0.9297815149,-0.0208791407,0.3888399490,0.4447447957,-0.1152613652,-0.1681138359,0.0075601748,1.2501884444,0.6405999848,1.0282304035,0.1013291268,0.4136187493,-0.0551051659,0.0457376592,0.0939124124,0.5790790948,-0.1027652043,0.6886006258,0.1866518880,BRCA
GSM481006,0.6102282105,0.5373223195,0.8436095273,0.3921763096,2.7993582883,0.4174783649,0.0247047886,0.6224567819,-0.0912184608,-0.1978774663,0.8876503406,-0.0673823634,0.1676137317,0.1656357026,0.0079189933,0.0428417770,0.1709810107,-0.0489306779,0.6079864987,0.1678630912,0.2433270854,-0.0674328190,1.3385462081,-0.0515387084,0.2390861619,1.1112498336,-0.0627304080,0.3202906285,0.0852915491,0.5399629881,0.9354205676,0.0274722780,0.6594483865,1.5006651944,1.0245994510,0.3482065284,0.2588561041,-0.1044239603,-0.0489088737,0.3909603753,0.9865753614,0.5067868330,0.4674810317,0.1169393467,0.4638878952,0.4886666650,0.4449323208,0.2529420034,0.7397100626,3.3005572359,1.1112692641,-0.0495605654,0.3354175018,0.5143065399,-0.1569815902,-0.0775579248,-0.0179128214,1.4694099681,0.8584564146,0.9375375463,-0.0030618567,0.5213412684,-0.0416173076,0.1659671659,0.0167937154,0.5560188279,-0.1930790851,0.9046174878,0.1984657517,BRCA
GSM481007,0.3836162349,0.5563892530,0.8502483182,0.2309822093,2.4604020782,0.2757121727,0.0693962222,1.1539923084,-0.1956158172,-0.1225340637,1.1560421735,0.3300111510,0.1433539864,0.1427702047,-0.0179671429,0.0187811776,0.1696192184,-0.0758923908,0.8448888773,0.3013776672,0.1014056848,-0.0381952070,1.4767880777,-0.1263724936,0.1471414633,1.4279245571,0.2451748582,0.1465554425,0.2361062177,-0.1124364039,1.0210435065,0.1631172095,0.4920493394,1.1625167250,1.0916134130,0.2404658702,0.2214731303,-0.0580448157,-0.0014222495,0.2606000659,1.0516917631,0.4350651474,1.1163454109,0.1837086821,1.1648706290,0.9255183645,0.6039500778,0.1849544916,0.6706443179,3.0947886640,1.6025384089,-0.0361170458,0.2957258879,0.5193731897,-0.0530207068,-0.0877751080,0.0468923578,0.7867835067,1.0740025540,1.2202413425,0.0449932087,0.7313789074,-0.0696049801,0.0523188741,0.0332880970,0.7689255278,-0.1688076869,0.9244518569,0.2322261396,BRCA
GSM481008,0.5217626055,0.4762398614,0.7475578486,0.3457279783,2.1300801171,0.4476290999,-0.0033952392,-0.0374337450,-0.1066421580,-0.1632898217,1.2938889639,0.1243821173,0.1743810166,0.0974889337,0.0118374048,-0.0084585631,0.1422189982,-0.0765398359,0.9191996994,0.3109411343,0.1758980179,-0.0852505426,1.1338950680,-0.0720937303,0.0879067641,1.1462765579,0.0617635319,-0.0294756517,0.3041578594,-0.1651714859,0.8990125299,-0.0617019828,0.7504032691,1.5366616944,0.8087446459,0.2826632336,0.2738108856,-0.1056714096,-0.1196029719,0.4047704326,1.0726860836,0.4865003888,0.2473534204,0.1199409844,0.7693564068,1.0612640086,1.5930280676,0.2445528730,0.7187695248,3.2627433132,1.8644267959,0.0181689856,0.3589827556,0.5585720231,-0.1261704511,-0.1806219434,-0.0086323968,1.8535234271,1.0001408278,0.9744661360,0.0442506512,0.4864576326,-0.0548871543,0.0282589524,0.1876541325,1.6802951230,-0.0005673383,0.6951015564,0.1960819449,Control
GSM481009,0.5489170128,0.4853571055,0.6688206773,0.2764711754,1.7882246540,0.1436777954,-0.0460119554,-0.2635303903,-0.0463956869,-0.2374210076,0.5253295350,-0.1154322539,0.1793832846,-0.0915473821,0.0488742741,-0.0390010705,-0.0762975945,-0.1249894252,0.7767756040,0.0616922838,0.2437746771,-0.0950082633,0.4174557194,-0.1321362915,0.1336468826,0.6547553167,-0.0636470687,0.4092911698,0.1206036070,0.4025874838,0.4572595951,0.0492418256,0.6549914120,1.4563478480,0.4472229415,0.1498070048,0.3586061170,-0.1066654161,-0.1903911113,0.2795271149,0.7096309500,0.1471335525,0.2551399111,-0.0310865428,-0.0397215483,-0.0767497015,0.1736270667,0.1822121439,0.6320714956,3.2104844170,0.7943820304,-0.1872259752,0.2270372226,0.2179962545,-0.1344264271,-0.1908542063,-0.0607615665,0.9757552594,0.5232263056,0.8410133314,-0.0454398805,0.3737636758,-0.0924899587,0.0289410084,-0.0391394026,0.0527233876,-0.2325994102,0.5122263665,0.2414110834,Control
GSM481010,0.6249280034,0.5114652895,0.7652878618,0.3582406002,2.1086231072,0.3798376370,0.0036142197,0.3951061078,-0.1037507219,-0.1049189998,0.9039840400,0.1540771192,0.1744263203,0.1015663457,-0.0298674571,0.0293902383,0.1907716952,0.0744422058,1.2621549368,0.0982108879,0.2892597577,0.0721562371,1.1752510060,-0.0223426086,0.1319778106,1.1194783820,0.1075761976,0.0486381737,-0.0151800391,0.0399373054,0.7915824455,-0.0599373686,0.7335124992,1.3844987064,1.0618852462,0.3126156600,0.3844459151,-0.1128206664,-0.0485023446,0.5158594621,1.1154199801,0.4636299179,0.3259510165,0.1620686616,0.3937121409,0.7550900512,0.4616328687,0.2743944092,0.5792703495,3.1837559010,1.3407380601,0.0244037201,0.3965836786,0.4516097499,-0.1212306364,-0.0974640826,-0.0237400801,0.9745329110,0.7072847548,1.1378867638,0.0982792469,0.3622522485,-0.0359266409,0.2118905579,0.1038080066,0.1042212340,-0.0828556084,0.6229085607,0.2052486207,Control
GSM481011,0.3773361022,0.3962399713,0.7990937517,0.1895736574,2.7272794777,0.4895673924,0.0986143788,0.1114175908,-0.1059520594,-0.2251044646,1.1300241724,-0.0094138922,0.1905613793,0.1526722096,0.0004197034,0.0062426176,0.2919988107,0.0297967966,0.7011700384,0.2946575154,0.2223992294,-0.1192103243,0.9093435548,-0.0940577877,0.0018939260,1.3710955015,-0.0610166781,0.0602992324,-0.0271469704,0.1297885573,0.8280705125,0.0042137171,0.4358141350,1.4936494496,0.7789269015,0.1755088156,0.2189997299,-0.0728182171,-0.0513703098,0.3978262835,1.5733309313,0.6478326957,0.6543249066,0.2404869166,0.7186556260,0.8490704160,0.3457223476,0.1690626889,0.9477119443,3.1741475263,1.5971835990,-0.0108052118,0.2711141126,0.6355269162,-0.0789207903,-0.1592199401,0.0394449375,1.0054025888,1.1620779186,1.3700665053,0.0436406151,0.5318953696,-0.0414344758,-0.0562693753,-0.0462587857,0.7410259544,-0.1768215980,0.8988482499,0.2254770854,Control
