@relation data

@attribute 23649 numeric
@attribute 5424 numeric
@attribute 1763 numeric
@attribute 5425 numeric
@attribute 5557 numeric
@attribute 5558 numeric
@attribute 57804 numeric
@attribute 2237 numeric
@attribute 5422 numeric
@attribute 6117 numeric
@attribute 6119 numeric
@attribute 10714 numeric
@attribute 6118 numeric
@attribute 5111 numeric
@attribute Class {Control,BRCA}

@data
9.058425498,7.558728975,6.8981231695,12.66507944,7.9259666445,5.97561041567,8.824450546,8.6356430945,7.122160823,10.83471386,10.66108355,7.2083497295,11.61752958,7.30666968733,Control
9.413279443,7.88603356,6.8766851245,12.99332148,7.9503875055,6.06639047267,8.865378449,8.8318933355,6.409474951,10.800436875,10.48441034,7.3078710955,11.88379655,7.18042006333,BRCA
9.650235514,8.575114814,6.9445841975,13.23568448,8.517100268,5.72399821567,8.72987657,9.620597091,7.180493836,11.330452225,10.72737618,7.33191487,12.02968073,7.63223048933,BRCA
10.18060575,9.123553123,7.4451283935,13.52549699,8.4986833315,5.36854192167,9.24062507,9.0906394765,7.023923823,11.057611095,10.83441597,6.472480484,12.38193096,6.55166353833,Control
9.590110341,7.821010387,6.885292262,12.73729283,8.3791173545,5.95280065933,8.91062109,9.329909791,6.9330908945,10.93374845,10.45090222,7.2216641085,11.96009799,7.35432909133,BRCA
9.225973251,8.467973436,6.6341623465,12.65702034,8.4061773715,6.237969269,7.992656742,9.476334725,6.8500213875,11.641461875,9.132050545,7.523174648,11.54965727,7.408697217,BRCA
9.935902096,8.346005182,7.7532903405,13.63244094,7.114956815,5.788693131,9.121676695,8.2961196055,6.349361739,10.3458464955,10.38702135,6.6588492955,12.52245777,6.44602920733,BRCA
9.369358036,7.539955806,6.773364932,12.59766508,8.4155051985,6.32473713233,9.20124246,8.609435701,7.048256226,11.06229666,10.88785292,7.325273656,11.90810746,8.02092389867,Control
9.357783524,8.608200408,6.7731098095,13.17297049,9.0643521695,6.02795948867,8.811664588,9.642109982,7.4543940705,11.49735519,10.77226531,7.244781381,11.92126273,7.82590120133,BRCA
9.162543096,8.45693048,6.7659262955,12.92825655,8.3222045595,5.43016628233,9.25541878,8.75940589,7.011695558,10.656153568,10.47860813,7.099785483,12.52742331,7.315615812,BRCA
9.645109494,8.833563055,6.710544499,13.07564465,8.1297927905,5.90699724167,9.427680085,9.107300824,7.008129683,10.87490854,10.35810202,7.463332523,12.53830178,7.19178534067,BRCA
9.278554651,7.324543144,6.7843201735,12.68199828,8.207026822,6.10699417833,8.66980731,9.006318241,6.914785761,11.11875956,10.88129775,7.1852972805,11.75528414,7.66789353567,Control
9.185483232,7.935107761,6.735522986,12.85738045,8.176539011,5.90664606667,8.962058135,9.113554115,6.9100955155,11.29475415,10.4887367,7.4117681705,11.64562254,7.32601425833,Control
9.086873394,8.689964021,6.9776320865,12.86342169,8.30919878,5.90581402733,9.223423229,9.082795036,7.2390370655,10.666982815,10.55403266,7.4282706955,12.03723816,6.97591235933,BRCA
9.517788029,8.354559186,7.089233033,13.11037161,8.1555588695,5.73925937133,8.538519855,9.211922876,7.31912801,11.21590727,9.580042347,7.1613884155,11.80073018,6.763530312,BRCA
9.521659876,8.464169074,6.9385302655,13.0474759,8.63293609,5.92688192933,9.290952566,9.372225132,7.454481784,10.39328649,10.64948099,7.2083211925,12.21510531,7.03874911367,BRCA
9.375713432,8.292691032,6.978753636,12.87039849,8.4837444445,5.82199268833,9.547357825,9.252004483,7.3267110305,10.861074535,10.9447818,7.2727011495,11.98277091,7.10016706667,BRCA
9.551372359,8.43825243,6.9899737395,13.36098494,8.705581547,5.94728233467,9.443524356,9.437168452,7.345900669,10.620424425,11.12425722,7.070863253,12.11639279,7.13735669233,BRCA
9.101726968,8.463423345,6.789915729,12.83366697,8.528158071,5.97034949167,9.524924191,9.352729044,7.188619934,11.17905754,10.84615266,7.409290949,11.90965135,7.301571066,BRCA
10.10847909,8.591897347,7.5028987285,13.50065522,8.5665834615,5.90527172967,9.717642636,9.732093048,6.212221867,10.585395104,9.955032716,7.6441090585,9.074115449,6.78827803233,BRCA
