@relation data

@attribute id string
@attribute 10376 numeric
@attribute 10382 numeric
@attribute 10574 numeric
@attribute 10575 numeric
@attribute 10576 numeric
@attribute 10694 numeric
@attribute 22948 numeric
@attribute 347733 numeric
@attribute 6950 numeric
@attribute 7203 numeric
@attribute 7277 numeric
@attribute 7280 numeric
@attribute 7846 numeric
@attribute 81027 numeric
@attribute 84617 numeric
@attribute 84790 numeric
@attribute 908 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,3.7897653878,-0.0248780921,2.6598610747,2.2938923173,1.6571474969,0.2956620517,0.2982269965,0.0633124303,1.1463875344,2.2510712942,0.9076037903,2.9457966687,2.8091717423,-0.0790466804,3.7071670295,2.6352792580,1.6295156696,BRCA
GSM481003,4.1078361870,1.0219036937,2.8867906464,2.1976037820,1.6376029327,0.2116307740,0.2619560671,0.4736437263,1.1633818186,2.5286339390,2.5265952150,3.5673380495,3.1707631895,-0.0800109401,3.6607501210,2.8377810320,1.8622558986,BRCA
GSM481004,3.8417083623,0.0362615273,3.0306046143,2.7982514434,1.6932853683,0.2777646325,0.1829271156,-0.0925541409,1.4740888998,2.4616414902,1.5638762812,3.1302730145,2.9411581033,-0.0256238073,3.6067592501,2.7401745320,1.7972091545,BRCA
GSM481005,3.6775071325,0.0107334982,2.5354825123,2.0326310266,1.6704513281,0.3526923809,0.2002026243,0.0195703198,1.0609283727,2.0473996997,1.6460213462,2.5288496911,2.5689402798,-0.0808325104,3.5713435710,2.4480184713,1.6746589541,BRCA
GSM481006,3.7734354139,0.6190195530,2.5477478239,2.0596188439,1.4399476722,0.2257209380,0.2260702730,0.0717030007,1.1310380139,2.1136399639,1.9085949662,2.7022840976,2.6212947170,-0.0973411601,3.3233143984,3.1554017860,1.7097648383,BRCA
GSM481007,3.4129887521,1.0046364526,2.5772613684,1.6883234581,0.7172161266,0.2101113015,0.1331626166,0.3768677401,0.9438364413,1.8721045389,2.0493915678,2.4226375222,2.7831678727,-0.0918751543,3.1107358038,2.4906280040,1.3634623723,BRCA
GSM481008,4.2866313458,-0.1061545061,2.6148384543,2.4337157539,1.5816431642,0.3131878169,0.2210515474,0.0172750859,1.5540786161,2.1633907756,1.7240076265,2.8470385075,2.4402569828,0.1855130601,3.5601028204,3.1656436920,1.9852619009,Control
GSM481009,4.5428179501,-0.1487254595,2.1016671326,1.8038434056,1.2526367046,0.1590003128,0.0891224192,-0.2245596913,0.9395592008,1.6943299450,0.4763114577,2.1872276961,2.7547018330,-0.0355509876,3.3513136209,2.7756214143,1.4116789265,Control
GSM481010,3.9756714701,1.0012238455,2.6350800991,2.4499018721,1.9016707391,0.3467009005,0.2356159629,0.7513973829,1.4920543694,2.2103138434,2.5516127347,2.9837788341,2.7224319913,0.1311387576,3.4120708107,2.6139988103,2.1002123030,Control
GSM481011,4.2313007414,0.2093569269,3.0837260221,1.8915957344,0.8753009717,0.2515188229,0.0964759772,0.0198847120,0.7885360070,2.1150108908,2.1406944593,3.6321443319,3.1528146492,-0.0656243791,4.0713796616,3.1194594703,1.1254914701,Control
GSM481012,3.8025362790,0.1589820882,2.8174131976,2.6540537146,1.8693943694,0.3950594331,0.1976257523,-0.1767467530,1.4881451391,2.2959962291,1.2464372615,2.2926222831,2.5578590533,-0.0286403066,3.4327186346,2.5059433777,2.1131880500,Control
GSM481013,4.6712092756,-0.1076077116,2.7511791388,2.1283947626,1.3149583377,0.2998717426,0.1215716859,0.2015165297,1.7771587297,2.3795630600,1.5852744580,3.4998561442,2.7151790930,0.0150242231,3.8696581126,3.8461324373,1.5784772635,Control
GSM481014,3.4793598056,0.3285581886,1.9286405710,2.1354459259,1.6137620955,0.3136195686,0.3850147574,-0.0442063560,1.4113717303,1.7968798944,2.2035679222,1.9128075393,1.9540332357,0.0210332468,2.4127155989,2.2140968637,2.0300774032,BRCA
GSM481015,4.0576281548,-0.0447145705,2.4638665914,1.5863252943,0.8687710687,0.1648979545,0.1396005292,-0.2470392261,0.9837624374,1.7510629229,2.7820032438,2.7441678644,2.5493396373,-0.0867285736,3.1972019378,2.9854529700,1.1424624757,BRCA
GSM481016,4.0815556346,-0.0125074780,2.7724324994,2.6684209108,2.3653664812,0.4081537880,0.2511523408,-0.0706086870,1.5766211152,2.4335511129,2.0099531015,3.4179167451,2.9479080648,-0.0347904068,3.8204687535,2.9678216777,2.0447105820,BRCA
GSM481017,3.8468438684,-0.0532298396,2.0456410581,2.3766709831,2.3059966788,0.4269350089,0.4042790265,-0.1430445609,1.5838408135,2.1342203284,1.4718755285,2.2677815854,2.4417294972,-0.0190697619,3.1762325764,2.1874397197,2.4830879298,BRCA
GSM481018,4.3513486385,0.0279133560,2.5080253946,2.4007617367,1.4424886629,0.1281271594,0.2589654900,0.3330594020,1.0798186634,2.3416067163,1.1945551633,3.0208808185,2.7963327193,0.0384609299,3.5439032615,2.9691530860,1.3221547766,BRCA
GSM481019,3.9026022255,1.3667994047,2.5897601578,2.1835232442,1.9054663554,0.3876302975,0.3014284354,0.0298081204,1.3092261516,2.2196070551,2.9096959830,3.2367084325,2.7146554355,0.0221462986,3.7160977423,3.0374870300,2.1221823531,BRCA
