@relation data

@attribute 3265 numeric
@attribute 805 numeric
@attribute 1742 numeric
@attribute 5894 numeric
@attribute 801 numeric
@attribute 27330 numeric
@attribute 2902 numeric
@attribute 2903 numeric
@attribute 2904 numeric
@attribute 815 numeric
@attribute 2905 numeric
@attribute 816 numeric
@attribute 2906 numeric
@attribute 817 numeric
@attribute 818 numeric
@attribute 5170 numeric
@attribute 5923 numeric
@attribute 5924 numeric
@attribute 1385 numeric
@attribute 4747 numeric
@attribute 6196 numeric
@attribute 6197 numeric
@attribute 808 numeric
@attribute 88 numeric
@attribute 6195 numeric
@attribute 5594 numeric
@attribute Class {Control,BRCA}

@data
7.4423513115,13.59313376,8.85288926,10.11570732,13.11037161,7.366412106,6.288309337,5.73309076,5.765475903,4.967873236,5.84424205,6.3931703428,5.451055498,6.71763387475,8.533227316,7.1007852408,5.609342323,6.338429429,10.707890538,5.07383228,7.65857270567,6.52702968625,12.33572539,6.68951277,6.75911088,8.27215776867,Control
7.8897640555,13.5121695,8.71258815,10.34726733,12.75620088,6.20906888,6.079541724,5.420053896,5.287261033,5.03365563,5.934994833,6.9553527598,5.066101302,6.8818081325,8.715636586,7.4312568682,5.4226454465,5.667687262,11.4528809893,4.732013908,7.51923145167,6.64235424625,12.47764072,6.68426165,6.746992115,7.85669691467,BRCA
7.856102429,13.47944813,8.943878208,10.45388564,12.13760287,6.385953509,6.23418041267,6.089429956,5.469732364,5.935819934,5.79507289,8.109608713,5.387682411,6.405921396,8.2596790005,7.2445861642,5.6524911955,5.321216715,10.8440250817,4.971786376,7.197314467,6.2422901355,12.54827894,6.570846646,7.136685014,8.11094053067,BRCA
8.398114105,13.35270561,8.818774784,10.09500831,12.20536419,5.838328613,6.45691638667,5.327517838,4.645326303,5.198898037,6.340211188,8.725184586,4.736756024,6.1456479,7.7082282335,6.9971733014,5.626407627,5.182703468,11.337274206,4.984374307,6.97936211167,6.33404855075,12.76004735,7.162091995,7.5978930125,7.98209816267,Control
7.697637374,13.37889296,8.419687541,10.22872886,12.34682957,6.471354636,6.003456948,5.588723066,5.518229233,5.062220221,5.778741634,6.9100805066,5.206341637,7.045711086,8.3252183155,7.3395574808,5.523825652,5.527485802,11.0490871027,4.885099957,7.28840672033,6.76922237325,12.45248586,6.308617188,7.021079646,7.82991936767,BRCA
7.3388634815,13.71343219,7.431102924,10.624983,13.11510467,7.104889949,6.12810835567,5.70895367,4.569953748,5.093825554,6.064587171,6.3166102882,4.512547026,7.03324440275,8.4054699995,7.3955993004,5.1523846775,6.134996739,10.8002004453,5.925887445,7.361977291,7.19245125,12.66384721,6.448203566,7.5246001185,8.18650002,BRCA
7.9742866725,13.29267684,9.772562477,9.961088297,12.34260121,6.745442819,6.32230220733,5.832707292,5.188253784,5.754494213,5.472984221,9.356122659,5.072332275,6.55286557675,7.7168387545,7.3536038904,5.1035551,5.414821571,11.1354255073,4.77796061,7.46619594767,6.5621458705,12.61750082,6.401567006,6.923040761,8.451561107,BRCA
7.7095138065,13.44200721,8.983991943,10.12277013,12.57155186,7.289814009,6.325284749,5.54798282,5.185481295,5.619127766,6.498295252,7.580338669,4.93252334,6.064234489,8.729778512,7.0445753338,5.4833273435,5.745379368,10.258386433,4.888756945,7.49696018667,6.575528975,12.74796537,6.884418198,6.824884907,8.171538624,Control
7.94496816,13.70458133,8.939638805,9.9831294,12.3148028,6.640032041,6.57114183333,6.068139401,5.511603435,5.662925563,6.179665925,7.4789113804,5.172938736,6.4879534175,8.057131251,7.1591884674,5.3404876065,5.589022814,10.6759547673,5.620154746,6.894570391,6.443440984,12.4865699,6.341457111,7.242305488,7.91861634733,BRCA
8.148239231,13.30755735,9.017365988,10.28660429,12.71572616,6.268944869,6.591071042,5.538702079,5.190230876,4.482788153,6.031666056,7.9155472442,4.049108953,6.59589787525,8.3082798515,7.3339069032,5.0743020605,5.238033268,11.1110274023,4.987561048,6.81342298733,6.26822091,12.57561022,6.908516092,6.8978346455,7.74245236133,BRCA
