@relation data

@attribute 10568 numeric
@attribute 113235 numeric
@attribute 115019 numeric
@attribute 1181 numeric
@attribute 1317 numeric
@attribute 140803 numeric
@attribute 1811 numeric
@attribute 23439 numeric
@attribute 2495 numeric
@attribute 2512 numeric
@attribute 261729 numeric
@attribute 26872 numeric
@attribute 30061 numeric
@attribute 3162 numeric
@attribute 3163 numeric
@attribute 340024 numeric
@attribute 4490 numeric
@attribute 4493 numeric
@attribute 4494 numeric
@attribute 4495 numeric
@attribute 4496 numeric
@attribute 4499 numeric
@attribute 4501 numeric
@attribute 4502 numeric
@attribute 475 numeric
@attribute 476 numeric
@attribute 477 numeric
@attribute 478 numeric
@attribute 480 numeric
@attribute 481 numeric
@attribute 482 numeric
@attribute 483 numeric
@attribute 486 numeric
@attribute 4891 numeric
@attribute 490 numeric
@attribute 538 numeric
@attribute 54822 numeric
@attribute 55503 numeric
@attribute 55630 numeric
@attribute 65010 numeric
@attribute 6523 numeric
@attribute 6546 numeric
@attribute 6550 numeric
@attribute 6556 numeric
@attribute 7018 numeric
@attribute 7421 numeric
@attribute 7779 numeric
@attribute 795 numeric
@attribute 79901 numeric
@attribute 94033 numeric
@attribute 9843 numeric
@attribute Class {Control,BRCA}

@data
5.973141011,7.239553481,5.21611769,5.616777635,9.827049342,6.964690668,6.507244111,4.840477407,11.18913904,14.87845029,8.59568225367,7.821808257,8.9131668135,8.819397657,5.287261033,5.331285345,5.50383468,12.992377285,11.52630619,11.4486069,6.425189567,12.82188064,15.01411749,15.03021645,11.79804253,11.74617161,7.573838635,6.305838886,5.171511767,11.0075662667,8.881298397,8.1654550638,5.76249236625,11.37306376,5.612179357,7.801516189,5.811991941,6.006070076,6.13717760167,6.368729465,7.932570767,5.57418573,5.105815554,5.5377130695,10.01526211,6.343234747,7.670390317,4.330946554,13.26553025,5.821079567,6.3794880175,Control
7.171059083,6.282676674,5.288147158,6.489330684,9.916671122,6.847092199,7.097666426,4.708480413,11.62333067,14.61752065,7.99038344767,6.8085958046,9.6968987015,8.01368714,5.887288406,5.091500179,5.432801812,9.117675378,11.67143283,9.628177174,6.18148156,9.444942981,14.08516788,12.80095353,11.65430498,11.7601478967,8.499737407,6.107327595,5.404814027,11.0786587633,8.993477034,7.6774776296,5.667460738,11.77608148,5.65607024067,7.65682012,5.667687262,6.543989962,5.829782052,6.42827609967,9.013141976,5.754895016,5.263796174,5.6271246685,11.17866503,6.3245857785,7.0284551455,4.488522104,13.01222086,5.359671604,6.4903877545,BRCA
7.307672905,6.685173215,5.38177782367,6.675467086,10.21241769,5.543349912,8.221515981,4.991874681,11.53930922,14.450475135,7.35026983867,7.0032043282,8.725016115,8.045051277,5.038053386,4.933585915,5.403788568,11.320179121,11.91473092,10.53430072,6.0959990565,10.05022317,14.49088818,14.27361389,11.78983735,12.3780996267,5.72110688,6.059188284,5.6687672635,11.3381346567,8.935534242,7.590935683,5.53236536425,12.48766051,6.23649684267,7.790154807,5.658790765,7.21962541733,6.186777119,6.15195753533,10.42293494,5.062004299,5.826428522,5.528820191,12.10651723,6.884468334,6.915674034,4.757305356,12.48096516,6.1022441,6.445555593,BRCA
5.9884845785,6.476183696,5.50620192567,5.884360575,10.05847247,6.018929689,11.97142151,5.229406468,11.53607976,14.14542511,7.39396007,6.48120407,8.5776397925,8.243960734,5.651059765,4.978894894,5.442289366,9.861090662,11.31639767,10.88922276,6.0976510875,9.005344631,13.43392773,13.55093015,11.83486615,12.0413844233,5.460424154,6.037388399,4.908661704,9.415136053,9.524248408,7.1937672274,5.29784002825,12.62053951,5.84054187167,6.857922306,5.725748823,7.086146924,6.40419868233,7.08886588267,8.670710349,5.21345543,5.584068992,5.288537543,11.9938814,6.1999161555,6.1062460765,4.802724808,12.12923391,6.105076296,6.969508596,Control
7.70880163,6.820246387,5.26767276033,6.121746538,10.05577764,6.515467746,6.563276843,5.636197729,12.13627672,14.71613912,7.80297402767,7.0426387684,9.154963083,8.214915415,5.330568483,5.014814152,4.824273041,8.4799320405,11.23250954,9.084789208,6.261638417,9.081803715,13.66928817,12.66850837,11.57353372,12.0522698633,7.181900437,6.192791506,5.407338246,11.0671163433,8.886703411,7.6579137982,5.411301389,11.95582434,5.83725275933,7.476059875,5.65593226,6.75153634833,6.188114085,6.35683591767,11.02316716,5.111669081,5.435804628,4.8281878055,12.48900128,6.927952887,7.235130449,5.130324729,12.79724772,5.521373712,6.8436100865,BRCA
7.275042637,6.824389583,5.437376124,6.084920637,10.45416076,6.30834415,9.342986415,4.721662605,11.38730129,14.928466305,7.90266551433,6.8505274938,9.8857967685,9.526274809,6.066633462,5.476714818,5.460260315,8.686639204,9.469403277,7.389547722,5.504889769,7.56365604,12.49559531,12.39780304,10.39884818,12.5635974,6.847624679,6.2181085,5.3785945915,12.1145166367,8.792953849,8.0926699198,5.25698314425,11.48849306,6.112848442,8.456345302,6.245415441,7.75440604,5.809312255,6.50388295233,10.31961599,5.256643908,5.30998672,5.950090438,11.75296609,6.2610566815,7.910038365,4.615046297,13.06108236,5.51191964,6.8721267995,BRCA
5.7001225465,6.365014999,4.97154825267,6.893972281,10.12324558,5.242422681,11.70655442,4.567828407,11.32669367,14.13206333,7.108113022,6.110426902,9.644087332,8.730454109,5.246418775,5.009001383,5.733361967,10.5073392035,11.3989816,11.53607976,5.9799766715,8.876134064,13.87701905,14.30686595,11.95519228,10.9018499343,5.682019293,7.481256805,5.4209960565,8.83242227333,8.710342497,7.77673562,5.3340312765,12.08864757,6.13374709867,6.194663913,5.989826604,7.01295528267,5.99142993067,6.47114128867,7.364180901,5.442621133,5.263890047,5.5802124235,10.47450477,6.337816405,6.771950497,4.492012011,11.446481685,4.789483203,7.7269125455,BRCA
6.632974134,7.602441151,4.894583691,5.853628472,9.469031811,6.371999292,7.507876136,4.908346081,11.25593456,14.83470255,7.85751769567,7.460494621,9.546740352,8.99689792,4.983234478,5.517599514,5.626155278,12.2641512,11.7626666,10.10216966,6.127628175,11.42163372,14.64104867,14.63055838,11.89497319,11.77433084,7.766961362,6.47143593,5.8222575895,11.6829085233,8.934251932,8.060705661,5.71394497725,11.37601291,6.107408106,7.906065506,5.93470004,6.43675922067,5.94701984467,6.56323910567,9.259184861,5.190033289,5.216465777,5.53698537,11.53806051,6.4083723705,7.468864969,5.097833303,13.42627284,4.715635629,6.8051885905,Control
6.847572101,6.569176337,5.34103405233,6.044345618,10.15138482,6.319315918,11.83377967,5.221694654,11.91235432,14.47509816,7.55170298667,7.0389212154,9.200348526,8.332709192,5.6227922,5.015037253,5.310623005,11.041699446,11.30449979,10.53833958,5.7588526185,9.809720356,13.97428464,13.76961631,11.55255397,12.3698481033,8.920911903,5.838328613,6.229757997,11.8796742633,9.169130251,7.891337482,5.4692828215,12.00382718,6.202317279,7.333962866,6.268055951,7.102932558,6.11354048767,6.55713444433,9.507616831,5.287261033,5.9893725,5.127133633,10.84615266,6.73166799,7.677275429,5.264922245,12.372987525,5.40668228,7.0520658975,BRCA
5.6286750215,6.532710954,5.59020270967,5.956644051,10.74565776,6.169980729,8.356123034,5.139972076,11.43412272,14.835532695,7.67069356367,6.9436192962,8.8874056125,8.350852048,5.468103682,5.181511332,5.104977394,9.7016293555,11.6557522,11.30769051,6.5440894445,9.359277986,14.38765928,13.16411975,12.02630394,12.0528531,7.510370809,6.137304345,5.5306956595,11.8340178433,8.786074471,7.6172088754,5.003627072,11.99021932,5.95312868933,8.164820369,6.158968739,7.01804069933,5.81250177733,6.382173862,8.198618308,5.255511354,5.745379368,5.131613837,12.31128435,6.0909029845,6.7023029305,4.623115173,12.698660965,5.308713308,6.2666122885,BRCA
