@relation data

@attribute id string
@attribute 1386 numeric
@attribute 1482 numeric
@attribute 1499 numeric
@attribute 1855 numeric
@attribute 2626 numeric
@attribute 27302 numeric
@attribute 2932 numeric
@attribute 324 numeric
@attribute 4086 numeric
@attribute 4089 numeric
@attribute 4090 numeric
@attribute 4091 numeric
@attribute 4208 numeric
@attribute 4633 numeric
@attribute 4878 numeric
@attribute 4879 numeric
@attribute 5981 numeric
@attribute 650 numeric
@attribute 652 numeric
@attribute 653 numeric
@attribute 655 numeric
@attribute 659 numeric
@attribute 6885 numeric
@attribute 6927 numeric
@attribute 7040 numeric
@attribute 7042 numeric
@attribute 7043 numeric
@attribute 7046 numeric
@attribute 7048 numeric
@attribute 7049 numeric
@attribute 7471 numeric
@attribute 8312 numeric
@attribute 8321 numeric
@attribute 8646 numeric
@attribute 90 numeric
@attribute 9241 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,-0.0693077171,-0.1237600908,0.9433099893,1.9197415728,-0.0870489600,-0.0736657002,1.2060972602,0.3981079434,1.0320233548,0.5766988737,1.2116085890,0.1729299370,-0.0983312302,-0.1103945201,0.0188195433,-0.0087760803,1.1815715189,0.1556910502,0.0613460438,-0.1034333223,-0.1274295507,0.2507006608,0.9587464938,-0.1500725711,-0.0716510054,1.2115081400,0.2120186358,0.1275436449,0.9388387937,-0.0984656590,-0.1784286854,0.0194719580,0.6079061520,-0.0896787126,1.2281076006,1.6038005651,BRCA
GSM480985,-0.0377684418,-0.1549107966,1.1109306672,1.1703327198,-0.0916640857,-0.1287906830,0.8787267861,0.2601429904,1.3130947848,0.5756055410,1.0141884897,0.1231019482,-0.1254703736,-0.1304085681,0.0248125478,-0.0071515941,1.1434785538,0.2411067744,-0.1285260897,-0.1045978464,-0.1097737294,0.4234992481,0.8959703881,-0.0827425210,0.0824852629,2.2415468245,0.3937102099,0.1747616115,0.9513775854,-0.1029228522,-0.2227140021,0.0196088935,0.6363046326,-0.1539317229,1.2970244381,0.8458557393,BRCA
GSM480986,-0.0624373969,-0.1493730023,0.9477347201,1.4138166258,-0.1049351828,-0.1254602551,1.3099040800,0.2144276956,1.0386834923,0.5589410135,1.1187234184,0.2435045727,-0.1237236924,-0.0524439803,0.0407107029,-0.0831006570,0.7124732714,0.4190212356,-0.0183025173,-0.0923524286,-0.1054337782,0.2464121901,0.6764137213,-0.1372201887,0.0753126589,1.7475938090,0.3265607800,0.1427664678,0.9698652430,-0.0641351286,-0.2109329382,-0.0080926579,0.5543586761,-0.1089073971,1.1720329431,1.2451184752,BRCA
GSM480987,-0.0562811985,-0.1539011408,0.7213038760,1.1244374067,-0.0763821862,-0.1099101841,1.1273281686,0.0411869942,0.8877816645,0.5155373554,1.3222860382,0.1840073647,-0.0579537458,-0.1087796988,0.0940123780,-0.1044237702,0.6011577090,1.0323279616,-0.1308542746,-0.0623468670,-0.1455789973,0.2174988082,0.5847795974,-0.0932031253,0.1392795458,0.3280445553,0.7380631556,0.2637792878,0.9319546315,0.4326366875,-0.2920788191,-0.0179345891,0.5006304462,-0.1333871125,1.4767077333,0.7755471764,BRCA
GSM480988,0.0156358049,-0.1293334478,0.8318137222,1.1592974100,-0.0779397160,-0.1356163682,1.5309302174,0.1999644395,0.9142321576,0.3915546862,0.6862993520,0.0959868294,-0.1065016748,-0.0551052652,-0.0672837039,-0.0672772848,0.8293907841,0.0108937794,0.0197572714,-0.0467874598,-0.0883819457,0.1450788498,0.5952524423,-0.1748402324,-0.0270612048,1.3875513934,0.3109506394,0.0900074829,1.1429302327,-0.0275297808,-0.1896429905,-0.0275964493,0.5828108958,-0.0827938826,1.3944343216,1.5055453314,BRCA
GSM480989,-0.1955304281,-0.1023129574,0.9154817797,1.6571678850,-0.0866309615,-0.0921514001,1.3318944331,0.1645981787,0.8430590443,0.3272314875,0.6719132613,0.1821043732,-0.1228035998,-0.0488451482,-0.0689186359,-0.0457596479,0.5685038011,0.0627200024,-0.1930935026,-0.0865951316,-0.0948196298,0.1714829501,0.3143859178,-0.2103764215,0.0133025040,1.2185817174,0.1787676166,0.0743520494,0.9059117025,-0.0086212868,-0.2957198480,-0.0369311500,0.4903254279,-0.1045718975,1.6262111115,0.9131574550,BRCA
GSM480990,-0.0857716558,-0.0990119453,0.8344820888,2.2193822246,-0.0990144556,-0.1299061217,1.3889006043,0.1217091008,0.7496233950,0.2867155222,0.9866173533,0.1019971591,-0.1191736433,-0.0724117002,0.0514922795,-0.0132128812,0.5843832314,1.0354675745,-0.0679102793,-0.1059909242,-0.0631841872,0.2699063999,0.4204747106,-0.1432992914,0.2451527447,0.8158590440,0.1661497030,0.2597094051,1.0702363388,-0.0316063432,-0.2169761581,0.0606553730,0.3496120568,-0.1459568098,1.5029689967,0.5961697633,Control
GSM480991,-0.1043765836,-0.1519527457,0.9456861730,1.5516097281,-0.0751884485,-0.1225546880,1.2929992116,0.1253455669,1.0085113913,0.3461920900,0.8001367787,0.2773966532,-0.0937623682,-0.0667334538,0.0599672746,-0.0975304689,0.5254092878,0.3706824735,-0.1199133218,-0.0984421954,-0.1358121697,0.2071957044,0.5598204840,-0.1119698594,0.1592403697,1.9517531172,0.4247659047,0.1632871340,0.9895387815,-0.0751924138,-0.2880659788,-0.0342619440,0.5008719263,-0.1222550173,1.5207298920,0.8736227206,Control
GSM480992,-0.0885431109,-0.1258361963,0.7282237562,1.8551404609,-0.0639878658,-0.1880486746,1.5241501815,0.1554057272,0.8861274223,0.2245497412,0.6585659827,0.0739885527,-0.1028343947,-0.0772472831,0.0796966947,-0.0008981784,0.5687593767,0.2598681609,-0.1254498036,-0.0972948466,-0.0919171417,0.1645766291,0.4415234548,-0.1513854789,0.2146601245,1.2877959238,0.3493119074,0.1224954221,0.9142842770,-0.0932281311,-0.2778281164,0.0391911526,0.4217283724,-0.0951816558,1.3616980390,0.8199899432,Control
GSM480993,-0.0518364091,-0.0767780156,0.8789024687,1.3835353521,-0.0796264467,-0.1292363410,1.3381779529,0.0713412618,1.1416577231,0.4767308229,0.9736300726,0.2356919384,-0.1187496406,-0.1288237980,-0.0144432332,-0.0696723232,0.7009486956,0.2612297014,-0.0385447841,-0.0882749535,-0.1132011612,0.1653034686,0.4999517977,-0.1069487779,0.1564938422,1.7717089691,0.2084418686,0.1472219157,0.9366969699,-0.0781657094,-0.2228755165,0.0153811188,0.6935565511,-0.1016041743,1.2794100084,1.4329009063,Control
