@relation data

@attribute 6657 numeric
@attribute 1869 numeric
@attribute 7027 numeric
@attribute 7298 numeric
@attribute 5557 numeric
@attribute 6241 numeric
@attribute 5558 numeric
@attribute 8318 numeric
@attribute 983 numeric
@attribute 8900 numeric
@attribute 5460 numeric
@attribute 5422 numeric
@attribute 5111 numeric
@attribute 7084 numeric
@attribute 84515 numeric
@attribute 23594 numeric
@attribute 81620 numeric
@attribute 23649 numeric
@attribute 5925 numeric
@attribute 26271 numeric
@attribute 1871 numeric
@attribute 1870 numeric
@attribute 4998 numeric
@attribute 4999 numeric
@attribute 1719 numeric
@attribute 5000 numeric
@attribute 79923 numeric
@attribute 5001 numeric
@attribute 993 numeric
@attribute 990 numeric
@attribute 891 numeric
@attribute 898 numeric
@attribute 23595 numeric
@attribute Class {Control,BRCA}

@data
5.191142987,5.763286242,10.489828235,7.62454166,7.9259666445,4.443820456,5.97561041567,6.299304767,5.5594032075,6.796886882,5.98608559533,7.122160823,7.30666968733,9.78453716,8.00728757867,9.9652661335,5.957224679,9.058425498,8.976299993,6.388848544,9.274157466,7.6916757,5.790192895,8.8794769,5.63902319,6.798021749,4.993687096,6.47162143767,5.7113333935,4.932168974,5.331285345,5.7706733955,8.595435709,Control
4.893623881,6.058322584,10.46698639,6.968670032,7.9503875055,4.95444207,6.06639047267,5.648473532,5.1000844475,6.077889871,6.29416571267,6.409474951,7.18042006333,8.951489538,8.600459581,10.6067005385,6.483780011,9.413279443,7.958452847,6.0430433815,9.646289192,6.931656836,5.868397398,9.341663989,5.748737112,6.6596432,5.402083668,6.35138548033,5.580948299,4.948847562,5.309804873,5.8681879535,8.901380658,BRCA
5.216164312,6.031886566,10.89809876,9.100820741,8.517100268,5.605858198,5.72399821567,7.716204063,6.018363896,6.720350724,6.17222257433,7.180493836,7.63223048933,8.660175215,8.39000280033,10.261247663,7.625491737,9.650235514,8.409052632,6.6995400145,9.837470696,8.360672771,6.760291233,9.113990271,4.620332194,7.16277178,5.214718599,6.817579064,6.1523191905,5.447257868,5.932280461,6.213232041,8.838747853,BRCA
5.064542934,5.460424154,10.14224707,8.900701647,8.4986833315,5.525294697,5.36854192167,8.225232898,6.0392399955,6.183293584,6.501395163,7.023923823,6.55166353833,8.434608552,8.72557625633,10.6087782065,8.354404912,10.18060575,6.610216975,6.458095163,10.27390663,8.162745192,5.972354482,9.441502737,5.372439586,6.651773306,5.62000808,6.714916353,5.697363916,5.182703468,6.555360353,5.99736739975,8.994142056,Control
5.173760478,6.053008806,10.17761519,8.422297266,8.3791173545,6.326164856,5.95280065933,6.134329409,6.028693113,6.125780878,6.24460528467,6.9330908945,7.35432909133,8.805970434,8.393809981,10.471142841,6.99492227,9.590110341,8.022008655,6.4112323765,9.962375907,7.617800091,5.712603517,9.666615087,5.333791561,6.921011149,5.403788568,6.839917773,5.9046360085,5.455665247,6.520190915,6.29992863125,9.287309018,BRCA
5.214330049,5.770572224,10.807258755,8.099138854,8.4061773715,6.953443134,6.237969269,6.828996845,6.0648074825,6.672712173,5.83327130167,6.8500213875,7.408697217,9.048637487,8.15974847467,10.338767298,6.399090431,9.225973251,9.286795183,6.7187801615,10.05069253,7.123969084,6.146803484,9.241638294,6.048220516,6.784605811,5.170937787,6.41271170433,6.113079114,5.342529189,6.429495141,5.7160804985,9.318577337,BRCA
5.1499802045,6.146803484,10.526885685,7.317731701,7.114956815,5.268482349,5.788693131,7.527244602,5.427401159,6.268944869,6.55679907567,6.349361739,6.44602920733,8.448282691,8.69044413033,11.251370817,7.423118274,9.935902096,8.555107826,6.686202902,11.29154789,7.972134198,5.301415026,9.669098149,4.998433881,5.968327676,5.032113243,6.868407698,5.5721428055,4.998433881,7.168173481,6.32124444525,8.337779235,BRCA
5.1226906155,5.920180882,10.77234512,8.193452823,8.4155051985,5.540872931,6.32473713233,6.264072495,5.6375433755,6.986072764,5.59058362833,7.048256226,8.02092389867,8.801652691,7.79524891633,10.1636613075,6.126245653,9.369358036,9.023671978,6.644794773,9.654399345,6.945271536,5.120093989,8.795261354,5.297935366,6.659429135,5.364932404,6.90348309733,5.5654738825,5.346169084,5.149148835,5.7012189585,8.482577193,Control
5.078956662,5.598879718,10.885151175,9.814767147,9.0643521695,6.760856726,6.02795948867,7.900868506,6.505547144,6.059891283,6.39055891833,7.4543940705,7.82590120133,8.745490404,8.29143898133,10.517727571,8.000734017,9.357783524,8.717951507,6.7867375125,10.12192882,8.258590913,6.614640376,8.989182391,5.681878783,6.944217536,5.474445169,6.783116074,6.648397732,5.620154746,6.342257494,6.42728370275,9.139008401,BRCA
5.3379549615,5.672857555,9.9169571465,7.322741917,8.3222045595,5.447092526,5.43016628233,5.634020526,5.4053195205,5.906897358,6.14861521567,7.011695558,7.315615812,9.25541878,8.821606451,10.3375133275,6.420975498,9.162543096,7.473200667,6.169236535,9.387097072,6.888624921,5.431298057,8.984704068,5.104977394,6.773670433,4.535627553,6.49954063167,5.7118445555,5.096358059,5.2209212,5.859119673,8.823646775,BRCA
