@relation data

@attribute id string
@attribute 10451 numeric
@attribute 10725 numeric
@attribute 10870 numeric
@attribute 11261 numeric
@attribute 117157 numeric
@attribute 135250 numeric
@attribute 1437 numeric
@attribute 2185 numeric
@attribute 2207 numeric
@attribute 22914 numeric
@attribute 23533 numeric
@attribute 2534 numeric
@attribute 25759 numeric
@attribute 259197 numeric
@attribute 27040 numeric
@attribute 2885 numeric
@attribute 3002 numeric
@attribute 3105 numeric
@attribute 3106 numeric
@attribute 3107 numeric
@attribute 3133 numeric
@attribute 3135 numeric
@attribute 3265 numeric
@attribute 3383 numeric
@attribute 3384 numeric
@attribute 3440 numeric
@attribute 3442 numeric
@attribute 3443 numeric
@attribute 3445 numeric
@attribute 3454 numeric
@attribute 3455 numeric
@attribute 3456 numeric
@attribute 3458 numeric
@attribute 3459 numeric
@attribute 3460 numeric
@attribute 355 numeric
@attribute 356 numeric
@attribute 3683 numeric
@attribute 3689 numeric
@attribute 369 numeric
@attribute 3805 numeric
@attribute 3812 numeric
@attribute 3823 numeric
@attribute 3824 numeric
@attribute 3845 numeric
@attribute 3932 numeric
@attribute 3937 numeric
@attribute 399694 numeric
@attribute 4068 numeric
@attribute 4277 numeric
@attribute 4772 numeric
@attribute 4773 numeric
@attribute 4775 numeric
@attribute 4776 numeric
@attribute 4893 numeric
@attribute 5058 numeric
@attribute 51744 numeric
@attribute 5290 numeric
@attribute 5291 numeric
@attribute 5293 numeric
@attribute 5294 numeric
@attribute 5295 numeric
@attribute 5296 numeric
@attribute 5335 numeric
@attribute 53358 numeric
@attribute 5336 numeric
@attribute 5530 numeric
@attribute 5532 numeric
@attribute 5533 numeric
@attribute 5534 numeric
@attribute 5551 numeric
@attribute 5578 numeric
@attribute 5579 numeric
@attribute 5582 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 5605 numeric
@attribute 5777 numeric
@attribute 5781 numeric
@attribute 5879 numeric
@attribute 5880 numeric
@attribute 5881 numeric
@attribute 5894 numeric
@attribute 637 numeric
@attribute 63928 numeric
@attribute 6452 numeric
@attribute 6464 numeric
@attribute 6654 numeric
@attribute 6655 numeric
@attribute 673 numeric
@attribute 6850 numeric
@attribute 7124 numeric
@attribute 7305 numeric
@attribute 7409 numeric
@attribute 7410 numeric
@attribute 7535 numeric
@attribute 79465 numeric
@attribute 80328 numeric
@attribute 836 numeric
@attribute 8503 numeric
@attribute 8743 numeric
@attribute 8793 numeric
@attribute 8794 numeric
@attribute 8795 numeric
@attribute 8797 numeric
@attribute 919 numeric
@attribute 9436 numeric
@attribute 9437 numeric
@attribute 962 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,-0.0326138439,0.4660254572,0.4745786906,0.8611027989,-0.0155845250,-0.0471229223,-0.0995073779,0.0190152100,0.0720853615,-0.1080595911,-0.0131690648,0.4023514937,-0.1456060512,-0.1772891430,-0.0426860156,1.6104626348,-0.1187746624,2.2812253023,1.5229048728,2.6123425960,2.3021070256,0.2401516087,0.8212452234,1.6084205522,0.1503931937,-0.2249800251,-0.1665054104,-0.0429045095,-0.2226108248,0.2954013840,0.8029777308,-0.0765595098,-0.1280158754,0.4557906479,2.5938532501,0.2668822305,-0.0072285445,-0.0770992702,-0.1962938794,0.6620092707,-0.2041068965,-0.0164388966,-0.2249531951,-0.0880914015,0.1314761901,-0.0762471060,-0.1219987183,0.0600588270,-0.0895365121,1.9737315841,0.0886515304,0.0434628459,0.0288073119,0.0472211881,0.8848718814,0.4033383753,-0.1432283042,0.3417825494,-0.1444193100,0.8497827404,-0.0743738270,0.0027666772,1.1555331424,0.8370002049,0.1584505707,0.1043059106,0.6486776985,1.4788247029,1.0400522820,0.1612316305,0.0059491734,0.2608651281,-0.0981862237,-0.0750473595,0.3768321643,1.1201675758,0.1390805759,0.0470554000,0.2761137816,3.2701125443,0.7911284625,-0.1825565849,0.3860900013,0.6887301476,-0.1447931698,0.1327500977,2.2882412161,-0.0234144181,0.2904654710,0.1777965052,-0.1212870654,-0.1203307158,-0.0860616779,-0.0056752554,-0.0023895863,-0.1957494331,-0.0499930794,1.3224682807,0.0052920096,-0.0795126762,-0.1282253968,0.9353066368,-0.0773547562,1.1674721982,0.5663754909,0.0158559754,-0.1078036953,-0.0483412463,-0.0814857418,BRCA
GSM481003,-0.0231692680,0.2285291182,0.3854765561,0.8260841547,-0.0086903229,-0.0772314420,-0.1960046216,0.2214162592,0.0724932240,0.1808982436,-0.0067144994,0.4055141435,0.3687587061,-0.1710461982,-0.1185903573,1.7524189089,-0.0930821378,2.5229606927,1.8544525307,2.9124462607,2.1511375834,0.4102152153,0.9474795161,1.3550704890,0.0781875632,-0.1369568799,-0.0251908779,-0.1373027871,-0.1710536411,0.3482769076,0.6120431169,-0.0320325630,-0.1236682045,0.3250210694,2.2865577637,0.0943974674,-0.1151960538,-0.1034652738,-0.1556896888,0.6213931068,-0.2156811397,-0.0057595879,-0.1601786392,-0.0686461418,0.0738842817,-0.0751021558,-0.0909487080,0.0609809078,-0.0964975743,2.4956240654,0.1072291716,-0.0071023582,0.0284779953,0.1099821702,0.9542065300,0.5633794381,-0.1059714395,0.1791957579,-0.1042557524,1.4233998538,-0.0506758328,0.0220997693,1.4443705760,0.9900261754,0.1618364114,0.1816668325,0.5260021543,1.4940092098,0.8106030215,0.1265427291,-0.0537678694,0.2829620648,-0.0518483993,-0.0337643415,0.4223379152,1.1333078442,0.1453346393,0.4993370962,0.0626567465,3.4451596026,1.8047334209,-0.0432929028,0.2815908568,0.7906400810,-0.1587073663,0.2025973817,2.4272642752,-0.0553885548,0.0839562974,0.0848102706,0.0222191754,0.3678463830,-0.1652009224,-0.0640276709,0.1084957430,-0.1579814833,-0.0905515356,1.3907091617,0.0413504756,0.1190332978,0.3719748261,0.9308475525,-0.1514042468,1.1896560479,0.5572360409,-0.1029128321,-0.1147326297,0.0042021866,-0.1130073878,BRCA
GSM481004,-0.0307725794,0.4258645362,0.2694004822,0.8845133396,0.0203432767,-0.0977130503,0.0166177656,0.1947660106,0.0867632077,-0.1361301528,-0.0146582856,0.6183126943,0.3231435837,-0.1997214156,-0.0561155036,1.7306030480,-0.0634951672,2.3726209051,2.3105667233,3.0650056200,2.3867501019,0.4255986509,0.8814408686,1.7522706015,0.0333518460,-0.2329448065,-0.0903554935,-0.0811381615,-0.2396499637,0.5104742534,0.6699566353,-0.0809765638,-0.1066800437,0.2758434620,2.1729679853,0.0639764964,-0.0492128852,-0.1109918706,-0.1854128705,0.7447423427,-0.1207134081,0.0091371963,-0.1760171252,-0.0786334789,0.0657351969,-0.0586939262,-0.1239090867,0.0458456214,-0.1287589650,2.0887076060,0.2462961586,0.0134470427,0.0473546795,0.3676690033,0.9630198516,0.4561246896,-0.1510098235,0.1934292825,-0.0326631340,1.4479867770,-0.1540841441,0.0015714503,1.2018412555,1.0766678804,0.3960925107,0.0046874581,0.5568734760,1.5397735213,1.2435202534,0.1383806468,0.0062699269,0.4684481415,-0.1085750333,-0.0723416345,0.5495924441,1.3982536542,0.0639251527,0.0360935164,0.0687684595,3.1503309594,1.8457994221,0.0235277364,0.4157156661,1.0386877479,-0.0972555234,0.1285219834,2.7043259995,-0.0500999228,0.1372055122,0.1890694758,-0.1644663710,-0.0368083989,-0.0151659958,-0.0649329242,0.0092281189,-0.1886380698,-0.1401273290,1.3036036093,0.0227122911,0.1043470586,-0.0596923572,1.0682750038,-0.0854552429,1.2871998267,0.3523355551,-0.1231937660,-0.0918326091,0.0015091694,-0.0740381815,BRCA
GSM481005,-0.0564037240,0.7245277575,0.5085496489,0.8255034942,-0.0224915407,-0.1433644093,-0.2197902050,0.1301742138,0.0776338815,-0.0683708418,0.0304015636,0.4258142904,0.2984071820,-0.1474339072,0.0511551089,1.6458761891,-0.0813898504,2.4218538858,2.2198376855,2.7893269853,2.4552787683,0.3398513175,0.8521304950,1.1470914875,0.0848073462,-0.0999731669,-0.0703464779,-0.0872558476,-0.2208455736,0.4722485527,0.4170022305,-0.0306531701,-0.1683066803,0.5546432902,2.3114442678,0.5774546972,-0.0388775236,-0.0538089833,-0.1542207042,0.7021117498,-0.1903441554,0.0027882924,-0.1905133799,-0.0930595888,0.1621117626,-0.0613186934,-0.1313626404,-0.0029305460,-0.0837354421,2.0454619329,0.1025759120,-0.0190676901,0.1093474198,0.3299111068,0.8978069759,0.5092585007,-0.1039396772,0.2936143763,-0.0949890131,1.0055721670,-0.1223234448,0.3289049813,0.9524374414,0.8211322722,0.3167094880,-0.0240801696,0.8398691173,1.6021617843,1.1356134855,0.3057993211,-0.0255494128,0.3166812967,-0.0871069950,-0.0307554886,0.4403047296,1.3712493853,0.0764267961,0.0269206680,0.2919591999,3.0240586301,0.9297815149,-0.0208791407,0.3888399490,0.7332842213,-0.1152613652,0.1215501410,2.3308550971,0.0180744121,0.2881692323,0.1629802437,-0.1354474181,-0.1027448054,-0.0309793255,-0.0950495207,0.0036584168,-0.1697499079,-0.0568491550,1.6958758433,0.1452049680,0.0457376592,-0.0834746774,1.7809230832,-0.0506385198,1.0606739779,0.3563172465,-0.1059599490,-0.1300910452,-0.0127249652,-0.0291889987,BRCA
GSM481006,-0.0841016283,0.5373223195,0.6380542600,0.8436095273,-0.0733959949,-0.0278803111,-0.1641713104,0.2094965038,0.0514071679,-0.0285389992,0.0247047886,0.4241999837,0.6224567819,-0.2000670446,-0.0700243346,1.6704388113,-0.1201832783,2.5923849594,2.5553631185,3.0099298953,2.4233008693,0.5036426629,0.8876503406,1.6024171489,0.0198998432,-0.1273475336,-0.0825599241,-0.1263899816,-0.0908440640,0.4692675604,0.6032770029,-0.1508883867,-0.2032751216,0.5267736223,2.5094886421,0.3577389630,-0.0263599712,-0.1073077497,-0.1855151630,0.7695110285,-0.1133721534,0.0295137334,-0.1809571400,-0.0301416615,0.1676137317,-0.1271773895,-0.0823589096,0.1210638009,-0.1259135717,2.3913492094,0.1656357026,0.0079189933,0.0428417770,0.1709810107,0.6079864987,0.5787126888,-0.0303392145,0.2433270854,-0.0674328190,1.3385462081,-0.0515387084,0.2390861619,1.1112498336,0.9354205676,0.1586954411,0.0274722780,0.6594483865,1.5006651944,1.0245994510,0.3482065284,0.0121471837,0.2588561041,-0.1044239603,-0.0489088737,0.3909603753,0.9865753614,0.1169393467,0.1963789132,0.3084470431,3.3005572359,1.1112692641,-0.0495605654,0.3354175018,0.5348292987,-0.1569815902,0.2058989356,2.3295555881,0.0128678733,0.2175775908,0.2528915434,-0.0939081977,-0.0591356744,-0.1478592350,-0.1211343683,0.0232389788,-0.1878603472,-0.0711215274,1.4371019203,0.0978846997,0.1659671659,0.1952458235,0.8443966531,-0.1066208704,1.0853338932,0.4698832383,-0.0725723411,-0.0598051322,0.0223700333,-0.0810445060,BRCA
GSM481007,-0.0341735956,0.5563892530,0.7204427983,0.8502483182,0.0840438111,-0.0899526607,-0.1757316024,0.4677392068,-0.0547207209,-0.0295901436,0.0693962222,0.3561066310,1.1539923084,-0.1392668397,-0.1201103809,1.7786090209,-0.1325723258,2.7132214616,2.6203098695,3.3078905740,2.5416592009,0.4378683264,1.1560421735,1.6901965559,-0.0174723764,-0.0661921823,-0.0938017999,-0.0554567706,-0.1144838074,0.2278537135,0.7096840223,-0.0492152067,-0.1352403009,0.5209690785,2.2709788829,0.0829495256,0.0419518193,-0.0586384583,-0.0165134667,0.9390580363,-0.1223145425,0.0207221707,-0.1385380229,-0.0398476611,0.1433539864,-0.1056098652,-0.0899394873,0.0987798262,-0.0437203417,2.5255455176,0.1427702047,-0.0179671429,0.0187811776,0.1696192184,0.8448888773,0.4080061787,0.0742588716,0.1014056848,-0.0381952070,1.4767880777,-0.1263724936,0.1471414633,1.4279245571,1.0210435065,0.1051575886,0.1631172095,0.4920493394,1.1625167250,1.0916134130,0.2404658702,-0.0230845344,0.2214731303,-0.0580448157,-0.0014222495,0.2606000659,1.0516917631,0.1837086821,0.5863196452,0.0113657976,3.0947886640,1.6025384089,-0.0361170458,0.2957258879,0.8986499582,-0.0530207068,0.1495742557,2.3985712954,-0.0621160632,0.2030390211,0.2699643974,-0.1150343669,0.1398046748,-0.1419781879,-0.0768376531,0.0575834834,-0.1766618981,-0.0764489734,1.7789261540,0.0586705186,0.0523188741,0.6190081456,0.8966612873,-0.0669076062,1.0645730355,0.8653598267,-0.0235219490,-0.0938870542,0.0320757143,-0.0337177315,BRCA
GSM481008,-0.0587467358,0.4762398614,0.2046495867,0.7475578486,-0.0119924045,-0.1063029757,0.3109835955,-0.0168563599,0.2104557655,-0.0244661134,-0.0033952392,0.5704126423,-0.0374337450,-0.1497897574,0.0971006761,1.6622805248,-0.1441555116,2.9042129741,2.3881211680,3.5734345917,1.7290140671,0.4788961043,1.2938889639,1.0914881301,-0.0370022842,-0.1489817619,-0.0607080726,-0.0912060768,-0.2021448404,0.2882225191,0.5572936486,-0.0616991531,-0.2036045082,0.1998051750,2.1560482681,0.1062172761,-0.0779219265,-0.0419190719,-0.1834583134,0.8205010526,-0.2194389631,0.0247200953,-0.2143500085,-0.0673261721,0.1743810166,-0.1128407006,-0.0956952133,0.2995089881,-0.1179118602,2.5643211206,0.0974889337,0.0118374048,-0.0084585631,0.1422189982,0.9191996994,0.4095634027,-0.1480397912,0.1758980179,-0.0852505426,1.1338950680,-0.0720937303,0.0879067641,1.1462765579,0.8990125299,0.2534119720,-0.0617019828,0.7504032691,1.5366616944,0.8087446459,0.2826632336,0.0897939847,0.2738108856,-0.1056714096,-0.1196029719,0.4047704326,1.0726860836,0.1199409844,-0.0404729063,0.2813343574,3.2627433132,1.8644267959,0.0181689856,0.3589827556,0.8953086573,-0.1261704511,0.2627108318,2.4446920753,0.0012555714,0.1490175020,0.1605632000,-0.1333306130,-0.0821399172,-0.0937298844,-0.0584359721,0.0569410248,-0.1844459682,-0.1297243799,0.9345710377,0.0279587975,0.0282589524,-0.0424767471,0.9147618901,-0.1415943518,1.2882454568,0.2147425574,-0.0611829106,-0.0702721943,0.0273785655,-0.1075489186,Control
GSM481009,-0.0990485983,0.4853571055,0.0935830592,0.6688206773,-0.0499420590,-0.1081913159,-0.2666411584,0.1010262713,0.0269088492,-0.0810421539,-0.0460119554,0.1867759509,-0.2635303903,-0.3005248920,-0.0204325118,1.3427748691,-0.0531995463,2.5609453994,1.5473926863,2.9983181160,1.6697274938,0.3684054967,0.5253295350,0.5789911190,0.0418354272,-0.1239943903,-0.0897535325,-0.0273430940,-0.1830840958,0.3001605223,0.3775896081,-0.0367782738,-0.2011497214,0.3250879490,2.0593769551,0.3526260266,-0.1702981595,-0.0861537382,-0.2835594586,0.6588328657,-0.1708060876,-0.2593596921,-0.2272941246,0.0227612859,0.1793832846,-0.0767853803,-0.1288826439,-0.0263681967,-0.1357413541,2.4283529122,-0.0915473821,0.0488742741,-0.0390010705,-0.0762975945,0.7767756040,0.0829424338,-0.2229678114,0.2437746771,-0.0950082633,0.4174557194,-0.1321362915,0.1336468826,0.6547553167,0.4572595951,0.0973739212,0.0492418256,0.6549914120,1.4563478480,0.4472229415,0.1498070048,0.1241364233,0.3586061170,-0.1066654161,-0.1903911113,0.2795271149,0.7096309500,-0.0310865428,0.0173634809,0.0240920140,3.2104844170,0.7943820304,-0.1872259752,0.2270372226,0.2611433211,-0.1344264271,0.0130740119,2.4154436141,-0.0048567386,0.0807280921,-0.0320870272,-0.1552854501,-0.1245508698,-0.2148679675,-0.0048604058,-0.0540411155,-0.2642275951,0.0020108868,0.6095082560,-0.0766929161,0.0289410084,0.0144388925,0.7276877964,-0.3131299153,1.1498214635,-0.0364983041,-0.1263983154,0.0385284503,-0.0110737672,-0.1068590430,Control
GSM481010,-0.0673315320,0.5114652895,0.4075930769,0.7652878618,-0.0056505467,-0.1135374799,-0.1030195266,0.1708685404,0.0859565825,-0.0299358393,0.0036142197,0.7505683312,0.3951061078,-0.1384557677,0.0140155649,1.7509254467,-0.0895435364,2.0726020042,2.2387732467,3.1118620240,2.0544098756,0.4823872663,0.9039840400,1.4379808760,-0.0318547905,-0.1164575414,-0.0778342285,-0.1084122991,-0.0943694549,0.4574914529,0.6511187900,-0.1134077050,-0.1147065031,0.7057379800,2.1362189799,0.2218772557,-0.0221168976,-0.0388701461,-0.1162023945,0.5558823925,-0.1197493156,0.0688620073,-0.0929713388,-0.0823049010,0.1744263203,-0.0627768678,-0.1041526239,-0.0524235679,-0.0946856324,1.9066356287,0.1015663457,-0.0298674571,0.0293902383,0.1907716952,1.2621549368,0.5802971647,-0.0622971702,0.2892597577,0.0721562371,1.1752510060,-0.0223426086,0.1319778106,1.1194783820,0.7915824455,0.1761760920,-0.0599373686,0.7335124992,1.3844987064,1.0618852462,0.3126156600,-0.0754363183,0.3844459151,-0.1128206664,-0.0485023446,0.5158594621,1.1154199801,0.1620686616,0.0461772423,0.3278113926,3.1837559010,1.3407380601,0.0244037201,0.3965836786,0.8465682827,-0.1212306364,0.0812296468,2.2814118394,0.0688335455,0.2435579410,0.2509317977,-0.1347208667,-0.0689478631,-0.0920541608,-0.1376485593,0.0842259519,-0.1132535086,-0.0791860360,0.9938966433,0.1088690767,0.2118905579,0.4432143136,1.0391662078,-0.0741450872,1.1100221166,0.1913179628,-0.0213031029,-0.0532519694,-0.0339362117,-0.0826643596,Control
GSM481011,-0.0442146932,0.3962399713,0.3088521848,0.7990937517,0.0074225138,0.0009774858,-0.2106334986,0.3322452556,-0.0256841576,-0.0491048291,0.0986143788,0.2638565085,0.1114175908,-0.1586337847,-0.0296590279,1.9492786230,-0.0586675363,2.3672987532,0.8510558853,2.4098413787,2.3644770805,0.2398299707,1.1300241724,1.2405612404,0.0264637599,-0.1018765384,-0.1155099279,-0.0170110600,-0.1619128032,0.1784434234,0.2532051102,-0.0754183352,-0.0782974666,0.2512683526,2.0899075419,0.2600723965,-0.0394266611,-0.0912651223,-0.2020389984,0.8748071725,-0.1992447216,0.1142947127,-0.1944620421,-0.0706275292,0.1905613793,-0.1187003686,-0.1268820861,-0.0295763075,-0.0789540725,2.3512359062,0.1526722096,0.0004197034,0.0062426176,0.2919988107,0.7011700384,0.2936353860,-0.1783245412,0.2223992294,-0.1192103243,0.9093435548,-0.0940577877,0.0018939260,1.3710955015,0.8280705125,0.1995841336,0.0042137171,0.4358141350,1.4936494496,0.7789269015,0.1755088156,0.0364831784,0.2189997299,-0.0728182171,-0.0513703098,0.3978262835,1.5733309313,0.2404869166,0.0494558051,0.0029051673,3.1741475263,1.5971835990,-0.0108052118,0.2711141126,0.5948791403,-0.0789207903,0.1413285768,2.8155515152,-0.0475626586,0.0857347009,0.2114646371,-0.1223144881,-0.0423061008,-0.0693470378,-0.0547222076,0.0532967153,-0.1617816474,-0.0353208957,2.0583053033,-0.0036057916,-0.0562693753,-0.0992656249,0.7576547213,-0.0037421076,1.2261578285,0.1277517480,-0.0795513421,-0.1443448871,-0.0119670773,-0.0706818849,Control
