@relation data

@attribute id string
@attribute 10454 numeric
@attribute 1378 numeric
@attribute 1432 numeric
@attribute 1535 numeric
@attribute 2002 numeric
@attribute 23118 numeric
@attribute 2353 numeric
@attribute 3108 numeric
@attribute 3109 numeric
@attribute 3111 numeric
@attribute 3112 numeric
@attribute 3113 numeric
@attribute 3115 numeric
@attribute 3117 numeric
@attribute 3119 numeric
@attribute 3122 numeric
@attribute 3123 numeric
@attribute 3458 numeric
@attribute 3459 numeric
@attribute 3460 numeric
@attribute 3552 numeric
@attribute 3553 numeric
@attribute 3565 numeric
@attribute 3586 numeric
@attribute 3592 numeric
@attribute 3593 numeric
@attribute 3654 numeric
@attribute 3676 numeric
@attribute 3684 numeric
@attribute 3688 numeric
@attribute 3689 numeric
@attribute 3716 numeric
@attribute 3717 numeric
@attribute 3725 numeric
@attribute 4615 numeric
@attribute 4688 numeric
@attribute 4689 numeric
@attribute 4790 numeric
@attribute 4792 numeric
@attribute 4793 numeric
@attribute 51135 numeric
@attribute 5579 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 5600 numeric
@attribute 5603 numeric
@attribute 5743 numeric
@attribute 5777 numeric
@attribute 5970 numeric
@attribute 6300 numeric
@attribute 65108 numeric
@attribute 6772 numeric
@attribute 6885 numeric
@attribute 7040 numeric
@attribute 7042 numeric
@attribute 7043 numeric
@attribute 7097 numeric
@attribute 7099 numeric
@attribute 7124 numeric
@attribute 718 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,-0.0521394628,-0.0576510539,0.6466643338,0.1193965175,0.2797568681,0.3869956061,0.1948640191,0.0626108013,-0.0021598573,-0.0444646151,0.1910638078,0.0322430879,0.0734804541,-0.0575062146,-0.1060773984,-0.1346518659,-0.0876011369,-0.1502639149,0.9466797090,1.8719507903,0.2482422408,-0.0177594677,-0.1635283750,-0.2551962770,-0.1427666815,-0.2414363771,1.1724569916,-0.0461405370,-0.0646153320,0.1778868698,0.0159100612,0.4470524510,0.0567569479,0.7463167697,2.0220233733,-0.1413551717,-0.1384198854,0.4754300158,0.8049394469,0.6222571999,0.3233914226,-0.1072664774,0.5276523813,0.4586358647,-0.0717742680,1.5197282433,0.0763389319,0.9600990878,0.8525465690,-0.0068966250,1.3235643059,0.6816845689,0.9587464938,-0.0716510054,1.2115081400,0.2120186358,0.1084792829,0.2804396783,-0.0286056817,0.8278927778,BRCA
GSM480985,-0.0289708189,-0.0329578288,0.5214375071,0.1036259753,0.3031341848,0.4735284309,0.3309724640,0.6915450320,0.1251381343,-0.0231436351,0.2698293427,-0.0650405677,0.0428558186,-0.1290383934,0.1628512691,0.0374173649,-0.1197701725,-0.1919777421,1.6257408953,2.3712515981,-0.0314154737,0.2870424135,-0.1799587318,-0.2261143029,-0.1356333635,-0.1827412749,0.9020442569,0.0015946848,-0.1047203513,0.1802411383,0.4165791678,0.5544197005,0.1556939161,0.9612028782,1.8178075153,-0.1017562050,-0.1356406559,0.4509238059,0.9412159958,0.5609422953,0.5854109176,-0.0931613796,0.4521202200,0.5649788797,-0.0165247075,0.8917866104,-0.0300743042,0.9672667549,0.8536376064,-0.0052304801,1.5142777971,0.8107330653,0.8959703881,0.0824852629,2.2415468245,0.3937102099,0.9595268907,0.4057916362,0.0503361004,1.8315040226,BRCA
GSM480986,-0.0100979297,-0.0682137781,0.5058162958,0.1041690425,0.3711583552,0.3484060676,0.3619466726,0.4945947789,0.1963292633,0.0140152021,0.2892794812,-0.0956911196,0.1620062226,-0.1481252838,0.1136571739,-0.0432058185,-0.1058928922,-0.1827084002,1.0875774383,1.9573997111,0.0009803817,-0.0239051148,-0.1821055065,-0.1601737868,-0.1428892811,-0.1846981423,1.2574874233,0.0710682853,-0.0637634593,0.1151252413,0.2119055211,0.5183176570,0.0812981193,0.9059672051,2.2257816393,-0.1179295726,-0.0786890589,0.3572855135,0.9283377825,0.7128700620,0.2910466744,-0.1167993353,0.5276161861,0.5706250406,0.0824834229,1.3150411108,0.0178532619,1.1775063474,0.9353946786,0.0253748071,1.5519993379,0.8439718666,0.6764137213,0.0753126589,1.7475938090,0.3265607800,0.3079955788,0.4525440362,-0.0117659394,1.1685674731,BRCA
GSM480987,-0.0314649140,-0.0586184299,0.6135009341,0.0210632048,0.3778557302,0.2882891527,-0.0610097518,0.0661166904,0.1146925516,-0.0216950949,-0.0708309157,0.1852427243,0.2594022517,-0.1046273241,-0.1178809743,-0.1097697392,-0.1023941331,-0.0920013336,0.8234962476,2.0126327129,-0.0380365687,0.1687085862,-0.1676234927,-0.2000680720,-0.1302193291,-0.1714984044,1.1661598228,0.0973028606,-0.1693109225,0.0755187708,-0.1507511987,0.7885095960,0.0791740535,1.2356612913,1.6798553201,-0.1818861859,-0.1151541600,0.2389650019,1.1037804131,0.7524098709,0.1764641986,-0.1432857454,0.4570317386,0.5260457562,0.1031593607,0.5668156716,0.0989996669,-0.0128968786,0.8780260834,0.1567118048,1.2319601570,1.6194223358,0.5847795974,0.1392795458,0.3280445553,0.7380631556,-0.0101977218,0.0066104551,-0.0407701192,0.3775965802,BRCA
GSM480988,-0.0249393861,-0.0017623047,0.4483090917,-0.0673428309,0.1301916772,0.2490599537,0.3942711436,0.4122418322,0.0454927820,0.0066495671,0.2402783686,-0.0805971442,0.0238832242,-0.0136553543,-0.0180359739,-0.1178864969,-0.0838345339,-0.1157230785,0.7043497048,1.9271321595,0.3082212135,-0.0187831094,-0.1232804301,-0.1748360544,-0.1597166529,-0.1901072972,1.1451398267,-0.0622308738,-0.0186350431,0.1863922891,0.1527472083,0.2999578148,0.0942390446,0.5378554523,2.2301817603,-0.1281442985,-0.1016432289,0.2502003758,0.7093335530,0.5546799707,0.0364090984,-0.0806064152,0.4923907940,0.4829891018,-0.0181701116,1.2879227399,0.0590901193,1.1087291342,0.6707278885,-0.0337513612,1.5131662414,0.7314281068,0.5952524423,-0.0270612048,1.3875513934,0.3109506394,0.4413706618,0.2433668587,0.0001304974,1.5271120535,BRCA
GSM480989,0.0112633825,-0.0339873365,0.4561344552,0.1748037803,0.4043724635,0.2112542397,0.0513401362,0.8770841099,0.1130909237,-0.0627682461,0.5084585080,-0.0473541224,0.0141822898,-0.0902577417,0.2084253303,-0.1505416402,0.0919470743,-0.2689341306,0.5480022887,2.4026839435,0.0643515889,-0.0912345345,-0.1595126757,-0.2916233484,-0.1920061474,-0.2779082904,1.4132617302,-0.0301781461,-0.0350942307,0.1971728543,0.2589396170,0.4428248556,0.1149073330,0.5993327181,2.0839382543,-0.2495255571,-0.1083195179,0.1723780840,1.0994870811,0.6648718736,0.2640720831,-0.1211765001,0.4168803811,0.8519349658,0.0375987290,2.1237873399,0.0133889897,1.3148517542,1.1224099571,0.0401129422,1.9990668520,0.5177749856,0.3143859178,0.0133025040,1.2185817174,0.1787676166,-0.0287181588,0.0364966773,-0.0217998318,1.7690416786,BRCA
GSM480990,-0.0188042015,-0.0190065218,0.3805084057,0.0750651746,0.4692344638,0.2772370632,0.1955064154,0.1208910512,0.1960860100,0.0098015560,0.0771852141,0.0482923948,0.1855409761,-0.0054088302,-0.0469217674,0.0769794038,0.0021974898,-0.1534946757,0.6365606239,2.3051380366,0.8070518219,1.2702010869,-0.1643242365,-0.1563080516,-0.1445224128,-0.1840325179,1.4319557610,-0.0030183041,-0.0722914216,0.2156330049,0.0421455834,0.3581295984,0.0679819035,0.9502829010,1.9516628450,-0.1453749056,-0.0649799671,0.3219937040,1.2569765001,0.7222510494,-0.0541695836,-0.1211324487,0.4040678319,0.5468216389,0.1545863018,1.1991209335,0.1267204625,0.9472869369,1.1399565821,0.1445519146,1.6461720746,0.4939969672,0.4204747106,0.2451527447,0.8158590440,0.1661497030,0.2468266006,-0.0570322130,-0.0152148257,1.3251033657,Control
GSM480991,0.0043778190,-0.0251235024,0.4695376563,0.1720126188,0.3822606292,0.2545837700,0.5429381570,0.8700902536,0.2280225680,-0.0335729512,0.2943344935,0.0232491174,0.0698537100,-0.0889617601,0.7456210894,-0.0470037273,0.0457426893,-0.1411837970,0.9760675002,2.3032767924,0.0797228272,0.1146655146,-0.1673133309,-0.1673274888,-0.1728493255,-0.1859649509,1.3351861720,-0.0114926056,0.0377825897,0.1428165244,0.2775288068,0.5139666454,0.0256183829,0.9142568514,2.3958708842,-0.0130603146,-0.0152204525,0.3367405246,1.2472408378,0.8390529259,0.1957089166,-0.0960165404,0.5071865046,0.6482640730,0.1750445278,1.5476096728,0.0958185670,1.2950893441,1.0769064036,0.1220167010,1.7230258435,0.7248970133,0.5598204840,0.1592403697,1.9517531172,0.4247659047,0.4888265900,0.4451607267,0.1726690396,1.6375737222,Control
GSM480992,-0.0220352950,0.0291223202,0.3800862124,0.2651529643,0.4556893493,0.3281374639,0.3445932802,0.3343284855,0.1347692112,0.0117455605,0.1602105837,0.0454827089,-0.0322465841,-0.0244123454,-0.0797030918,-0.0839464270,-0.0198893765,-0.1471509594,0.5103113658,1.9482593239,0.2392629278,0.2461778623,-0.1594729364,-0.1863134343,-0.1686027116,-0.1159208217,1.6510699948,-0.0469060921,0.0071480778,0.0501170250,0.2887557880,0.3732452306,0.1000183866,0.5848525959,2.3023018834,-0.1667003399,-0.0857614816,0.1333302662,0.8925691490,0.7926203149,0.0556201556,-0.1356904655,0.4130200728,0.9082788116,0.1619838233,1.8157576812,-0.0089352386,1.1846827931,1.2896809784,0.0927470139,2.1324131042,0.4897415630,0.4415234548,0.2146601245,1.2877959238,0.3493119074,0.0087293616,0.0764855271,-0.0538811761,1.4677773779,Control
GSM480993,0.0051788399,-0.0868276205,0.5930127984,0.1611156384,0.3937792435,0.2949584148,0.4851258332,0.5518651867,0.0842804099,-0.0596483520,0.2476261285,0.1215528380,0.1667407294,-0.0892533154,0.9970571118,-0.0267558961,-0.0672223516,-0.1658804081,0.7468825014,2.2365040929,0.1554126427,0.0334400552,-0.1424055492,-0.0972517151,-0.1339600720,-0.1286299384,1.3811694917,-0.0107081314,-0.1424441524,0.0346996909,0.1604505838,0.4200200984,-0.0802424204,1.0657076714,2.1670868793,-0.0750132122,-0.1135058205,0.2735164897,0.9085881339,0.8274797584,0.2499947586,-0.1144585606,0.4741801064,0.7940912880,0.0750380798,1.6241304980,0.0211076165,0.9989973042,0.9961075650,0.0791702164,1.8537209405,0.7950845586,0.4999517977,0.1564938422,1.7717089691,0.2084418686,0.3206592424,0.3591011205,-0.0270253466,1.6169113333,Control
