@relation data

@attribute 2159 numeric
@attribute 2811 numeric
@attribute 2158 numeric
@attribute 2812 numeric
@attribute 2157 numeric
@attribute 7450 numeric
@attribute 3827 numeric
@attribute 2815 numeric
@attribute 3818 numeric
@attribute 5547 numeric
@attribute 2814 numeric
@attribute 2 numeric
@attribute 2161 numeric
@attribute 2160 numeric
@attribute 710 numeric
@attribute 708 numeric
@attribute Class {Control,BRCA}

@data
8.701749275,7.021260744,5.443947436,10.13904003,6.7050653335,14.70026172,5.6227922,5.319953181,5.983342088,11.96094624,5.415835761,10.82735881,7.190568257,5.7619906325,9.6511123165,11.17659722,Control
7.877531272,7.493057094,5.956411734,10.26859496,5.870139424,14.48484431,5.313618859,5.44742319,5.887288406,11.920197625,5.726293954,10.62424969,8.301794677,5.346055261,9.1528763845,11.2302278,BRCA
6.401780305,7.306383297,5.503993644,11.01586123,6.17879070775,13.62992806,4.98710623,5.093191733,6.059188284,11.721645875,5.816734888,10.57075254,8.66705043,5.6687672635,8.8817688625,11.77681146,BRCA
5.763551833,8.094910493,5.243946308,11.07439256,5.7388006725,13.98232431,5.494744603,4.419761481,6.311526388,11.72252904,6.139659422,10.69680263,9.287147382,5.7971553895,8.821092343,11.16040108,Control
6.53056679,7.828646059,5.391468086,9.779383313,6.43636971125,13.44200721,4.968564562,4.902810721,6.219416008,11.8319426,4.948613986,11.11355354,8.465740992,5.189254443,9.1025596075,11.57959421,BRCA
7.484220974,7.181502947,5.226326687,10.62776211,6.644667242,14.1393823,4.846131289,5.040904755,6.244178877,12.02811081,6.222896914,11.29285667,7.543536723,5.4087702635,8.9754783835,11.25620001,BRCA
8.609253665,8.021647846,5.418536788,11.04774441,6.11671554125,13.74350963,4.846005888,5.349799819,6.64810992,12.06711405,5.751283781,11.54241539,9.362470505,6.005685044,8.925445463,10.66888523,BRCA
9.342497592,7.069640749,5.212093857,10.44517037,6.62473679025,13.93643461,5.110625549,5.047681518,6.24289363,11.877403125,5.777032522,11.04352823,8.197119763,5.607798524,9.438031278,11.60575973,Control
6.982426435,7.272865647,5.522472662,10.84822018,6.382479944,13.56248158,5.057570761,4.745656394,6.172933113,11.73436444,5.338434442,11.15565329,9.013574704,5.601511002,8.7430805635,12.01512763,BRCA
6.842950948,7.006413395,5.34483848,10.81808704,6.1460391455,13.90066922,4.753833848,4.948380372,6.268944869,11.63178413,5.159075364,10.83188538,7.871814585,5.272661299,9.031066788,10.91092396,BRCA
9.362086899,7.394872347,5.418705435,11.22756798,6.31647721525,13.93264756,6.157150477,5.083225336,6.298205225,12.10985452,5.773740066,10.43600385,8.566416689,5.588446105,9.721075938,11.05830992,BRCA
7.774854787,7.061914211,5.37574431,10.50561834,6.85286268525,14.84397331,5.298668624,4.586084011,6.274732813,11.925266225,5.795397636,11.40257259,7.718363553,5.6995932365,9.2349913925,11.58069917,Control
8.226967397,6.839522295,5.346257748,10.20430554,7.106402131,14.65913186,4.699347423,4.210342597,5.897247233,11.709007145,5.485435883,10.96622084,7.978740664,5.61522276,9.5884618825,11.30184213,Control
7.566817294,7.12275327,5.592016873,11.66763062,6.641701621,14.26763347,5.387510099,4.828595108,6.836117042,10.565898519,5.532169853,8.501599494,7.97625067,5.343361147,9.58490841,11.6923846,BRCA
7.69122204,6.556357083,4.939004665,11.19478472,6.77862712175,14.45371146,5.149758548,5.156043878,6.785194558,11.2033955655,5.934641074,8.361407734,7.60485179,5.342631537,9.13890811,11.15245616,BRCA
8.14949453,7.179887014,5.933933296,11.54446475,6.47275380575,13.37610779,5.383541223,5.015706349,6.993281271,10.678696671,5.748737112,8.5296659,8.254711101,5.5567976915,9.3611948655,11.73774813,BRCA
7.591767528,6.818521864,5.644152813,11.55455062,6.6991321735,13.42739342,5.476876799,4.957695542,6.552750258,10.5605025815,5.631985502,8.104482291,7.812114918,5.601395624,9.236799559,11.58766984,BRCA
8.503151056,7.011342233,5.051166787,11.16600002,6.347915835,13.31846094,4.844249122,4.991874681,6.152087694,10.872195429,6.067010094,8.211512518,8.86916284,5.5548539,9.432426335,12.07288802,BRCA
7.846792788,7.416419918,5.22439848,11.29749826,6.47213226875,13.50983997,5.250593322,5.087262599,6.497537023,10.675366136,5.623084953,8.414432742,8.693731851,5.5538148785,9.5801693595,11.93792927,BRCA
7.9096848,8.561709067,6.049201232,11.88017861,6.19780927525,14.52512866,5.323740468,4.879597034,7.802485871,10.8065390845,5.323740468,8.879798508,9.317424556,5.618950243,9.5691352575,11.71129928,BRCA
