@relation data

@attribute id string
@attribute 1610 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,-0.2145416559,BRCA
GSM480985,-0.1121921567,BRCA
GSM480986,-0.1294088306,BRCA
GSM480987,-0.1498149616,BRCA
GSM480988,-0.1292498727,BRCA
GSM480989,-0.1859777876,BRCA
GSM480990,-0.1801053234,Control
GSM480991,-0.1929069609,Control
GSM480992,-0.2010195181,Control
GSM480993,-0.1256446865,Control
GSM480994,-0.1144336961,Control
GSM480995,-0.2781853028,Control
GSM480996,-0.2161252526,BRCA
GSM480997,-0.2235002213,BRCA
GSM480998,-0.1271653912,BRCA
GSM480999,-0.1551557914,BRCA
GSM481000,-0.0979686760,BRCA
GSM481001,-0.1567239141,BRCA
