@relation data

@attribute id string
@attribute 11285 numeric
@attribute 126792 numeric
@attribute 2131 numeric
@attribute 2132 numeric
@attribute 2134 numeric
@attribute 2135 numeric
@attribute 2137 numeric
@attribute 222537 numeric
@attribute 26035 numeric
@attribute 266722 numeric
@attribute 27087 numeric
@attribute 3340 numeric
@attribute 64131 numeric
@attribute 64132 numeric
@attribute 64579 numeric
@attribute 8509 numeric
@attribute 90161 numeric
@attribute 9348 numeric
@attribute 9653 numeric
@attribute 9953 numeric
@attribute 9955 numeric
@attribute 9956 numeric
@attribute 9957 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.4634987377,1.0222015827,0.4915028135,1.4776181193,-0.0667586100,1.0532148679,0.2016414422,-0.0394614346,1.4895822538,0.0156671767,0.0739657327,0.3937998496,0.0123857161,0.7901150491,-0.0989898497,0.2706594779,0.7746952272,-0.1020050484,0.8345938144,-0.1102305556,0.0900299470,0.2681397691,0.4310346490,BRCA
GSM480985,0.4423801668,0.6766837321,0.4165939750,1.4256697051,-0.0559372370,0.7153979070,0.1541639853,-0.1347647892,1.8019360700,0.1390790339,0.1947231356,0.4654919928,-0.0315442111,0.9114957351,-0.0948633022,0.3539126463,-0.0122168073,-0.1087252223,0.9327923446,-0.1204239164,0.2121761541,0.0375849319,0.1629039506,BRCA
GSM480986,0.5863173463,0.9800714461,0.3451410528,1.9457210723,-0.1104311400,0.6181769491,0.2739315124,-0.0756868197,1.6925134129,0.0577578580,0.0605873047,0.4270255521,0.0461422850,0.9494990307,-0.0858902818,0.3441146141,0.6758971420,-0.0644044666,0.6998521621,-0.1239261861,-0.0333355199,-0.0326788079,0.3589920312,BRCA
GSM480987,0.6684978414,1.1079775773,0.6284514633,1.6694207648,-0.1664849961,1.1515209343,0.1542425096,-0.0701662040,2.0585086479,0.0362812547,-0.0219890489,0.3815896532,0.2156266749,1.0329057613,-0.1238908887,0.4897096342,0.6957081322,-0.0592501722,0.6792303353,-0.0451823032,1.7425882444,-0.1050042278,-0.0542434331,BRCA
GSM480988,0.4507307575,0.5235279828,0.3930000532,1.5603033285,-0.1019298461,0.8056011672,0.1308894319,-0.0195588213,1.6251460346,-0.0868739925,-0.0232480155,0.4369643955,0.0116797816,1.0625731814,-0.1108798278,0.2240217821,0.3040162680,-0.0755696894,0.7777881908,-0.0981641631,0.0574522859,0.1461969718,0.3094281766,BRCA
GSM480989,0.6083921831,1.1717457028,0.2732347510,1.7559594091,-0.1300913083,0.4394369184,0.2959616911,-0.0396220073,1.3544457092,0.0253747747,-0.0238887655,0.4231334872,-0.0137642110,1.2867339334,-0.1322530916,0.4293844048,0.0865600308,-0.0475304834,0.4159510582,-0.1194697547,-0.0986666919,0.1599414981,0.3010061786,BRCA
GSM480990,0.6443930374,0.9319184505,0.6622187814,1.6141991685,-0.1346435026,0.5438794054,0.3221970106,-0.0409086524,1.4918343491,-0.0255938943,-0.0875738746,0.5388429870,0.3259370241,1.2694287161,-0.0828248087,0.3128893859,0.3201325636,-0.0829785357,0.5249854553,-0.0760660315,1.5642252268,0.1116367482,0.1541143876,Control
GSM480991,0.5887503758,1.1269257863,0.4078341485,1.7940559142,-0.0854555516,0.3016183103,0.2732976458,-0.0166688993,1.2285306986,0.0033633095,0.0346820796,0.6010745560,0.0697295520,0.9825212953,-0.1090802379,0.4885634132,0.4060861926,-0.1944933203,0.5708095162,-0.0992043191,0.0177829636,0.2919771842,0.3714414235,Control
GSM480992,0.6537019670,1.0807667208,0.3029196944,1.5905678482,-0.1676267343,0.1490783237,0.4045213213,-0.0372767792,1.0154276724,-0.0544849052,0.0694156918,0.6145728585,0.0522443534,1.1217003372,-0.0661938552,0.4405548814,0.4387658750,-0.0367683063,0.5856745822,-0.1362618259,0.2976032626,-0.0077178262,0.3351085945,Control
GSM480993,0.5566966791,1.1867266731,0.4689457476,1.7814032224,-0.1365049393,0.4596777534,0.2522328944,-0.0157970780,1.2841498322,-0.0206675307,0.1361568032,0.5687912643,-0.0302486122,1.0625650602,-0.0960102356,0.4521478142,0.4074554338,-0.0852335102,0.7357729674,-0.1330169222,0.1470042542,0.3471483553,0.3836537158,Control
GSM480994,0.4408533756,0.8904295604,0.2371921674,1.6420496632,-0.0375021413,0.2479624239,0.2115619231,-0.0507453111,1.0915667514,-0.0379108109,-0.0182169434,0.4156646226,-0.0459401624,0.9907083921,-0.1459225122,0.3244096658,0.3414549443,0.0016441189,0.5031597803,-0.1273472207,-0.0755293094,0.0270816258,0.2324934848,Control
GSM480995,0.5117135841,1.2442738513,0.7629023452,1.9150154592,-0.1951604693,0.6789639947,0.4721923014,-0.0713282161,1.6737465129,0.0757210790,0.0226954205,0.6874885895,0.1589260116,0.9252798533,-0.0934982792,0.4954433802,0.2654478807,-0.1561630037,0.5269514407,-0.1271475121,1.9244546148,0.8918420109,0.4000318335,Control
GSM480996,0.7349814625,1.0904545179,0.5331729375,1.8347048969,-0.1106611810,0.5375136097,0.4717809272,-0.0350364850,1.2700678506,-0.0600416067,0.1048093711,0.6499122587,0.2164795334,1.1508176572,-0.1403956846,0.3528552096,0.4001834167,-0.0958829518,0.5282362120,-0.1161616288,0.4772541661,0.1690397313,0.3561885790,BRCA
GSM480997,0.8567858919,1.3508195016,1.0283801734,2.3857062003,-0.0822268403,1.0821646428,0.1975348706,0.0040661888,0.9910678267,-0.0108652286,-0.0071379899,0.7706561144,0.2040105814,1.3515362542,-0.1119610921,0.5894807590,-0.0557568013,-0.1233493881,0.7381245590,-0.1171798131,1.2568563260,-0.1216647756,-0.1056171462,BRCA
GSM480998,0.6586177475,0.8248996612,0.1970729627,1.9863282793,-0.1250987701,0.4566593927,0.3128214712,0.0262440539,1.6741874152,-0.0214934551,0.1743905685,0.4486746284,-0.0304541955,1.0996897255,-0.0689936614,0.2649233358,0.5318092680,-0.0290795978,0.6922377069,-0.0837607746,0.5646718760,-0.0536394904,0.3876826537,BRCA
GSM480999,0.5206745523,0.7778158618,0.5362406945,1.5811783216,-0.2040574843,0.7376029049,0.2865692258,-0.1221707800,1.9973745744,-0.0116413292,0.2369992716,0.5064592660,0.0104396333,0.9653894734,-0.1257546596,0.3587619483,0.3833312027,-0.0895023554,0.9012674133,-0.0772828063,0.0113814732,0.3242945473,0.2621507928,BRCA
GSM481000,0.6273353061,0.6672048860,0.4214744736,1.5803034271,-0.1253002330,0.8433642881,0.2182974189,-0.0238115124,1.9512006044,0.0176928191,0.0056135424,0.5464965819,0.0177357632,0.8645913242,-0.0726929232,0.5510671022,0.1416295322,-0.0249088601,0.7907927696,-0.1223504202,-0.0232782856,0.0113824522,0.3445491427,BRCA
GSM481001,0.3283674699,0.7963667281,0.6017996094,2.0077382746,-0.1454568124,0.4992817730,0.2865805962,-0.0498692032,1.9591779446,0.1300072127,0.2284063550,0.7061876000,0.2513116435,0.8641761668,-0.0788005815,0.3086762292,0.0746888005,-0.1657900659,0.7434919683,-0.1402722683,0.4551300444,0.5284078891,0.2390860743,BRCA
