@relation data

@attribute id string
@attribute 2043 numeric
@attribute 2047 numeric
@attribute 2534 numeric
@attribute 3672 numeric
@attribute 3688 numeric
@attribute 3897 numeric
@attribute 4067 numeric
@attribute 58 numeric
@attribute 6403 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.3073891167,-0.1236154852,-0.0119043016,0.1426907652,0.1778868698,0.4208476337,0.5398415216,-0.1022386321,-0.1138486331,BRCA
GSM480985,0.2011255629,-0.0318239662,0.0315317513,0.0353192445,0.1802411383,0.1757994879,0.8633735524,0.1051981554,-0.1547061069,BRCA
GSM480986,0.5183141914,-0.0514266284,0.0265829566,-0.0074317108,0.1151252413,0.7813231801,0.6575351594,-0.0470555966,-0.0896091402,BRCA
GSM480987,0.2110657322,-0.0065088653,0.6367091207,0.0280109981,0.0755187708,-0.0509558884,0.2205355243,-0.1338976050,-0.0830762666,BRCA
GSM480988,0.1655317554,0.0047371920,-0.0273392516,0.0697572162,0.1863922891,0.2831464374,0.4268805936,0.0388017314,-0.1503732246,BRCA
GSM480989,0.3947585134,-0.0282804973,-0.0600568494,0.0137452483,0.1971728543,0.4351652247,0.4953212294,-0.1678219301,-0.0572108633,BRCA
GSM480990,0.1192899308,-0.0562174744,0.2139598701,-0.0386362766,0.2156330049,0.6964452403,0.3857769494,-0.0798429663,-0.0600925009,Control
GSM480991,0.5402826306,-0.0711188950,0.0233230338,-0.0280346625,0.1428165244,0.9167143451,0.6900864716,0.0748349533,-0.1155560841,Control
GSM480992,0.1453688803,-0.1020916872,0.0886958316,-0.0197452026,0.0501170250,1.1621286743,0.5914832216,-0.1172695823,-0.0242750157,Control
GSM480993,0.2056559241,-0.0206290290,0.0776393937,0.0337283848,0.0346996909,0.5866540367,0.6061963768,-0.0133807379,-0.0761097056,Control
GSM480994,0.1956144178,-0.1144872796,-0.0747274989,-0.0273790750,0.0467626729,0.4022550401,0.4738223031,-0.1155910734,-0.0782592207,Control
GSM480995,0.8979790138,0.0075764767,0.4452200565,0.0395338045,0.1651848687,0.7780417858,0.7294084583,0.8063488900,-0.1144301702,Control
GSM480996,0.2773107976,-0.0934043242,0.3453775692,0.0911560193,0.1315393611,0.9457076779,0.4922937309,0.0209677531,-0.0483566836,BRCA
GSM480997,0.5967035615,-0.0668338313,0.5756428409,0.0519532652,0.2855649779,0.5075946959,0.2011955832,-0.0860966915,0.1662731843,BRCA
GSM480998,0.2700852928,0.0047287741,-0.0005463961,-0.0737606976,0.2621172976,0.6121955862,0.5139604022,-0.0107763651,-0.0628707462,BRCA
GSM480999,0.6863469049,0.0047634538,0.0363506132,0.0656470495,0.1369870564,0.2578825824,0.8547329544,0.0524381496,-0.0831502593,BRCA
GSM481000,0.5784614329,-0.0403655254,-0.0241411641,0.0218176692,0.0899309608,0.1813658107,0.7047529060,-0.0191706889,-0.0896516731,BRCA
GSM481001,0.9479608490,-0.0723217927,0.5395288854,0.0355392161,0.2256544289,0.9868431378,0.6160203184,1.2470855490,-0.0789061238,BRCA
