@relation data

@attribute id string
@attribute 10 numeric
@attribute 10249 numeric
@attribute 10858 numeric
@attribute 11283 numeric
@attribute 113612 numeric
@attribute 116285 numeric
@attribute 119391 numeric
@attribute 120227 numeric
@attribute 124 numeric
@attribute 125 numeric
@attribute 126 numeric
@attribute 127 numeric
@attribute 130 numeric
@attribute 131 numeric
@attribute 1312 numeric
@attribute 1543 numeric
@attribute 1544 numeric
@attribute 1545 numeric
@attribute 1548 numeric
@attribute 1553 numeric
@attribute 1555 numeric
@attribute 1557 numeric
@attribute 1558 numeric
@attribute 1559 numeric
@attribute 1562 numeric
@attribute 1571 numeric
@attribute 1573 numeric
@attribute 1579 numeric
@attribute 1580 numeric
@attribute 1581 numeric
@attribute 1582 numeric
@attribute 1583 numeric
@attribute 1584 numeric
@attribute 1585 numeric
@attribute 1586 numeric
@attribute 1588 numeric
@attribute 1591 numeric
@attribute 1592 numeric
@attribute 1593 numeric
@attribute 1594 numeric
@attribute 216 numeric
@attribute 217 numeric
@attribute 23169 numeric
@attribute 2326 numeric
@attribute 2327 numeric
@attribute 2328 numeric
@attribute 25830 numeric
@attribute 27233 numeric
@attribute 27284 numeric
@attribute 2729 numeric
@attribute 2730 numeric
@attribute 27430 numeric
@attribute 2937 numeric
@attribute 2938 numeric
@attribute 2940 numeric
@attribute 2941 numeric
@attribute 2948 numeric
@attribute 2949 numeric
@attribute 2950 numeric
@attribute 29785 numeric
@attribute 4128 numeric
@attribute 4129 numeric
@attribute 4143 numeric
@attribute 4144 numeric
@attribute 4257 numeric
@attribute 4258 numeric
@attribute 4259 numeric
@attribute 4548 numeric
@attribute 4837 numeric
@attribute 51302 numeric
@attribute 54498 numeric
@attribute 54905 numeric
@attribute 55902 numeric
@attribute 56603 numeric
@attribute 5740 numeric
@attribute 5742 numeric
@attribute 5743 numeric
@attribute 57834 numeric
@attribute 64816 numeric
@attribute 66002 numeric
@attribute 6783 numeric
@attribute 6799 numeric
@attribute 6817 numeric
@attribute 6819 numeric
@attribute 6820 numeric
@attribute 6822 numeric
@attribute 6916 numeric
@attribute 7172 numeric
@attribute 7358 numeric
@attribute 7360 numeric
@attribute 7363 numeric
@attribute 7367 numeric
@attribute 84532 numeric
@attribute 8529 numeric
@attribute 9 numeric
@attribute 9420 numeric
@attribute 9446 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,-0.0609806066,-0.1035567994,-0.0506379264,-0.0601471830,0.0262445087,-0.0008926744,1.2619177774,0.3420003311,-0.1184595487,-0.0819628058,0.0639061207,-0.0474966607,-0.1171698399,-0.0431909139,0.6170743442,-0.1202163581,-0.1014766870,0.7293696620,-0.0222040485,-0.1427355281,0.1099428683,-0.0367934078,-0.0780042686,-0.0814279521,-0.0735775181,-0.0579427281,0.0350150140,-0.0107277290,0.0091145667,-0.1544413325,-0.1257529047,-0.1147729017,-0.0517968129,-0.1769262291,-0.1309749240,-0.1228340823,-0.0504121151,-0.1544489565,0.0827052529,0.6762521676,0.0347997686,-0.0491912957,-0.0037597109,-0.0634382773,-0.0221717276,-0.2250160734,0.0826748854,-0.1102551594,-0.0130776255,1.1587611852,1.1655217446,2.8771577677,1.2734077572,0.2287295295,-0.0157515826,0.4951751189,-0.1174937976,-0.1800471614,2.7201523385,-0.0331691150,0.7272153733,-0.1421455219,-0.0719915624,0.7623041657,2.1496543896,1.8513380590,0.8550518854,0.4094792070,2.3629928306,-0.0007947414,0.0993502624,0.1580762070,0.6766642820,-0.0813140533,-0.1218386340,0.3559828922,0.0763389319,-0.0958142175,-0.0330274620,0.0643563345,1.1620511407,-0.0127051520,0.6324923261,-0.1007936432,0.7004951883,-0.1417264957,-0.0834891133,0.4916392069,2.0591039545,1.7137481179,-0.1943919704,-0.0970270767,-0.1330956006,-0.0368807673,0.6757980138,0.0954549246,1.9528950121,BRCA
GSM480985,-0.0892457384,-0.1093214215,-0.0575053684,-0.0927602036,0.0497546452,0.0284458002,1.0106400325,0.4225639074,-0.1736984102,-0.0777201239,-0.0840815690,-0.1239447238,-0.0842592612,-0.1364401982,0.4934272951,1.0736091864,-0.0911636834,2.2176613409,0.0185694386,-0.1195583909,-0.0920900873,-0.1167817161,-0.0083362947,-0.1552009963,-0.1297685117,0.1192514243,0.4710633998,-0.0592605169,0.0902675369,-0.1390370326,-0.1358111336,-0.0912522956,-0.0892233979,-0.1370573881,-0.0923405911,-0.1156065138,0.0688512723,-0.1273800444,0.9721574185,0.0492544839,-0.0592052783,0.0875286907,0.0509239741,-0.0819152859,0.5891090939,-0.1976873186,0.0294340741,-0.1397775776,0.0624834165,1.1236240834,0.9507935531,2.9504529637,1.4062304316,2.7194922765,0.0223620003,1.5069745219,0.0158703658,-0.1499267929,2.1407698392,-0.0289721283,0.7717842565,-0.0966774886,0.0183143100,0.4171135727,2.1307989589,1.9216774105,0.8683664545,0.3300810082,3.2526707203,0.4123705135,0.0521475360,0.2089885666,0.8515447889,-0.0795279548,-0.1576357861,0.3641204405,-0.0300743042,0.2824243451,-0.0749827864,-0.0190456162,1.0402346791,-0.0800600637,0.7861913330,-0.1282574636,0.0757334134,-0.1733916228,-0.1082647094,0.2593924997,2.2638380789,2.2795595788,-0.1303444079,-0.1138358139,0.0334283203,-0.1004846393,0.4821042178,-0.0450604692,2.0805940562,BRCA
GSM480986,-0.0624348672,-0.1057210069,-0.0322341052,-0.1448943047,0.0762433848,-0.0274768894,1.0802195913,0.4151423776,-0.1163695061,-0.1226958090,0.2793033820,-0.0750018385,-0.0887073536,-0.0224965492,0.6510740553,-0.1028040711,-0.1159611161,1.0990289526,0.0904232404,-0.1322366169,-0.0419924917,-0.0977661108,-0.0423213997,-0.0872454469,-0.0747112209,0.0241986227,0.1872998405,-0.0856653733,0.0232596773,-0.1350079182,-0.1038942073,-0.0649920244,-0.0634685013,-0.0958758904,-0.1266649387,-0.1046364038,0.0370769572,-0.1318489693,0.1870853779,0.4725129920,0.2032008535,-0.1099596126,0.2178145012,-0.0636344557,0.0886029274,-0.1735876817,0.0235249791,-0.0360584414,0.0355648982,0.9923093470,1.1540432349,2.8961837822,1.4685464511,1.0981583745,-0.1119128343,0.6251887592,-0.0796818527,-0.1414170871,2.6429281233,-0.0360261274,0.7010565088,-0.0379421446,-0.1027362621,0.6697872252,1.8293521281,2.0744294376,0.7918323894,0.3977847461,3.1104761511,0.0910020771,0.2518402490,0.2214924815,0.6071804908,-0.0055210765,-0.1553348210,0.4908392368,0.0178532619,0.3345902434,-0.0886509950,0.0251037007,0.8495923495,-0.1108794042,0.5156529322,-0.1181705719,0.3200254116,-0.1561148249,-0.0604042063,0.8040548562,2.1184420175,1.9031595468,-0.1330824345,-0.1455396849,-0.0726155119,-0.0174443023,0.6283251160,0.1338707320,2.1442311672,BRCA
GSM480987,-0.0851270684,-0.1294820076,-0.1077442177,-0.0968738647,0.3847405314,-0.0694724129,0.0159916769,0.4432603387,-0.0212055102,1.9168397054,0.2749229120,-0.0534404774,-0.0266269070,-0.0110032620,0.5156495034,-0.0515038227,-0.1221926419,2.3661137527,0.0166690037,-0.1481200637,-0.1721240680,-0.0554528710,-0.1272201279,-0.0725436168,-0.0828781609,-0.0370561639,0.0108886004,-0.0962403247,-0.1343173512,-0.0826320147,-0.0953085799,0.2199507061,-0.0553565302,-0.1723883862,-0.0253170796,-0.0626044612,-0.0487123020,-0.1172174262,0.2668292613,-0.0377739555,0.1935597864,1.7816735108,0.1276547287,0.0601352924,0.1089972483,-0.1373965067,-0.0304068495,-0.1407987834,-0.0255924753,0.9933562142,0.9750054124,3.0637516446,1.2724799488,-0.1075860190,-0.1454353491,0.7883711672,0.0820554939,0.2713734715,2.5742935737,-0.0472265512,1.6794877839,-0.1123056535,-0.0105877519,0.7758750072,2.1570115199,1.4179420210,0.7748265977,0.3544527219,3.5581351072,-0.1044582358,0.4306804949,0.2781784606,0.3508882271,-0.0089769136,-0.0162960913,0.9660276539,0.0989996669,-0.0904980658,-0.0685498110,-0.0155379600,0.5134265045,-0.2366546268,0.3585485351,-0.0622709783,-0.0694628949,-0.0844182332,-0.0360427475,0.3667155276,2.8367469908,1.1022062469,-0.1518100676,-0.1065452471,-0.0438883776,-0.1762851477,0.4454766558,-0.0983005570,2.8820779059,BRCA
GSM480988,-0.0451423784,-0.0662180749,-0.0481454713,-0.0358465230,0.0677100817,-0.0602690341,1.1786555580,0.3842554966,-0.0101946282,-0.1136118793,0.0560765837,-0.0037036458,-0.0868075146,-0.1038163970,0.5688883008,-0.0469103540,-0.0257413974,0.7674112484,-0.0239997992,-0.1060964289,0.1646074443,0.0091331109,-0.0589085496,-0.1290659294,-0.0888671099,0.2109295055,0.2471778048,0.0175217489,0.0347046441,-0.1273434198,-0.1113271977,-0.1088257607,-0.0301224504,-0.1353240655,-0.1252377212,-0.1157026491,-0.0796063244,-0.1326874393,0.1537195443,0.4183523013,-0.0731132174,-0.0056832970,0.0340590798,-0.0753022767,-0.0055413082,-0.2104154748,0.0053062529,-0.0935527450,-0.0742749172,0.8019018076,0.3823244341,3.0176489883,1.5877720913,0.6951667367,-0.0989081364,0.6378520605,-0.1360377015,-0.0766236980,1.4534148175,-0.0582128007,0.5096429859,-0.0887284530,0.0047662046,0.3329377633,1.3240973094,1.7696652226,0.7436812909,0.4351876598,2.6555208787,0.0875959588,0.2425422784,0.1233232999,0.8106647598,-0.0776319162,-0.1324027182,0.4200770837,0.0590901193,0.5060915941,-0.0920797429,-0.0810959337,0.3776471032,-0.1012072593,0.5803033280,-0.0940122360,0.2593932352,-0.1263470649,-0.0674500442,0.8180995949,1.4424614040,1.7822790258,-0.1931611510,-0.0363523996,-0.0380705083,-0.0960610757,0.5669486242,0.0181000009,1.7723969023,BRCA
GSM480989,-0.0073731155,-0.0533774180,-0.1134308068,-0.0830150991,0.0697152337,0.0354258775,1.3063877673,0.2789596845,-0.1092425311,-0.2185992312,-0.2166209370,-0.1393070609,-0.0670945641,-0.1580546161,0.8071330839,-0.1129060328,-0.0051256384,0.4940663807,0.1414101426,-0.1118360860,0.2110910690,-0.0166535090,-0.0923845918,-0.0517691326,-0.1137327340,-0.0729334673,0.1209837834,-0.0660594703,-0.0227303066,-0.1256726845,-0.1929920531,-0.1328392287,0.0409154554,-0.1486729315,-0.1070825364,-0.1049361101,0.0245542120,-0.1889763161,0.4667257686,0.2394174389,-0.0694027696,-0.0242702600,0.1574163233,-0.0882178182,-0.0203920434,-0.2469004192,0.0041167057,-0.1425131437,-0.0238191412,0.5711150573,0.4336795968,2.8192888631,1.7494792309,1.1412372340,-0.1524539029,0.3705937868,-0.1537345632,-0.1981713008,2.9288898905,-0.0345398087,0.2432551988,-0.1266093460,-0.0447416794,0.5443243086,1.8974304811,2.0237195419,0.9222045175,0.1965371105,3.1976899059,0.0275654254,0.1396446124,0.2061999543,0.7847035028,0.0150288222,-0.1959064733,0.5738048525,0.0133889897,0.4470266571,-0.0734241998,0.1876397307,0.3611072223,-0.0325969750,1.0477611626,-0.1359228270,0.6512511216,-0.1361991567,-0.0124124234,0.4810165904,1.6453829390,1.2709925399,-0.2524973428,-0.0633024936,-0.1081529906,-0.1674797487,0.3285350434,0.0366498826,2.5263199542,BRCA
GSM480990,-0.0725737081,-0.1090217439,-0.0918220792,-0.0845609905,0.0577115188,-0.0483644688,1.0606840941,0.1646413507,-0.0021078327,-0.1389296834,-0.2175116093,-0.0000704744,-0.0802872338,-0.0673863146,0.5359435843,0.0552899428,-0.0789403874,1.0830645378,0.0734613663,-0.0950581390,0.0048137777,-0.0557362534,-0.1011056277,-0.1044707938,-0.0745090374,0.0513365551,0.0533592938,-0.1056231836,-0.0880961427,-0.1488304301,-0.2142020464,-0.0083417500,-0.0791482217,-0.0982952890,-0.0834655177,-0.1077634457,-0.0880355384,-0.0997334885,0.1435606516,1.2446684426,-0.1167729916,-0.0668057338,0.0476945663,-0.0567495788,-0.0508428284,-0.1631013920,-0.0602064119,-0.1024321909,-0.0749809718,0.7214671597,0.5468433700,3.0302960078,1.4525111666,-0.0530684595,-0.1000219254,0.5198682430,-0.1458239124,-0.1618292400,3.7365725437,0.0203619886,0.9098102882,-0.0986434286,0.0357602279,0.4631295502,1.7635541865,1.8199877291,0.9655016655,0.2230684095,2.6678321213,-0.0942201533,0.2000267514,0.2321951608,0.5519344077,0.0382830309,-0.1791415912,0.1927727252,0.1267204625,0.1617885482,-0.0705312940,-0.0325958758,0.0870581015,-0.1559115785,0.4049294963,-0.0657997309,0.5836368038,-0.1117175117,-0.0983142367,0.4880169584,2.0607162080,1.1996379613,-0.0809249143,-0.0661942896,-0.0877605259,-0.0878011480,0.1744961818,-0.1474319339,2.4583764472,Control
GSM480991,-0.0471868691,-0.0814359550,0.0423719084,-0.1325452421,0.1168323295,0.0213516182,1.1159922255,0.4045301538,-0.1392230330,-0.1345287368,-0.0756281373,-0.1044962675,-0.1107637479,-0.0932170166,0.6528987948,0.0042331508,-0.1240963471,0.7792083147,0.0483522194,-0.1607501611,-0.0633666343,-0.0038217182,-0.0383481803,-0.0051396129,-0.0737411913,0.0537035517,0.3904627008,-0.1301778279,0.1782130039,-0.1028993103,-0.1761730472,-0.0849322803,-0.0849389998,-0.1509645747,-0.0430091283,-0.0972463663,0.0808101510,-0.0811801534,0.4899383191,0.3527387360,0.2106126684,-0.0233735611,0.1403698677,-0.0429063322,-0.0405177202,-0.1823338206,0.0372612094,-0.1563286344,-0.0169139832,0.8451897474,0.7165256461,2.8426472082,1.6617641499,0.1885844830,-0.1246087980,0.5978940769,-0.0277672247,-0.1435778517,2.9969781837,0.0020870847,0.8781279406,-0.0624410332,0.0003697190,0.4594688797,1.8138154040,1.9296944512,0.8798563106,0.2690372289,2.9632600396,-0.0191232073,0.2653434935,0.2722473777,0.6588608654,0.0218135681,-0.1766819144,0.3827540398,0.0958185670,0.5867972842,-0.0885361155,0.1316663400,0.7000952411,-0.0440587372,0.9143688175,-0.0659140756,0.6930784614,-0.0856077978,-0.0272934242,0.7837290664,1.9355212114,1.6022588639,-0.1561417199,-0.0526123513,-0.0089865239,-0.1080405140,0.6036217155,0.0047732129,2.2138739626,Control
GSM480992,-0.0272638290,-0.0761818197,-0.0074471504,-0.1085857664,-0.0152528416,-0.0048472942,1.3908630312,0.1379094694,-0.1489883426,-0.1210833825,-0.2411115367,-0.1201597471,-0.0497721363,-0.0217185038,0.7939494476,0.1664125780,-0.0422955338,1.4310810535,0.0469442939,-0.1573205174,-0.0152499527,-0.0263101220,-0.0480617157,-0.0380998996,-0.0658225776,0.0099216172,0.0451338827,-0.1530155146,0.1393803771,-0.0901375347,-0.1149665894,-0.0575757432,-0.1149426852,-0.1024882624,-0.0906604110,-0.0779794156,0.0001996498,-0.1189381214,0.2777332394,0.8943518511,0.0126782275,-0.0362600798,-0.0342483063,-0.0931379112,-0.0456021229,-0.1761876730,0.0532502376,-0.1546851498,0.0235257975,0.7765472040,0.7830724938,2.6904881266,1.4744232678,-0.1010108437,-0.0971568403,0.3543912626,-0.0541518254,-0.1830145622,3.4229124188,0.0243822787,0.7166258736,-0.0450423969,-0.0464876819,0.4688584721,1.7899823908,1.6928559766,0.7929493465,0.1567402516,2.7282921149,-0.0508994976,0.3060936260,0.2281579636,0.6319132452,0.0090913175,-0.1194875709,0.6496253179,-0.0089352386,0.0050360608,-0.0749789558,0.0942508270,0.1474121032,-0.0618765782,0.5462859694,-0.0713525363,1.3029671907,-0.1361783299,-0.0354851039,0.4116671102,1.6365764189,0.9822485969,-0.1349615111,-0.1451092663,-0.0669547870,-0.2050230950,0.0723760018,-0.0679638069,2.1455257270,Control
GSM480993,-0.0682196051,-0.0887749221,0.0209714663,-0.0952965625,0.0616791645,-0.0110783031,1.3836450387,0.3277837369,-0.1135396622,-0.1010871995,0.4248601697,-0.1484466687,-0.0579084016,0.0161394494,0.7298902228,-0.0502332724,-0.1050930967,1.2485483829,0.0692249054,-0.1644318507,-0.1319582337,-0.0470989843,-0.0851949840,-0.1002309748,-0.0809773219,-0.0351820425,0.3358124865,-0.0971206719,0.0483440316,-0.1405898641,-0.1103986067,-0.0515962133,-0.0705317267,-0.1026405304,-0.0734561855,-0.1179086042,0.0214341763,-0.1463449731,0.2399686668,0.8422161342,-0.0650727121,-0.0292226803,0.1527154462,-0.0685474419,-0.0077022091,-0.1247877932,-0.0059928835,-0.1010283394,-0.0225072637,0.9600795027,0.9929348081,3.0307258764,1.6853166786,0.2100970202,-0.1558556569,0.4660511243,0.0176312022,-0.0666719346,2.7872479158,0.0107932591,0.7602154946,-0.0766519552,-0.1064928324,0.5785967110,1.6205834418,1.9963733927,0.7475199385,0.3549816968,3.0506771059,0.0019660174,0.2466379126,0.2722601461,0.8072736741,-0.0062655797,-0.1372318670,0.4708882125,0.0211076165,0.4156873758,-0.1220572389,0.0363006070,0.5505233227,0.0053694937,0.8816047559,-0.0842331318,0.5220676139,-0.1499328335,-0.0384693646,0.5227073597,2.0234420187,1.4723144622,-0.1118281528,-0.0774704300,-0.0100685461,-0.1302162870,0.4499057585,0.1803422486,2.3302990729,Control
