@relation data

@attribute id string
@attribute 27010 numeric
@attribute 79178 numeric
@attribute 84284 numeric
@attribute 9054 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,0.1091483634,0.2802165572,1.2611622736,0.0868497249,BRCA
GSM481003,0.3984391132,0.4873799907,1.5089683161,0.2764082027,BRCA
GSM481004,0.2237344711,0.4895208792,1.5156639704,0.2629287562,BRCA
GSM481005,0.1404875755,0.2704060453,1.1713581029,0.1712478745,BRCA
GSM481006,0.2347834272,0.1814061430,1.0611632584,0.1564387104,BRCA
GSM481007,0.1139217490,0.5771019262,1.2756559596,0.0842519884,BRCA
GSM481008,0.0086589471,0.3319610373,0.8373593981,0.2290533326,Control
GSM481009,0.0616786015,0.1897475991,0.6407190664,0.1390176488,Control
GSM481010,0.3035994588,0.2543434337,1.3344333246,0.2242251494,Control
GSM481011,0.1388810479,0.3923304760,1.1325194612,0.1106650909,Control
GSM481012,0.1606315517,0.4250540568,1.5220265949,0.2268418650,Control
GSM481013,-0.0109730533,0.6082646749,1.4425957911,0.3994532591,Control
GSM481014,0.1811078991,0.5302749356,0.6171857844,0.2260993166,BRCA
GSM481015,0.1156586389,0.6686228014,1.2117886906,0.2049548687,BRCA
GSM481016,0.0915422973,0.4710042054,1.1233330177,0.0947442504,BRCA
GSM481017,0.3042208412,0.1099607387,0.8307374352,0.1162684025,BRCA
GSM481018,0.1350253916,0.8599619766,1.4232055739,0.2260147854,BRCA
GSM481019,0.0938277621,0.6005726241,1.4500272800,0.2928700247,BRCA
