@relation data

@attribute 9365 numeric
@attribute 26281 numeric
@attribute 27006 numeric
@attribute 2254 numeric
@attribute 2263 numeric
@attribute 2253 numeric
@attribute 2252 numeric
@attribute 2264 numeric
@attribute 2251 numeric
@attribute 2250 numeric
@attribute 8074 numeric
@attribute 2261 numeric
@attribute 2260 numeric
@attribute 2248 numeric
@attribute 8817 numeric
@attribute 8822 numeric
@attribute 2249 numeric
@attribute 8823 numeric
@attribute 2255 numeric
@attribute 2246 numeric
@attribute 5335 numeric
@attribute 2247 numeric
@attribute 9965 numeric
@attribute Class {Control,BRCA}

@data
7.633596724,6.0331958605,5.261729425,7.282998326,5.703219255,5.066614647,5.641987591,5.16471875233,5.3193541885,6.303073629,5.9442327955,7.167255083,6.63167228267,5.238988625,6.1941920175,5.596123584,5.787387568,6.260125068,6.54048116,6.390483226,7.6745180755,7.9169360095,5.616777635,Control
7.811296214,5.597035406,5.002940155,7.601327189,5.672079654,5.2827490955,5.968327676,5.66166144333,5.1967514595,5.9112008435,5.649825465,6.9461560065,6.761059759,5.291687581,6.30034954,5.663779561,5.176333993,4.689877288,6.160683884,6.34676698033,7.862876923,6.9758426655,5.110416751,BRCA
6.608332915,6.0967740745,5.477524542,7.068969348,6.089429956,5.430857273,5.144669712,5.56615300933,5.0087123895,5.892872074,5.414083738,6.6484163275,6.26887747967,5.219566658,5.51106377,5.515393331,5.126406353,4.774274953,5.165119293,6.68734698167,7.7021225845,6.381302865,5.885764236,BRCA
6.901473714,5.696887672,5.391983545,6.753287377,5.475661496,4.764148849,5.057029153,6.45499970067,5.487602415,5.708151602,6.094828639,6.9962006475,5.89010381667,6.171732872,6.2894737505,5.949658216,5.470383322,4.876039551,5.072117861,6.014935264,8.054801422,6.830263151,6.369340517,Control
6.573689312,5.481438136,5.380600673,6.42089131,6.216508824,5.266359202,5.55659131,5.580378299,5.1968665985,5.8843623285,6.033873071,6.6243939125,6.706029596,6.172883123,6.0401487175,5.375136114,6.447005198,5.488491912,5.938174768,6.431967867,7.930765467,6.8612433615,5.371568663,BRCA
7.784080438,5.3222232545,5.070616072,6.228631729,6.631654085,5.4297209045,5.909059769,5.81638087933,5.092094303,5.74825501,5.64447514,6.5237362205,7.05955089,5.011016147,6.9462021345,5.346435058,5.023045997,5.214330049,6.715073541,6.89771458167,7.6687152575,7.451942014,6.344744738,BRCA
8.090034492,5.624642194,5.192698437,7.603442983,5.583918611,5.3098015135,6.107065996,6.15449700133,5.34423418,5.9518845585,6.505384745,7.0034241525,6.91813654967,5.614644516,6.699186128,5.850631456,5.614644516,5.259377247,5.544509535,6.082425078,8.590203577,6.9085147385,6.00607988,BRCA
7.648431512,5.9329925075,5.281894103,6.746988283,5.808263565,5.22771396,5.82324701,5.61018452233,5.013470784,6.4175923805,6.457948301,6.4604834375,6.477000624,5.555364666,6.69967863,5.125580074,5.179721278,6.302461288,6.391635094,6.927217263,7.7549264415,7.152234567,5.989996857,Control
6.995713808,5.9723644955,5.274272145,5.961629839,6.450184887,5.139545746,5.244897759,6.45919725867,5.366990285,5.9754857605,5.747274549,6.785049226,5.68970163167,5.855623029,6.6541556965,5.065239741,5.354744155,4.786611159,5.98687237,6.65253264333,8.1175343725,6.8182341645,6.134432096,BRCA
6.516256016,6.1387688815,5.391983545,6.829282328,5.926361974,5.12339042,5.574866903,6.62868312967,5.491706318,5.698125565,5.675663172,7.582218724,6.59057193467,4.943465724,5.824272396,6.187011156,5.353156751,5.411944154,5.368603583,6.353105852,8.2287174245,6.9513043535,5.714253246,BRCA
