@relation data

@attribute id string
@attribute 10018 numeric
@attribute 10276 numeric
@attribute 10451 numeric
@attribute 11214 numeric
@attribute 1894 numeric
@attribute 221472 numeric
@attribute 2245 numeric
@attribute 23229 numeric
@attribute 23263 numeric
@attribute 23365 numeric
@attribute 23370 numeric
@attribute 23385 numeric
@attribute 23421 numeric
@attribute 25791 numeric
@attribute 26230 numeric
@attribute 26574 numeric
@attribute 27018 numeric
@attribute 27237 numeric
@attribute 29 numeric
@attribute 393 numeric
@attribute 4168 numeric
@attribute 4803 numeric
@attribute 4804 numeric
@attribute 50649 numeric
@attribute 50650 numeric
@attribute 51107 numeric
@attribute 55851 numeric
@attribute 5599 numeric
@attribute 5663 numeric
@attribute 5664 numeric
@attribute 572 numeric
@attribute 57449 numeric
@attribute 57580 numeric
@attribute 5879 numeric
@attribute 5923 numeric
@attribute 5924 numeric
@attribute 6453 numeric
@attribute 64857 numeric
@attribute 6654 numeric
@attribute 6655 numeric
@attribute 7074 numeric
@attribute 7204 numeric
@attribute 7409 numeric
@attribute 7410 numeric
@attribute 7531 numeric
@attribute 83464 numeric
@attribute 835 numeric
@attribute 836 numeric
@attribute 84033 numeric
@attribute 8874 numeric
@attribute 8878 numeric
@attribute 89846 numeric
@attribute 8997 numeric
@attribute 9181 numeric
@attribute 9459 numeric
@attribute 9500 numeric
@attribute 9828 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.1524220372,2.7138284935,0.0961183231,0.4322712859,1.2657504494,0.0504407558,0.2832253711,0.9565618547,-0.1228088171,0.1632467478,1.8863806724,0.2999577661,1.8590415186,0.2607327730,0.3879706970,0.2461673808,1.5392003135,0.0716985433,0.4185191787,-0.0367072816,-0.0685322222,-0.1472829417,0.1028337865,0.4212707203,0.6195913662,0.6832488424,0.1200577291,0.7139937217,0.4306773639,0.2940756359,0.2177100353,-0.1324863473,-0.1593771330,2.7923812542,-0.1038069789,-0.0450818782,0.6039546599,0.0684665323,0.1797246685,0.5492388602,1.3025823053,0.4171443486,0.1073409411,-0.0013073965,2.1320210693,0.5108656904,0.1166489638,0.4014198135,0.0099596241,0.2835764761,0.3549069063,-0.0292449489,0.0297496429,0.7482905053,0.0305017218,0.6874661981,0.5913626477,BRCA
GSM480985,0.1118061828,1.9195308930,0.5367252741,0.5585266774,0.7231314778,0.0298948213,0.0992850828,0.9189526334,-0.1058542774,0.1718886270,1.8078909781,0.3510751394,2.0540524323,-0.0007979915,0.4972903547,0.1601697495,2.0139523595,0.1492221510,0.4677686616,-0.0901071523,-0.1410290605,-0.1080499572,0.1248554666,-0.0108915325,0.6624622522,0.5374009993,0.1387706436,0.7487222366,0.4775120358,0.2073089417,0.2315313540,-0.0591804925,-0.1685254412,2.9129755730,-0.0771098375,-0.0910460104,0.6563873719,0.1012052705,0.2011654340,0.6409502427,0.9014446077,0.5500678910,0.1538996255,0.0045720668,2.1926461853,1.0063822530,0.0901692665,0.3647103445,0.2163293616,0.3055398635,0.6305238222,0.0027244339,0.0021793675,0.6650590904,0.8273559293,1.0070271178,0.8509251103,BRCA
GSM480986,0.1247908180,2.5188531595,0.4511935614,0.4269269000,0.9232181551,0.0340168455,0.2288286042,0.7208466320,-0.0838580604,0.1408613691,2.0888578627,0.3242400648,1.7610949410,0.1620556448,0.3747225356,0.2961085554,1.6435006856,0.0839416788,0.4592385988,-0.0487704312,-0.1035119567,-0.1034840642,-0.0515953347,0.4313248786,0.7453682704,0.6256229197,0.3406218310,0.7966307569,0.4260402334,0.4096347002,0.3771760837,0.0132508305,-0.1577176325,3.0052631994,-0.0858192758,-0.0237612893,0.5338457883,0.0216847414,0.0952468054,0.4793911673,1.4083907076,0.3095813899,0.0129711927,0.0373677311,2.5239436627,0.8533294125,0.1933903277,0.2347654519,-0.0039646980,0.2336263930,0.4313466385,-0.0038596118,-0.0049749665,0.5656618335,0.0169443934,0.8662189639,0.6993938461,BRCA
GSM480987,0.0641107020,1.6389636536,-0.0624555265,0.0776612061,0.3478362806,-0.0350901349,0.2805792671,0.1297122511,-0.0936724576,0.1640715872,2.0355137853,0.2334768176,1.4231408438,-0.0543893511,0.2787843005,0.3563149321,2.2340774089,0.0165234698,0.4748554544,-0.0931103057,-0.0800990232,0.0772469334,-0.1142703091,0.0650273779,0.2619530231,0.4480984137,0.1590228739,0.7170214796,0.3273552372,0.3864956428,0.1247138026,-0.0640385685,-0.0887570234,3.1002503070,-0.0868379885,0.3441553468,0.5399547016,0.1246149447,0.0700896732,0.1445394283,0.6798715035,0.3203727863,-0.1229293533,0.0506385963,2.3751924037,0.6550846640,0.1489806325,0.2230391835,0.0134098540,0.1425570575,1.0558273989,-0.0444561553,0.0071413818,1.0064479825,1.0348463968,0.9242855299,0.5341026839,BRCA
GSM480988,0.0686467013,2.1157360656,0.3249056081,0.3245223875,0.9940377652,0.0023710980,0.3229050952,0.9321638409,-0.1298969833,0.1365992489,2.1217031943,0.4132997250,1.8114462694,0.3656831666,0.4318450697,0.2666222930,1.8971973323,-0.0030211766,0.3944011591,-0.0359084169,-0.1064269076,-0.0620756386,0.2525387860,0.2955096020,0.6097535133,0.3462867279,-0.0470390906,0.6912962379,0.2225401956,0.1904675350,0.0354253387,-0.0524627113,-0.1041714360,3.0203843170,-0.0390103232,0.0260778816,0.4650428470,0.1171253127,0.0896705153,0.3725107078,0.9804931996,0.2437453907,-0.0868716438,0.0609464488,1.9517735643,0.8834853526,0.1777602493,0.1758982928,0.1935690376,0.1392812521,0.3686685013,0.0062560078,0.0027147152,0.3987811088,0.3858037989,0.9505123751,0.8552181646,BRCA
GSM480989,0.1115567636,2.4350194651,0.1505207717,0.3031398646,0.4535511589,0.0964441249,0.3382581084,0.6734174375,-0.1848627402,0.0371562667,2.2892196047,0.4883826412,1.1773555676,0.1622867522,0.3638872553,0.1393194566,1.6489086524,0.1339521102,0.3925280456,-0.1370594150,-0.0742422853,-0.0762286128,0.0640462163,0.1477551517,0.4619134499,0.9608786262,0.3227041837,0.5911021925,0.4050124762,0.3592420754,0.5766588003,-0.1759656344,-0.1592328136,3.3091132243,0.0485742937,-0.0134113350,0.3687916775,0.0446071062,-0.0037837656,0.2630944657,1.0517396993,0.2010125937,0.0192166491,-0.0004577507,2.5266134737,1.2440986224,0.2671450338,0.1138846011,-0.0650471931,0.1886101777,0.3976841190,-0.0220747011,0.0182626838,0.7482872327,0.0056937418,0.7754416374,0.7793102638,BRCA
GSM480990,0.1162255702,3.2403723493,0.1058793579,0.1822195061,0.6316223712,0.0352380711,0.6024827585,0.3082292599,-0.0956406044,0.0654089239,2.5931033096,0.3568122026,1.1254070599,0.2021761255,0.0407690980,0.2448406588,1.8946280852,0.0256118882,0.3889777859,-0.0627307187,0.0378097178,-0.0433772932,0.0951365499,0.5640215036,0.6544813586,0.8257227093,0.2574754970,0.5124700949,0.2569054178,0.2532056378,0.4847173588,0.0613375635,-0.0568278389,3.4219261243,-0.1068342536,0.0213186410,0.4897019803,0.1995744136,0.0120991491,0.3107558547,0.9967747182,0.3424984821,-0.0486021041,0.0988269611,2.2605771227,0.8353856290,0.1861562266,0.0401264709,-0.0119441170,0.1346650283,0.4063528978,-0.0004817811,-0.0309724548,0.7746485568,0.2112568687,0.8014150266,0.5964649915,Control
GSM480991,0.1162118429,2.2738268936,0.2550788322,0.4007406158,0.5018412659,0.1299604896,0.1989618016,0.6014430216,-0.1101728960,0.0983325845,2.3270406326,0.4409174623,0.9275614287,0.1123558068,0.3221974295,0.2030835569,1.7449348047,0.1378906891,0.5206457387,-0.0364083487,-0.0468607510,-0.1841129842,0.0719107018,0.4812814961,0.7022818492,0.6955867127,0.4321573778,0.7236467786,0.3933905798,0.4332083487,0.4295866277,-0.0717817389,-0.0983593629,3.2534763878,-0.0982043197,0.1275102232,0.4594260363,0.1285285741,0.0441448208,0.3851343730,1.1498989496,0.2702305519,0.1669772696,0.0497137843,2.2935149670,1.2202700152,0.2463971335,0.1772719718,-0.0027615664,0.1336797186,0.6901227102,-0.0162060722,0.1075860330,0.6429997678,0.0334029134,0.9210425101,0.6660773494,Control
GSM480992,0.2180758546,2.2579149008,0.1594127794,0.3640513380,0.6604532731,0.1008907390,0.5445744022,0.5221393989,-0.0996715137,0.1196216665,2.5069358282,0.5047747411,1.0150151781,0.3608828929,0.0429191859,0.2329495843,1.6307175216,0.1456888070,0.4258272874,-0.0108861114,-0.0855954225,-0.1251400337,0.0331385645,0.6060283448,0.5879104644,0.9498860009,0.3880352750,0.4097217267,0.3361732716,0.2220148885,0.4719536303,-0.0017913189,-0.1532480139,3.4460021522,-0.0692610286,0.0333484756,0.4195138236,0.1686247819,0.0183351703,0.4019502806,1.3741938853,0.2013769452,-0.0769597430,0.0592768053,2.0128209990,1.2297113462,0.2303380465,0.0732875811,0.0259809094,0.1687993814,0.3986313752,0.0207777722,-0.0315034958,0.8432679789,-0.0657502839,1.0848224799,0.8691876941,Control
GSM480993,0.1327235562,2.4411811617,0.1350385027,0.3236482641,0.7011601362,0.0818821349,0.3302256761,0.7879212411,-0.0755661761,0.1102057849,2.1565765539,0.3810258958,1.1704211100,0.2548280592,0.4480308334,0.2220212492,1.8803600370,0.1306535832,0.5402558094,-0.0110236899,-0.1127156852,-0.0431781644,0.0994669689,0.2887290293,0.6452624021,0.7254536961,0.2294018507,0.7140314231,0.4258051752,0.3069662438,0.4597184245,-0.0393467302,-0.1593987301,3.0886874926,-0.1000633528,-0.0139027961,0.4714313283,0.0988553730,0.0562111053,0.4506590302,1.1784313140,0.2619925587,0.0286861091,0.0656672766,2.5240129627,1.1917420254,0.2515041795,0.1338819088,0.0045780729,0.1593855326,0.4394630354,-0.0109673778,0.0017784773,0.7187899938,0.1967417030,0.9550524486,0.7020622566,Control
