@relation data

@attribute 5437 numeric
@attribute 8968 numeric
@attribute 128312 numeric
@attribute 10919 numeric
@attribute 51082 numeric
@attribute 8360 numeric
@attribute 3013 numeric
@attribute 3012 numeric
@attribute 8362 numeric
@attribute 8361 numeric
@attribute 84172 numeric
@attribute 8364 numeric
@attribute 5440 numeric
@attribute 54145 numeric
@attribute 8363 numeric
@attribute 8366 numeric
@attribute 8365 numeric
@attribute 8368 numeric
@attribute 8367 numeric
@attribute 8970 numeric
@attribute 8349 numeric
@attribute 126961 numeric
@attribute 8932 numeric
@attribute 7343 numeric
@attribute 8350 numeric
@attribute 25885 numeric
@attribute 9015 numeric
@attribute 8355 numeric
@attribute 5595 numeric
@attribute 8294 numeric
@attribute 9014 numeric
@attribute 8354 numeric
@attribute 9013 numeric
@attribute 8352 numeric
@attribute 8359 numeric
@attribute 8358 numeric
@attribute 8357 numeric
@attribute 8356 numeric
@attribute 474382 numeric
@attribute 4331 numeric
@attribute 9533 numeric
@attribute 8338 numeric
@attribute 8339 numeric
@attribute 2071 numeric
@attribute 2074 numeric
@attribute 2068 numeric
@attribute 8340 numeric
@attribute 121504 numeric
@attribute 8346 numeric
@attribute 8345 numeric
@attribute 7270 numeric
@attribute 8348 numeric
@attribute 8347 numeric
@attribute 8342 numeric
@attribute 8341 numeric
@attribute 8344 numeric
@attribute 8343 numeric
@attribute 54700 numeric
@attribute 8850 numeric
@attribute 3018 numeric
@attribute 8370 numeric
@attribute 3014 numeric
@attribute 3015 numeric
@attribute 3017 numeric
@attribute 2966 numeric
@attribute 2965 numeric
@attribute 3021 numeric
@attribute 1022 numeric
@attribute 653604 numeric
@attribute 3020 numeric
@attribute 8337 numeric
@attribute 8335 numeric
@attribute 85236 numeric
@attribute 8334 numeric
@attribute 2968 numeric
@attribute 902 numeric
@attribute 8330 numeric
@attribute 2967 numeric
@attribute 255626 numeric
@attribute Class {Control,BRCA}

@data
10.33896506,5.507248571,5.118745153,6.190702694,11.24585035,5.257964097,5.174537499,6.080503777,8.127196202,5.169936271,7.330403606,14.05593823,6.365977347,9.603728853,6.059945345,5.68566776,7.01480474,4.668481241,6.730643776,9.079385528,8.440029384,5.50383468,5.85490842925,6.89133739275,6.922498552,6.059945345,6.21938280367,5.802717488,11.634256725,5.536217098,7.9988926865,6.468262051,8.34902027133,5.002265111,5.952107108,5.805622164,5.957224679,5.478900032,5.213358218,6.69676284,9.5565740325,10.76039169,6.680046949,10.0776573,6.023427942,8.220113618,4.871364705,5.823629162,4.708204487,5.264922245,7.2214577,5.261729425,5.568040657,6.49377991,5.279853137,5.139767484,6.139557107,6.451380618,5.85450143,5.155031965,6.917524621,7.8736305755,12.06323168,7.428939017,5.474931823,6.107234293,12.84903075,9.361681261,6.035630095,14.592922175,10.55455797,5.434637608,12.04345466,8.487007054,10.43957668,8.45525079,6.051867589,8.439499644,4.663367841,Control
11.03103278,5.810964386,5.096779711,6.059688189,11.464696472,4.689877288,4.964758163,5.730104109,6.839868676,5.268108014,8.102501307,13.96600025,6.504704302,8.215303806,5.817246707,5.919108385,5.776374632,4.881923051,6.170531632,7.646272708,8.322132227,5.115003321,5.40820526,6.63711005125,5.915587375,5.810964386,6.089878149,5.776374632,11.27623323,5.157863534,8.134060621,6.093502736,8.49419396233,5.605858198,5.385785842,4.998208198,5.46091556,4.584732512,4.663367841,7.086882265,10.167654931,9.674329611,5.789606185,10.50841903,5.469081112,8.497094498,5.323740468,5.808134829,4.905220009,5.076613872,6.937835569,5.124960054,5.70044752,6.432128971,5.331285345,5.076613872,5.36458228,6.661746482,4.916490079,5.110416751,6.546165695,7.8908509875,12.24301336,6.353301929,5.210049084,6.586162299,12.8865864,9.155780297,6.48510929,14.737138445,8.9788285505,5.580530872,11.42963442,6.276594949,9.94572954,7.832012647,5.576228285,8.965352223,4.173910121,BRCA
11.02625388,6.056156059,4.628224624,6.416615446,11.549943721,5.144669712,4.558389106,6.272308437,7.800286988,5.066316611,7.9527385875,14.10257573,6.401780305,9.670085752,5.395243853,5.598879718,6.079650777,5.245658467,5.995434345,8.797792112,8.532999807,5.407702206,5.55725126475,6.88471708825,6.272308437,6.241654902,6.16023407867,5.690704299,11.198356615,4.720021333,7.830854584,6.311708018,8.171456546,5.59156816,5.042218873,5.028581582,5.403788568,5.312711681,4.419595675,6.839081327,10.62316706,9.896635567,6.451215749,10.71269919,5.7913656,8.892012333,4.919591852,5.583918611,4.47893856,4.919591852,7.406729323,5.001702332,4.971786376,6.236545833,5.202624638,4.933585915,5.583918611,6.93378248,5.275017526,5.16953547,7.132579734,8.4900776405,12.53965448,7.52248330367,5.664561948,6.582656103,12.77284039,9.394656215,6.165314669,14.75973063,9.582685718,5.757030749,12.29684318,8.190863129,10.27514127,7.667131787,5.316879984,8.580466923,4.950248224,BRCA
11.73846187,5.78869305,5.693773551,7.114234918,11.93111194,4.814821191,4.916490079,6.528106825,8.863443805,5.352274105,7.9984599765,14.49088818,6.648325671,8.044122393,5.850631456,5.916363929,6.090118375,4.366293438,6.701137054,4.92244912,9.896446364,5.254944744,5.4982994775,6.73656485675,6.629251419,5.963942952,5.893285504,5.776111392,11.274247985,5.689726348,8.2259509515,6.217042247,8.48510287033,4.910026549,5.554290497,4.893861206,5.391983545,5.579475285,4.748208435,7.265055029,10.513492295,10.88094205,6.311526388,10.43052602,6.424087011,8.85164062,5.438135838,5.332538997,4.608266403,5.450890591,7.159376306,5.01682082,4.938534277,5.89251929,5.229406468,5.377480603,5.438135838,7.433358274,5.745177655,4.766080198,7.152338403,8.530230259,12.30321003,6.90529433767,6.002540089,6.970019164,13.2433667,9.99050151,7.123296633,14.722206265,10.5173890535,5.182703468,12.79374357,6.408122185,10.44466839,7.517316273,5.859106883,7.704562712,4.667062321,Control
10.79386361,5.749273627,5.406342144,6.424440594,11.566212065,5.241660263,5.057679059,5.776374632,6.890693297,5.133924369,8.015862385,14.08054111,6.908516092,9.171627882,5.403788568,4.870871734,5.148335483,5.213747029,5.759829109,8.821312505,8.186907968,4.805822905,5.50034781475,7.07141316575,6.391506215,6.07093198,6.31220146167,5.908039034,11.21839075,5.297935366,8.101469808,5.866173125,7.722951479,5.718917257,4.972360944,5.014814152,5.391468086,5.249266367,4.927672792,6.867961695,10.43283582,9.72142441,5.957921126,9.889641277,5.607338636,8.312657375,5.025484272,6.139403622,4.734183662,4.649642211,7.126215308,5.297935366,6.022207581,6.718844926,5.689866096,5.029244428,5.65593226,7.110460145,5.144465785,5.17473722,7.365100051,8.185466732,12.39294532,6.983161939,5.206341637,7.045217151,12.78963253,9.627078354,5.930034295,14.78905083,9.383214294,4.985285523,11.858053,7.142926798,9.47543003,8.195898639,5.291135005,8.732388881,4.91887665,BRCA
9.875964751,5.673988298,5.36773034,6.1623503515,10.8946986805,4.925775462,4.900638916,5.545359333,6.326794047,5.447257868,7.2078869845,12.24753009,5.738505243,8.035817876,5.080669653,5.804912672,6.261065912,4.985513237,5.109685724,7.866569768,8.772645411,4.980495207,5.670428054,6.98730767525,6.224296576,6.340656284,6.310849161,5.857863615,11.07534033,5.163308771,8.2193558725,5.424175738,8.34996221733,5.148742216,4.862465343,5.377480603,5.492182674,5.313256056,5.401742447,6.499332184,10.116303033,8.508201951,6.195057794,10.75975321,6.249071368,8.645353223,5.241850906,5.214330049,5.062436111,5.075972442,6.9148069685,5.515077886,5.625863148,6.237741162,5.234397132,5.249266367,5.440131024,6.806198773,5.563776856,4.972360944,6.331549038,7.6042942415,12.29242381,6.330174048,5.527329405,6.922969386,13.44437567,9.01498366,5.943107442,14.16263594,8.316796841,5.427783188,10.93481154,7.455781587,9.72642302,8.0884774495,4.769786816,8.769772669,5.46712559,BRCA
11.62683849,5.135259094,5.36650691,6.5572339185,11.312399139,5.114586962,4.732013908,6.194663913,8.740068382,4.93712219,8.7832744555,14.7817055,6.973327498,7.601810012,6.149549624,6.62585904,7.246291987,5.139972076,8.870627591,6.097827379,8.33257494,5.567888595,5.622363499,6.89760154625,6.046584505,6.00034443,5.96834731867,6.883746426,11.151396135,5.149758548,9.5309941675,6.430289978,8.25724722233,6.239078755,5.077041333,5.920240442,5.579701547,5.337721125,5.046808884,5.895672973,10.071555317,10.66841992,6.5560888,10.0173308,5.455665247,8.838495753,4.595204309,6.053334703,5.213941395,5.650629048,6.4622389495,5.460260315,5.899484569,5.971607496,6.117700885,5.579701547,6.13566376,7.243509918,5.857863615,5.744303238,6.893972281,8.160140768,11.25779165,7.23571497,6.082580853,6.719438847,12.61604227,9.547121611,5.814301269,14.920806015,9.692660621,5.391983545,13.074006,6.658144078,9.822443813,7.0980443305,6.488889022,8.357575234,4.867169068,BRCA
11.02111204,6.058647282,5.844744204,6.2080929495,11.564517125,4.898947471,5.2209212,6.264072495,8.533603375,5.540872931,6.9885442035,13.7210223,7.098982487,10.42177586,6.211553127,5.256643908,7.126784799,4.688059546,5.716175548,9.433126963,8.732490639,5.517599514,5.81499758325,6.9809377205,6.664060114,6.238171237,6.14077220267,5.943283297,11.40345044,5.047681518,7.6093747255,5.996056084,8.127165967,5.741879005,5.154424477,5.467940713,5.745379368,5.767529834,4.81315432,6.573196985,10.1825281605,10.17096442,6.9557694,10.17798975,6.616552979,7.900747773,5.163308771,5.929442617,4.918399651,5.193979903,7.112983899,5.479142629,5.313437469,6.272261775,5.002490161,5.277995204,5.638081984,6.697666542,5.959081123,5.346169084,7.831435711,7.787027341,12.45804007,8.36211980967,5.520745364,6.479895483,12.24439068,9.825825817,6.276594949,14.71973806,10.0318327905,4.983234478,12.29242381,9.946928611,9.751904322,8.2150115435,5.93470004,8.78938784,4.835559392,Control
11.34089896,5.738099861,5.419801156,6.4532636835,11.68681288,5.545359333,5.255700175,5.993510911,7.364881259,5.178725843,7.844957294,13.31043176,6.517673816,10.00810682,5.69600164,5.117810604,6.715691352,4.497725104,5.936526788,8.876387348,9.982822895,5.54798282,5.818649465,6.9504892375,6.242988873,6.263509238,6.175443102,6.059891283,10.99057863,5.570167841,8.029563126,5.91379373,8.24282658067,5.863264042,5.662925563,4.820703945,5.274272145,5.292976103,5.511603435,7.327824597,10.60652329,10.68693842,6.853562589,10.24019539,5.982201443,8.755431019,4.715361226,5.751417692,4.672729652,5.250403832,6.9996996275,5.229983196,5.763950127,6.314610999,5.700724934,5.144669712,6.316060301,7.367548257,5.863264042,5.233246971,7.621669354,8.5057825605,12.89900003,7.731063702,5.082799703,7.1126508515,13.07564465,10.15470456,6.011904408,14.902030635,10.549058171,5.427950757,12.3968015,8.894060699,9.751444107,8.2231503775,5.839966671,8.620110863,4.897254041,BRCA
11.14633337,6.021041727,5.557663769,6.2909747205,11.1421601825,4.821979637,4.585033079,5.970169897,8.647873119,4.490583929,8.5009800015,14.29890208,6.645878602,9.091846003,6.021041727,4.963487128,6.228150688,5.233822166,5.822354928,9.033320526,9.05864872,5.022158329,5.3371000785,6.9170906935,6.367550714,5.825538406,6.10008358433,5.853503721,11.551814785,5.745379368,8.0926237145,5.946971318,8.18679204667,5.275576309,4.981865493,5.224977213,5.072117861,5.259094728,5.250782787,6.996504912,9.9652216585,10.4183642,6.723152797,10.10676612,5.442621133,8.379801934,5.2209212,6.320850743,4.421060285,5.229598736,6.8055411475,5.422747045,5.279296008,6.408334517,5.476390801,5.634020526,5.360725299,6.280312026,5.076613872,4.937593039,7.713525923,7.7151803595,12.22983432,7.94413342067,5.287630431,7.07342704,12.75620088,9.154553037,6.582936515,14.77735648,10.2223433115,5.279296008,12.26341894,8.2864551,10.12301596,8.1149854775,6.090647705,8.305344864,4.42789603,BRCA
