@relation data

@attribute 11254 numeric
@attribute 6556 numeric
@attribute 1317 numeric
@attribute 6518 numeric
@attribute 64116 numeric
@attribute 23516 numeric
@attribute 54716 numeric
@attribute 84102 numeric
@attribute 6517 numeric
@attribute 26266 numeric
@attribute 204962 numeric
@attribute 6514 numeric
@attribute 6515 numeric
@attribute 6513 numeric
@attribute 283375 numeric
@attribute 155184 numeric
@attribute 23446 numeric
@attribute 64849 numeric
@attribute 126969 numeric
@attribute 284111 numeric
@attribute 6566 numeric
@attribute 6563 numeric
@attribute 80736 numeric
@attribute 6561 numeric
@attribute 60482 numeric
@attribute 115584 numeric
@attribute 29986 numeric
@attribute 29988 numeric
@attribute 7780 numeric
@attribute 11182 numeric
@attribute 7781 numeric
@attribute 27173 numeric
@attribute 9058 numeric
@attribute 4891 numeric
@attribute 9152 numeric
@attribute 7779 numeric
@attribute 57127 numeric
@attribute 29985 numeric
@attribute 56606 numeric
@attribute 154091 numeric
@attribute 57153 numeric
@attribute 6536 numeric
@attribute 345274 numeric
@attribute 81031 numeric
@attribute 64924 numeric
@attribute 6534 numeric
@attribute 55117 numeric
@attribute 6538 numeric
@attribute 23539 numeric
@attribute 6539 numeric
@attribute 6540 numeric
@attribute 9123 numeric
@attribute 9194 numeric
@attribute 7922 numeric
@attribute 340024 numeric
@attribute 6582 numeric
@attribute 6005 numeric
@attribute 25800 numeric
@attribute 348932 numeric
@attribute 200010 numeric
@attribute 146802 numeric
@attribute 30061 numeric
@attribute 6523 numeric
@attribute 6524 numeric
@attribute 169026 numeric
@attribute 6526 numeric
@attribute 148867 numeric
@attribute 6529 numeric
@attribute 55244 numeric
@attribute 114134 numeric
@attribute 254428 numeric
@attribute 55630 numeric
@attribute 6531 numeric
@attribute 6530 numeric
@attribute 6533 numeric
@attribute 51458 numeric
@attribute 8170 numeric
@attribute 6570 numeric
@attribute 6571 numeric
@attribute 66035 numeric
@attribute 55676 numeric
@attribute 57181 numeric
@attribute Class {Control,BRCA}

@data
5.768456458,5.5377130695,9.827049342,8.379801934,7.945380115,9.237718535,5.62576092033,7.168850407,5.689167221,5.213358218,5.06588596,5.583993803,12.16931758,8.66464383,4.845504173,4.972246049,11.21894615,5.709050785,8.637622132,5.68566776,5.431465218,6.529395814,9.37475958533,5.0986648325,5.127232159,5.217435519,5.51286784,10.62563148,5.3719111385,6.922498552,6.508591568,11.63896089,5.955075184,11.37306376,5.193979903,7.670390317,4.590429601,8.45713426467,6.29722834833,8.790251655,11.90810746,6.500850989,5.931807875,8.294360192,7.42359036275,5.323380202,5.27337129767,6.114997467,5.468103682,6.764278222,7.569705873,8.761053454,6.761687933,6.90980073,5.331285345,5.31165512067,5.50383468,9.977352828,5.461406798,5.26866948,5.298302041,8.9131668135,7.932570767,5.0018756795,5.551986008,6.821490596,10.8849167,5.9351921825,7.003324298,5.238988625,8.982994377,6.13717760167,5.768456458,6.106961344,6.513534664,6.001133,6.835548718,6.0090461875,4.678374372,6.98130382425,5.8848398825,7.822253937,Control
6.120295558,5.6271246685,9.916671122,6.816347305,7.416380094,8.520403709,5.512693792,6.282676674,5.667687262,5.34066129,5.028581582,4.472869269,11.62934992,10.69176121,5.521373712,5.10518698,11.274805115,6.061599516,8.447539034,5.703911357,5.272407006,5.7333967435,9.95462042633,4.975314437,5.609778043,5.327517838,5.272407006,10.45470056,5.391288864,6.511440859,6.493339608,11.61468237,6.303603253,11.77608148,5.398154738,7.0284551455,5.244897759,7.984585417,6.377668927,7.937140034,12.06237178,5.81853895033,5.137924845,7.6277610105,7.3187644515,5.70044752,5.252763136,6.170531632,6.060593939,6.57376504,7.354075509,9.024558716,6.199285243,6.578504214,5.091500179,5.11299475667,5.119990277,9.282692279,5.488009811,5.748737112,4.839721879,9.6968987015,9.013141976,5.442423177,5.305433649,6.247268302,11.19005631,5.856286743,7.55297859,5.46091556,8.668708735,5.829782052,5.296651267,5.865245331,5.722746919,5.327517838,5.938057117,6.0283817415,4.928146734,7.06582258375,5.6347907735,7.281144442,BRCA
6.009611007,5.528820191,10.21241769,6.761953818,8.023580623,9.006046297,5.10930094267,6.427610886,5.690704299,5.616777635,5.572595075,4.910026549,9.970178212,9.826628375,5.190428437,4.997530935,11.32517537,5.99024439167,9.172571974,6.355928609,4.544584798,5.737270032,9.84120043033,5.4967751255,4.894588914,5.862458365,6.165314669,10.66108355,6.343871144,5.92077637,6.285638602,11.75880629,7.793214948,12.48766051,5.455336468,6.915674034,5.135874705,8.61625597633,6.96420242433,7.790154807,12.26224618,6.170028363,4.806596392,8.4136452525,7.61397014875,6.223234887,6.04030035,6.018484655,6.431335148,5.823119603,7.585452943,8.784374029,5.492342928,6.4920726355,4.933585915,5.21959765733,4.900397403,9.8147470395,5.527329405,5.351390919,5.661572365,8.725016115,10.42293494,5.0734562765,6.651414562,6.94883771,10.75543866,5.3477534515,7.237356075,5.507645012,8.388362979,6.186777119,6.045110507,5.819930778,6.045110507,5.976026323,5.914212446,6.337309544,4.991874681,7.2942256675,5.9287985345,7.580562199,BRCA
5.868397398,5.288537543,10.05847247,7.138991368,6.6836240505,8.762250076,5.62948878067,5.767662245,5.801553978,5.418368122,5.615748247,5.470383322,10.28488803,9.749233029,5.072117861,4.410788833,10.627914221,6.16094966767,7.867373153,6.734273105,4.53376448,5.9272369285,10.3978884893,5.416153022,5.611623335,5.04506203,4.92244912,10.78687017,6.2996631175,6.635867278,6.979113971,11.49792431,6.599433568,12.62053951,5.515077886,6.1062460765,5.427950757,8.38537217033,6.32275632667,7.067491166,12.3148028,6.403923036,4.814821191,7.3911685565,7.15925037975,6.269599511,5.50990679433,5.372439586,6.086407617,5.767662245,7.855695631,9.184485567,5.387682411,7.1447332125,4.978894894,5.19324693833,4.863456876,8.7376236385,5.397812585,5.193979903,5.450890591,8.5776397925,8.670710349,5.0338321305,5.754627826,6.855494947,11.33541843,5.2701800755,7.706567029,6.195254695,8.289605251,6.40419868233,5.574564199,5.838328613,6.350944152,5.989826604,6.060593939,5.9487171785,4.700180125,7.089594169,5.5283107075,7.575787159,Control
6.449359668,4.8281878055,10.05577764,6.615780886,8.2975958675,9.136774003,5.743107481,6.107798352,5.981630781,5.473471368,5.308895293,4.327000131,10.13846417,9.520845097,5.458948931,4.997982479,11.141169275,5.63331048667,8.782524158,5.559347452,4.44414752,6.3526485135,8.89000289367,5.0802106475,5.193782829,5.44461013,6.657215268,10.06652016,7.8166804215,6.32067026,6.418532045,11.57831621,7.620478507,11.95582434,5.561716584,7.235130449,5.546825987,8.42176354367,6.984509024,8.484542105,12.21931837,5.71526054667,5.137105138,8.1011415635,7.67936424275,5.694748763,5.66717945833,5.567432314,5.989826604,5.887775801,7.6916757,8.869887692,6.172883123,6.7425949565,5.014814152,5.48127610967,4.753299027,9.772124792,5.846249617,5.349976695,6.200413743,9.154963083,11.02316716,5.125466333,5.641409649,6.444729694,11.08301405,5.2093270295,7.144329712,5.527485802,9.070765735,6.188114085,5.384232247,5.60541377,6.097300677,5.368603583,5.808521004,5.9308621315,5.287630431,7.35765897575,5.604541363,7.769244655,BRCA
6.091917306,5.950090438,10.45416076,8.73811855,9.145222526,9.878281298,5.778198725,7.215511462,5.889480387,4.930514115,5.470383322,4.925775462,12.45384813,11.12792359,5.524354632,4.569953748,11.310981345,5.45460174567,9.400164915,5.793643135,5.476714818,5.7156294625,9.40740918233,5.010514238,5.614718124,5.148742216,5.94146509,10.18842847,5.23914898,6.138226355,6.664806802,11.44400817,6.576072831,11.48849306,5.298302041,7.910038365,5.167128322,8.406476574,6.876219611,8.192984556,12.45804007,6.02055141967,5.538857248,8.2961958475,8.04541452825,5.541879718,5.559406031,6.338964187,6.154570678,6.545354989,8.11790425,10.14832758,6.71596585,6.600066487,5.476714818,5.28269905433,5.08535162,10.1448920925,5.226326687,5.594855484,5.294814856,9.8857967685,10.31961599,5.156391113,5.206341637,6.506966537,11.08650467,5.5673621845,7.188195976,5.784118687,8.201365689,5.809312255,5.453691444,5.614718124,6.448203566,5.950883181,5.630093262,6.1690446775,5.346435058,6.81445758325,6.0275078965,7.97200492,BRCA
5.630093262,5.5802124235,10.12324558,6.531268867,5.766649463,7.863769878,5.613409385,6.11442494,6.082580853,5.375918034,5.42627419,5.323740468,10.8936127,10.06394142,5.701348918,5.606746643,10.621938286,6.152368983,6.86505622,6.405103693,5.072332275,5.8788827235,10.0708399377,5.3282222095,5.532793245,5.046808884,5.79064906,10.75523626,5.493341165,6.032327486,7.873876433,11.03341975,5.78346402,12.08864757,5.491381137,6.771950497,4.904497645,7.99577067533,6.26588569733,6.579810423,12.79680929,5.98900522133,5.057462456,7.2311004805,7.180343436,6.420386078,5.46829707167,5.328236218,6.843296507,5.451550105,8.410834102,9.721262049,5.499615714,7.396089416,5.009001383,5.298810938,5.337721125,8.2547294505,5.51191964,5.250782787,5.55659131,9.644087332,7.364180901,5.055697203,5.72962839,8.114602741,12.1278268,5.0847821665,9.254108071,5.422410676,7.598389632,5.99142993067,5.438302209,5.84687641,6.162699096,6.371171674,5.857863615,5.9039758895,4.754902895,6.73949764525,5.449610566,7.243509918,BRCA
5.77400374,5.53698537,9.469031811,6.868270444,8.4683291645,9.257317784,5.125380425,7.031828341,5.931807875,5.555364666,5.483018649,4.795729695,11.38319952,9.624905607,5.632130956,4.607083101,11.78482894,5.83979863833,8.988642886,5.881671501,5.325720324,5.7651312615,9.345174169,5.315847896,4.937828406,5.238893118,5.692100223,10.33946621,5.333522519,7.138325884,6.92202275,11.84964955,6.670766438,11.37601291,4.96879493,7.468864969,5.380600673,8.21093983167,6.948572356,9.14804506,12.01315176,6.298770935,5.502721434,9.2461400085,7.757395365,5.796890531,5.56641064433,6.401140314,5.725748823,6.518460881,8.337132512,9.066352354,5.596496342,6.5768553575,5.517599514,5.536409134,5.593212758,10.807950895,5.431465218,5.502721434,5.384232247,9.546740352,9.259184861,5.588220356,5.261917434,6.284574859,10.74199802,5.6884574505,7.454630623,4.699347423,8.364934729,5.94701984467,5.751417692,6.269599511,5.948315392,5.908579513,5.418368122,6.003278972,5.479142629,7.11273270475,5.8944169375,7.109938036,Control
6.74994022,5.127133633,10.15138482,7.027217996,7.465204609,9.139564862,5.568093651,6.646454756,5.950124992,5.119990277,5.81109287,4.920187583,11.4905076,9.281942267,5.316518,5.233246971,11.208263815,5.54959364533,9.135248271,6.153507065,5.262293378,6.08603641,9.8854642,5.698584038,5.210049084,5.72533984,5.773476345,9.846936382,5.200469216,6.366327132,6.471476576,11.66148208,7.234963788,12.00382718,5.631258011,7.677275429,5.082799703,8.577650556,6.54045026533,8.151525421,12.30980751,6.07696360667,5.126612849,8.538371432,7.45045382825,6.273521134,5.44818430667,6.134432096,5.229983196,5.210049084,7.53391589,8.895212575,5.745513828,7.2746804675,5.015037253,5.289983942,5.244897759,10.111184766,5.714802736,5.370871545,5.686368332,9.200348526,9.507616831,5.1334489805,4.920187583,6.048874401,10.6623838,5.4521769945,7.236830112,5.007656643,8.006636221,6.11354048767,5.450725666,6.229881685,5.572973961,5.976026323,5.354744155,6.1068277495,4.528802152,7.0342070535,5.661445564,8.061737221,BRCA
6.268944869,5.131613837,10.74565776,6.734103713,7.200159023,8.548572569,5.24527302333,6.286054636,6.047566334,5.2209212,4.953278335,5.190230876,10.32699711,9.610619386,5.029686155,4.993460669,11.67164045,5.808545177,8.947652369,6.448657859,5.557663769,6.7010699,10.679539821,5.381065434,5.279296008,5.427112717,6.221350881,10.83660293,6.1575227615,6.54404145,6.892090812,11.4316675,7.051402352,11.99021932,5.172738766,6.7023029305,4.671880991,8.62047820133,6.05532912033,7.822700078,12.3968015,6.37279699967,5.224977213,8.1645804415,7.315365068,5.464350722,5.77867082433,6.114997467,5.841099622,6.878728789,7.875228881,8.593410849,6.097511381,7.035585071,5.181511332,4.91855735333,4.596397442,10.079636319,5.828143626,5.072117861,5.800260087,8.8874056125,8.198618308,5.270866576,5.353156751,7.667166773,11.52942337,5.098264803,7.150486375,5.404640262,8.690452999,5.81250177733,5.546594509,5.921252584,5.598879718,6.161087152,6.066687273,5.9919443845,4.596397442,7.1030434315,6.0060204585,7.166843776,BRCA
