@relation data

@attribute 107 numeric
@attribute 10746 numeric
@attribute 108 numeric
@attribute 1081 numeric
@attribute 109 numeric
@attribute 111 numeric
@attribute 112 numeric
@attribute 113 numeric
@attribute 114 numeric
@attribute 115 numeric
@attribute 123745 numeric
@attribute 1432 numeric
@attribute 163688 numeric
@attribute 1839 numeric
@attribute 1956 numeric
@attribute 196883 numeric
@attribute 2002 numeric
@attribute 2185 numeric
@attribute 23236 numeric
@attribute 2488 numeric
@attribute 26279 numeric
@attribute 2767 numeric
@attribute 2776 numeric
@attribute 2778 numeric
@attribute 2796 numeric
@attribute 2797 numeric
@attribute 2798 numeric
@attribute 2885 numeric
@attribute 30814 numeric
@attribute 3265 numeric
@attribute 3708 numeric
@attribute 3709 numeric
@attribute 3710 numeric
@attribute 3725 numeric
@attribute 3845 numeric
@attribute 391013 numeric
@attribute 3972 numeric
@attribute 4214 numeric
@attribute 4215 numeric
@attribute 4216 numeric
@attribute 4313 numeric
@attribute 4323 numeric
@attribute 468 numeric
@attribute 4893 numeric
@attribute 50487 numeric
@attribute 51806 numeric
@attribute 5319 numeric
@attribute 5320 numeric
@attribute 5321 numeric
@attribute 5322 numeric
@attribute 5330 numeric
@attribute 5331 numeric
@attribute 5332 numeric
@attribute 5337 numeric
@attribute 5338 numeric
@attribute 5566 numeric
@attribute 5567 numeric
@attribute 5568 numeric
@attribute 5578 numeric
@attribute 5579 numeric
@attribute 5580 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 5598 numeric
@attribute 5599 numeric
@attribute 5600 numeric
@attribute 5601 numeric
@attribute 5602 numeric
@attribute 5603 numeric
@attribute 5604 numeric
@attribute 5605 numeric
@attribute 5606 numeric
@attribute 5608 numeric
@attribute 5609 numeric
@attribute 5613 numeric
@attribute 5894 numeric
@attribute 6300 numeric
@attribute 6416 numeric
@attribute 64600 numeric
@attribute 6654 numeric
@attribute 6655 numeric
@attribute 6714 numeric
@attribute 775 numeric
@attribute 776 numeric
@attribute 778 numeric
@attribute 779 numeric
@attribute 801 numeric
@attribute 805 numeric
@attribute 808 numeric
@attribute 810 numeric
@attribute 815 numeric
@attribute 81579 numeric
@attribute 816 numeric
@attribute 817 numeric
@attribute 818 numeric
@attribute 8398 numeric
@attribute 8399 numeric
@attribute 84647 numeric
@attribute 8681 numeric
@attribute 998 numeric
@attribute Class {Control,BRCA}

@data
8.2081635635,7.5897722855,7.149597572,6.069052954,12.63069834,6.614529956,10.327292123,7.377212971,5.645450388,8.748277668,5.2037195755,7.09994864525,5.118745153,10.08057144,7.05035509475,10.97207892,9.719046985,6.25614507167,6.8772890085,5.3661768805,7.445801364,12.11539657,9.668318219,8.533866741,7.621431263,5.792466108,4.292340303,9.4954151895,5.346435058,7.4423513115,10.99802289,9.844635599,11.35799469,14.72492149,6.8286116825,5.110416751,5.089382945,10.46146439,7.727140233,8.1704885395,8.066467478,7.31944887,10.153974076,8.74899041,5.790192895,9.095911979,5.368428976,9.972804328,5.689167221,6.31084507,7.476788978,5.876585242,6.9141724395,8.517296488,8.102817052,6.36946717,5.4829326402,5.48205062,8.688181342,6.21136540967,8.7068629295,8.27215776867,11.634256725,7.03030591433,5.939777752,7.4995792045,7.621649748,6.7523535558,9.595220702,10.49127719,11.44994835,5.86129168933,5.85530403967,7.887344199,8.2742311235,10.11570732,6.752518218,8.585478725,5.516024013,8.001564595,7.867620258,6.75911734333,7.11619091,5.857677033,5.536217098,5.682300273,13.11037161,13.59313376,12.33572539,7.680836167,4.967873236,6.001133,6.3931703428,6.71763387475,8.533227316,5.9973155525,5.934641074,5.901658111,9.970178212,7.16387589625,Control
6.3425008425,7.254019895,6.461320332,5.157863534,13.03258307,5.841225451,10.2384186075,7.013074525,5.65593226,8.080472632,5.420625092,6.60639379225,5.98658799,9.419407807,6.79791370075,10.9073904,9.192268846,6.39478587333,6.8906417385,5.3150324935,8.180387697,12.64178371,8.930930318,8.84345400733,8.432490878,5.6921122335,4.670607054,9.5539178325,4.937593039,7.8897640555,10.75503384,9.525335383,12.08864757,14.11502538,6.4300637355,5.398154738,5.394043544,11.6627575,7.609246281,8.036449489,7.536346549,7.242581369,9.57262420067,8.474680533,5.821079567,6.451092084,5.473633714,6.6596432,5.663779561,5.804719114,7.453231788,6.036839159,7.100683958,8.822380524,8.723286465,6.0929297895,5.5428379012,5.804719114,9.433471275,6.479820979,8.2777883015,7.85669691467,11.27623323,7.157624222,5.0886580415,7.383968157,7.563421716,6.347242776,9.166697324,9.559434991,11.52169626,5.85702554217,6.054235957,7.798165773,8.137035193,10.34726733,6.478329262,8.106593131,5.714802736,7.481398095,7.609956448,6.586005659,6.780445033,6.190817922,5.545359333,5.571533663,12.75620088,13.5121695,12.47764072,7.335080175,5.03365563,5.644873832,6.9553527598,6.8818081325,8.715636586,6.074195938,6.353195907,5.899424146,10.89604874,7.17118701125,BRCA
7.5711783515,7.099749051,6.767195028,5.186670157,12.19349773,6.323194968,9.769915947,7.338293201,6.0290173,8.026856932,5.4820486345,6.58493097,5.757030749,8.171340859,6.80402066425,9.496554786,9.676230874,6.332382502,6.771545835,5.385380039,7.6220252555,12.18094263,9.213384421,9.29076107,7.921783116,5.8965217235,4.905220009,9.480270588,4.838713892,7.856102429,11.137683,10.74066222,12.01135666,14.41297137,6.720661627,5.515393331,5.283469238,11.77105209,7.4638150875,8.1426863055,7.29489898,7.213617336,9.80783744233,8.690112479,6.193580184,8.606850376,6.004058206,5.760494586,5.682862067,5.173838258,7.462177348,5.98687237,6.8982166245,8.8794769,9.112766015,5.9034588485,5.4641368762,5.527329405,8.48506563,5.889051372,7.9762072145,8.11094053067,11.198356615,6.689778979,5.6701097255,7.0833900895,7.8060539105,5.84197348,10.50005538,9.65317699,11.72288448,5.82716031317,6.35618041933,8.166013814,9.1235010805,10.45388564,6.215392848,8.6701660175,5.329313116,7.228580927,7.575257723,7.22912163867,6.671085011,6.360369215,6.225935832,5.135874705,12.13760287,13.47944813,12.54827894,10.35235277,5.935819934,6.257770271,8.109608713,6.405921396,8.2596790005,6.225222865,6.403868968,6.376000002,10.58594865,7.03238297825,BRCA
7.0913602235,7.2297368405,6.763813641,5.377480603,12.23565236,6.331145921,10.3820872935,7.478529234,5.876032641,8.120096744,5.275502987,6.0589973865,6.492979261,8.577656473,6.3257817405,10.39270411,9.684192438,6.660246028,7.226006717,5.504518435,8.477277703,12.07926902,7.435526765,8.629147321,8.856262983,5.372735569,5.383195587,9.432546201,4.904979261,8.398114105,10.00164081,9.439182162,11.97218475,14.08054111,6.243898751,5.499695432,6.198794315,12.00382718,6.539903837,8.3087359185,7.162091995,7.593299842,9.12714489533,8.847629866,5.759562832,9.664661106,5.432467779,6.594776658,5.460424154,5.108536217,7.601141445,6.1476177,7.2768077175,9.316802576,9.088311981,6.323322532,5.1156792046,5.655216748,9.211511834,6.312672729,7.9530049585,7.98209816267,11.274247985,7.046663354,5.7758281875,7.0038486335,6.9189611885,6.4393043462,10.578656,9.580847928,11.42772678,5.05698450317,6.36100294267,8.473463378,9.2078924525,10.09500831,6.355796501,8.231806127,5.193979903,6.648325671,6.838009842,6.91032494133,6.621982704,6.966479856,5.515077886,5.397812585,12.20536419,13.35270561,12.76004735,9.938977155,5.198898037,5.574564199,8.725184586,6.1456479,7.7082282335,6.512188232,6.816507311,5.863140121,11.09339134,6.55593589375,Control
7.084991265,7.7935442875,6.854560258,5.971837379,12.7347446,5.680472929,9.671974648,7.297193996,5.824138541,8.28785217,5.416694716,6.730522711,4.93618003,8.161385277,6.78190965925,9.358629843,9.981439248,6.22310588433,6.848015995,5.240692364,7.8127938485,12.56435203,9.924501194,9.35589447533,7.405952219,6.176371495,5.31832701,9.66718229,5.541492575,7.697637374,10.864964,9.689574849,11.58766984,13.43392773,6.8833304115,5.228252321,5.245087973,11.72645885,7.0459737065,8.2072773585,7.447457544,7.210771476,9.608528428,8.770532686,9.731989781,6.345898074,5.83744581,8.905673654,5.599028548,5.902080364,6.773076963,5.887775801,6.6548276045,8.026649483,8.873068105,6.52394041,5.466218321,6.407145055,8.977409535,7.50900425433,8.133774626,7.82991936767,11.21839075,6.79859870533,5.704258658,6.931778481,8.1880407455,6.3743216144,11.00715715,9.966174165,11.8471671,6.07725681717,5.979395943,8.264326623,8.5157239865,10.22872886,6.095297454,8.6043275615,5.182107523,7.634958261,7.652900753,6.72839437467,6.262194115,6.091970181,5.375136114,5.60541377,12.34682957,13.37889296,12.45248586,7.089109133,5.062220221,5.989826604,6.9100805066,7.045711086,8.3252183155,6.518443469,5.925412759,5.504788206,9.802112873,6.99171327025,BRCA
6.50402659,7.841849263,6.543500233,6.058214335,12.65857307,6.872247394,9.753034207,7.806535324,6.352798794,8.529822044,5.506526572,6.87151716925,5.660645761,11.02909413,7.10041818325,10.16002932,9.979768545,6.30853884,6.727722821,4.916072587,6.8315434305,12.03287579,10.54993411,9.078168623,7.182248152,5.673195152,5.057462456,9.9164802245,5.156043878,7.3388634815,11.45443311,9.814991395,12.06588572,13.80946823,7.019536675,4.985513237,5.298302041,11.51112271,7.516631177,8.3583418895,7.385001972,7.363129727,10.5461605397,9.445243095,5.353244986,5.930448326,5.14017664,7.21972788,6.376000002,6.024591871,7.658927519,5.94872421,6.9752829565,8.511892099,8.949827531,5.9174340255,5.6759717936,5.625863148,8.467749328,6.98490046733,8.614206568,8.18650002,11.07534033,6.70524643733,6.517858181,7.4215310095,8.3174977465,6.511764621,10.15284924,10.23164154,11.5852209,7.15443493,5.98125183967,7.443878302,8.0343196725,10.624983,5.996451597,8.9337864765,5.334685584,8.19601328,8.522033306,6.38912935567,6.244178877,5.840847932,5.895309438,6.156543881,13.11510467,13.71343219,12.66384721,5.996451597,5.093825554,6.394896188,6.3166102882,7.03324440275,8.4054699995,6.07383167,6.064587171,5.093825554,10.25398074,7.00999639125,BRCA
6.201503818,7.727730022,6.456482249,6.35799673,13.34505663,5.057462456,9.1297731835,7.967285529,5.779661087,8.167494826,5.7231049945,6.362735412,5.548136995,7.851001152,6.9842760015,9.341019005,9.212867878,6.20690718667,7.4861886795,5.241293886,8.4336189565,12.83993603,7.39744174,8.46320594233,7.184109482,5.5067115545,5.689866096,9.167523377,5.438302209,7.9742866725,9.557684409,7.511675823,12.23463043,13.91249272,6.6232326,5.014814152,5.836246857,12.26224618,6.6799591085,7.890181034,8.102055909,8.23715154,8.68348982967,9.358008891,7.230263367,9.276724119,5.014814152,6.139659422,5.333433796,4.77796061,6.111350232,5.48205062,6.945356743,8.946870554,8.335882847,6.330484187,5.5322651396,6.430289978,9.024558716,6.81582852467,8.747651318,8.451561107,11.151396135,7.32404088833,5.6011167705,6.239058915,6.747341416,5.495877927,9.662659976,8.977681421,11.16076662,5.4415442,6.79660585167,8.963388234,8.079817226,9.961088297,6.107065996,8.457614913,5.201056716,7.292025067,6.760091594,7.54701473933,6.679695168,7.11691865,5.48205062,5.579701547,12.34260121,13.29267684,12.61750082,10.40794251,5.754494213,6.165867356,9.356122659,6.55286557675,7.7168387545,6.0879165975,7.988231821,5.626739362,10.63491565,7.10702874775,BRCA
7.6188571805,6.266308923,7.109938036,5.887897624,12.39966386,6.091811548,9.643814388,7.667823176,5.862458365,8.80888466,5.852605391,7.0975611175,5.655646098,9.80655813,6.998917209,9.812386363,9.290572499,6.16225577733,6.719520862,5.371841579,7.178770695,11.35299256,9.665460782,8.875123686,7.65749911,5.8725078635,5.401401144,9.1611827995,5.023045997,7.7095138065,10.66388964,9.583290187,11.37383049,13.96294256,7.0670465565,4.867045482,5.443615974,10.99477083,7.490035246,8.068051145,9.011647369,8.054280235,10.3256012193,8.993477034,6.068354407,9.164543144,5.517599514,7.542337622,5.891304496,5.887897624,6.898937271,6.202570157,6.5861642735,8.972320105,8.236828767,5.9718598575,5.3094441946,5.233822166,8.419813926,6.87117032933,7.602215851,8.171538624,11.40345044,7.14839452233,5.401013329,6.487104221,7.762308173,6.3190254744,10.21059864,10.00443156,11.28922369,5.8607249385,5.93944441167,8.267911597,8.116304847,10.12277013,6.332712967,8.519260169,5.354038858,7.787382059,7.907583411,7.00963552967,6.842353879,6.444274162,5.435637968,5.088959125,12.57155186,13.44200721,12.74796537,9.572823899,5.619127766,5.392842236,7.580338669,6.064234489,8.729778512,5.8864404035,6.918538669,6.001358226,10.04775483,7.09973287325,Control
8.092918242,7.4878088285,6.816347305,5.841225451,12.05932765,6.099511534,9.557649091,7.357466507,5.813403636,8.17986074,5.0692057385,6.41978303225,5.375570566,8.9172834,6.85070537275,9.898586698,10.01823535,6.34899972867,6.995146243,5.076587947,7.320817348,12.07015459,9.303998235,9.29028807333,7.15810756,5.9248870815,4.715361226,9.3657406255,4.742156708,7.94496816,10.78521972,10.67301333,11.74966846,14.44356588,6.5497902615,5.05203679,5.615748247,11.9611296,7.0317903905,8.154143817,7.691134781,7.342877208,10.227199369,8.769533015,5.563776856,9.148261195,5.801553978,5.818908863,5.847816088,5.781235931,7.321975714,5.352274105,7.024481502,8.25505351,8.587722324,6.3825279205,5.291675395,5.844493149,8.419971893,6.13414385767,7.906098313,7.91861634733,10.99057863,6.63685147833,5.8779809975,6.9655385505,8.3694050275,6.1710283688,10.55937736,9.452231522,11.82274022,6.020187685,6.398579306,8.382668468,9.095386554,9.9831294,6.387246745,8.505661469,5.39361462,6.878728789,7.65031782,6.85674479767,6.535201976,6.015254046,5.915706872,5.264922245,12.3148028,13.70458133,12.4865699,8.367000914,5.662925563,6.058214335,7.4789113804,6.4879534175,8.057131251,5.700402949,6.077249008,5.956585975,10.06457475,7.18183415025,BRCA
7.599297253,7.381040729,7.016310012,5.593362174,11.61491238,6.072647808,10.0619138165,7.247645413,5.659004925,8.633940747,5.5754035815,6.2012063225,5.442621133,8.505693598,6.30061577025,9.608828239,9.726661428,6.460940443,6.432879816,4.9404298,8.1503973525,12.53965448,8.352640608,8.55731348,7.734880845,5.7943455345,4.308599443,9.70078824,5.665486041,8.148239231,11.44285036,9.67905828,11.77144213,13.15952927,6.1985753455,5.570775033,5.168332398,11.43790563,6.992861854,8.281412746,6.827314517,6.98965314,9.523841594,8.271931157,5.741744206,8.922124336,5.308713308,5.822354928,5.838328613,5.215689515,7.469827229,5.586623085,7.1430110225,8.468869519,8.349370945,6.3457281585,5.3589494338,5.913135501,8.01888328,6.39658479233,8.1813016325,7.74245236133,11.551814785,6.691964128,5.5839936855,6.9279187635,7.524249938,6.6645194764,10.19143901,9.69476318,11.64681981,5.75900304267,5.92169088967,8.896605722,8.399665163,10.28660429,6.271748387,8.616861979,5.091923254,7.4960371,6.965931792,6.973025285,6.666902575,6.271748387,6.181803869,5.404640262,12.71572616,13.30755735,12.57561022,9.331471853,4.482788153,6.023594275,7.9155472442,6.59589787525,8.3082798515,5.8513197535,6.746114963,5.748737112,10.95951862,7.09000222,BRCA
