@relation data

@attribute id string
@attribute 10257 numeric
@attribute 10599 numeric
@attribute 107 numeric
@attribute 108 numeric
@attribute 1080 numeric
@attribute 10864 numeric
@attribute 109 numeric
@attribute 10998 numeric
@attribute 111 numeric
@attribute 112 numeric
@attribute 113 numeric
@attribute 114 numeric
@attribute 115 numeric
@attribute 123264 numeric
@attribute 1244 numeric
@attribute 1581 numeric
@attribute 196883 numeric
@attribute 200931 numeric
@attribute 2052 numeric
@attribute 23439 numeric
@attribute 2778 numeric
@attribute 28234 numeric
@attribute 3156 numeric
@attribute 343 numeric
@attribute 358 numeric
@attribute 361 numeric
@attribute 366 numeric
@attribute 3781 numeric
@attribute 3949 numeric
@attribute 476 numeric
@attribute 477 numeric
@attribute 478 numeric
@attribute 480 numeric
@attribute 481 numeric
@attribute 482 numeric
@attribute 483 numeric
@attribute 486 numeric
@attribute 5243 numeric
@attribute 5244 numeric
@attribute 5566 numeric
@attribute 5567 numeric
@attribute 5568 numeric
@attribute 5613 numeric
@attribute 570 numeric
@attribute 57552 numeric
@attribute 57835 numeric
@attribute 6256 numeric
@attribute 6344 numeric
@attribute 64240 numeric
@attribute 64241 numeric
@attribute 6513 numeric
@attribute 6522 numeric
@attribute 6523 numeric
@attribute 6548 numeric
@attribute 6550 numeric
@attribute 6554 numeric
@attribute 6555 numeric
@attribute 6579 numeric
@attribute 6580 numeric
@attribute 6822 numeric
@attribute 7363 numeric
@attribute 760 numeric
@attribute 8431 numeric
@attribute 8647 numeric
@attribute 8671 numeric
@attribute 8714 numeric
@attribute 9376 numeric
@attribute 9429 numeric
@attribute 949 numeric
@attribute 9971 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,-0.0382839109,-0.0740279330,-0.0680557761,-0.0785590173,-0.1065824015,-0.0705872517,0.7727496513,0.4732009415,-0.1577812994,0.3797550982,0.5154408196,-0.0726066500,0.1941818817,-0.0584189266,-0.1379678325,-0.1544413325,-0.0095319855,-0.0333999624,0.7579817176,-0.0933970851,1.1579167798,-0.1077937729,2.2515258126,0.0297564367,0.0120709732,-0.2063436529,-0.0862510114,-0.1308872881,0.6986789812,2.2648673058,-0.1590702881,-0.2148991669,-0.1119884823,1.4832964392,0.0227946625,1.1287912429,-0.0077039182,-0.1213828938,-0.1071235045,0.5931362181,0.6055969648,-0.0123531642,0.9930449004,-0.1039827502,0.6059141932,-0.0962339785,0.5852018984,-0.0611534528,-0.0293376869,-0.1166248403,1.3464175017,1.0318101403,0.4473815295,0.3583122071,-0.1602892049,-0.0606605828,-0.0257997866,-0.1370306246,-0.1505576230,-0.1417264957,-0.1943919704,2.7359598949,-0.0268044310,-0.1098288949,-0.0533370425,0.4688589026,-0.1071519037,0.0627919192,0.3250162346,-0.1526027134,BRCA
GSM480985,-0.1029227616,-0.1970933003,-0.1146877620,-0.1466375627,-0.0648965920,-0.0405049484,0.5223725109,0.3026447457,-0.1766650246,0.4228589949,0.3467999483,-0.1656008608,0.2055798990,-0.0322139713,-0.1892109614,-0.1390370326,-0.0878300879,0.0287527019,1.0347691939,-0.1104307367,1.3204932428,-0.1009068791,1.8070220551,-0.0321980232,0.0241860305,-0.1252668334,-0.1551390356,-0.1995252653,0.3670200387,2.5335551764,-0.1184174512,-0.1431674888,-0.1025529623,1.7398017653,-0.0671608138,0.9820158452,-0.1013292367,-0.0990337857,-0.1268268298,0.7376574537,0.7695002645,-0.1038192192,1.1653226431,-0.0788189772,0.3501435185,-0.0950965718,0.6415359193,-0.1126760354,-0.0879263676,-0.1599074210,0.7513453467,0.7569654905,1.3274019467,0.3221919558,-0.1845016052,-0.1377616121,-0.0948146948,-0.1675654338,-0.0485923138,-0.1733916228,-0.1303444079,1.8036646712,0.0192951315,-0.0806230918,-0.1189274306,0.6983390900,-0.1292750708,0.0773847646,0.2144054214,-0.1592329506,BRCA
GSM480986,0.0522798259,-0.1141370526,-0.0866454035,-0.1313444398,-0.0767632868,-0.0198733556,0.6232914684,0.5061001109,-0.1350317207,0.1785444665,0.5399395962,-0.1195620130,0.1296261391,-0.0922428601,-0.0351829667,-0.1350079182,0.0055539080,0.0248151773,0.9754819308,-0.1210289406,1.3325283364,-0.0799624962,2.2534344527,0.0535508828,-0.0366545018,-0.1349955358,-0.0376580770,-0.1160709274,0.6423200652,2.3745350307,-0.1079960563,-0.1444038978,-0.0935146389,1.4289510340,-0.0786688100,0.8934022577,-0.0648860453,-0.0787316221,-0.1077962576,0.6712817949,0.7078176651,-0.0887387330,0.9547375822,-0.0872652922,0.5435480389,-0.0589571534,0.8420553809,-0.1287515238,-0.0805567394,-0.1035249727,1.5701801711,0.9871897150,0.9506301231,0.4262295211,-0.1892789451,-0.1401886393,-0.0523980379,-0.0952918237,-0.0640044816,-0.1561148249,-0.1330824345,2.8647686241,-0.0352914631,-0.0849128895,-0.0659897680,0.3935099913,-0.1410159989,0.2181740418,0.3798008564,-0.1277842263,BRCA
GSM480987,0.1774111111,-0.1136861579,0.0948443130,-0.0932495861,-0.1098254067,-0.0424519550,0.9581980763,0.3140809181,-0.1124067577,0.0528845680,0.8650637666,-0.1120932270,0.1242048581,-0.0768543509,-0.0097398905,-0.0826320147,0.2631349051,0.0055063729,0.9509564009,-0.1415792909,1.2904711387,-0.1030044284,1.6233673890,0.0119552148,-0.0407500830,-0.1463557830,-0.0815908814,-0.1348949583,0.4957578379,1.8120981787,-0.0782750988,-0.1487252011,-0.0861090123,0.6760050888,-0.1038088068,0.4360398824,-0.0412466089,-0.0356606070,-0.1159703899,0.4481176670,1.0939444790,-0.0234222412,0.2135299446,-0.1032722484,0.3649183540,-0.0943348789,0.7166370249,-0.0744605550,-0.0900454249,-0.1465551473,0.5868319288,1.0536655843,0.0696773789,0.3989992698,-0.1137941985,-0.0820076259,-0.1047958857,-0.0986062336,0.0049323728,-0.0844182332,-0.1518100676,0.0717404810,0.0222586589,-0.0993046031,-0.0760591507,0.1441028727,-0.1518041937,0.0368615875,0.2417326949,-0.1453653658,BRCA
GSM480988,-0.0224023822,-0.0912204711,-0.1114876393,-0.0557560889,-0.0682546645,-0.0528318296,0.3484778570,0.3366798059,-0.0759397257,0.2434777927,0.2204383947,-0.0361867587,0.1508974081,0.0066167800,-0.0715239352,-0.1273434198,0.0293470489,0.0871972010,0.9515858624,-0.0575695326,1.4781041429,-0.2039901390,1.9541448621,0.0048436667,-0.0316265191,-0.1525637659,-0.1163979196,-0.0886950313,0.4281081147,2.3178957767,-0.0954781781,-0.1062739395,-0.0750196000,1.4738425440,0.1134081166,0.4111864848,-0.0547835847,-0.1185512982,-0.1417645243,0.3137383716,0.5631931945,-0.0202760463,0.7728505326,-0.0452212076,0.6553904076,-0.0891883062,0.6533234366,-0.0609668406,0.0216508261,-0.0258509781,1.3603920108,0.8975963600,1.2572363405,0.5428662199,-0.1372961024,0.2142069303,0.0018441849,-0.1368624886,0.0204388643,-0.1263470649,-0.1931611510,2.0900463054,-0.0271084259,-0.1097020723,-0.0282426173,0.4376455878,-0.1313214498,0.1925189430,0.3367433697,-0.0813052105,BRCA
GSM480989,-0.1133802327,-0.1388280317,-0.0620193510,-0.0467369777,-0.1159861198,-0.0669332194,1.0119184052,0.8310205770,-0.1447008381,0.2998246142,0.3220232484,-0.0685872297,0.2054151728,-0.0655161604,-0.2150383685,-0.1256726845,-0.1595958304,0.0325866827,1.6404003038,-0.0993353447,1.3912816293,-0.1478744510,1.7251473731,0.0953088898,-0.0645379762,-0.2116736251,-0.1588037981,-0.1803379033,0.9601269712,2.5518428220,-0.1790295165,-0.0504583876,-0.1504288017,1.4644163237,0.1020590944,0.8620225001,-0.1235038396,-0.1395282613,-0.1358418876,0.9056678476,0.3538124809,0.0047141360,0.8033357407,-0.0328773668,0.5916382265,-0.1224761487,0.8751727511,-0.1150837363,0.0314573445,-0.1364941973,1.7297552293,1.2871615849,1.9052394698,0.5561182794,-0.1766876927,0.0762339502,-0.0128430581,-0.1420469166,0.0539467284,-0.1361991567,-0.2524973428,2.4671195073,-0.0681379633,-0.1067064402,-0.0206305848,0.3185213862,-0.1808551819,0.1319676016,0.4140146006,-0.0888248269,BRCA
GSM480990,0.1334824086,-0.1126886048,-0.0744136228,-0.0817924930,-0.0958344107,0.0135798728,1.0164559484,0.4743824331,-0.1368300982,0.1709839052,0.5393573991,-0.1056272242,0.2828586080,0.0132822438,-0.1481778249,-0.1488304301,-0.0106996141,0.0140406565,0.8763308987,-0.1250745491,1.4284008093,-0.0558435920,1.7105851968,0.0646434974,-0.1128439105,-0.1581952049,-0.0466871606,-0.1659467211,0.8059552148,1.9397360151,-0.1304007474,-0.0614450391,-0.0933936812,1.0188081922,0.0413098776,0.9910837904,-0.0887196400,-0.0583302757,-0.1131240634,0.8428640298,0.7935236208,-0.0195084080,0.5710339894,-0.0435397670,0.5999958590,-0.0809124440,1.2033769806,-0.1028407734,-0.1487853989,-0.1211260421,1.9028176201,1.2309665177,0.4180539406,0.7102150352,-0.1224463084,-0.1121014944,-0.0700199609,-0.1688940613,-0.0586210038,-0.1117175117,-0.0809249143,1.7338391095,0.0804696221,-0.1242406111,-0.0820618474,0.2071880434,-0.1428322776,0.0669613010,0.4362924077,-0.1328343788,Control
GSM480991,-0.0518423927,-0.1320366769,-0.0467888096,-0.0623631008,-0.0626564302,-0.0527009829,0.4249343571,0.5365256367,-0.1120446003,0.2858755783,0.5548712921,-0.1251052238,0.2768006893,-0.1083261065,-0.0905185484,-0.1028993103,-0.0189355184,0.0210126611,1.4981676803,-0.0797973198,1.4307339596,-0.0878459478,1.9098144438,0.1008093515,-0.0672081919,-0.1771611009,-0.0053027851,-0.1993880880,0.6420924345,2.3992724284,-0.1155331679,-0.1010639354,-0.0352485606,1.6633671827,-0.0132385952,0.4793715525,-0.1295876506,-0.0812173152,-0.0644396203,0.7147501284,0.6564376624,-0.0500267771,0.7389248726,-0.0768788428,0.6244119430,-0.0971677965,0.9345876711,-0.0705271417,-0.0684367033,-0.0935278237,1.5302052647,1.1911597680,1.8907400334,0.6888827734,-0.1319731279,-0.0719950611,-0.0073240427,-0.1359281269,0.0958025430,-0.0856077978,-0.1561417199,2.2098422760,0.0248851115,-0.1200158579,-0.0799943357,0.4116240480,-0.1355524433,0.3806187271,0.3769491573,-0.1133234765,Control
GSM480992,-0.0653787929,-0.0950007559,-0.0848685851,-0.1067906695,-0.1024010876,-0.0315868781,0.8758288564,0.5677276943,-0.1194200918,0.5049739010,0.4127616239,-0.0951718734,0.4200474990,-0.0635135562,-0.1380214439,-0.0901375347,0.0041698367,-0.0299814404,1.4306381412,-0.1653500808,1.5164660945,0.0235698888,1.3973706829,0.1537538703,-0.0520983544,-0.1406825582,-0.1236474157,-0.1707666128,0.5132272439,2.3764450816,-0.1324462807,-0.1223864961,-0.0991364921,1.3366456528,0.1053096240,0.9254199237,-0.0327881900,-0.1243718956,-0.1156690929,1.1381731691,0.5008515699,0.0557855016,0.8443388831,-0.1204136663,0.4378210821,-0.1243876650,1.3046935373,-0.0929872735,-0.0593586669,-0.1601481636,2.0403656530,1.2960211527,1.0365559381,0.7261103579,-0.1365297174,-0.0929580740,-0.0260066486,-0.1086308183,-0.0633809696,-0.1361783299,-0.1349615111,2.4924402089,0.0083994120,-0.0772120737,-0.0574009745,0.4426153306,-0.1838594310,0.1612420140,0.5422001528,-0.0986634167,Control
GSM480993,0.0162149032,-0.1038916361,-0.0384183934,-0.1120296282,-0.0685585216,-0.0434529336,0.7973100805,0.7603304386,-0.1578653891,0.2520091683,0.4410814088,-0.0471520076,0.3209931134,-0.0764610821,-0.0565486151,-0.1405898641,-0.0442055219,0.0138532836,1.2312824726,-0.1282280118,1.3899838875,-0.1298122928,2.0897884766,0.0775514016,-0.0487595277,-0.1267566967,-0.1077623904,-0.1236823616,0.6011461378,2.4815238184,-0.0956217959,-0.1240317943,-0.0895808050,1.6005193650,-0.0763889235,1.1904826671,-0.0939905010,-0.0650472814,-0.1203768508,0.8387103804,0.5521481080,-0.0571271274,1.0441827782,-0.0779142717,0.5899558988,-0.0498091110,0.9114326927,-0.0915380157,-0.0464094774,-0.0747350789,1.5635050104,1.2538477491,1.2783369686,0.6019830774,-0.0986883519,-0.1467302044,-0.0872030423,-0.0886615361,-0.0153083126,-0.1499328335,-0.1118281528,2.3420754970,-0.0441045241,-0.1119062092,-0.0577351900,0.4350004703,-0.1357538442,0.2222338934,0.4147879066,-0.1140381761,Control
