@relation data

@attribute 5230 numeric
@attribute 59345 numeric
@attribute 152 numeric
@attribute 374291 numeric
@attribute 150 numeric
@attribute 7167 numeric
@attribute 539 numeric
@attribute 6616 numeric
@attribute 5224 numeric
@attribute 5223 numeric
@attribute 1329 numeric
@attribute 3710 numeric
@attribute 1327 numeric
@attribute 10476 numeric
@attribute 51764 numeric
@attribute 2023 numeric
@attribute 5214 numeric
@attribute 3747 numeric
@attribute 23530 numeric
@attribute 3745 numeric
@attribute 1431 numeric
@attribute 27089 numeric
@attribute 513 numeric
@attribute 2597 numeric
@attribute 516 numeric
@attribute 515 numeric
@attribute 514 numeric
@attribute 226 numeric
@attribute 229 numeric
@attribute 522 numeric
@attribute 521 numeric
@attribute 6389 numeric
@attribute 2821 numeric
@attribute 5330 numeric
@attribute 114 numeric
@attribute 23236 numeric
@attribute 112 numeric
@attribute 2110 numeric
@attribute 5331 numeric
@attribute 111 numeric
@attribute 8050 numeric
@attribute 2109 numeric
@attribute 4967 numeric
@attribute 6392 numeric
@attribute 9495 numeric
@attribute 6390 numeric
@attribute 6391 numeric
@attribute 94235 numeric
@attribute 2108 numeric
@attribute 7381 numeric
@attribute 4082 numeric
@attribute 8826 numeric
@attribute 5313 numeric
@attribute 5315 numeric
@attribute 7388 numeric
@attribute 7386 numeric
@attribute 7385 numeric
@attribute 7384 numeric
@attribute 3708 numeric
@attribute 3709 numeric
@attribute 5213 numeric
@attribute 10975 numeric
@attribute 5210 numeric
@attribute 4731 numeric
@attribute 5211 numeric
@attribute 5209 numeric
@attribute 5208 numeric
@attribute 10632 numeric
@attribute 5207 numeric
@attribute 126328 numeric
@attribute 5906 numeric
@attribute 5908 numeric
@attribute 4728 numeric
@attribute 4729 numeric
@attribute 4724 numeric
@attribute 4723 numeric
@attribute 4726 numeric
@attribute 4725 numeric
@attribute 4720 numeric
@attribute 4722 numeric
@attribute 8802 numeric
@attribute 8803 numeric
@attribute 2864 numeric
@attribute 8801 numeric
@attribute 50 numeric
@attribute 29796 numeric
@attribute 2645 numeric
@attribute 4698 numeric
@attribute 4697 numeric
@attribute 2641 numeric
@attribute 5162 numeric
@attribute 5160 numeric
@attribute 2740 numeric
@attribute 9551 numeric
@attribute 4191 numeric
@attribute 26251 numeric
@attribute 9254 numeric
@attribute 4696 numeric
@attribute 4694 numeric
@attribute 3420 numeric
@attribute 54539 numeric
@attribute 2769 numeric
@attribute 6804 numeric
@attribute 2788 numeric
@attribute 2787 numeric
@attribute 2767 numeric
@attribute 2784 numeric
@attribute 2783 numeric
@attribute 2786 numeric
@attribute 2785 numeric
@attribute 2790 numeric
@attribute 2770 numeric
@attribute 2791 numeric
@attribute 2771 numeric
@attribute 2792 numeric
@attribute 2271 numeric
@attribute 2793 numeric
@attribute 1131 numeric
@attribute 3419 numeric
@attribute 54331 numeric
@attribute 3418 numeric
@attribute 9630 numeric
@attribute 6812 numeric
@attribute 9377 numeric
@attribute 10411 numeric
@attribute 5566 numeric
@attribute 2776 numeric
@attribute 10681 numeric
@attribute 5567 numeric
@attribute 5568 numeric
@attribute 2778 numeric
@attribute 292 numeric
@attribute 2775 numeric
@attribute 498 numeric
@attribute 291 numeric
@attribute 54205 numeric
@attribute 2782 numeric
@attribute 5573 numeric
@attribute 5576 numeric
@attribute 5575 numeric
@attribute 3421 numeric
@attribute 26330 numeric
@attribute 1351 numeric
@attribute 783 numeric
@attribute 1350 numeric
@attribute 784 numeric
@attribute 5578 numeric
@attribute 5577 numeric
@attribute 6514 numeric
@attribute 6513 numeric
@attribute 1349 numeric
@attribute 3630 numeric
@attribute 1345 numeric
@attribute 773 numeric
@attribute 506 numeric
@attribute 1340 numeric
@attribute 776 numeric
@attribute 509 numeric
@attribute 777 numeric
@attribute 775 numeric
@attribute 230 numeric
@attribute 6833 numeric
@attribute 3790 numeric
@attribute 1337 numeric
@attribute 4709 numeric
@attribute 1743 numeric
@attribute 4707 numeric
@attribute 4708 numeric
@attribute 4705 numeric
@attribute 4706 numeric
@attribute 4704 numeric
@attribute 4701 numeric
@attribute 6844 numeric
@attribute 4702 numeric
@attribute 55970 numeric
@attribute 2027 numeric
@attribute 2026 numeric
@attribute 4716 numeric
@attribute 4717 numeric
@attribute 4718 numeric
@attribute 4719 numeric
@attribute 4712 numeric
@attribute 1738 numeric
@attribute 4713 numeric
@attribute 1737 numeric
@attribute 4714 numeric
@attribute 51079 numeric
@attribute 5091 numeric
@attribute 4710 numeric
@attribute 4711 numeric
@attribute 55967 numeric
@attribute 1537 numeric
@attribute 3767 numeric
@attribute 6861 numeric
@attribute 11069 numeric
@attribute Class {Control,BRCA}

@data
10.338390488,7.4230773135,5.802224334,11.74966846,9.182165345,12.28113954,12.77666852,6.78737685,6.953093871,10.2392001365,13.16637029,11.35799469,14.49088818,12.87397544,5.232287804,13.80581744,10.31880295,5.35666533467,6.72411573,9.199452197,9.60730722567,13.32090986,10.3211821975,12.6844159467,9.0890942835,11.1889300945,14.53323483,9.302910139,6.633943811,12.1297958413,9.80742276867,11.154907255,11.56304622,7.476788978,5.645450388,6.8772890085,10.327292123,10.09998588,5.876585242,6.614529956,9.559654859,9.975163508,7.85701969767,9.760229732,5.51286784,12.2142175,10.3568056905,5.641987591,12.1875331,8.005113529,12.55838012,9.638590278,5.3128980706,9.07409354333,10.047759677,13.10298289,9.140447083,10.82290958,10.99802289,9.844635599,9.305241607,7.747456426,8.144302782,6.698858381,7.7293581395,12.860869275,5.89793947733,11.094491942,8.302274634,12.30758799,7.005431822,6.582741757,12.01315176,11.81116605,12.11865571,11.79340834,5.558582385,13.26439572,7.237929634,11.90894245,11.46641824,9.8912569875,6.158968739,10.42417183,9.83366143,9.285060279,5.30303857733,5.162704759,12.83066776,5.006535067,12.12695617,9.49066094,5.651059765,11.80719496,13.40233131,5.8304193005,6.4084029945,12.47123454,13.94018008,9.649456893,12.23392978,8.935666829,6.586768964,8.735353884,8.440434347,12.11539657,5.893611729,8.698011038,5.516024013,5.692518737,9.885094283,7.1915641815,12.98372673,11.95442182,5.028139516,10.48441034,6.38362276,6.499212576,10.18798331,9.177283189,10.23494347,6.639670365,7.410489684,12.41833894,9.235386689,6.36946717,9.668318219,6.888464479,5.4829326402,5.48205062,8.533866741,12.88542666,5.32399731333,13.983564915,11.25663286,8.464342681,13.02719506,9.78527191267,8.786482932,7.409181146,8.42649314,4.973491563,13.20290364,5.3368584114,14.26291555,9.864136271,8.688181342,4.767140212,5.583993803,8.66464383,10.45921159,5.169936271,13.34981755,5.584807399,14.10537413,12.84571551,5.857677033,11.685966525,5.135464327,7.11619091,11.16600002,7.354780789,7.3458626735,11.73774813,11.50437774,11.13050478,6.915404749,12.52524557,9.172372188,11.31449844,10.97053395,10.53560858,10.05577764,12.31128435,10.1038422,7.0297312535,8.622089465,11.17866503,9.853185215,6.473832056,7.519559841,10.868720825,9.213761077,12.68048706,9.261978018,13.40746897,11.92269971,8.02890448425,4.6430482585,12.73839215,11.93317805,12.14165544,5.261729425,5.354567863,7.241175503,Control
10.27250685,8.3643319965,5.920184986,11.92604216,8.701446067,12.207276755,12.73729283,6.609192948,6.58267313,9.246767501,13.08801473,12.08864757,14.39776555,12.640765835,5.31868854,13.91614961,10.51017103,5.26574968367,6.5573591055,8.555107826,9.151714148,13.12983363,10.4687279095,12.91939868,8.966919649,10.7533367175,14.38765928,9.05009466275,6.015254046,11.5972909247,9.69544739933,10.560368665,10.75019637,7.453231788,5.65593226,6.8906417385,10.2384186075,9.924501194,6.036839159,5.841225451,9.013141976,9.36715211133,7.62161351733,9.655696684,5.291687581,12.08367055,9.82763426,5.277995204,11.1007545,7.6557243485,12.40857396,10.06753558,5.0997063766,9.11365583033,9.828224401,12.81938184,8.916537197,11.09023172,10.75503384,9.525335383,9.506050226,7.201293545,8.962058135,6.7583558515,7.6284568965,11.395106815,6.00853079767,10.9339015175,7.339674386,12.40591135,6.434568757,6.355006684,11.966264,11.66377168,12.11321645,12.16189092,5.376786337,13.09148337,6.541797943,12.23093318,11.36247141,8.635990554,5.667687262,10.28757997,8.806639133,8.72671111967,5.53179062767,4.752897783,13.13613647,5.663779561,12.06924173,9.103209852,5.394043544,11.70251551,13.61228456,5.521001402,6.3285160135,12.01315176,13.57945564,9.83010422667,12.17902899,9.171240063,6.975192016,9.217703977,8.487841164,12.64178371,6.113748025,8.720142595,5.853378958,5.195063332,8.481901451,6.0573658185,12.07225833,11.95691889,5.682862067,10.73217615,6.120295558,7.270111035,9.300061432,7.381134364,10.94627781,5.605858198,7.18529977367,12.38307791,8.739072693,6.0929297895,8.930930318,7.24025073833,5.5428379012,5.804719114,8.84345400733,12.91025583,5.80333317067,13.633194415,11.10593342,8.779925425,13.00956452,9.789873514,8.66542575,7.391761545,8.3328651035,4.9607302205,13.03363813,5.5997153768,14.08054111,10.03404273,9.433471275,5.442455259,4.472869269,10.69176121,10.20351353,5.773212576,13.29472201,5.792651171,14.03142469,12.35583566,6.190817922,11.31086287,5.926302666,6.780445033,11.56061002,7.397078021,7.450467363,11.75034492,11.290161035,11.01654387,6.241654902,12.01512763,8.807499938,11.35464901,11.25078414,10.95861817,10.58383522,12.26689494,9.681370693,6.95254361,9.599439206,11.24502395,9.841761329,5.34066129,7.56639873,10.446391725,8.711943205,12.3953307,8.866630714,13.37889296,11.97597342,7.08243355375,5.571452547,11.95778233,11.30927755,12.45867582,5.648473532,5.309804873,6.635395722,BRCA
10.0744231775,7.196995946,5.657931073,11.91738897,6.998762823,12.76766683,12.87894279,7.114893166,5.976026323,9.457144404,13.25798962,12.01135666,14.46406102,12.85481221,5.206732344,14.36769016,10.63394452,4.811665929,6.3056706965,7.158006546,9.25147759833,13.29995283,10.9218766735,13.45214513,9.426876389,11.2753944315,14.35403309,9.2216218775,6.347404892,11.6402777847,9.67961960533,10.883063585,10.62223972,7.462177348,6.0290173,6.771545835,9.769915947,9.763690056,5.98687237,6.323194968,9.577358544,9.648012249,7.43282185633,9.385178158,5.751484642,12.2091488,10.11292087,5.72110688,11.55993163,7.555905996,12.71111204,9.809000815,5.105550821,9.46470574533,10.2591473,13.04549694,9.184070187,11.21588197,11.137683,10.74066222,9.787507202,7.509005213,9.069866689,6.794213641,8.025686068,10.58756278,6.62894661367,11.178669399,6.172033026,12.44601199,6.699751273,6.466000385,11.88820491,11.77876926,12.10196099,12.20870084,5.511128997,13.14975193,6.970252957,12.12850358,11.44245126,8.772234963,6.209848712,10.53019687,9.203617871,9.110259363,5.131792113,5.019269629,13.04989878,5.862458365,12.10963326,8.960697854,5.539167536,11.815611825,13.82374193,5.3193077685,6.69622707,12.36194933,13.73047547,9.84940806633,12.69740967,9.060122471,7.081033649,10.16381668,8.83146649,12.18094263,6.074361597,8.686203838,5.92077637,5.30807618,8.913937397,5.457103785,10.57663577,11.84327345,4.963487128,10.72694212,6.323194968,7.135045173,9.228182036,6.36768175,11.71243039,5.95414468,6.48546311533,12.60350703,8.061480724,5.9034588485,9.213384421,6.84021840933,5.4641368762,5.527329405,9.29076107,13.44200721,5.697396068,14.029586485,11.037256945,8.42928237,12.9979954,9.801472324,8.815320146,7.677704008,8.6949011815,5.371577087,13.21631242,5.5487285326,14.12961268,10.64948099,8.48506563,5.112503363,4.910026549,9.826628375,10.1371324,5.870864797,13.19114487,5.7152048405,14.11030021,12.73346456,6.360369215,11.717807085,5.210828387,6.671085011,11.30927755,7.545024544,7.802053703,11.90502978,11.365204705,10.76155147,6.391935766,12.4670082,9.2501880275,10.98733883,11.20858205,10.80248428,10.30762238,12.35836419,9.362086899,7.4917674455,8.809576125,11.31755975,10.01421619,5.730783436,7.64800001,10.754477035,8.729281802,12.59087361,8.82150385,13.34055118,11.85634588,6.84818504575,5.0795625235,12.53699151,11.44400817,12.49390804,5.485435883,5.496822826,6.918270314,BRCA
9.908934117,6.7231615275,5.4051304905,12.27401999,8.31440325,11.959395845,12.40979539,8.223815268,6.480229268,7.5216111065,13.11754819,11.97218475,14.81202536,12.720596415,4.790526167,14.42653276,10.727993,4.81166389233,6.6282381475,8.727955437,9.232588409,13.08056861,11.059274278,13.3430374267,9.5876830275,9.8478629965,14.1577113,8.72951368675,5.633294061,11.2059051243,9.66277323433,10.4176076465,11.00318779,7.601141445,5.876032641,7.226006717,10.3820872935,9.066237977,6.1476177,6.331145921,8.751779294,9.71352200767,7.68856506567,9.478800518,5.259471408,11.84868564,10.43563763,5.842043069,10.48441034,7.6266591185,12.08918571,9.305851495,5.020910304,9.417448674,10.1840151705,12.71111204,9.177899811,11.42258795,10.00164081,9.439182162,9.825825817,7.408841599,9.566083123,6.2328353235,7.864109809,11.0525900495,6.33544587,11.1919258275,8.010459746,12.53119874,5.6556447465,6.3700012095,12.2754728,11.97837451,12.07584355,12.2610269,5.754627826,12.98945487,6.629251419,12.71973005,11.93568728,8.3152486205,5.89251929,10.9073904,8.922629835,9.04317350067,5.41224549733,4.645326303,13.21631242,5.646026713,12.1006805,9.709342822,5.03343539,12.200635825,14.19932039,5.468042825,6.642795088,12.20235811,13.64744159,9.721645929,12.82483353,9.612320761,7.715191761,10.21758854,8.646667718,12.07926902,5.455665247,9.066695429,5.504788206,5.693773551,6.563810693,5.725019338,9.832676886,11.56304622,5.29683478,11.19187368,6.198794315,7.91055448,9.372702462,4.851263383,11.29402062,5.391983545,6.57239004733,13.00646289,9.674898929,6.323322532,7.435526765,6.610917172,5.1156792046,5.655216748,8.629147321,13.03973478,5.12699757367,13.77472078,10.099114738,8.584211958,13.11510467,9.34823014567,8.115695415,6.105076296,8.610329425,5.041684185,13.41920247,5.542221699,14.21563464,10.47438056,9.211511834,5.7109519,5.470383322,9.749233029,10.41142654,5.793122872,13.7606441,5.8742058665,14.31938813,12.4375493,6.966479856,11.128273753,4.645326303,6.621982704,11.64123906,9.99314401,6.3817998255,12.10791023,11.4332353,10.91150268,5.937586419,12.38876812,9.26298826,11.53999494,11.44205205,11.44094715,10.51475871,12.45835798,7.986995525,7.5775286035,9.001310457,11.86027624,9.812386363,6.427443278,7.632470217,10.377605685,8.239194094,12.83735302,9.233003119,13.66590217,12.32890637,7.30033758125,5.6883117935,12.08543106,10.90509007,12.95175557,6.114997467,5.134643221,5.903768142,Control
10.232792699,9.010303599,5.352728787,11.51317502,8.040674833,12.58298471,12.92639149,7.3756054295,5.513025813,9.8878031485,13.31043176,11.58766984,14.80269307,12.71776517,4.850263431,14.29545473,10.59491265,4.75630398567,6.468422892,7.436713884,9.41727851533,13.10298289,11.082240056,13.5577100067,9.1200590525,11.2912167495,14.35403309,9.2267888725,5.673988298,11.4772791987,9.90799527433,10.730971655,10.69578097,6.773076963,5.824138541,6.848015995,9.671974648,9.69406232,5.887775801,5.680472929,10.05022317,9.82538100867,7.770744989,10.07437602,5.575169544,12.12695617,9.776279834,5.615159695,11.48919834,7.9209228735,12.68048706,10.42552569,5.5222750642,9.345289786,10.272590527,13.01183005,9.920282552,11.28988649,10.864964,9.689574849,9.423531492,7.342610577,8.311874446,7.3627640425,8.020338248,12.04429709,6.36337141333,11.506303108,6.829662885,12.36089516,6.4308542,6.499527711,11.81753744,11.77465953,12.09766027,11.86184501,5.846249617,13.1577646,6.747726834,12.30321003,11.66672787,9.399717892,5.726293954,11.17329317,9.628364027,9.10905419467,5.381060378,5.406342144,13.00320258,5.421401099,11.98934847,9.866278672,5.218210843,11.89555276,13.73376056,5.3608415355,6.5955976525,12.09712198,13.57024711,9.748032852,12.62645517,9.312021348,6.458370212,9.669660678,9.506942805,12.56435203,5.954086504,8.97289446,5.228252321,5.349976695,9.337042659,6.8901006515,11.68740205,12.12850358,5.536217098,10.85687312,6.63172683,6.580602003,9.087722135,7.573687183,11.5761703,6.316965376,6.82339386,12.41967063,7.997322226,6.52394041,9.924501194,6.84786461333,5.466218321,6.407145055,9.35589447533,13.08977243,5.43099958733,13.85275845,10.80982341,8.435838088,12.87743566,7.772929909,9.518791383,7.418993406,8.174366261,4.7650865215,13.14975193,5.3915724186,14.17756905,9.820243246,8.977409535,5.377654117,4.327000131,9.520845097,10.48635768,5.536217098,13.03363813,5.812614186,13.84737503,12.41617348,6.091970181,11.91258345,4.940179966,6.262194115,11.09066178,6.751447402,8.0653889735,12.04429858,11.14646843,10.43516787,5.658790765,12.51631937,9.7073308025,11.46565582,11.56274102,10.95259222,10.6829685,12.25622352,9.546605663,7.17264948,8.518260836,11.75296609,9.793587511,5.892154959,8.042591161,10.454074535,9.505246433,12.55220564,9.017637407,13.27043919,11.99074406,6.95938043775,5.2010194865,12.36451643,11.2564654,12.65135565,5.580832327,5.771100681,6.64810992,BRCA
10.836185255,7.9243325035,5.875564499,10.63715491,8.290457955,12.57389598,12.10567621,6.477823674,5.81083589,10.675590878,11.92269971,12.06588572,14.33991264,11.653660515,5.178725843,14.66897057,10.59454415,5.063180499,7.012627735,7.746952815,9.32168994233,11.82192354,10.1505943325,13.38763503,8.3656568455,11.363759995,13.2409799,9.674859359,6.300403471,10.774702254,8.67838119067,11.431973905,10.84878354,7.658927519,6.352798794,6.727722821,9.753034207,10.47788501,5.94872421,6.872247394,9.757207108,9.307390171,7.380654728,10.37262599,5.719464975,11.61592857,9.6268401555,5.093825554,11.41166472,7.080451259,12.9168993,10.7254091,5.278206775,9.18855636267,9.1399697385,13.0474759,9.505246433,11.21588197,11.45443311,9.814991395,9.909466033,6.956176112,8.879339047,7.2728509035,7.9038572805,11.983715765,6.54453151733,10.326122364,6.745207494,11.02068851,7.3002942325,6.8410633585,10.81892586,11.09488611,10.88635983,12.14165544,5.230079295,11.45329393,6.802099894,11.69911488,11.05952041,9.5144576625,5.982258496,10.68798822,10.13386823,7.75971465667,4.78029427967,5.011016147,12.28769659,5.614718124,11.62476132,9.569818176,5.357033992,10.431239085,13.43914135,5.9299836535,6.3549356545,10.25848981,12.00076422,9.878700435,11.00228078,9.80023708,6.86505622,9.433805075,8.217135121,12.03287579,6.143337929,8.838889641,5.268482349,6.086619917,9.258413586,6.5536864175,11.15310882,11.63993091,5.717272857,11.17329317,6.186714102,6.603185402,9.796177999,8.547261958,11.19478472,6.506966537,7.517797043,11.80723024,8.241317194,5.9174340255,10.54993411,6.695170111,5.6759717936,5.625863148,9.078168623,12.96853095,5.06825095367,14.31302729,11.26759678,9.008765532,12.98372673,9.84054935,9.231287868,7.890402801,8.3622569065,5.314477714,11.91354778,5.1447686846,12.88542666,9.840207941,8.467749328,5.316879984,4.925775462,11.12792359,9.108283416,5.73607124,12.35583566,4.8024680715,14.52934516,11.47712595,5.840847932,11.73231746,5.066316611,6.244178877,11.05254447,7.622731127,8.181390762,10.92031584,9.679239065,10.92385505,5.76368461,10.62174996,9.4854659265,10.60376104,11.2089234,9.298074671,9.907754874,11.43055462,11.06412655,7.0959895645,8.960350342,10.21278244,8.829152778,6.225357483,7.801871815,9.1345567295,10.04101607,11.27294773,9.861979055,12.75033439,10.67206752,7.2790413045,5.26565597,12.02547364,9.818031326,12.06323168,6.010897998,5.036295892,6.912892703,BRCA
9.5119033295,8.7523926965,5.335488925,12.18670552,6.545663883,11.58436785,12.52393564,8.418540522,5.832707292,8.181704127,12.63422915,12.23463043,14.88287635,12.20205989,4.959319531,13.98232431,10.5358394,5.91541417267,6.78253813475,8.795261354,8.53965388867,13.02719506,10.690890371,12.7194158033,9.5476322395,9.697606209,14.24390588,8.4091391935,6.009555025,10.1261326663,10.154513044,9.616722269,10.50240945,6.111350232,5.779661087,7.4861886795,9.1297731835,8.506060705,5.48205062,5.057462456,7.784505823,8.86931288767,7.46480964633,9.020376578,5.114586962,11.15682591,10.1547483045,5.486079796,9.656023072,7.0333324975,11.96009799,9.083067818,5.3893093744,8.978490321,10.1715746905,12.35836419,8.334218666,10.58354379,9.557684409,7.511675823,10.15138482,6.773076963,9.981439248,6.080205989,7.727224778,9.850373524,5.731491637,10.8395926855,5.155031965,11.93616504,7.2132301705,7.062352436,12.64987931,11.80723024,11.37897501,11.24026381,4.85650179,12.96626215,6.893972281,12.63275562,12.12504541,7.130160958,6.488889022,10.52153201,7.853014942,8.69641745333,5.24441804267,5.273339877,13.58212966,5.319230665,12.045241,9.023671978,5.544509535,12.32103938,14.24008548,5.4986208805,7.0119988995,12.13262834,12.86051578,9.61188469567,11.82848969,9.550891589,6.698639127,9.675551824,8.678425073,12.83993603,5.821334729,7.985772397,5.66903474,5.86196234,6.875906358,5.366277458,10.10831572,11.48011881,5.442621133,11.35243538,7.026996771,8.018076529,8.510330132,6.049582442,10.04541878,5.583918611,6.31398031067,12.56946885,9.018235741,6.330484187,7.39744174,7.252915346,5.5322651396,6.430289978,8.46320594233,11.88017861,5.72716198833,12.945584275,8.896508464,6.998198677,12.64120964,9.55785931,8.344585666,7.572418149,7.960512329,4.9229992715,12.78522262,5.2238573746,13.77286407,10.87936138,9.024558716,4.904497645,5.323740468,10.06394142,9.950483405,5.705709271,13.19976669,5.83224047,14.07822256,11.96210624,7.11691865,10.84558985,5.105815554,6.679695168,10.75224706,10.26424938,6.666869391,11.34599024,10.864450265,10.56225939,5.532793245,11.71243039,9.214595809,12.12389031,11.6964048,11.23283777,9.785085055,12.2610269,9.132211242,7.369407483,8.386661295,11.96427598,10.07411507,5.964751666,7.643587688,9.2419689165,7.325532861,12.29564706,8.347622614,13.80581744,12.31403378,7.44534149475,5.159732007,11.2910039,9.838077671,12.63069834,5.540408023,4.920902135,5.946152572,BRCA
10.4821506555,7.0132000305,5.4765994725,12.01512763,8.824028821,12.56799589,12.88385376,6.8454990825,6.206043042,10.413939738,13.46969908,11.37383049,14.67256817,12.789315205,5.229406468,13.83906107,10.51059634,5.44528943267,6.10094951075,6.764676316,9.26427471233,13.37355718,10.5801794285,12.9823389233,9.1446292285,11.45045999,14.37721665,9.4386490915,6.789080796,12.080021226,10.1036330343,11.06002129,10.36033166,6.898937271,5.862458365,6.719520862,9.643814388,10.09739389,6.202570157,6.091811548,9.42725057,9.886186684,7.32584489167,9.999683363,5.290029217,12.40276968,10.123027836,5.42266296,11.95147243,7.8770741765,13.11183912,9.918028798,5.1581699328,9.65468838467,10.48781148,13.00956452,9.041851538,10.73861188,10.66388964,9.583290187,10.1150993,7.422655866,8.078592657,7.021810128,7.761687468,11.298284455,6.087816793,11.1420229805,6.732001603,12.69546762,6.7375606535,6.2456860685,11.80267601,11.5225547,12.30206775,11.68503795,4.661088802,13.59822064,6.112601751,12.06834846,11.56134298,9.4873605265,5.835804886,10.63211394,9.183164615,9.416761553,5.44014183767,4.93252334,13.04382794,5.632130956,12.31194418,9.394463297,5.796890531,12.04203434,13.43392773,5.731165932,6.497368881,12.42766909,13.89601165,9.84832115333,12.53699151,9.068624547,6.560413565,8.751335778,9.414337005,11.35299256,6.338875075,8.510330132,5.967463325,5.380600673,10.49178825,6.2928801065,12.76004735,11.95442182,5.865554662,10.4422907,6.403016818,6.988971848,9.097308662,8.11035427,10.18798331,6.749873197,7.00778646933,12.3915122,7.568927286,5.9718598575,9.665460782,6.439102376,5.3094441946,5.233822166,8.875123686,13.11037161,5.32302536333,13.864364595,11.20927755,8.819732939,12.98945487,7.854087509,8.118825763,7.90344675,8.4252753125,4.475268063,13.43573605,5.5835800438,14.39776555,10.26782285,8.419813926,5.023045997,4.795729695,9.624905607,10.61564829,5.451879748,13.36098494,5.67851949,14.12961268,12.98372673,6.444274162,11.733869245,5.409145868,6.842353879,11.4091179,8.376419679,7.697436341,11.80723024,11.646882,10.39579682,6.742953157,12.5801856,9.662430478,11.26946293,10.86690047,10.67427198,10.28801852,12.54269462,10.18190731,6.629421509,8.567633975,10.95861817,10.07904508,6.350634813,7.336464439,11.03260789,9.130455455,12.6125864,8.893893904,13.51771248,11.7987959,7.0305105925,5.2096583685,12.93429355,12.00076422,12.09587508,5.388371455,5.593212758,7.211745052,Control
10.4653746555,7.2793614545,5.7251272775,11.64626856,7.822253937,12.990043025,12.93836212,7.2681816375,5.947555852,9.9792781645,13.37610779,11.74966846,14.81202536,12.679139745,5.411944154,14.46406102,10.57966976,5.30316465067,6.8439628815,6.949946687,9.182602555,13.05207472,11.047339227,13.7230500567,9.383435194,11.694903535,13.85629375,9.2676526785,5.976026323,11.7450460007,9.55881436767,11.04452459,10.91468805,7.321975714,5.813403636,6.995146243,9.557649091,9.366448513,5.352274105,6.099511534,9.619688628,9.785718214,7.631815611,10.32819838,5.529517425,12.33572539,10.0813852025,5.104977394,11.60282424,8.241908736,12.80969082,10.28837619,5.1628675654,9.130174211,10.3686758525,13.14975193,10.10111594,11.42903544,10.78521972,10.67301333,9.912478141,7.337356807,8.302091812,7.4207540845,7.9598679655,11.507428945,6.26309315467,11.3514733785,5.977400858,12.3377697,6.6237057305,6.516538676,11.99463462,11.84647188,12.20536419,12.46365343,5.338434442,13.34981755,7.089426976,12.45867582,11.63567744,9.2732878295,6.214810257,10.80070603,10.0579109,8.81700115467,5.20127672467,5.117810604,13.11037161,5.894703343,11.94385185,10.1276143,5.469406774,11.73972344,13.85125179,5.3469146595,6.4613233895,11.86370244,13.47298527,9.85530887867,12.71834242,9.270663911,6.832007438,9.919504381,8.843419494,12.07015459,6.092128797,9.04011237,5.496742949,5.789736585,9.495266002,6.2675959045,11.3442156,11.46383867,5.659076304,11.03700483,5.886008211,8.215303806,8.883499491,6.738839176,11.63993091,6.020263967,6.956630158,12.77884208,8.057817296,6.3825279205,9.303998235,6.907508702,5.291675395,5.844493149,9.29028807333,13.62077142,5.793978829,14.25910679,10.857770605,8.738583034,12.96993872,9.60954968233,9.026662535,7.548207573,8.4679029285,5.40757463,13.23175973,5.4135094614,13.99263349,10.02337358,8.419971893,5.398154738,4.920187583,9.281942267,10.68230579,5.541182786,13.25344278,5.8641492925,14.47325803,12.65578567,6.015254046,12.0666688,5.427950757,6.535201976,11.08348284,8.463423345,7.86465928,11.88448737,11.43046727,10.79293283,5.577437325,12.47906411,10.1084788385,11.45792732,11.63413504,10.70754056,10.82820416,12.48048484,9.085353696,7.624277507,8.524131399,11.53391627,9.694384497,6.346430072,7.647658312,10.485047375,9.439182162,12.43809276,9.030143702,13.29995283,12.21264541,6.7835047855,5.311489257,12.44819383,11.37964115,12.6014308,6.124695819,4.314057196,7.451110377,BRCA
